hex_id,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level
8819682511fffff,OPERATIONAL,"{'location': {'lat': 52.3956975, 'lng': 4.665405799999999}, 'viewport': {'northeast': {'lat': 52.3969893302915, 'lng': 4.666810830291502}, 'southwest': {'lat': 52.3942913697085, 'lng': 4.664112869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,NZH Transport Museum,{'open_now': False},"[{'height': 282, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107146968743263848024"">NZH Vervoer Museum</a>'], 'photo_reference': 'AXQCQNQE2sLFAIv6HCx-cKgUULMM0WNtWpo57h3yc_cG5JEzXQcdSO0JFskDiJ4I5XSsGysEXUzNN0x-VdWVE1aBM4CgIDLuUlHMpNU1o8voow3VCsvuBDvzBpm4es1XMnhzmD_H20zevwbdK4uUqSQmRbpmV78nZxq8karAxdkSos9-h2s6_R1HO7jmvMsufgqBKhWzYWFfVS5yKIbjBY_cTdNoeB7xZ7UjeCxe6x4ymOCzlzbbE6KBQ5DTfqqA6XMBV0GKdjK-6kOEJem0o2j0znYWwMmWgR99JkFxaHV2uhcSFJTfTR8YGYlhXui-HEAEpCCZTjli3AQ', 'width': 500}]",ChIJOb3KvoHlxUcR4olr3LE0edA,"{'compound_code': '9MW8+75 Haarlem, Netherlands', 'global_code': '9F469MW8+75'}",4.6,ChIJOb3KvoHlxUcR4olr3LE0edA,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",279.0,"A. Hofmanweg 35, Haarlem",,
8819682517fffff,OPERATIONAL,"{'location': {'lat': 52.3910141, 'lng': 4.6531167}, 'viewport': {'northeast': {'lat': 52.3923044802915, 'lng': 4.654663630291503}, 'southwest': {'lat': 52.3896065197085, 'lng': 4.651965669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Barrel Organ Museum Haarlem,{'open_now': False},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106579477630746424930"">Nadia Buza</a>'], 'photo_reference': 'AXQCQNQ1oztpI2Pgm24EM6VupC1RoXCzdnUhCkV8GCqecRFTSocxQl2tdicZT64gOTsNspIZZVvpZC86yrP0TkvS9u-exU85ZLUprB1y_BKkh_auEbArIzOBDsYb3EM1KJ11a0C4nfixE5kAE3a535U6oQEkFjErENriFws1RnoYvkdKIfx9rG81lQ8xVR1l32qvsLJYwjLxhRGgdoA_wLUBkNfDRP9OIzG66Rz1ul55pKzVB9vIxUZwi4XuAMUgGdPlh7lfjsEUsx1CQubo2caeiU7aJhkDWatLAqji5Z3eTN44BqMkwvHVHcawTFhjNsE6V_kuKTdLnUdhy1HueP7qmXqQmQEvCPT9yFIv4BWIRcCHaf-vXk24CnXpyJE1DeVu-GxsghuD82Lm9H-_C2ZGPgGCkoI6TOLmQUZaaqUa_ymANfKtrsHq4mKjLarft5BLqlt-JbpHyeX5zpyK6fx0PD_CabKTLBVOt_fNPqyd6SX8PFs4C4GKu4mrD0fAomAHNnVQjlU4at80ZJxg8ewDefHWsq_BzEHCfqZzwkZNLujtpiVu5u3mvFJnUI1OBcTU3gQldpthOpIuMH96Ps0OywjWOcf0I6qFlQhEAtRKx31sdNBg4vT-unCC1i4l17LyTpHDkQ', 'width': 3968}]",ChIJjwIPdnzvxUcRr0xJo-uq0Wo,"{'compound_code': '9MR3+C6 Haarlem, Netherlands', 'global_code': '9F469MR3+C6'}",4.5,ChIJjwIPdnzvxUcRr0xJo-uq0Wo,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",111.0,"Küppersweg 3, Haarlem",,
8819682531fffff,OPERATIONAL,"{'location': {'lat': 52.39047799999999, 'lng': 4.6380579}, 'viewport': {'northeast': {'lat': 52.39182478029149, 'lng': 4.639426330291502}, 'southwest': {'lat': 52.38912681970849, 'lng': 4.636728369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Het Dolhuys,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108277111621512904344"">Sander Degen</a>'], 'photo_reference': 'AXQCQNS2E6r6WlYA1SCQTZVN1QWjvD8Ackjvs231fqeI_yWoQbR0r3qL2hP_NcySu99qztwpKvx5GLmKMJTFkSbvmjQCBCgr0CYXRL6W-4ooXN4MWmC9nHrw6eDwr-0GyNkDeDM0fFqrzAcNIZibApZaZ37p5OqBxplBpfr5P2-KYx6QKYzND27TYnFWnMzKG7sQWS8ifHJZ_hmEP9GecyH2zUe84bu9U6zavXF22TTA5Jw8X-WEFr7AwW0KEymamP_e2Cm1KehzSa8mJ3MPMRrMpHVj_6seHcmwn3pqkYvOC1uKRaRT6YKh9tQPTTQAUgPzPTdR-wCThC4mOalKX6s_R5qRTFoVO56T_n6SOLFp2CWuIEMFKh6jj4lXS16ULejVNM5j6UNXDyM5gQdnCMsIpvcOtoJ6UquSMBfBL9pBEcKdxjZoykd0S4e96aWXowjnh49wb_vPPPqF56fT0KB_TgvQPigVeBZrMWofIfsHBsCkD7e_JRtRwGP_0NwCRFHbl_48Knuk7rPnkGxmDhUe5QXy3ipjGE9qbZhnvjVHnG_4L6B3Fvuzmv0dKfr7W_naSI4r_vAh5zy82zQ9_XS4abKVeHtPYTse6AWyDGZt0hDthBZ036l0117w1-aXtvzugUO53w', 'width': 4160}]",ChIJxfcBs3PvxUcReOojnqq1zx4,"{'compound_code': '9JRQ+56 Haarlem, Netherlands', 'global_code': '9F469JRQ+56'}",4.0,ChIJxfcBs3PvxUcReOojnqq1zx4,GOOGLE,"['museum', 'tourist_attraction', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",1080.0,"Schotersingel 2, Haarlem",,
8819682531fffff,OPERATIONAL,"{'location': {'lat': 52.39611109999999, 'lng': 4.635833299999999}, 'viewport': {'northeast': {'lat': 52.39732563029149, 'lng': 4.637089530291502}, 'southwest': {'lat': 52.3946276697085, 'lng': 4.634391569708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Haarlemmer Kweektuin,{'open_now': False},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100298145435539932672"">MTA Held (DeManInDeHoed)</a>'], 'photo_reference': 'AXQCQNQh5fWGvEm67nq0o3tc57hw48gfYY5f4k3PY521gF4xXlil7C_5lSFEwHK5_Rxcgw_LSjm3wEaKrmst4a6T-Eib9aLaFuy57V8JIKB7ucUj3klhST-FNjju4KJgErolG6F1taal8w1Sk-FNmxJBa3UX_WCpjAh80-lxVMHmzBjobGWqcdJDMKQNjOq8BfUA747VBPotQupWrGrSKL0U_Dm_iPjWsQODYX4x47IfYHRQUJLA5kJ8GhsQZYw10EfZRWHVj2y2-S7I4VH2cDbq5GaB0_m0_nnBuhk7_4VCK-OOannCO-w3_k125t4hKlAjitqDxam9d-7-bAwjwR1ICF758-_5ECGJUV35EihDX4aUWh5OpRXF74LNhHDpTVzsA-QaZWvZLpmC6bQpOBATeYgwKky_C90tZFCBDGiNXqUVPTJYtMXmpfmabO7aZjAfEUUNTeZ_bZzJP1-PYk49OhDiD1LsBgG1hQcRTu9vHzIpvdJ9OVHfr942s9UNx02tVs24v7GFtuGCE4-RKp79A42e93w9sc764UMD_g-66_zBp0lnlNOy_7SJLtS7w0bOau5WA9Mt7y4eQNmaj2ynrLCAOyltkREyMsNYEVkjsHM8HNozZQVU2-mvxKuVbsL-JgvhSUrh', 'width': 5312}]",ChIJ8UReJHXvxUcR_j0h1eSUV74,"{'compound_code': '9JWP+C8 Haarlem, Netherlands', 'global_code': '9F469JWP+C8'}",4.5,ChIJ8UReJHXvxUcR_j0h1eSUV74,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1026.0,"Kleverlaan 9, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.3892523, 'lng': 4.637936400000001}, 'viewport': {'northeast': {'lat': 52.3905475802915, 'lng': 4.638996730291503}, 'southwest': {'lat': 52.3878496197085, 'lng': 4.636298769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,De Bolwerken,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102624168355420767687"">Jan Verhoeven</a>'], 'photo_reference': 'AXQCQNTFcPYjhS3DkdgNdNbnNDYZQNFO37xIMu5AgEzxN4VL5iAn9Nj9AYCKQ5NH29d4fcmP2Ualjndkjd8ZoPr2Own3BZKIXFZhU_J3caLWxldCybeCWNkf21G9nUY1HlPIWg9J1nnveiuTif6V6DFO7EOJEGyOH3uj7zF7ZkXkjYSvNn45BDVbCCFsKDjTkM68P1xtMn88M9DO8Y89Fzu6saVH7Yw0Bb-Seb9oLQ60LqIYdVJTdzx4bEDgCEL4rs0GIfSnDfscIHowE8V99QDT44ztrnYKnmKiYUobFAIrIfLJHUUl4ieDA8w34r_3Ghn8jaTTuw3MfsEG9tgp3tFoB1fjIrSH3rB6hiZkD1J4BrbBVKFC29Rdj1bqU4rtVWpF1n5VkCznELa_7yWSm9Av53Bosv3yPuGuudwRUnhVLIcLJi2EdvkxKeE6zU3k7hkfGvTyM7WmazCscrZ14pyl8fevKdQE7_FYL5l7rU8sDBauQGKxFF3H4CWDgLL1eONw5mc672q6zcNzb7Gn-okVWe0mZ44ZYVehQXxYliWVGr2sBnYl1FQBuUJbFTA3WfLjWURPjHzP_VduMpISRcQqOoSvNp9iicGWorwLNuE_6WsoqmhUSealn5mZ5II38AJ5KRrsLg', 'width': 1200}]",ChIJa-SPXXLvxUcR7SESkcnvoJ0,"{'compound_code': '9JQQ+P5 Haarlem, Netherlands', 'global_code': '9F469JQQ+P5'}",4.6,ChIJa-SPXXLvxUcR7SESkcnvoJ0,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",476.0,"De Bolwerken, MK, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.38636330000001, 'lng': 4.638491699999999}, 'viewport': {'northeast': {'lat': 52.3877693302915, 'lng': 4.639855130291501}, 'southwest': {'lat': 52.38507136970851, 'lng': 4.637157169708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rent a Bike Haarlem,{'open_now': False},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107039588190975746887"">Karl Smith</a>'], 'photo_reference': 'AXQCQNSxEPPYjkOt15oSsK9buSFRRpeflMrxLdP74ATRCPyxyI1RdvAvVxmVmfw39WJH9IuFsMNYzQmOr9cJNMxRxlc_t8AqFor8zSoxWLzpLVaTzf2ijhKQshkz3EXVv4OXs_AHeMlCslq5BWnxgCA1q88KWo-nAJ0jqBw7-ooIPMTIf8Wf-wVYAydN7nnkPXJ5eTiHSMxSFRBSvfrNfrdEHrovA2ZAICdmnZMr4d_EU7fiHk0Gb6q5k-c2PmvkPg0B9PZ73AcZPuylOwFoSI3xavZI4AeJaXJJKkPWHofmVm0e73SXxDVx6ybt_1NwthosdRBR7f5nuKqB4jW5H8P40vgPnw7ijLf_JPm9Ieh-bSxsuwBbDY_LLgx7Y1zEkSFz5pzxpqG68_ZgEcozbPGFocfBfAleo12Ti30iafDodaoiteQ7A2mEy4Evc_ha969qwC71Hm1BoEBilnru_p3XXqZA37uPdGbtdArKacftP86mG9T1ud9VSBqxSZsSefNm_fSjUDcjKvFMOSuRkYTA8MCeWKMgAPaMer0mmTEbeVgls6PcDkAUTp5t0y3LOerO4c7xJc0yRoTSjP0I26HnkM0ri04x4uqBjgD4NpKjhVIVir5-gg56jHYfcYI8O_b8PjgYBvag', 'width': 4000}]",ChIJFU_B4G3vxUcRc2tP0NFXk8c,"{'compound_code': '9JPQ+G9 Haarlem, Netherlands', 'global_code': '9F469JPQ+G9'}",4.4,ChIJFU_B4G3vxUcRc2tP0NFXk8c,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",404.0,"Lange Herenstraat 36, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.3822678, 'lng': 4.6353118}, 'viewport': {'northeast': {'lat': 52.38364028029149, 'lng': 4.636615580291501}, 'southwest': {'lat': 52.3809423197085, 'lng': 4.633917619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Ten Boom Museum,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106931304842470425217"">Anne Smit</a>'], 'photo_reference': 'AXQCQNQi6q2OeTdTKyCJJKn5FHwGY_LP2GojWRAsyXN_xCsKPQvTyr8fWdm8yb5X9FqNj1wYlE5oYJjA0XaL3dsxFZdzZva4JlhMrV-Ws6auia0veWO4cgf5s5CAammoKjrGqdjr73xG5qc6PCF3ofLIi_qMuTwpiOuDfF3BTEclKIdNUkLY5DB5y4t55FvYeeZpLyO0y9YaMZa-5_f5ywkjKdyEtBK2zWeI7VJph-sMe5qZQDZ_FKDShBlsJzRZRiR1AaIcky5XQr4i--lcRjQxng_Jcg5EBmAsz4nV-mEdClqWAFz2QxrsJppqTh3jdUC0zDYBIYgTw8HkwwtmHefZNWsIuj0wxhF9TBigaFvka1Lj8MUlp76-aZLbOrc-pxK-QiExerBZkVGJPA1Lj-Q18MJ-8_VJkG-2rIlEfCVNqKfR4Ep06ZW7aO0-H2weFJoadOm-yXAmPsGSyEUkW25Ks-QZyNBFXj8Hei0uHhM-HbFrpmPxwTPQ0kqdtGcSavr2_X8Xrr5cff76VeisT0piOIIsyue3QfsT9lr_IIDuXyGk6DFyYogTEEJUYoW53Ajed1wiUyjmyG2pDGwOpzyRy4J1D6vFoV3NKhtL_h4vzY62zMzOh2T1ToAOrs2Ph9FW', 'width': 4032}]",ChIJgasTf2vvxUcRGEd6pzNgEyc,"{'compound_code': '9JJP+W4 Haarlem, Netherlands', 'global_code': '9F469JJP+W4'}",4.7,ChIJgasTf2vvxUcRGEd6pzNgEyc,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",1196.0,"Barteljorisstraat 19, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.3842234, 'lng': 4.634433500000001}, 'viewport': {'northeast': {'lat': 52.3856039802915, 'lng': 4.635806680291504}, 'southwest': {'lat': 52.3829060197085, 'lng': 4.633108719708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Hof van Jan,{'open_now': False},"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113071973451151524741"">De Hof van Jan</a>'], 'photo_reference': 'AXQCQNRF2t8ohrO-EtmGCz-TnlZlQfbHAKforNjQk-Cw2Ibf8Pd6VJidGylBgmaB1ZJXKG0RLgwMI6ZmbmiLZOwCVYFwGiNuxDyO0R73YPO2zGW-HR5CCvBwEmPn_bjdMJUlQmKHvuhDkHfqZyJSYIV4P4hD6gqGtw3K3jjKkc18l68A_stROa2TXQ-AfNo3rL1Fi7QWN-JTtECgTP0JURLRP2Q4PwA8s-xuBDcwhlhlWDWtFkgQc_QhxTojMfUphB136PegRivB99JOs4LZDXTQf0goRLwrX_mE_yFtDHV5o62v_9tN6KxzQDwWKT6D6iPgg7j-jj_c_do', 'width': 1024}]",ChIJnyxd6WzvxUcRZ1weKCXF-QE,"{'compound_code': '9JMM+MQ Haarlem, Netherlands', 'global_code': '9F469JMM+MQ'}",2.7,ChIJnyxd6WzvxUcRZ1weKCXF-QE,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",3.0,"Korte Margarethastraat 16, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.38400519999999, 'lng': 4.631480600000001}, 'viewport': {'northeast': {'lat': 52.3852755802915, 'lng': 4.633077330291503}, 'southwest': {'lat': 52.3825776197085, 'lng': 4.630379369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Lutherse Hofje,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113558356270518955193"">rob bornhijm</a>'], 'photo_reference': 'AXQCQNTUNBSQvt1AnnPIWhTES_dmJcjcXzX8yaYEA9Oot5m2NJ6Yd9Op8-2lhNEObtILYMO0qdu0_iz1S1-RO8vF74xNcR8PO67PqUo18JlLwmi7QH5TZ7paFLJui-EPZm7UYAvuE-2TgnSeUie0C-Kj-I5_irBFIxfyEQiO27u3qi89Xx2J27rnNWGvHKhJiC3yUW6dQb7wzvxTJNmIXf1s_aJq-ubMgmJoptW711SsVtzvB5JNMMeyvjN14KeJ1-019iT7HPNWI-5ujD9s2c_xkDyMs0KuHj9CnehZO4iODYr08DHs6OBns6MqK9XLuhSFuCzl9N9Q_H1-jzSV-FKpo80IykJDtUyBWUfhDlFPyIXj351TZXiAa8l_fWVSelweXYzDGfWlVJ_CxTv6RnayvzE8EyfJ9jQFux8Ob6jcMnpOQ98Rku0YuevQyxDzKaBfrX8cKt6VwDxRvR4BSj46Gxt1IAYX8ojJmB4_ZQlwptq7OYvgTKHwnIeguOxS0kgV0R8B8e2xbVYfmg6rO14AEFRZSqYIt36K84p1r1W1sqaTvfoV6MEB2kIkL5-kUlVON1jjXsND345YuaqRuZsqrMdtnG4-xlwKWeo-4PYL9vll3S1WD6QQkYmQ5k3PbUv8p_HiYQ', 'width': 3024}]",ChIJEd-ESBPvxUcR6HjSkwLTX1Q,"{'compound_code': '9JMJ+JH Haarlem, Netherlands', 'global_code': '9F469JMJ+JH'}",4.3,ChIJEd-ESBPvxUcR6HjSkwLTX1Q,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",64.0,"Witte Herenstraat 22, Haarlem",,
8819682533fffff,OPERATIONAL,"{'location': {'lat': 52.3838902, 'lng': 4.642683799999999}, 'viewport': {'northeast': {'lat': 52.3851541302915, 'lng': 4.644065930291502}, 'southwest': {'lat': 52.3824561697085, 'lng': 4.641367969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Windmill De Adriaan (1779),{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107420650823974069073"">Tiberiu Morariu</a>'], 'photo_reference': 'AXQCQNR8t9nWe7PtAYLyzRLNp0Zx0yFzO1G21noJVJyhVBCtq0CvsP9gnUUpOx1xJJ9Wg8qZY27OmkiPL9SH2skyU0zXbRCKYJO4C1PUmU7YMg4bkfTC-vOseIJXIv5NgPl7Z5n_fpxg6wgfDmz0OMNkquFiVfus9qw8VOp4OhAUL4r4WET_K3jjgA2BzlItoIw20bOFvo4jPDOzBBxfPKVMk9Q4xPI1pKb3uJWsouaA3UyjmRbUjovRzRZ7zuCyZ-K4GJtZiy6TEYDZq8eKI5DeMwgo87TvcP4caIfgjgr3oxwYr1sqyq2KvmZYxuJVVRRlTDEPz_d4mPH58MtElTjZa4L6HpiessM3ShepdWpspN_Vl8UTHlxGS2wWiuB3PKPvnJjAwIZxV4pHhdwfv62D4rBzC9gkdsSA2xBA2l1ax6w8HVdbouaDqKI112x1gCivau1mYfXMrysSBFYozACmsIWSBiJHwRPY2Dp8lg5goKk2CEPiOhZrhNv96T8wrDPxDddGowEpMCtkoJrrQM9dDXk1CqdO-iZe5SBSsMoydCXC96iixNY3nqVPyM9oTbGQaDDIuq2v92gO74UaGizOptzE-xcvKNCrgdan674DZYwanpGc-X5UETeXH_35kenEOq0vkG79', 'width': 3000}]",ChIJk3t85G7vxUcRO-bpJk_pSLU,"{'compound_code': '9JMV+H3 Haarlem, Netherlands', 'global_code': '9F469JMV+H3'}",4.7,ChIJk3t85G7vxUcRO-bpJk_pSLU,GOOGLE,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",879.0,"Papentorenvest 1A, Haarlem",,
