business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.39047799999999, 'lng': 4.6380579}, 'viewport': {'northeast': {'lat': 52.39182478029149, 'lng': 4.639426330291502}, 'southwest': {'lat': 52.38912681970849, 'lng': 4.636728369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Het Dolhuys,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108277111621512904344"">Sander Degen</a>'], 'photo_reference': 'AXQCQNRSQyLOrLkZvB6ltkAMJj70Z03njW4lWZvsxzJJ1Or7cPlpGQ-uDfdY2yOfsi9MUMjVXeJo2XfVoK65ohgHdckvGZmcFfk4-qx_Q1iDejG067gZ7RoVa9TMmk3ZfZwf-QOltYy36G_pNI97WnDTADYBPuU-KyaeWstwQmgziFBvkSPGYxNtfzapeSExDsy3c_nsk0M6f1Bl2K9ikBCdlA2Gn5F0vViBswInGA61cfi6464Qgrayi3wFvgXbbu6Jm7eznWf1AoV3Jo4gnZveSENIMkJprIolmR0Y89KnUEJHufLv_7VBy7o1pQYPIABJo0yfj0L3AqgVGQSyffhNn2_7tLbppEXrUJ4Hh072FrihfW_hQ6LJ5OUUbFVULHbTGG2rxacFA2kMi2zhOo-cOURzUH6A6Aoe1T7S6aFWKQgNGS5F7RkrlSCVvZpjjGoad749cKgSbrxSIglcL6EWGG0Mxf0exNv2J1pdZe3gNFSRpAb7qc52fw0WOJMxA9Cekpt7i-puGVwkV_eXEucMOGO1L_JCzVbwPwCZT08G9kq-SFmPIVtU8gR8hbrpMUDh_4ZiSkD1FLbWWKlDMq6yBxf6ZwvkKDevw2OFS-ywLMZSGzHLVBMY8reqlW_AnZz6AhEBBA', 'width': 4160}]",ChIJxfcBs3PvxUcReOojnqq1zx4,"{'compound_code': '9JRQ+56 Haarlem, Netherlands', 'global_code': '9F469JRQ+56'}",4.0,ChIJxfcBs3PvxUcReOojnqq1zx4,GOOGLE,"['museum', 'tourist_attraction', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",1080,"Schotersingel 2, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3844594, 'lng': 4.634167300000001}, 'viewport': {'northeast': {'lat': 52.3858203802915, 'lng': 4.635491880291503}, 'southwest': {'lat': 52.3831224197085, 'lng': 4.632793919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,De Doorzetter,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112097776864807189634"">Tyler Pepper</a>'], 'photo_reference': 'AXQCQNRh5tYj8keABHGHNFC9D3451g0SD_V5SPtrNagz0XF3jEypxosf7DoaAqnN_iwf_E0VyS2wPZSaXD47X88vXifSsyUSXux9PNl0C8P4TXSAbkgRRs9v9lKRpaZ7g4POUyvQC7j8atZAUn3WAZmP0LjZAxtadye4kJWiUaR00silMNIHBfBcS3OnBcUSYNEYRJ8zhfCLT5BArIP7pQGtN7egX2KwsrEIpuf7VqO8Bs74EDJNFGhWiz8vcwVTh8B_JR69H-X3tUOWVECMQk_PcsvFQe3Wpk0pYEnvj0lgS_YWksyq6lC7VpilvGA-J0zLHTHu8Knbj85N3mK7HUGTKazey1gmZp-TEM9XPapwnyQ03P4gHxSKCi4eJncX7hPx72Z6Yz5fmmPG-wC6C8PyT3QAm-5230tEGZ01N4_fTAKiNpjFFG8xsk-e5DqiF4AoIv-lbY57WNHofFHivBh9Fo203G52Ny9U6puTBAMhI9TGlKdw93F0LvsVQjR9460g_2rnPOrjOm9nISlDlpLYMyEPSHA8El-0WybsCSPRAOWjAMvloEoUm78ybGL5JcMRUq4l_hQ8EdQWPo-1OfetN9TIusch2ERjn2zTuFI5pYGPkfjmBMh3U2WDQVFG2O-6xZMmAw', 'width': 4096}]",ChIJJa0e6GzvxUcRxVNf4uVTkGk,"{'compound_code': '9JMM+QM Haarlem, Netherlands', 'global_code': '9F469JMM+QM'}",4.3,ChIJJa0e6GzvxUcRxVNf4uVTkGk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",78,"Nassaulaan 86, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38690599999999, 'lng': 4.636517899999999}, 'viewport': {'northeast': {'lat': 52.38824913029149, 'lng': 4.637918380291502}, 'southwest': {'lat': 52.3855511697085, 'lng': 4.635220419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Coffeeshop Willie Wortel Sativa,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100397142684437736556"">Coffeeshop Willie Wortel Sativa</a>'], 'photo_reference': 'AXQCQNTXr_LPJvvAuKvFDoAfRa8kYjrtOCdSl8Mwe8mUUPGGf_NCRLt5PliGs1yKM2Tio2KeCA9CKp5craevXH3yixOEPCl8BUf5RxE5_nbEQ5yCvn78DD9GpNUteeq8wyClwxsJlRKo31hr-oxh6oICAI2w2WuJAD3B6J9lrSXbGnOv8OzeJmPq-G3cd2VMbX8tQOMswxBRR6t8xZb6RcnZ9NKa6HRPzLV3-hYyht_Jp3p7mWYkjUAaY9IiDwBI0raeyy72H7MHgNh8yeFOS7wHGWiNI2mARJ4kKDAR4lqusclIn2It8mN-mkSjaOe2WXB7UW3zvfi3HEo', 'width': 2048}]",ChIJQaNdnG3vxUcR5b6UzgtLF_s,"{'compound_code': '9JPP+QJ Haarlem, Netherlands', 'global_code': '9F469JPP+QJ'}",4.4,ChIJQaNdnG3vxUcR5b6UzgtLF_s,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",623,"Kruisweg 46, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3878053, 'lng': 4.6383977}, 'viewport': {'northeast': {'lat': 52.38899028029149, 'lng': 4.639440030291502}, 'southwest': {'lat': 52.3862923197085, 'lng': 4.636742069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': False},"[{'height': 2228, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610170158827874093"">John V.</a>'], 'photo_reference': 'AXQCQNTgoTBVRkxSuXcfET-bf6EvDPNcPYiRSvj-2PR6Lmy6O5sWXifSrAxakxj1jq3o7QE7MX2CMLbLA7OQm2gty5STxmHlBeGlCUlyzYLGOdeoOxqYgcmShoQoLt3ifxtJZvO3u95tk2HGip9s6Dn1PDJUSQyXrPXFWDwlrqnSmCIgsOavKkRH_23EaFi8rvY2VLjwdersOdMCwewmCbb_tJZSj4X8P9DftJelAa-eG0GK4Ln3VyPZQZbQu2SF5ETi7tmxGmnTOyuOWths3C8ml-fQ4XHKb_81PXyrZwKXl11bBsNL_jpt1fsllTVfs0gSdApKrP4tuHvkUI_ysAcn1USJHRk18Q6Kde2MV2mBwtsWDoCkqfls4671Jz94ZQUBJGaJjy9oN0Ju3C6PJIvo9rKJqtHRwUWwBn74Ucg26Xvgzh4IMOXxWLdslb_HVte8AXyvFAn6f-l39L61ALI3xK663RGUi82MHlDDKH9Ana0uWrpPzFi2S4bkHvHUcW9r5-TelRtFoX2XVOLH6xcgEHZL_q_MZq9z7VYWZnAdfj6kAGE5xNE7JY9ib8A7phR7dEG3lVYQO3SWtV9EHS8nkSogqfL_9N6oz4eFq8NRjY_FhI7KbJ06Pwm4IymL9Ihbodeg0FDs', 'width': 3961}]",ChIJxTY7CnLvxUcR_PRhwfww5As,"{'compound_code': '9JQQ+49 Haarlem, Netherlands', 'global_code': '9F469JQQ+49'}",4.0,ChIJxTY7CnLvxUcR_PRhwfww5As,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",529,"Stationsplein 11, Haarlem",2.0,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38433200000001, 'lng': 4.635720800000001}, 'viewport': {'northeast': {'lat': 52.3856732802915, 'lng': 4.637150430291503}, 'southwest': {'lat': 52.38297531970851, 'lng': 4.634452469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Chocolate Company Café,{'open_now': False},"[{'height': 1356, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111153373852663761642"">Chocolate Company Café</a>'], 'photo_reference': 'AXQCQNTsTR28b70c-33lL0T1pJUb2WA71BAdo_92hfrZo68t2OFIYv1C1Oz_7tMXp33xkSG0sdzvIkdPMhJLixHrb1Wq0eU-O47Zs56qF2_HAFS_z7262OTg721Noazc40ffPR4Q6DwRhPgtMHUv3thbr3rkcJyXvonrHXumyaozmErzlLf7gAjeISiE0WP4ESCHulxHiUfg0wdxAoGXIi8fBL9Go6F9OuekYs3oOaFWwQCNcJ6mZG8EiSuI8u3VHytOutoc1CKx-LpbT6j8l10hNMKz0KO9vBkw4twLF_vAkXITMUyEpm5FeC84slZDEAltwpUUqR7EnhQ', 'width': 2048}]",ChIJBxkp9mzvxUcRcXJTSYce9zY,"{'compound_code': '9JMP+P7 Haarlem, Netherlands', 'global_code': '9F469JMP+P7'}",4.3,ChIJBxkp9mzvxUcRcXJTSYce9zY,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",816,"Kruisstraat 14, Haarlem",2.0,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3830857, 'lng': 4.6354846}, 'viewport': {'northeast': {'lat': 52.3844671302915, 'lng': 4.636723880291502}, 'southwest': {'lat': 52.3817691697085, 'lng': 4.634025919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La PlaceExpress,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112169272476814707986"">Joep</a>'], 'photo_reference': 'AXQCQNQ5s31W5g_EFAQoLwZJNXmcEhYwVBVIYsKhE0lvNWZWgNdbLREdNWG-rZYjllXJu2mnqE0BBdvv_r8UDhgUQopOoW21PhKRcZTiD0fetpW2CCAygcwDpxiBExEFv3FFAAOyxa-WQTSA8GX8Fm26ma-mwxVw9jxoDDkWTfilRurlVoo5qjlbvUe-o61g9RA7uW43jWjxRMSL8lrJ0jd21a4AddCaOrE-nsJ6sqVLiXOeUiMwO-6W3S9Oj6m74s4tBdkO9uyLfFcEPt_UIWhRKNSaC6i4QBqHaEro-OFk_3XUVH9T9Dim8pY2v2XqDt4SL2HGDirgYnplUCKwlk9fzrEeEjnAC3rp9Cx5esBWLE30OaUJ3YoB36LA_IsVGdP-fl1ufkaPQwfns0k3-TjdD84b5Wq9bqNUqMqJhpOkmCO0AHg2TQGDqlc6czB3u6xZy2K-F6mwARdUT0glbvBdtfrO9Iuw2Su_KcWeh7DnGQ_p6YvAtOR_srWct5bgT7UZzM0E5kMmZdGZZuKL6Y-6dxVnnwjv2KHc9y6HFjPGQqXYG-Y_RXijdGncUayG702VSfJzbmpGc0Db8m61X7r_ZxaHyJGYRIqhSNWkdg7paoqSBJV_eahlcY2xY4lkku1gN3ZQnA', 'width': 4032}]",ChIJbT8Yvp_vxUcRC5tr00NfNFs,"{'compound_code': '9JMP+65 Haarlem, Netherlands', 'global_code': '9F469JMP+65'}",3.7,ChIJbT8Yvp_vxUcRC5tr00NfNFs,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",197,"Kruisstraat 51, Haarlem",2.0,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.390486, 'lng': 4.637926999999999}, 'viewport': {'northeast': {'lat': 52.39184128029149, 'lng': 4.639381030291503}, 'southwest': {'lat': 52.3891433197085, 'lng': 4.636683069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Museumcafé Thuys,{'open_now': False},"[{'height': 1068, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113557995228754364940"">Museumcafé Thuys</a>'], 'photo_reference': 'AXQCQNSYKR3yQpONGRaU4n9WJxLWPI4l3Uf3IHikdyiwCWq-Ydj5JA2k-LSP6odPGp1xq19YlKdH9VBZeLkzO05FdjliXFKN1CWqxDsvTT0f8zEdFg8YX6LHlzXgiBlAYUCBHJOae3lnaLkyH354Il6rEv4dg7Fgsomt9v8pCpfoy7eN3HwrSsL2Mup4uZ65kFzG0PwlbsRWx414ntHdiXsGOmAsNTNngb-vylidOYsyhIOK1G-tL-pRG0AvJNY82FK7orBCAEBdQ_ZbKtyiYeJArrTZ_3hfy-sP9SQ0IFDtX06luiY-KJ4OmRvZOvpgts1PrUxND4mKdVA', 'width': 1612}]",ChIJZbNcsnPvxUcR0jLZKqQsCKo,"{'compound_code': '9JRQ+55 Haarlem, Netherlands', 'global_code': '9F469JRQ+55'}",4.5,ChIJZbNcsnPvxUcR0jLZKqQsCKo,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",57,"Schotersingel 2, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3837941, 'lng': 4.6333685}, 'viewport': {'northeast': {'lat': 52.3851701802915, 'lng': 4.634632630291502}, 'southwest': {'lat': 52.3824722197085, 'lng': 4.631934669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Takeaway Coffeeshop,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100772243254731783665"">Tamas Voros</a>'], 'photo_reference': 'AXQCQNR0SU6Pbh5jKzbMZ_PRsmEzX6KIeRw5evms1aMeHhJPrfwCgcfvJFKnsw-d9Ugv2HUNn8wqOoLUiJzrv6PW6XpZrpCSxIdXbRUpIb0PyyFRSY-4WDZUB_7o_pz8pCIGBzTFiXR93gMQnpKkkX1iZ0myDaBvu5255ZQJD7KntFGZJT0MiIVuxS3H-9vc0wuADMUfAiILd8tiSJH2r82SZtrp4jPQ12i1cFYhS6l2YymyE1frYN1YL15pGdG-RidaelTZuJ5Y3Es2b5QmXINAhekM7tip8I36rzog5jWncGm9cRyHs46jTiWlzwu0lCTIE5S65XGHcm2U7vJZdSJtxT6elqQl7m6pE_44HFIzwASiuxB4A-MC2Vv3PTRgZakM2sw9-6Cn5NpCeElSLvzF9zS_tfXrSiIdDcprN4YZ55khjoOpJ23oz9AgSyQIEzz16EIjU9gv6dsm27aRFOUA-06Qwu4eYsUIMjxN-jOuq5WLE-w545ifIYXRv1rXK0_HdYwEOnil126fjS04o89JUlePhEbu_UdJB5F9dbp3d0gQ37ifHMb3ITT5bCPJ7lU3xBH3MOt6H67OxXynGQYYGbYWNAm5vPOhk3JJUNVnESK4s_cCtxnQhs_-a4fu93jTCOZCLvTD', 'width': 4624}]",ChIJyZtHuGzvxUcRklmCUu2Q11Y,"{'compound_code': '9JMM+G8 Haarlem, Netherlands', 'global_code': '9F469JMM+G8'}",4.2,ChIJyZtHuGzvxUcRklmCUu2Q11Y,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",233,"Nassaulaan 54, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3832181, 'lng': 4.6341843}, 'viewport': {'northeast': {'lat': 52.3845951302915, 'lng': 4.635486130291503}, 'southwest': {'lat': 52.3818971697085, 'lng': 4.632788169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Huiskamer café El en Ben,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114835760297943175229"">Huiskamer café El en Ben</a>'], 'photo_reference': 'AXQCQNRLNyRXDWsZUxR5Hyk80BdLEKfODKf1_zH1HNZ5W5C9F5fvgPZYu29TxMj9cLWwmLhy29k_Di87qrLu1-bKjqQwv8ZbaxDkmDHzT_GSUavGGB5EWATDpAM_rYa8wKjO4O4sED1cNm2E6kJ6QAkSYUATd_JTpgA-Edy8K66YqZQDfF3c7EbklwORzBf-1eKcWnWhOdaCppmfc6MciCIUjYm1elFGw0Z7Zn6cblxWKbh324e3OXqzs1B65Ojqa04GRdTJT_1dooX9cmoeRa0OYb8_C_YS5nk4Cg_hSMCZm9-lO_GNzxPGN414FSXdXeU7Y1rqu5W_QXM', 'width': 4000}]",ChIJ1bltl2zvxUcRDN6-JIMkLG8,"{'compound_code': '9JMM+7M Haarlem, Netherlands', 'global_code': '9F469JMM+7M'}",4.6,ChIJ1bltl2zvxUcRDN6-JIMkLG8,GOOGLE,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']",133,"Krocht 2, Haarlem",,8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3870094, 'lng': 4.6364784}, 'viewport': {'northeast': {'lat': 52.3883486302915, 'lng': 4.637913180291502}, 'southwest': {'lat': 52.3856506697085, 'lng': 4.635215219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Blue Zone Espresso,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102319430357394603520"">Blue Zone Espresso</a>'], 'photo_reference': 'AXQCQNTBcKa2WzTplYMkyp_prhaa9MCbqleyNp1TCgaz1RjoxT7wZDXnP-4obiNONRlX2ysz70ucE0TQk2_fgt0MA8MvnCtFcRh9P96a8vH_OgnKnVNJR6KrEE9yiFpBqMCZZ-dyk9xrq1WhtxN_xzAJ1r0zKDTOCuSiTPvaEqKX-WfC39FQtrKz6Pxihff6U2RuWj6n3CVos6ABl5fQu28dhnv3S4yUm3iAc_302yQzrfoh0c7-ye7XbTqJ1CvbR72XJY6JJ1gcc0ELHYZs_7D-NRGFLRQeQPlIk6_3IiyeOH4v3njiDS6bzoN3NB6ZF0_c8mlIb2fE0ZA', 'width': 3024}]",ChIJuwVaNwDvxUcR4puIcNJ8KZU,"{'compound_code': '9JPP+RH Haarlem, Netherlands', 'global_code': '9F469JPP+RH'}",4.8,ChIJuwVaNwDvxUcR4puIcNJ8KZU,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",138,"Kruisweg 42, Haarlem",,8819682533fffff
