business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.3816505, 'lng': 4.6361497}, 'viewport': {'northeast': {'lat': 52.3829878302915, 'lng': 4.637759330291502}, 'southwest': {'lat': 52.3802898697085, 'lng': 4.635061369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Grand Café Brinkmann,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117767047317366526083"">Henk S.</a>'], 'photo_reference': 'AXQCQNTLAO74qxqNI_ARjON3lGWWSSM6iYFL9RR_yH-w8cmrrXQZqUBlWdHdyThiS-ZaQiYeX44qqcEG697jt0CJ9aMFRUxkNrhYSXv2MzUsg8CWpwJ0daYb6OUq2IkvV3aGTATEmHJDhPZv0_ye2iN2c62AAbOebvQc_3bMW155MF-G0-PvBikIHEG76WhjDHIXkopIOTR9_P7t8phqBfWsG1-hREOnJtWPYlaYT812JH0pSfMIVafPeyio2Epc8HMRMSYZJGH-eAnKG8BDufEbgklEPlA6l1ew77y-K3ZZG_bEPUzxWKuhNP7RLNNA9v3z3JzKpVnXfr1-MDCK2iWajhGw4zU3XVuJiunRp_mg6lVsitkLZoJpdRwhzq4gZGHPudz3YJRJmNqaKc5ym9JSBccaR9WL6_wWGpaZURowdqoyRgPN6-iLrvv8NguftX6ASY7XvGnv4XyrevxwMZc3D_lovf8HA3_pkdVj1V76KzpdsHup25qnhGmQG7pNLG1PLYdi8vGAe_0L--J1ZYGUU7cAfZhRla3ejwnfrBhR3Z1s5Toing_kWrhNOlJ_RDB4w13wP-YEPfeWGPAA3NAwLKY9ZzeDRu0OWTO01D-zFbjz3dHvmXxxnwD697B5YjtBcSrkCg', 'width': 4032}]",ChIJzXqJhWvvxUcRiMB9KWd92TE,"{'compound_code': '9JJP+MF Haarlem, Netherlands', 'global_code': '9F469JJP+MF'}",2.0,4.1,ChIJzXqJhWvvxUcRiMB9KWd92TE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2643,"Grote Markt 13, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.38169490000001, 'lng': 4.635677500000001}, 'viewport': {'northeast': {'lat': 52.3829989302915, 'lng': 4.637522580291502}, 'southwest': {'lat': 52.38030096970851, 'lng': 4.634824619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Anne&Max Haarlem,{'open_now': False},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113046514572072795585"">Anne&amp;Max Haarlem</a>'], 'photo_reference': 'AXQCQNQWYp1xA0LQabmHwCd_vuEhruPd_Gax_zEp59qFi4Lj_lm4Dr6KfrMbmZYPW8iFlUf51lE2HYDdYS_Iqk8A3z3Pb6KalVWCYXgloR8npuvFF9AOCjnX6D4OYzNJW5zW-uTTVtI3WFxQfiTYclYfppUkmKHH1NxVtAy0hxxwjaTX7cLim4xENmwNeJev8gL2YYbrPhNLAJ77aFNVy1kE84WhFHzPUK5it6UjEvd1T8y6rn9F2ty_0cnz-qcaUAJQGQ6QMEPdRIwFBYCX3DtJqo-NDW41Hw50Lht-5bwNXGbaTzVo4tcXo9BgmKY9IZZaQdX-gkM3jbI', 'width': 800}]",ChIJ3VGfUGvvxUcR7vHEnnP7EkI,"{'compound_code': '9JJP+M7 Haarlem, Netherlands', 'global_code': '9F469JJP+M7'}",2.0,4.1,ChIJ3VGfUGvvxUcR7vHEnnP7EkI,GOOGLE,"['cafe', 'bar', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1106,"Grote Markt 5, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.3803511, 'lng': 4.640344799999998}, 'viewport': {'northeast': {'lat': 52.38165378029149, 'lng': 4.641725930291502}, 'southwest': {'lat': 52.37895581970849, 'lng': 4.639027969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Lunchcafé Teylers Museum,{'open_now': False},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101297906579092166103"">Marlous Van den Brink</a>'], 'photo_reference': 'AXQCQNRNAODaqzdk6dhjAu4NeCt5QFKQxxDZmqm9YrXW6u30M_ZMXRK-qUL4g6aIPLA3FlG8tQWKkmzTeyF-lKq-P2VdSVVldRso6osC6LwQnR4PEtmKHd5hLdChNZmY3XjI_QI38cjPlMi0UvsyquUfqbaYMrkvJLwPknf9eHIb9n3DrTlTVlkZGdakK23ODy3zcOwRWOYX1yxORiEL-Ls9padIanjMZgTv19GRacuhYRCDwimITn2cHHJP3MWpp-Agn3JZ4fgseG5-oHsG-AvA9lgKAFa0smp6ItMzmG7q0-KsWvhKzjZ5m2GmqJau5WMJLFkW2vTFOgEjBuwQsbEMegTMbKJrHyzWrXJkBSkH-6_o316SUmp_sH9WLiFBXactpFhfdElJ9JKyrNq8MLjRWXUzO_snWuwCGB7LQ5OHJomUZM8Z8B5dVcdGSW3mGcNEWOmAs5exME8F4fcAmL1pTwl_BVukrpAsu1-x5g9L0Nw-LsK-zhuo7DODSixfzMZCESbpFav0amiBUwFNYTWB7tz9bMQEW4qFnFHZGsdh_tfxVQZeuSUtVFaHLXUUEhgS0dNDr38x6quMBa0D84puHaefCW1eH3PvQPYft2M2ydqmxOL1V4Tdps0Muo-GdD0awKLLWQ', 'width': 9000}]",ChIJbeZoEmnvxUcRXWIrsW64Bxw,"{'compound_code': '9JJR+44 Haarlem, Netherlands', 'global_code': '9F469JJR+44'}",,4.2,ChIJbeZoEmnvxUcRXWIrsW64Bxw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",85,"Spaarne 16, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.38052589999999, 'lng': 4.6409881}, 'viewport': {'northeast': {'lat': 52.3818008302915, 'lng': 4.642375630291503}, 'southwest': {'lat': 52.3791028697085, 'lng': 4.639677669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe - Rest 't Teylertje,{'open_now': False},"[{'height': 433, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106817765451285471394"">Cafe - Rest &#39;t Teylertje</a>'], 'photo_reference': 'AXQCQNRCKa-zUOJ0Q2EY4oVSCaIqqxsREbr00rcW3fIyPDyFYh-VhcNTAbPPfJxQjEQmK5DCVFxSPw84wdP_rQk39L8eMgKIQZp0ps9ckDfdk1Z9Dzsybt9LEN77JeVRQbCxfqElNapBpfZijEKKs6tItBsdFqB7RpCw5ojlsZScK-UMBpF1I4w4D6JCVwclX3CMSt0Mg9sg8hJhcGeWQi50ocUsYv45XJ_zra1fuRL-MYIA1p8FKDu0eZQY0heKKlkNBYdJv7gSGfIstNMGyq2Bsf5IFvsPYBqdR3aj9JbaAcnylY1YMBiTjwgbCdw7lqauKM2gvHJ98Ic', 'width': 650}]",ChIJVRoSGmnvxUcRf9tEBUFMuaM,"{'compound_code': '9JJR+69 Haarlem, Netherlands', 'global_code': '9F469JJR+69'}",2.0,4.0,ChIJVRoSGmnvxUcRf9tEBUFMuaM,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",166,"Spaarne 4, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.379487, 'lng': 4.6345839}, 'viewport': {'northeast': {'lat': 52.3804997302915, 'lng': 4.635926830291503}, 'southwest': {'lat': 52.3778017697085, 'lng': 4.633228869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cultureel Café Haarlem,{'open_now': False},,ChIJozU0-WrvxUcRv4DZSbRrzTQ,"{'compound_code': '9JHM+QR Haarlem, Netherlands', 'global_code': '9F469JHM+QR'}",,5.0,ChIJozU0-WrvxUcRv4DZSbRrzTQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2,"Peuzelaarsteeg 4, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.3808778, 'lng': 4.634714}, 'viewport': {'northeast': {'lat': 52.38166118029149, 'lng': 4.6355948}, 'southwest': {'lat': 52.3789632197085, 'lng': 4.6320716}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Sustainable Concept Store NYHAVN,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114936551742889652319"">Marco Hueg</a>'], 'photo_reference': 'AXQCQNTa_RaofY59zfujfQkrUH2tDQ5AdzexMzEPhgb8UHvAzhqkzHkAgYuFM2tfzojyq4QHXUbZQrHYSTK4AkeEOXk7N7crOQPikVQD9azt3MqK0kYscMtkRl2uDOwTWIYb3XalbIFuk240W3REB6sUrx64x8kAi-tTgbafwidII9N5_G4HikahCMEa60M9ss6u50wC9r15Cf_IhcObvhB6cyBJaxd3tmTv0FUobiZIZ4aBOOAWa-8I5TYN3CthzGqQMKQDRtAeIsqYrw-U2Y8JiURnAcuv0jepBHa2McIbiASWCVyEagrvaSiK2rMaG4ehLmmWC1PLMEKQBS_ySMWvPeW75PI4mM3t_P6wRn6St4cwZ-BiRMUdHqEqyRhtCw1EG7uX86g_7A3sQ-P7w_DOyRIlGb42TxmW4RgWHepBFjQlEolNPrUZ3azjoNi7HwC5yvDUMWdmcLxSCNqZavIDBGH0sR9FezNrH_SrIJfFxHq41rB1Bq9tFYD6aluRrkih599icYynCN3IGR59ZNzjoO9d5kSESxGGb0Vs7AveYy-IXcn-nEgHjWYm-XvWEPsWihzWuO7I5Eum3nHUjKHBF6tO5RIG2GLD3_gv3NjwI1kG1F73qIj21RIpvUQorZ1E7m1LAQ', 'width': 4032}]",ChIJfUYYDGvvxUcRgQa-9ptoQMY,"{'compound_code': '9JJM+9V Haarlem, Netherlands', 'global_code': '9F469JJM+9V'}",,4.6,ChIJfUYYDGvvxUcRgQa-9ptoQMY,GOOGLE,"['cafe', 'jewelry_store', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",60,"Koningstraat 15, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.3806356, 'lng': 4.63448}, 'viewport': {'northeast': {'lat': 52.38154118029149, 'lng': 4.6352438}, 'southwest': {'lat': 52.3788432197085, 'lng': 4.6321886}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Meneer Paprika,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112169272476814707986"">Joep</a>'], 'photo_reference': 'AXQCQNR4WgfJv6tjeTAlITbLJrJ2WgeCQFPNO0FuKOlP8HVObsJB6VWCDh37Y9tMpi1mrDz6FBq4jjTzonbudY_XWdnSG3fFCuPmWHfiQRQ5XGn5WOY1EAwJQkXFKQVCPN3ZijxSqB9LPS8ibnkLKLXhuw4_ANw-9ZFd3upHdMmTTTsnOnDXzxyfCwHCDSzMVPHO_vf9k4kh1UvKVyWLMiJZJeGibMxQHV2UdHlSVYLroKiHc9tlT47YHB8qMJIkMqXDXOOBA8D-kgq4QH7TavyaVzYsR6EGhSOWeDXAUZxlVQwy-pDK_dxxHhYC81ImDwFwK6-d7EKvLEx3waOnFATKGVqT-nlm-mmABmideRKBUaGtMrWrYAebDhTNgndMJHzx0r3Hjd6NV4EJsYhuBbOCbvMVptWm7DrVW7Wan6lrix1e3VtyHYAtZwpG5mKxKXPjHZCGB9BQ9X4XyVdRt8r1KOmVBvtxwIvXhvx_Xi3TdgXwqttQIXtIwHJTTZKSH7lKJxZtnu6X9dVn85PRrtKVGnM8BNxLoJsY2A1vBwYHtKotbVf9AS_9UtGlzELspawZr9AWTnV8BVcAJEI2CiTvI_mDQz4WXMgYT4CT1bXek5Ty7pN1ih2i7k6LhUWxQ50vqTBtLl6w', 'width': 4032}]",ChIJS0jkD2vvxUcRk0hWFlnLCDw,"{'compound_code': '9JJM+7Q Haarlem, Netherlands', 'global_code': '9F469JJM+7Q'}",2.0,4.4,ChIJS0jkD2vvxUcRk0hWFlnLCDw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",781,"Koningstraat 19, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.380083, 'lng': 4.633519999999999}, 'viewport': {'northeast': {'lat': 52.3812593802915, 'lng': 4.634616380291503}, 'southwest': {'lat': 52.3785614197085, 'lng': 4.631918419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Lokaal - Dutch Beer Bar,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102885814585327093575"">Magdalena Leśniak</a>'], 'photo_reference': 'AXQCQNSW661VoPMWQjhHNZjuoBkBSPzELq7he1cFdxGuGoz4zmwE50ZOF_f_0JobEtX7PblszyzrHiOe20hlAJHDd8mtBUh5OePicqwimvMZVEXGdNMl5Df6r5ApWhQfh23RorgF3igFxIxdHErAoUhWU2nEIld5uOTeM3YyMYrWPjrtjNJ1hCZuAXFefP4ZOuw7zGRfd8nftQ9SESDoVVlcYpuoJ2UelV2vJ84fboxAsMKIuTTMTfWx5IgYfSeLVy7uWHy988EnMzbvLz1ubaICFHSVYr6WOgM9hl-XDWJxAg3-8gVk-ry-9OD-Y_wD1qb5NryX0m15ZOwusPFpWw_X4XYag8KG9iuKBjtIpUK4Qk5IGXhXLhTeN9rb1G-aA-SICG2A4knZivsxeLZ03drMhXBjbeVVALzrKdTUAWUPREe8JlV0XoSlUYT2PxZ1HMoZZYdqjqr_bcpQ7ksBwslGj1oG-OGNncPzDPrJgIXO3307hCO-tKtUVWQUeTsUYx3QTjt9ctYru32MQNpS-pY68grlAbyjIHjB2CtCJZ5sAngm1fmzwuj82DG-mmEcNTK_WzRTq8vabfY3msqTsgrV6AyvEloHwX6SSGKgkegITJ03YVN2_sWIHMQ8cwLQO8ot', 'width': 3468}]",ChIJaSsUH2vvxUcR1R9uqtlcdgI,"{'compound_code': '9JJM+2C Haarlem, Netherlands', 'global_code': '9F469JJM+2C'}",2.0,4.7,ChIJaSsUH2vvxUcR1R9uqtlcdgI,GOOGLE,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']",310,"Koningstraat 46, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.3818377, 'lng': 4.6342619}, 'viewport': {'northeast': {'lat': 52.38335473029149, 'lng': 4.635242330291502}, 'southwest': {'lat': 52.3806567697085, 'lng': 4.632544369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Vascobelo V-bar Haarlem,{'open_now': False},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102502171917157612617"">Vascobelo V-bar Haarlem</a>'], 'photo_reference': 'AXQCQNQ4HVbaCHukLRgMHFUhhYfsruStPqAwjWQiQNKArK7-MQk8AxdO0Od_MIH986aUBVaWUz1c1CZWY7C_h7LE68k4ddKv6MZEVX3FbCMjbWnTuqq0dAqvMSMqL-r5om9Mc_yjGuJXfF6JhlceEYmq6Us3iyCo94KO-JDUA8t92TO8z4S3_9f18ZxG3h0ukKlEbpsmm7s-vENa-admEirBPvhBNZ84Eo3sxjcNOhHvb4qqB8vx1Wot_8aAHPTp4GMHaDEXZ1rFAGKyZAePxZcgUyiVOCdiV8Wc3QHTJRwBxyiAL_6ZkWpwZO1lwFWkva01ObcaKeFU2H4', 'width': 6144}]",ChIJ3ZNob2vvxUcRXJd7xSNTNUQ,"{'compound_code': '9JJM+PP Haarlem, Netherlands', 'global_code': '9F469JJM+PP'}",2.0,4.3,ChIJ3ZNob2vvxUcRXJd7xSNTNUQ,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",573,"Zijlstraat 94, Haarlem",88196825e5fffff
OPERATIONAL,"{'location': {'lat': 52.38055560000001, 'lng': 4.6383333}, 'viewport': {'northeast': {'lat': 52.38179408029149, 'lng': 4.640198380291502}, 'southwest': {'lat': 52.37909611970849, 'lng': 4.637500419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Café Koops,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111319194453616822423"">Cees van der Put</a>'], 'photo_reference': 'AXQCQNQQNPZFzqQ8D7z7ix_07Kzv4j0BZkEubN1IO_MTOZ4dKh3qgx8vFdWT7G3xnzAYuLW0Nic7_k0a2bzh-V97hfvIHliqa5Dyru4T6vPcXcyBhPPlDZYMAOzevd50BjdvBmsNwigg5IQcrMROm8R78TPIoZwj8q10v4aj-dOgcZ4eTYp52hB5LZT7WBPVYN47N85cjGCmjQJA2k4Dkk2uFSni9_7Nsie--ELk4CyWtLKMMK3naHaeGVDUIMAsT4ZZYEBtCDGOMDECOZipw4PJjK07ahSo4Jbz0fH5HUUhAHAC1HliEnDMEQNSnXSSXVR_gv5DGu9IQ6-jZdkUXzp2wdA1pl5mWbtfnDY6lglwINbCnN5d37Cq95scQjArRmTyrwqmCjbzUpca9n8mQLXMa6KG32kIXJdr5k5tfESZVvmBbfxdW9_8V376Iz3PQpvy1f_jcoWPp7SSDG5l-tKaNIFVFel4oerMZmSz0yb-yQJ-PLDZvQtY7RsR2hxR274IsvFcNGIvKZXRLQntxZwyOGmYNGNKXBUi0vXaK-QAzbFi0ZRMINPOqm6wiG3o6aqRdX4z7-XGIVU3DdbmK-bH3cx9MSGBuUKquGO6yewBgpW_Il8j6t87KfiJJNs_F_P6u79VPsnU', 'width': 5504}]",ChIJkXnv2GvvxUcR8-7qgJuzXS0,"{'compound_code': '9JJQ+68 Haarlem, Netherlands', 'global_code': '9F469JJQ+68'}",2.0,4.4,ChIJkXnv2GvvxUcR8-7qgJuzXS0,GOOGLE,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']",399,"Damstraat 4, Haarlem",88196825e5fffff
