business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.3775, 'lng': 4.6313889}, 'viewport': {'northeast': {'lat': 52.37899333029149, 'lng': 4.632224080291501}, 'southwest': {'lat': 52.37629536970849, 'lng': 4.629526119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hofje Zonder Zorgen,{'open_now': False},"[{'height': 2825, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115208351239723773127"">Hofje zonder zorgen</a>'], 'photo_reference': 'AXQCQNTp4nQR1ELeJ5FxfBhFGJsMfAZxcvM4_LInmtFz81WoHHQ-iso5rbQDQRqNGqSH4O3ynOjONWTt6Wdwi5adEFb7sX6G0MCQfiW8dtXpStNZc0LaBiF8gEc2QGz6EfIHPB9-l5raZEFKk6JRRitACchZ1Ydge2-9hOjDGfgK-HXAAhhHme1Q1nCqfSQagTjoaSzksgyww4Nvl2I-qLpHVQDqH4-CvNm67CcdntFaoCgxJ5ztSwVySmfi0fJUED8Q4dPKygKMCrU6LiNdvMVvuqXWGQfk3vR7OUiDs3mCvMa8wh_8O69KyTi4CRvwjkyeciIFxU5mHbs', 'width': 4000}]",ChIJx4rbqmrvxUcRusS_zHDmZ6M,"{'compound_code': '9JGJ+XH Haarlem, Netherlands', 'global_code': '9F469JGJ+XH'}",2.0,4.2,ChIJx4rbqmrvxUcRusS_zHDmZ6M,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",765.0,"Grote Houtstraat 142A, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3745808, 'lng': 4.6314932}, 'viewport': {'northeast': {'lat': 52.3757077802915, 'lng': 4.632574880291502}, 'southwest': {'lat': 52.3730098197085, 'lng': 4.629876919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bar & Kitchen Zocher,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114308161669345128002"">Bar &amp; Kitchen Zocher</a>'], 'photo_reference': 'AXQCQNTRfyijUF3dt6CfzyIaI_XBY83Tx6F2BfbGRGSlXe6ezWIgmwTxfStbRLZ6FJBQS3dCSudg-tLmmeIF3gd-TUGBgwYKz7UZfly6g6wqXjlvODPjOEHjT0FAmD4IWWzUhkSAnXIp0F-n8v2c8PU335uzOpcCW8pqlu7vNh4NnZBm8xI0VTNvaT2BOEqzTGLszgw-hxThQ_wBM5XMdu0oKe1vBRy86P2Z6MKR6OwO4MOskgHR1eE51_7TrWkzgJSru8lp8EbL2-P17Zygi2nmSx2aDZioNU6hBVzdBlQATf5luZUc_rnC3BwgdfdV1zkZEt6Ux9Lvw5Y', 'width': 5616}]",ChIJE0Kbh0DvxUcRXm4_D7TH9xQ,"{'compound_code': '9JFJ+RH Haarlem, Netherlands', 'global_code': '9F469JFJ+RH'}",2.0,4.2,ChIJE0Kbh0DvxUcRXm4_D7TH9xQ,GOOGLE,"['restaurant', 'bar', 'cafe', 'food', 'point_of_interest', 'establishment']",232.0,"Baan 7a, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3747455, 'lng': 4.6296397}, 'viewport': {'northeast': {'lat': 52.3760685302915, 'lng': 4.630967730291502}, 'southwest': {'lat': 52.37337056970851, 'lng': 4.628269769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,PIP Deli,{'open_now': False},"[{'height': 5315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115446846838812372270"">PIP Deli</a>'], 'photo_reference': 'AXQCQNQ3KFAkiwv1JH3Cl0IPMWhqAbVa_yfgxrOHcXD7KP3TJci6uDo5ch0u0vh0yzuhSfKaMyTYJb6Qy-f1LWQaDAn4cHdJJNuJ95PuSyHwR3YzMf8xDJudwui_-m-34c0ONbe93XYBJ5wx68ONY1e-YfTswPAzX9hN1Dp1HmrCM7otr72BiB5kGlHdl9dcddRA1-8G7L6Y9T1fiTa8-nDNOtWyUp7TORUKtRSJdtnAYVUUjVx8sFNJEFxf0Dei6Tdg1Q6Vfun_aujuZE1VZu6L3UEGoyjWxku_FSdGIxr1ZbgUk9EAktcrx2OGknN6OOf-RMtuJv5nDos', 'width': 3543}]",ChIJTxjri6bvxUcRQCSxMViyX4M,"{'compound_code': '9JFH+VV Haarlem, Netherlands', 'global_code': '9F469JFH+VV'}",,4.8,ChIJTxjri6bvxUcRQCSxMViyX4M,GOOGLE,"['restaurant', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",238.0,"Lorentzplein 2A, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3755021, 'lng': 4.6297352}, 'viewport': {'northeast': {'lat': 52.3767949302915, 'lng': 4.631057780291503}, 'southwest': {'lat': 52.3740969697085, 'lng': 4.628359819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Toysen Cafe,,,ChIJx0ww8eHvxUcRGyRJZzOaYhY,"{'compound_code': '9JGH+6V Haarlem, Netherlands', 'global_code': '9F469JGH+6V'}",,,ChIJx0ww8eHvxUcRGyRJZzOaYhY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Tempeliersstraat 67, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3735282, 'lng': 4.636474199999999}, 'viewport': {'northeast': {'lat': 52.37485403029149, 'lng': 4.637877130291502}, 'southwest': {'lat': 52.3721560697085, 'lng': 4.635179169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Koffiehuis-Café Murat,{'open_now': False},,ChIJ5ziDaEHvxUcRKdVN9CE58Aw,"{'compound_code': '9JFP+CH Haarlem, Netherlands', 'global_code': '9F469JFP+CH'}",,4.3,ChIJ5ziDaEHvxUcRKdVN9CE58Aw,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"Voorhelmstraat 36zw, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3762655, 'lng': 4.632205700000001}, 'viewport': {'northeast': {'lat': 52.37756598029151, 'lng': 4.633570180291503}, 'southwest': {'lat': 52.37486801970851, 'lng': 4.630872219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe de Huifkar,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116899763229144707389"">Cafe de Huifkar</a>'], 'photo_reference': 'AXQCQNRlXf1H0-DP1AlIeCX1xS-pHytP_cod_LcMG0fNfXBO-AKe3sdrkobICUgqu2G_G7Gkon6ezMBpxLTj4pKh_bVr7it4ktE-WWsAdvOuVdRk6FOz3xL1pLSjsHtZxghVvv18OCFeSZT1qV840ajYUxPJOlD2bcH_rXZi9IBY2O5kYBKBOHjDQ86XvAIf9naQRVWE1i-0Wj7fcQpUknA_PoW1oICiEVF8wx9rsxp3iip6bBKvcWNCdv8aJMb9M8JT93AGjXRjkiNCRzyBa7fJ08j6Yi7Z7zSS1cQc5oUGV3DVnVmFK1XlX9snnBIXuTqUfEN0uEwahKU', 'width': 3024}]",ChIJtUXbE0DvxUcR2O4m9kZQpMs,"{'compound_code': '9JGJ+GV Haarlem, Netherlands', 'global_code': '9F469JGJ+GV'}",2.0,4.4,ChIJtUXbE0DvxUcR2O4m9kZQpMs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",71.0,"Gasthuisvest 15a, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3737052, 'lng': 4.6369463}, 'viewport': {'northeast': {'lat': 52.3751894802915, 'lng': 4.638100280291503}, 'southwest': {'lat': 52.3724915197085, 'lng': 4.635402319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,kohi koffiebar,{'open_now': False},"[{'height': 3780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108266614423727062848"">kohi koffiebar</a>'], 'photo_reference': 'AXQCQNT7x4BKOGst0oAuDtdJygXCrB2fzlC3mMKOovBd6DNr58bgCyiPzbgnqEQU74xtsOAdnmQKbXBeJW8cR_cu-NZvGtvmhPhhF-9ASVQ3S80-Gvhu08EadN0b4KeAeda-WxDyfFwG2ygdlBhYyOB50wxHdsM9vHe15wD2CMYs_Wj-96fgFKSs3bKM6JbRikPxDnHNaeNXmOAECnXfh30bfm97P-cAORR84Kd3_jBs25t_t247LOBLCvjtOu9FGhuohEt-m1AZidUmmybl5z5leCdC5WRGXV-f1UNXB_J-8RUeMxoChURJp6uWkzfukeMEjHdrPsyc2_g', 'width': 6720}]",ChIJ09G-Dv7vxUcRSXrwF35wXHo,"{'compound_code': '9JFP+FQ Haarlem, Netherlands', 'global_code': '9F469JFP+FQ'}",,5.0,ChIJ09G-Dv7vxUcRSXrwF35wXHo,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",66.0,"Voorhelmstraat 25, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37619249999999, 'lng': 4.635113199999999}, 'viewport': {'northeast': {'lat': 52.37749508029149, 'lng': 4.636463630291503}, 'southwest': {'lat': 52.3747971197085, 'lng': 4.633765669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blend,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101784824861165287938"">Blend Haarlem</a>'], 'photo_reference': 'AXQCQNSxQEXIOQdcUDg3zaQlgiUSbTiTd_Klg63joM4Yoz-BWLCXBxnJIqWIGtPvnrdrZG4jVkjmZARS-uW8dUX9Ju9_-bMtoU11YT5_88s1tyAqmMatyjailV6ybjq4w2TRoRS6K0jTf1qbo8DJtzTsmm-py4ZKRO7qWjJVF5jY8dh-aPY9KDOn2FUHE-L-ozkhQWInftbhkDIGD1EwfVB_Z0OlfIKUb0Vu5SROs35w4P0RcrIOzvSzP-MfPicJXkFw1CSbgzT6szyTK4EJUGtlza3JaJfUIvoqctH_fk1u9R8KY-xJR8W-My7Ce81A1tFKLlyo2g001JE', 'width': 1425}]",ChIJf68wz0HvxUcRm_MOoNg6xOo,"{'compound_code': '9JGP+F2 Haarlem, Netherlands', 'global_code': '9F469JGP+F2'}",2.0,4.3,ChIJf68wz0HvxUcRm_MOoNg6xOo,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",498.0,"Kleine Houtstraat 138, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3769034, 'lng': 4.6315522}, 'viewport': {'northeast': {'lat': 52.37791903029149, 'lng': 4.632657580291501}, 'southwest': {'lat': 52.37522106970849, 'lng': 4.629959619708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Barista Cafe,{'open_now': False},"[{'height': 3650, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114899265738100579689"">Barista Café Haarlem</a>'], 'photo_reference': 'AXQCQNTNOloSmvQ9GFKbA4Po8ANdAI5Vp2ppg3-h55KhS-8WcIFv7oC5CQI4x0X3blBWZ056g6UqGt1In08qG55QMl9nqcBK3M7UPDUaH1U5RPM5dkSMg3r_Nj54KR-xd-k08d_VpV_oQ8561PVLeDiasw5G9cho-FmxD7gkqhxFAzxCkfyYEgz2ZUTaafpnau8J0N2FSYJ-eWF-17CHDYUO8kKxGu9oVj72pg14oqSgLHgOR24pRxFExhAouCxsBJrkdAZihWKe82giZmCPDHkWUEcWFH_xnKrbXKtNZTZ1aDa5daC5hI1LLlj0sjHXxkH2Rzxd4b5aqlQ', 'width': 5475}]",ChIJ6-W4BkDvxUcRznO_ikN9jHM,"{'compound_code': '9JGJ+QJ Haarlem, Netherlands', 'global_code': '9F469JGJ+QJ'}",2.0,4.4,ChIJ6-W4BkDvxUcRznO_ikN9jHM,GOOGLE,"['bakery', 'bar', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",854.0,"Grote Houtstraat 165, Haarlem",8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3768985, 'lng': 4.6337883}, 'viewport': {'northeast': {'lat': 52.3782616802915, 'lng': 4.635169080291502}, 'southwest': {'lat': 52.3755637197085, 'lng': 4.632471119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cleeff Frans Hals,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107900908456005525009"">Christopher Dere</a>'], 'photo_reference': 'AXQCQNSYMjjrluH52iTdhnKgXrI7rmQ6FlS7RY4o0EAbGmuEzzckPadzVeFEFkCDhhOq2vwuhehUdJiVgdjWBb-Uhsa0BlrsvKfvwQu-vs9KdqczaFZMB2uC9qUP5iYB6WDwCKcvtSjf5rYo_HwMD4-itOYqaSXoW8FTTVm6GOWSB_ZlWkZYLph_GtXsKA1Q0tbtGLQhAb9fapjHlsIGnrFO8tcleLtYOJ1QQ6hbK1ZPxKy7FE6Y2DBzmeg0z_OgwKCuGdc-a7k-Kp7x7ykLmLZJ0LPuUuQEumdXRYCGtPl2Tc7Sw5L5Ff55SaKL7iJat_zMgLmUmufe0-htkoy6H1TPHPIaCgHTO2wJsMXV6Kvy2SAEWLtYOE1exL56KKn388InxSLUPBOnKDwVlbwk2xQhR77kvi0X1BXob-nwaDVeF4PzVcvxKeheYpmRW0IuxWdZXkzQdzIJl9ZXNQspkTDLpvEyYWcKBVtPzEumpLOlBAl8ATb0epZSxXIgbA0ecHuVN5Xot9BuDMxnieSPZAlnfgxWNa1ebC6sFOEWpZ4REzVXyiiOGHBnTrpThPizOtzaRphLfMHPYkJMn5PU8UPUqoLzZadV6bxv3xh6kHQyFwxRt9Zw9uZ1lNY0Emjjw8OlceXZE8aJ', 'width': 4032}]",ChIJebKJ8abvxUcRfUpN7FqOvjA,"{'compound_code': '9JGM+QG Haarlem, Netherlands', 'global_code': '9F469JGM+QG'}",,4.5,ChIJebKJ8abvxUcRfUpN7FqOvjA,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",56.0,"Groot Heiligland 62, Haarlem",8819682edbfffff
