business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.40895640000001, 'lng': 4.650844000000001}, 'viewport': {'northeast': {'lat': 52.4103340802915, 'lng': 4.652067080291503}, 'southwest': {'lat': 52.4076361197085, 'lng': 4.649369119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wok Inn - Haarlem,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103583106412771225001"">Ron van Bruchem</a>'], 'photo_reference': 'AXQCQNQzrWYG6fznrnkyNiEhx3v8_YgrOhH4Y0ufaeEePUda8vCECvmKkB0FxsVMoJWq1Vg_aauHj8ayM2YyoIMrq4eVqdGYEwsYihGgqQ5n3ClGyKw-ERuGT3HiSltFtBTYH2gGJ7xkKQiwmsKeJggJyd58mtNxgP9a0gklpstQxK7kI3yaFJIukhD7AcC0TRaOLzrIdc9Hgxv-4pzcxsrMeJayIxGM70Znwy16qQrAjhDfyB6AxP0FXDeToeqFQN4BUijIneRr0ZGmplDlL2mGJmLz8PgM5NIOsbSpzxecQ9CxGRLi0et5hlMBbwDgQtAYZS5pTrAAvUrdbEs8U3mjLVfzfN25DS3TrYha3LyB-Ed9wQOV-4FtRw_Ts8VVPW8IZ5_PlQAKzDv3uZ9wolmdlkVjZedEw4G0AjZjqNEkZVHnwXVBckKYbcNITO70E48x7bgSNEH9g9tzyN5pUJvZmw9CujYqq_UTzIhlyakSgXVsxK9rgPAUwQzPlPyeClhhkBQsZT_ig0UvBH7u4_i5lOBg1r5RxN8kpjCrwV4hqieMphA0Bh2HHnIYnTq41-N_mOOyjO3IG4Pd9UUGFQ-TN8KHG3d6oDa6vis8vfwn9UFV-V6nYlRJ2BEIglgT7sHVTZzQBw', 'width': 4608}]",ChIJKSfw8I_vxUcRXQCWUnA6IWo,"{'compound_code': 'CM52+H8 Haarlem, Netherlands', 'global_code': '9F46CM52+H8'}",3.4,ChIJKSfw8I_vxUcRXQCWUnA6IWo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",164.0,"Rijksstraatweg 250 -a, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.41311779999999, 'lng': 4.651122099999998}, 'viewport': {'northeast': {'lat': 52.4144310802915, 'lng': 4.652522680291502}, 'southwest': {'lat': 52.4117331197085, 'lng': 4.649824719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,New York Pizza,{'open_now': True},"[{'height': 1344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105935719259381074994"">New York Pizza</a>'], 'photo_reference': 'AXQCQNQgyD51Zf4xLaoZtQoN2LHFoP9jsztrahjKlpq1VzxS5oARZPjWlb0FJJRij6rTz6_uDaKfomrl20fxIM4zGoIO-gGvGkWxwOfp082JGxpgm1_bbGI1WduV7zxq_pPi5BR4oKYwgIF73_jClw-0UNVxHQ9B_6nj9UnwRYT-zLa9ukqZvRlUa3OWVMA54qFGqjVEFECvhBUH5mm__kl_ygXsEnacNqWzS_cl5lTlKWcFiS59ghpzSpbqBiXJhKmiwXXWARdt9NBIbYFn8-KtX_XX_QxpSPEWJbigOVwdIT2LiU2IVg5uexJrrbx2bDKm_-oUK7qL', 'width': 1792}]",ChIJtx_h2o_vxUcR8wJQnKB_p10,"{'compound_code': 'CM72+6C Haarlem, Netherlands', 'global_code': '9F46CM72+6C'}",3.5,ChIJtx_h2o_vxUcR8wJQnKB_p10,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",187.0,"Rijksstraatweg 350, Haarlem",2.0,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4141122, 'lng': 4.649964300000001}, 'viewport': {'northeast': {'lat': 52.4154869802915, 'lng': 4.651483330291502}, 'southwest': {'lat': 52.4127890197085, 'lng': 4.648785369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sense of Asia,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117453439072900527207"">Sense of Asia</a>'], 'photo_reference': 'AXQCQNT-LyQ3dy1-Ix3wRFzoAbW8V9tSlmuJP-ZMbo_ncm0QYZBcjanpQyFmjjCTAuB0SePsFjxzqpM6gF9DpjM42NEkoWi6LGrQKh0XgaOyr2EMzCLinZzjNvfQf3_hmNppXJBENEbsSKJSzOXiityEcgzplcclSQRZGwdnHeS0T16idwg4Oh9jEdwfExeB5HMttat15xdZXaZgzgsJrO37y_mSy4k_j5iKnYAM6uoXLdccO05CZt0WRuRRFDGnezUPS--mxyb-ynPiuaVyMf7-btfsMS0IzOiBw-aKXAthn5FhmYktIJgtG0rSL0EY8rMEoXpWOdFdiH8', 'width': 4128}]",ChIJjxYbA5LvxUcR8o60ZWy2VS0,"{'compound_code': 'CJ7X+JX Haarlem, Netherlands', 'global_code': '9F46CJ7X+JX'}",4.5,ChIJjxYbA5LvxUcR8o60ZWy2VS0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",141.0,"Rijksstraatweg 433, Haarlem",2.0,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4134384, 'lng': 4.6508842}, 'viewport': {'northeast': {'lat': 52.41475953029151, 'lng': 4.652100530291502}, 'southwest': {'lat': 52.41206156970851, 'lng': 4.649402569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Merdane,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100014950210528798790"">Sedat Erhotamis</a>'], 'photo_reference': 'AXQCQNQYxbkq-xOEKfJFc_TUwboMwpiITmmIS8MWzDjCG0Wo9DquU4I0IelzfwTe63JkSyB83LFDWpjylninnaiVix6xfV0EDPHxxwciNk6kGpdVODr2j0R1o73NtNjdj_YHqcfG6rof0FZIcssaRnRDJPH94Bg-N2VDU-s2tqNSNQJeo_kb9VoER_5zuL8U0vJyr32jfwdOJsvCbMC2CvXwJ58kvNBnjhYjNqKpVV6HY1RPoRCpCOVjPT5k6ZXYAVXhYun9OQtKSu-6pjboL6iE0tifSUPUxxdn0ABD6gEtqgaAXcM6I0S56CfQZNOnlLhUbwYxXWOiYhE7Bviz46A982tMvjuYPnxTQasOtYciI_pyRsqTsgyBfABTFSSACFvF6jSbfQ6Lb4YqelvK2fbzFrtjd27EOhj77bFwyVmIgR9cdWoTs9mS43hZALoltAXCrg7T5Xh7ghEm5vq3JZoLPQgiipTOBtLliwe63VXg191xCG0GkSCIRUNCke3sI5dT6dlwJu08iZ1WtJ1jVePoPKon2JyQFWxxM9snie_V7xiEzCRiBfRJB0HewstM335IGCAM7umLGtBD9RsvXhZWys2NzcN5BVuPIS_C6_x-E2gNRzprj9CHfdkyNMXGl--sdUvQGVlZ', 'width': 3024}]",ChIJKcCrA47vxUcRGlAH5NkQCcg,"{'compound_code': 'CM72+99 Haarlem, Netherlands', 'global_code': '9F46CM72+99'}",4.6,ChIJKcCrA47vxUcRGlAH5NkQCcg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",216.0,"Rijksstraatweg 360, Haarlem",2.0,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.41287519999999, 'lng': 4.651378599999999}, 'viewport': {'northeast': {'lat': 52.41427488029149, 'lng': 4.652732680291502}, 'southwest': {'lat': 52.4115769197085, 'lng': 4.650034719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Gyros Company,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102667874318458264371"">The Gyros Company</a>'], 'photo_reference': 'AXQCQNT2nR9s_RnfwTCdhsMNyThlqnGwjJK9yEwU_Yh1vKTC-tsYPZ5mSPOsEaC3KjJB0Ks7RzpvEJ-htAFyoRJi73Qfj-34A1VOcp9SCbEVkg0bsR4QknQ1lXdTjJmNB_GAR2OuOGYAdkVGqB6q_YRBZAdn-Wrh3MhSQhx0jKdMJXoolFhedD9Sabt5LuHZnePiCWtQ5NCzZ16VhzEo5QB1EQfqjS1dLMySg6FufyKookeGX8CzDmsdp6fNqLW6JRGXPxW8NUCc98A2rydxWhODwnvqC-uImdhMja3YzahbcS_yErFFuFuL403fvAKzK66SgERE_6drFvg', 'width': 3840}]",ChIJf0Jf7L7vxUcREu7Aegu2Ci4,"{'compound_code': 'CM72+5H Haarlem, Netherlands', 'global_code': '9F46CM72+5H'}",4.0,ChIJf0Jf7L7vxUcREu7Aegu2Ci4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",217.0,"Leeuwerikstraat 6, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4104003, 'lng': 4.650846500000001}, 'viewport': {'northeast': {'lat': 52.4116723302915, 'lng': 4.652186730291501}, 'southwest': {'lat': 52.4089743697085, 'lng': 4.649488769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi Chef Noord,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101163666766353387522"">Sushi Chef Noord</a>'], 'photo_reference': 'AXQCQNStTdVOhQcYVt6rD4mnVRMhTNvRe8_dyLekdy014fJCFDuwlz69A9xD6JSfQugdOuMcm4l6gpU2iHq_T20RNTj6wfvosUWQBnsmh6XHR5CW5oAhrzKtUB8W7F9hUOCNrzokhOxFmPTI005kzz7iRsShmwf6bg13SlZ4AppSjyu4oO1-3U7isjMr0melZK2Fk5akgYlyy9wivjadVbDbc01Ha7M9fvMm1eu3bBzJ64fcb86KNkNbQFrr0w-2810DuCm7ZZbidvBFPsaruiRMS1W6m1e2Is7HmssxcdB3WppT7gRx5RutqymgPcxWLkw7FE9iOG2GPtU', 'width': 3264}]",ChIJ6fJfIH3vxUcR3dIGu0iRxiY,"{'compound_code': 'CM62+58 Haarlem, Netherlands', 'global_code': '9F46CM62+58'}",4.1,ChIJ6fJfIH3vxUcR3dIGu0iRxiY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",42.0,"Jan Gijzenkade 179, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4096679, 'lng': 4.650129000000001}, 'viewport': {'northeast': {'lat': 52.41100138029149, 'lng': 4.651460080291502}, 'southwest': {'lat': 52.4083034197085, 'lng': 4.648762119708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Döner Plaza,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102463009006751468165"">Döner Plaza</a>'], 'photo_reference': 'AXQCQNQTANyXmjsrNp3J8XsEBgeCoIOES07nLXOQ9DWZj4teyL3FeN_xrSN6-693hhNxuagIwwhkw2qcSlwn19zDIACdquOFWjocz0hV5pu-EdKvm4U6Ie9hqB1qgdDpv7oGA0eWPgrxqK9aG30XZNahwIVOiTzE7xN4JKt5XoyxIHbOgEt8fdpzckRlzagX9BofVCauy9nhZvJ3Oy5WCMzy8d-TPThBDYOJKLmCnaGHAUDffJISXd8DeDndiHFWeguaudzwBKZnelGZlB4-IP1ucz6yJfJPQ7ok-7XVwGuPJdMb8WklYJYEkpjUKyOqb84z50iVIJ8WBFs', 'width': 4032}]",ChIJmzKvBZDvxUcRe9rRflIUoOw,"{'compound_code': 'CM52+V3 Haarlem, Netherlands', 'global_code': '9F46CM52+V3'}",4.5,ChIJmzKvBZDvxUcRe9rRflIUoOw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"Planetenlaan 17 A, Haarlem",1.0,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.40853239999999, 'lng': 4.6436407}, 'viewport': {'northeast': {'lat': 52.4098276802915, 'lng': 4.644880280291503}, 'southwest': {'lat': 52.4071297197085, 'lng': 4.642182319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hfc Edo,,,ChIJB2GkBprvxUcRIO0x90qkryg,"{'compound_code': 'CJ5V+CF Haarlem, Netherlands', 'global_code': '9F46CJ5V+CF'}",,ChIJB2GkBprvxUcRIO0x90qkryg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"De Melkerij, Meester Jan Gerritszlaan, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4164748, 'lng': 4.648095100000001}, 'viewport': {'northeast': {'lat': 52.41772348029151, 'lng': 4.649222280291502}, 'southwest': {'lat': 52.41502551970851, 'lng': 4.646524319708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Indonesische Afhaalcentrum Terang Boelan 2 (Marsmanplein),{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105682523778308827672"">Indonesische Afhaalcentrum Terang Boelan 2 (Marsmanplein)</a>'], 'photo_reference': 'AXQCQNTh-mMTiE_bD_PEK3I7V9BhadmwRrO3fr2Ym2rj0isyqvLNs6YJRizJillUBdb8Dj-v7sRdm7hEVVhlywnnvNDdOfl8bR-aUk1uuw9Ma628IqjAvVGpnWq3_NKYwJCIBuV_XKAilFh0dnouy8kZ0S8OQZYQlUHm_gk9cwaeVN1r5GNyxqzZNxz7D1Fqb5LAZonPqqc85KM8A1bZnpJwpm5K2ZYhomek5qpc5NCgoEi_luBhJ4r9DBzz2s3XcUgc8wztaU8uTXxfIC_dWjnxkoY6tfmgsuimTp3_8RE8CSm6kyvJ2vw-MC7_WTztNa0u2BwqPGqQngY', 'width': 4032}]",ChIJ194DU5LvxUcRem51XquA-Cc,"{'compound_code': 'CJ8X+H6 Haarlem, Netherlands', 'global_code': '9F46CJ8X+H6'}",4.5,ChIJ194DU5LvxUcRem51XquA-Cc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",84.0,"Generaal Spoorlaan 138, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4166488, 'lng': 4.6474226}, 'viewport': {'northeast': {'lat': 52.4179488802915, 'lng': 4.648771630291503}, 'southwest': {'lat': 52.41525091970851, 'lng': 4.646073669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick & Cheez Haarlem,{'open_now': True},,ChIJebA3MQDvxUcR7H-wlZr-C_w,"{'compound_code': 'CJ8W+MX Haarlem, Netherlands', 'global_code': '9F46CJ8W+MX'}",1.0,ChIJebA3MQDvxUcR7H-wlZr-C_w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Marsmanplein 88, Haarlem",,8819682501fffff
