business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,hex_id
CLOSED_TEMPORARILY,"{'location': {'lat': 52.40533780000001, 'lng': 4.6495839}, 'viewport': {'northeast': {'lat': 52.4066988302915, 'lng': 4.651010780291502}, 'southwest': {'lat': 52.4040008697085, 'lng': 4.648312819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,SushiRito,True,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100636626354104915817"">SD</a>'], 'photo_reference': 'AXQCQNTQf5vBIymNOZFMeYRkpFVsaFlGYLMcazn63ypMv2xy2pVtbXBXacMV9h1LnNsOBIfHbhL399E5mmyTPTtCIUb3xCvKvFmrcCw3LM9ITO91LPUxJYV8ZuDMJfYQ0_nJLjVQwaH4ioMCD3M5cdnzbE5ksbFsUwxgJPbhiBdjX5BBpbDYUs_LZIG3rgR0G5Ylco9AHbFgaYL6rkFy8e8hGIY8hLGvmOZPUbLpp29MoAQ4B5AcXG82p7sYXX3shpjlu6fsr4wYyOelSqtloo_vRh1WqqgibNc4qiOLlLNrDfKwchIkePzdRPQHy-jBeLlVzPo6GRbSWr76lDzD0Mc1TXLA7D5-lRbH259upLc8fPXil_36tp8wzoLmzrTegX3Y64esND5x6CfYyKiDZgqDkG22xN2lJ5_iRYiYXn1QeGpoFKOww3Pi-ktVU8jp-f-_KUtgGbSK71ha3UtjcFanZhg_U6oy6nVD2CxNZdC0ZV6_MQCtY-NiX1aLVpsjkoyIuO1JQCv0GrDClp2h8U6dcEOyENw5yZCAQsZHdUWwMlqbEBE5klSjlgQtYk_0IhNuS6hngnKrqDxfnKr6Jq7t_wkBNlxWhivnv-xt1jH2SacTiE-bYeMd4MT-CMnEC2IPGhE7vQ', 'width': 4608}]",ChIJZ8Id0oTvxUcRbUrBntrpsmM,"{'compound_code': 'CJ4X+4R Haarlem, Netherlands', 'global_code': '9F46CJ4X+4R'}",4.7,ChIJZ8Id0oTvxUcRbUrBntrpsmM,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",40,"Preangerstraat 8, Haarlem",,,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.40420559999999, 'lng': 4.6482458}, 'viewport': {'northeast': {'lat': 52.40557383029149, 'lng': 4.649503230291502}, 'southwest': {'lat': 52.4028758697085, 'lng': 4.646805269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Snackbar Jansen Hendriks,,"[{'height': 541, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113570521676866110016"">Snackbar Jansen Hendriks</a>'], 'photo_reference': 'AXQCQNT7jQbFzFJAC3_qX1veLHiCqOIpkLEmFqxGHjqMK2WJpe5bcFxwPcKf8OBNx49qgBE4-5QBvrtDrGjtuAC4O0YyuY32yiFbWcgaFROD5mZQ2HG7xfQAGLgBDfIC829hkmB5jCiJHd_N2DZ3tgHqeWiTUUNYXjBuR2AB7oGcn0G55h2P8w0I6vKQyJ1ox9Z_hOThnWmWqdqOJB_D6zTp2CVGeixJ_cHTUp6aQZsFjGczXDVnz1PA64Y2vxpyDatRdRpbCGl5dwTNKzS2v8CnBOph2IjrTyvBOxZYS3gHttPFU0WkX2fMLe8IQCGvbCeTENlh5-MKk5s', 'width': 960}]",ChIJjXC4RZvvxUcRlac0FFd_gj0,"{'compound_code': 'CJ3X+M7 Haarlem, Netherlands', 'global_code': '9F46CJ3X+M7'}",4.3,ChIJjXC4RZvvxUcRlac0FFd_gj0,GOOGLE,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",159,"Rijksstraatweg 108-B, Haarlem",{'open_now': False},,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4027326, 'lng': 4.646760599999999}, 'viewport': {'northeast': {'lat': 52.4041164302915, 'lng': 4.648023330291502}, 'southwest': {'lat': 52.4014184697085, 'lng': 4.645325369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,India Roti Room,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113997940297121309962"">Roeland Veer</a>'], 'photo_reference': 'AXQCQNQRwrXlBkDI3HG7LohQGt3BrBjyLbWGWbFUcgnWdFVZYqJiXVoK4bKDpGg4LLDauJ7YCwx5keCQVC4y0pKiAbk-8GEw2WXAMAE1ceRvaSzDQEHITMv8KdyxmgNfApijXEk7iMy-pbzW-3L3cXRPw4umaLystvRLCN2De2fNPPMhtsN9xK-ZPNbULZuKLLKNfrq7hzFguAGkS0NiEkhvrWWEm2tK6N2kjAoe2oCgO9p7aOvvGDoFfD1n-MSEFq5X_NshXtDJVYTRmwQlJAJt-KrebMdl2BW3VPdDCSB9OFluW6Viu8-udmel7QWZuZVoxbc6hcp_36_XafnS6uTuaqk_YfX2B-ABxW1ECzyC1tkmNjl8D-nstxRf-EnZxnBP7f15p5S-apvtpPBvH57xGKARfyV2ebn3IffXtW6BCWCryaKtOsznMLdS_fzt9mjZWpGcPl3NWspXocFI2R6b6n6d812zGBl09fRHDM4XFM4nP78N90rQjocozRsLiDQwxzxWal8iByyogYp0vSxm7_AuTbfFvwdFdNcx6ltQoatd4EjT2MwjKf-9zwKsckva2baQPABAmAq4wN6jTnrihFLbTYClhoSx0eoDpH6KfEoUEosq5vd6kyPNg_DNak2Yqp65Ew', 'width': 3000}]",ChIJy3HpTHHvxUcRPuuiY2V0nO8,"{'compound_code': 'CJ3W+3P Haarlem, Netherlands', 'global_code': '9F46CJ3W+3P'}",4.0,ChIJy3HpTHHvxUcRPuuiY2V0nO8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",157,"Rijksstraatweg 80-82, Haarlem",{'open_now': True},,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.40895640000001, 'lng': 4.650844000000001}, 'viewport': {'northeast': {'lat': 52.4103340802915, 'lng': 4.652067080291503}, 'southwest': {'lat': 52.4076361197085, 'lng': 4.649369119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wok Inn - Haarlem,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103583106412771225001"">Ron van Bruchem</a>'], 'photo_reference': 'AXQCQNRXJ-4RK0URv8tnyIocfocR-8F17diyLMNOXqO3FMkll3f-S3CiiNyuKNEN42JTd5ftmDLBxLE8aX4nyUkWKvoEI3PY4h7ZM_qdR2AKBUr68quY9Bo7_PB3_O8cC7ZZqvOoPQ4jVcRCSC8-xjmu02XA5Qq3bMaOjHSg6WowHNC35IVqbHh8KyKq8nAwxT1JuKHkHrSR2Xzx0XUnPmlYtEbw4g15QGFFY-r8VgQZCO3icOYTs8qC1_8I4kiM3eqBCaic8evvxktxGwyL4RwKrUdY9uac-clu9RTOgaD90smr30YenU7TgFCG3ujIZisneHoPitO-7S-69MIy4kj9LYCA3nyhZp_gDGpdK8V61wSqK_K8H1tXSrQNzCGZllPTYU1DEU-7815iz9WqTyOwH3Nu9BpNnmn_PqHbnLCc8GWbYGVStCTdVrwNnkjt9Uxp2kny-_OFu92ikDhc5T7DMyt__hlV4ntDcWmuw5_tAQ5T4eZJH25T78kp4N4O-JnMA5G2jWQs_mMwyPAY9C2WU4zErOK6k6Qu86WULqsYQkU9xyR88f1dE0-4GHOdChjPuiFd8RXkQu5AGI4O6Vw_olCK5lwyVLwFLfCv5JAid4xBaw1K-lwJd8D-2jQ_ISSI4lG5zA', 'width': 4608}]",ChIJKSfw8I_vxUcRXQCWUnA6IWo,"{'compound_code': 'CM52+H8 Haarlem, Netherlands', 'global_code': '9F46CM52+H8'}",3.4,ChIJKSfw8I_vxUcRXQCWUnA6IWo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",164,"Rijksstraatweg 250 -a, Haarlem",{'open_now': True},,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4061669, 'lng': 4.648856}, 'viewport': {'northeast': {'lat': 52.40751638029149, 'lng': 4.650325430291502}, 'southwest': {'lat': 52.40481841970849, 'lng': 4.647627469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Lily,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101470158221122875449"">Dick Snijder van Wissenkerke</a>'], 'photo_reference': 'AXQCQNTo7RJKnuz5KNOPRn5pqVj_dRMAeapIaTRb6MZ1dwIDv1tGX6bZCOoiXORkZ7zxQ-ajlLJy_VBOslN-4p4Nq0Ydhx40Mo3gJb4oTUizW_XmX5paWO0dZqhL15YRZSa6kB8x10UWVCYoMeJC4VRLSH25MJiv0aTpfonk2eeDm7mYkaRUJyo1ogzcLd-TbaaQtAobh_yfbjgWgA7mX5yylmWMVsJz7wEQPIsbfy7iNXLLqXB7OGpV6bcENw7EA0Z0FhH_WF__Mstk4T5i0whUCAheFZb7NGsiLJEXQCkUnG2U_fwXnGt6ZSVW0-pXXPv54Mq6cFrl2zcLYMVf4f-iAftu1GM9jx3innzVp08CmE4vuhtzLnk_kUpeem25Wm-j24UKK5HCwrG2aINi3RbFGndrPtT7tz2HaVt4Ao81fmcBeP_DQOOI-i8fDPod12EUAqYWZZWPUKaDKVOeQNA8HWqa6TrqEQNUJtOwNwsNRZAdSXPWKpuKa9bpGOmrJ-ITW3o6lz0Vo1ZS7xH4RSYbGMTHNxQaMxmcSzbVVfmO_H7_x_XYxoQhebbB8_30X0UVq446HDQrpMMYUlaPKtV4DIaCutAC0SeMr9IjpT_Z6w58jgOMaxqTpQT6dEzUKFsEcaSn_w', 'width': 4032}]",ChIJXz6M1prvxUcRDuq46I56CG4,"{'compound_code': 'CJ4X+FG Haarlem, Netherlands', 'global_code': '9F46CJ4X+FG'}",3.9,ChIJXz6M1prvxUcRDuq46I56CG4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",255,"Rijksstraatweg 189-191, Haarlem",{'open_now': True},2.0,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4015687, 'lng': 4.6456298}, 'viewport': {'northeast': {'lat': 52.40295073029149, 'lng': 4.646889730291502}, 'southwest': {'lat': 52.40025276970849, 'lng': 4.644191769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eethuis Ramo,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110326598487568708241"">Eethuis Ramo</a>'], 'photo_reference': 'AXQCQNR6R8QRhnroIcBaece9khZx6ctGQQ3SkesT5EPkALmQOL6jlAN7aNvAVaz5dxPJ9CUlveasgOQm7J3uyHWgfIOxpygqM9HtGADxeSScQieMirdsI8IWOX3F4R2fU_ishzjiMzFyc53vkTXiIHaLPQNWavuWIZTBjf-jP47WyI-XWNNITeK5j8oSx6KSuprIP2zdi9La_yINo9yrRKyZJ4NtJNtw8uyxUbGPv8K-AxMf_FLuQDnv1UDkWktZpHdzilavYAi4H6amEWGouZo0-He_xCmo5rQ8QU3ZDHQVpMT7P1kuizTBiX-nrKKj2R0YAtE9eihNzVY', 'width': 3024}]",ChIJfUsh95zvxUcRUxnCQyqJ0YA,"{'compound_code': 'CJ2W+J7 Haarlem, Netherlands', 'global_code': '9F46CJ2W+J7'}",3.4,ChIJfUsh95zvxUcRUxnCQyqJ0YA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",248,"Rijksstraatweg 38, Haarlem",{'open_now': True},1.0,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4016937, 'lng': 4.645204200000001}, 'viewport': {'northeast': {'lat': 52.4030295802915, 'lng': 4.646620380291503}, 'southwest': {'lat': 52.40033161970851, 'lng': 4.643922419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Indonesische Afhaalcentrum Terang Boelan,,"[{'height': 575, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114035573777833401023"">Indonesische Afhaalcentrum Terang Boelan</a>'], 'photo_reference': 'AXQCQNRlwwRC0DrvmkBFIYz_F1baR_LkgicyTr_GiqB5IU8_2NjIp3wmiYk3Sbl6TA_tv0cN1FP_VFnmTMwsHReVAxFjElaDpFDU3XAA6wZhmE57gib-N5s3pjokT7eQVlPS3i7m2ccZS4A0K5qFh2ch02Vg5KeI9gt5PUdQuY0jVpMM2diUtPuWr1aq2fUYrlO9ICx_iiqEw8ginKrFghKWBx1ohgN1tI3ICN1ZAueXsxuZ6gwOOnDsO4D4vL9itOPeVkRwDoyFJ44CVQwlezL_e871cGId_uURNdEcJnGkOKgNFKJ28mMxunAgUn-N4t6aVltk_yJEXLE', 'width': 1020}]",ChIJl9Xw_sc7ZUER2vWr3rCRLbk,"{'compound_code': 'CJ2W+M3 Haarlem, Netherlands', 'global_code': '9F46CJ2W+M3'}",4.6,ChIJl9Xw_sc7ZUER2vWr3rCRLbk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",196,"Rijksstraatweg 49, Haarlem",{'open_now': False},1.0,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4044561, 'lng': 4.6479401}, 'viewport': {'northeast': {'lat': 52.40578328029149, 'lng': 4.649397230291502}, 'southwest': {'lat': 52.4030853197085, 'lng': 4.646699269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lunchroom Van Wort,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108774548426017253341"">Lunchroom Van Wort</a>'], 'photo_reference': 'AXQCQNR6jfbKPiUQ8SC7jlP1lKSmUArr2FYVs5gpG3RKn3Iw-ywlKC2w1AvGRNn8UI4_TPPAMzCfc7RfL9_ckyx_F3wfg5lOcssSxM6fNcslj1aZltmiUrkSEqLtmYpnZuHhdp9FS5vkARrcJofL98W5pCakXBcPMBVcJWV73AuAj7vioFS8b6BzWjqjOF2jAGJ5KVp0iZS9GjfdiXjB88hPgriT77FiQRYvf8y6R6h681RqCIKhl90jxBk0tTP6ojyT6z8YTfHyygTkiMsR2w9l2vyi2EEuabNAUIapAHHEjyJiRqG5Dpx5UN41q5rKG2dE-nCy1DiB_Uo', 'width': 3024}]",ChIJuaUcjGDvxUcRFwj-3NwwBtg,"{'compound_code': 'CJ3X+Q5 Haarlem, Netherlands', 'global_code': '9F46CJ3X+Q5'}",4.9,ChIJuaUcjGDvxUcRFwj-3NwwBtg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",47,"Rijksstraatweg 145, Haarlem",{'open_now': False},,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4036231, 'lng': 4.647902600000001}, 'viewport': {'northeast': {'lat': 52.4050050802915, 'lng': 4.649149680291503}, 'southwest': {'lat': 52.4023071197085, 'lng': 4.646451719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Madonna,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115261576114661452171"">La Madonna Haarlem</a>'], 'photo_reference': 'AXQCQNQfNjzdFQkCFyGGlWiHPhpnTU31TncrHusa1Wj_9JKG7u5RBLZn7ro55zuQtWII4uJt_cj_fgx0_w2rXzJ1BAgBmK6cg0xYz7fuL4D8KEp5450roRcXddyHxTDjtHagUdWbteKtZwkXvfdrpHM1iaPrqkEso2wDDHAirZ2tLGPgv-_R6nBg0BQ2UR7B-kespKgqHbkBHbEflLuQXN78hovqcIQesk9U-uVBNRtehm9FPHYmP4j1_RkbJfBIrd45KEGlPQ-zZSTQcvT3iWDtNaG7Or4Wc2aOwR2zz0ulMIrsvuy3oKV-2hhvkqjTTMd1WdF0ddNM9yDMKJE2OsLvcc3XslIWK6qzFx7-SiTTOKnK89bfQFxT4Hox2igFuhB8m5c0vRkyVy3J6mOl15lhnx8dzSZW-r7eNhE3IcsltR7ahTJTidEHz4dJBtS46JTD35_lHaOfhx7bsbqSls7IGbI5WVLz4CqDS03pbnEP_LfvWOj1htViqp_7D2sRWFdsyWCQlDBW7ErtGbikcKGVNNowl0vn5HGIlM1pZXh0Qm74ec4m1klH8bq0V1oadhDBgc-UNw9cZbpzkUiMrzj_fzTQCY_oy7OzGi7bpkQ1OtBH-_9rmYL6BQRjjl0k6z65LVHP7g', 'width': 3024}]",ChIJR-7BdazvxUcRpJpZSkwjYqo,"{'compound_code': 'CJ3X+C5 Haarlem, Netherlands', 'global_code': '9F46CJ3X+C5'}",4.3,ChIJR-7BdazvxUcRpJpZSkwjYqo,GOOGLE,"['restaurant', 'liquor_store', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",122,"Rijksstraatweg 92, Haarlem",{'open_now': True},,8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.40833989999999, 'lng': 4.650498600000001}, 'viewport': {'northeast': {'lat': 52.40972728029149, 'lng': 4.651712680291503}, 'southwest': {'lat': 52.4070293197085, 'lng': 4.649014719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,MAN WAH,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108753415006181948414"">MAN WAH</a>'], 'photo_reference': 'AXQCQNRbK7EGpHtJg6CptT3IBNReIg9X7bS20pziC8gVlXQjJaARj7CWA6U-LXd3jZQ8dNKtgkLV8yGnZ9iM5JUeVj0SoB72RU6_2yEf3nMMt8J8Axuuk85Ougd0eTr9sOhjrM03tl5b6cDvXN-5p7Y6a0YuqMq2S0lCfZikxjg-WXxFzlx5bfnyHxxqF7m_3o6JOShCnLxG8TBm3AdVVvL1s9N59uHAa1en2n0hF8D0_RdtEADdbU-kWcUlcW5bDVFNII5XXVEPk40lGymnH0xXsUyYPFyCvkO8JujOq3ai5KMqdS0C4b5ioa-Xp8W0Ha6yUEsoPqOjFnk', 'width': 1080}]",ChIJB9NzV4XvxUcRJ0wiHRnqgEk,"{'compound_code': 'CM52+85 Haarlem, Netherlands', 'global_code': '9F46CM52+85'}",4.5,ChIJB9NzV4XvxUcRJ0wiHRnqgEk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135,"Rijksstraatweg 240, Haarlem",{'open_now': False},,8819682503fffff
