business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,reference,scope,types,vicinity,opening_hours,photos,rating,user_ratings_total,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 52.3987811, 'lng': 4.6585774}, 'viewport': {'northeast': {'lat': 52.40001498029149, 'lng': 4.659841480291503}, 'southwest': {'lat': 52.3973170197085, 'lng': 4.657143519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Catering Haarlem,ChIJj_CLNoDvxUcRLQZPfI1DAqU,"{'compound_code': '9MX5+GC Haarlem, Netherlands', 'global_code': '9F469MX5+GC'}",ChIJj_CLNoDvxUcRLQZPfI1DAqU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Tingietersweg 6, Haarlem",,,,,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39638790000001, 'lng': 4.656509799999998}, 'viewport': {'northeast': {'lat': 52.3977178302915, 'lng': 4.657914180291502}, 'southwest': {'lat': 52.39501986970851, 'lng': 4.655216219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TOLK about FOOD,ChIJ69-VbH_vxUcR_LYj-C7fkeo,"{'compound_code': '9MW4+HJ Haarlem, Netherlands', 'global_code': '9F469MW4+HJ'}",ChIJ69-VbH_vxUcR_LYj-C7fkeo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Tappersweg 3, Haarlem",{'open_now': False},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106470834318349575861"">TOLK about FOOD</a>'], 'photo_reference': 'AXQCQNRFtUIksWALOAKnWxPq_R2we4YKyaa897F_2hovjsK0ZWihBH7kZ5btyQA7cl8l_j3lseOTHYQWCJuaBso5Du2NZNKBcQxTLahgyiXFhSWzq6VCHrTihW-DwbVYeTIQJm0ar-mh2bxZDIpOPIAahJF2LEFcQZUJ2ZcMYGNQpFDQtkFhEx5eVHozFDgQ3hwTCnc_ySb6T4e9s9RR9yT797OTi38-65VhPiEuX67T8lL1txdk6rKAMljQkNO0HLOVheyRfJ6yoPqYa89PT-tNElBob606Elj1e5DM2DpJbED9T8fl1sIzJ-A-vv_VULA1N14bl-gU', 'width': 828}]",4.9,118.0,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hapjes Aan Huis,ChIJSy6JNoDvxUcReLVVbDp3Nkg,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJSy6JNoDvxUcReLVVbDp3Nkg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, Haarlem",{'open_now': False},"[{'height': 585, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111843488098043394937"">Lisette De Groot</a>'], 'photo_reference': 'AXQCQNQXlsU6ya7aItcvHUQ3Yqku4ZJK65TvzSco-lcxwULd8HLcDqAlfKaCkynSl2KhKOti2H5Fi3bOoSeaKNyKnaBXp24frugnpxS2S-5fl07houkhIkYtsUwdTslSC0CMVtQ7OM8rWPu1dYsc9jHimw4H56J3nICQn5QL0G8R5KIOMrX9pmCE9qWwUeT9yRgvSkVtVJ-4aRsY5MpfkRM02aqVCduQhEHqFSKVjupS3MEdpnxtwyMYIHp3qLhlZSfILtjibQMQk7ih9mMDP_OVx-nhCNpedixkt8oWUlXuiJ7k6umf5Q-wm_h5bzETTC7cXI0O2dim2zqdMWkFPWd4-ez9NuSYyDd5hGB287Vlo-PtuCHtzvw7h-q1ML9fdMYIA9__opJzs93I7f9tdj8NnvxLCA7qCvoLFgJvJeuU4GQkRdPC59RHVskeJHcBtkR0wzzB-a7r-_M62q2YBunWY4M7_0YTan0CPTZVpVAh-yrZK8uW5APIpRmXrQ_nJZw2fpdkJ4vr5GtCL6ZR22wPMJUM1WL7nwsJ0rgHyhv28GVpTu7DxF4N0vto7lWxHai3vHrU6OpmcAOI6KA3EHVHJOAbyjN-YsVM3SParSaNmdPwp9Bu6oYAvQKGe5OM6fTWN8Gfl_BG', 'width': 1266}]",3.5,50.0,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Healthy Bowl,ChIJye5Mp5LvxUcRbMwp7arm3RM,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJye5Mp5LvxUcRbMwp7arm3RM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, Haarlem",{'open_now': False},"[{'height': 3721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102809049383834701457"">Healthy Bowl</a>'], 'photo_reference': 'AXQCQNQ_iVjy-JpyQgKILUU-KBZnJHfwo0pio6qNWOP6dp43eiqAdbXbPcA59zN0OdCCuEBobJtsznkGbpP2uOkteRZqUmii4IaTJpLHjvIAm93XMNlU4uHcNu9BY4wcBFQIuDuVlaNVldB0gA7i6HQ-TG3T_9CSGHrABNFGexRGUsclkJbsw5NzozMyQipncBrU9Nv9G-KIjz-NxZmQZfGY5dAB_bTzTKeFmxvQmkherazHnuKomrzFldAg8xofuQXeQkNs0jwQuu1cdO6jUeS0u-MJpKo7L2Yn3ZgdMjxzjNWwAQldJj0FXcA7HsXFbbewA47YU4dMiPw', 'width': 3721}]",,,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,HEL-A Governanta,ChIJoxcoPmbvxUcRhyNJtaEYGNE,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJoxcoPmbvxUcRhyNJtaEYGNE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, unit 7, Haarlem",{'open_now': True},,,,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Be Map's Vietnamese Kitchen,ChIJkabMCevvxUcR4Be6KAI_VMc,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJkabMCevvxUcR4Be6KAI_VMc,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, Haarlem",,"[{'height': 3349, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113972579277674693321"">Be Map&#39;s Vietnamese Kitchen</a>'], 'photo_reference': 'AXQCQNRyzs5QSyA0yN6X2oMdWQV9GUtk8RENIMXsPVGrknTQSgduIPSlqwJXHIt1p_Q7AxnuKThSoXpLUcHk-jC2nqjwKpWZXCZYCCCofoKY4tRunqWrPD2Y8CAiIqH4376hzpTfNUGAYojIkuPfMhyy39vDKi4LDkFvG5badtGWSAHUk1akvSRN84bO07pHFfZrfsei9TdRe-lzpgz4GkwsGlJpTqfemvBdtdJDiasJsAEEn56tfcW1QKjVrf9rDo_e1UuN6EsXG1-fuxeXIM3Umf7S1EpBmyRYOQhal-ttgsLQ7uaBMM-68Vgy6u1Ig5LZihFL8k56Yn4', 'width': 4465}]",5.0,20.0,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Surinaamse Broodjes By Rico,ChIJMwdPLHnvxUcRAScZNLPKD5s,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJMwdPLHnvxUcRAScZNLPKD5s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, Haarlem",,,,,,8819682515fffff
CLOSED_TEMPORARILY,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Burger Maffia Haarlem,ChIJiQFdZ6vvxUcRmfL4XaeoWX0,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJiQFdZ6vvxUcRmfL4XaeoWX0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, Haarlem",,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108261348205529799087"">Andries Dansen</a>'], 'photo_reference': 'AXQCQNQX6SGl5QAuyDYFO3Tkq9sF65KtC7l8_oYHNwt7kRcFeYPIHmNPvJzGB6-d1Q-EbZ_gw6nA3YDDKOAxKFgF9LO24n8NsAq-Jy7jns9D4-JSgHxyB2bQk482Ln7wbQsOVi0QCpOd9_UCfm7FxL19xloLWYYDaq8Ky7sQcZ_G97nrxbgSIUuAvynijko0mkppgdScxYlsKrvr-FKoKxd8m8a1nUwnjJXIjkx3twzKW0t-QHJNw0qCdvsWWA2Ja675bes8RLFgc_n6pXnsJ3lM-tPUFHgX9q6SVmPAtI4li-_2IethUW41rlxzuFdPd7dwA2W16rO3KJn-lA5Z4g78Rs8rIwwpsiwYjJZDXUtEd3FpwBUF8_MhvtOvw4BLZN6hYUqAd6DhdWcW2XZWEKyZkLrSbfoURxqde_D13kXqCMEJeh80Y3pAL3hXd0nnioTM14G-_xWchJNq0ZlqPHSaMUCthVh4t0_oZVYh7a1v6narZddx-_XgPXV8vuXevzU56zBUiussLMhWd9ou7dEVHtZMn3v07Ao8Lfs2QRJz97VEXvu_MvZDqRqhizb_gq9jaWE1LUz0ala1WqGUm_WPKX23utCyaHCAZ6P5g_9d-AeUrDo76PmLosABHH5uma_T', 'width': 3000}]",4.3,30.0,True,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Latin Tuin,ChIJ_4sQoMHvxUcRtJ2jLCzeEKA,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJ_4sQoMHvxUcRtJ2jLCzeEKA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, unit 6, Haarlem",{'open_now': False},"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107751700451514617218"">Latin Tuin</a>'], 'photo_reference': 'AXQCQNTflaWAC4bzsVABtGwGxx61DPSROVcX6pmJsp4Kc-t-Nj_cjZNubt5rYoBB-PeOmfS1ctjw0MuWVZF7QL8HGXVvIn9G7t8R3_2sH8OLFojkXZ7bsYZNEpyTzfipi6yyzAfqEQTDVv8pgyCPfV_CA2bKNuPa9zK62PuXv8pH81SU--EKA8ePxe0dLz6BLJialYkfs3XXaDMW36GK5RAKx2KFO7rzlm4N_IOIAXKwqC8yCXzBCLwqHlNkaPFC-z4-ajsb7ME0q9cwIuDf_ZiU0G1eTU3Bo0RJ-0heejz_yI5HX-bgsy4xEsS47q8pK66RS1_ofU1ZQLY', 'width': 6720}]",4.9,94.0,,8819682515fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harlem's Night Riders,ChIJz1Nd-fPvxUcRwsZ08_Muqc8,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",ChIJz1Nd-fPvxUcRwsZ08_Muqc8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pieter Goedkoopweg 16, unit 5, Haarlem",{'open_now': True},"[{'height': 4968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101748733371952696978"">Tarik Gunner</a>'], 'photo_reference': 'AXQCQNSvHSMXRv1qPed2hn1J3--OAiS8ZSP0j1Lrn-YKG-eVLV-NXXdWaltky1Xy-UbVCkCc7fmReDuwuDR3XOEGPnPp38QAPC1oCMPO87Zs76oXMkXUxvT6YjKFpxZTGnucHoalR-A7umNbYaeU5xRc3kPUhRAQvBjOlSeak1tQAcPkGQestw1kFRXPnm9DYWIQrG4_Ksm9S0epWvXJWLfsMeLhZo7ERNpSUrmgxCXXyuG6r_s0HAdEwP6_Bn1fDGrm-Ywd402XcJc2_RmqYxHeVhRX92N05BCfbaiFM3tRMEpxQB0pAh2en3mepIssyih2WIpkCWGszxX2ndCLibvI98Pc4HJCRJD99YDikV0atFQlCvUL_3hV57mnW3K50q8OIg_sfy7OmAvtYG1S4xIMeuqQ76fOtUkL9E_WTE7Od5_oPgnkAJxZS4Em6-ocsCI7YXuoDcXlLWH8yqp__4ObTRlklIjKHwGSP9r7_F2OBTDT42jzPtD_2iHNPN-R982uXk_olV0oCuj1rfj6B67YWtBoN6snQtx8PvBCZszA3sBqQ327D8IUiw1uz1vrbvVzCt0DKYZwjib4GrwHRfUm19nEgeBZ1_slV5vzj_AFC5b22aVtzjy0xxLN5wPXnreq1P9OaQ', 'width': 3726}]",3.8,28.0,,8819682515fffff
