business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 52.3912056, 'lng': 4.655734199999999}, 'viewport': {'northeast': {'lat': 52.39257003029151, 'lng': 4.657185880291502}, 'southwest': {'lat': 52.38987206970851, 'lng': 4.654487919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Budget Broodjes Haarlem,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116854738073173770801"">Ronald</a>'], 'photo_reference': 'AXQCQNTmVCEeUuwlq2MRc3htZrT1CZclXRBSnGSv17ALPlM5-Diu5DPylXBXZm4u1wemX8grzJtYLwCuTe9sCBIhq-JmcbrTa-mzITS04nPLOWuHLcqF_eLHWQpbXdFKKO1p6dn6oTZIxhUm_me86uiQpJ-XLI8ktO5atqa7RwItpnZGV6aGSPtkF1m-x-AbMGg1SZChBNlIR-pIIdlYPbpfWyoZZfiIsBW9z89pn7rofZCbpcFeYWe9I_IfQV6tM5RT5oHjJY8vdFy1Wf7BNGgrel3rPFFWURXgXstf76BynEQU_k0JRDrkZzQZbfteyTRpztoGVOC66zQ6l98o7_N4vKlhzNyOmPJaaGV2LMeIrZqjhxfc394R57U_yCP9g4EENohQM2e4v6OpzsgoUWFg9yv6K-2mnIphVhcL0LfsJdddlaxGPo0mPcee1LadU2l5xONZdaryS-MGM_ulnlZjF9QrWonjpw1cmKMSvQgSfOrb-Jv_u49iI-mid9nE8uCyRO8HmsD8EpEDhLlP0fe26iNE2SGJ-2KVcdHLzegSCPkjk_JzhFeIBRBPV-A2_L6wQc4eClRRAZDZeC0qV_1q6qTIoeGyEqazq6WkP4KPOWKDqTWdfRrhZ79d6BlYmwzBVuALD-X0', 'width': 3840}]",ChIJlZihOXzvxUcR-ifpHEsQ85c,"{'compound_code': '9MR4+F7 Haarlem, Netherlands', 'global_code': '9F469MR4+F7'}",4.1,ChIJlZihOXzvxUcR-ifpHEsQ85c,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",162.0,"Küppersweg 77, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hapjes Aan Huis,{'open_now': False},"[{'height': 585, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111843488098043394937"">Lisette De Groot</a>'], 'photo_reference': 'AXQCQNSG6e75M2V_8GRAmPVOWpn5HYEPUW_qPydgTAjXyYTPYQEBNQgtp7ejucx3sPSYROT7VoqkViinozODtAfT78g--H5DNzHwy2nUBKX6YSLQiQg4mHh6PQ8ClCthSIwpR_1SQLpcS5iHTpxfr9hTPUIkwxO3pgPz57512Oy2F28IwnuRzGvTzHAXNe4-gM9iN7iSJojy-xheSawMvF0Ndi6v0lcljxg9RCFuhrynxeh4bajKAyvCATgZNrRWTh0vt6xES80B1aYBLIuQF-mfVuuJLDPy3PSTODuTN8-LPalT9M2YISyP6YfY50duEyjdR_lbJkbFgvCODy764qZ7DHTtSqw2w-numT0JAPOmRUrQIUlh3w6GyGtct1cA2hlpz0_9HXBVffMW5HgmR2vHqG-cs4Ozo4ZZkM8tyHrfWvyUcvEsMwEMac_5g1ugHJUwWcN3C5PH6cjm-4Z2JzptNpr5_yvqOeOJc1sNQjO0BQj-DD1meYZ_vnMtI-HnPf2fjkPVBEA4hoGzMeo5J9Zr5OC4TU8gFgcXRb_0RJStpNTWHwV-VWIwmv5Z_XmB0WVPd_jSSJD90Kv3WqCjaJe8t4FziiBflYLyKmIsgRQ8heQQAaGu6z71GDA4I-_dUZhQpj0tiXPQ', 'width': 1266}]",ChIJSy6JNoDvxUcReLVVbDp3Nkg,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",3.5,ChIJSy6JNoDvxUcReLVVbDp3Nkg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",50.0,"Pieter Goedkoopweg 16, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.38916750000001, 'lng': 4.658201800000001}, 'viewport': {'northeast': {'lat': 52.39054543029151, 'lng': 4.659675280291502}, 'southwest': {'lat': 52.38784746970851, 'lng': 4.656977319708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HANOS Haarlem,{'open_now': False},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610170158827874093"">John V.</a>'], 'photo_reference': 'AXQCQNS15hLJe6lCaPmcLI5QAN99y9SDsce3PY8AnBVYTAOH_zwdgLf9nVjely40UHq8JmNXmCzqaZ-a6nOLx_ZV28mB771XJ3AhckjSP7s5WAY3BopjKTBgoQ-NwUJuqZV6S3ytVI3TnIIXkTvCRclmNB4MOsfIc1MpAxxtE6UcE4KAQZ6-uVWLflgAGAxIoKrC_vhc3A3yuRtj1Gdc8wpNnQGVnFTjAkxA6UW3eLiJQyf7S53ZLBc9enHJgtSub39PkaisNntCitW-SIydxpHXq_HBqXL-dC2UDQCo4OOsF7nmi5zx4mQcLztsVUEMCtCaO-EDgG6m6KXvbBOT1aYi6hr95-X0tspKtIrbxg_bdDLAfm7VI-JltUqWU4aybnFRpRqez_lvOVJjmI5tHUuANszQhb-Uzmh_3Alr6QoSiF2RtPdl5AL6BFyNl_GvNo3oUbhp8E2xRsh5Yx-Jr2cp2xSUBYBcVbqIouNnMlc0vctCey-uSF4piOBhBdsQreE4uZWLySNSFpisb92qvPH_9anqbLHqzLUNoQUPCo34Wds43L1_2WVVNhMIwZA83tDRKEnYXJZ0SCnIBmw5rxXIE9TVGAjnwbBvWESBPkJXt2XxfvgqqecTLxbCss_44qTTFqIlwQ', 'width': 4000}]",ChIJJzhwc33vxUcRMroD8PLVRjU,"{'compound_code': '9MQ5+M7 Haarlem, Netherlands', 'global_code': '9F469MQ5+M7'}",5.0,ChIJJzhwc33vxUcRMroD8PLVRjU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"Nijverheidsweg 27c, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.3906663, 'lng': 4.6627104}, 'viewport': {'northeast': {'lat': 52.3919441302915, 'lng': 4.664112230291502}, 'southwest': {'lat': 52.3892461697085, 'lng': 4.661414269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Every Moment Tapas,{'open_now': False},"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108031971941979415524"">Every Moment Tapas</a>'], 'photo_reference': 'AXQCQNRIdhQYdkEpshT1NMPVWWm8tKeTreWZQ_eMa1A2FGR6smJX6nz_RRULDuoqN1oRcl3zs8Wh8bfcA-2lhuqnfPtyheDIk0COx88tfTgZ5EVLRnAoML7qDBTaKBxQyQJxmXa3cqf62CBA8QiFXKOpNGbg9HXhZDeYx1dJp_5mRpz9yU8N9v21A_eIKadoPgBdto0X9Yf-jk038hCFJ5dlKqUkRe2z_-sxfI85AFG2JJbZaarbedUdp4zx1E1hlseQeCutK6K3KRfm2ZUVFt04tBeQEmLM0r0olNoQmTpozMY9oYLociFBl6Fur96JDkxP2HWHRl8nVLo', 'width': 1024}]",ChIJmxCZIJ7lxUcRr48rJ_8hscM,"{'compound_code': '9MR7+73 Haarlem, Netherlands', 'global_code': '9F469MR7+73'}",,ChIJmxCZIJ7lxUcRr48rJ_8hscM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"J.W. Lucasweg 1, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Healthy Bowl,{'open_now': False},"[{'height': 3721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102809049383834701457"">Healthy Bowl</a>'], 'photo_reference': 'AXQCQNS74MYrSAvT-PnGxGTlJVUZUrDJCEZBJJHUNGFN__TVXlWGmU8W-Js8p_tLC8TuDFhh--zoxcqQFYP3YnLI_clR_-jiwnZCjHTIcgZCjGJ1SEWbYaMKJ92IbTK9F_0y6O4IL3qY5U4yNdbVwhvSyYAiiS7RtIF0tNSvw0FT-PQxclTElwRF2ozxuh9CxxOZDKPcpL6z3kx0PHF7pGdidNuwqAVRCJlccWcCWh1eq2H1V8yIAjBLmkAb7P62yVa4WHZB-2qeTJMdI-9tfZjeCUhxtXynzqEczLtVbGL622eiQjyuwhVLEbotHacmxkfxmgN8rXRALQI', 'width': 3721}]",ChIJye5Mp5LvxUcRbMwp7arm3RM,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",,ChIJye5Mp5LvxUcRbMwp7arm3RM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"Pieter Goedkoopweg 16, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,HEL-A Governanta,{'open_now': True},,ChIJoxcoPmbvxUcRhyNJtaEYGNE,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",,ChIJoxcoPmbvxUcRhyNJtaEYGNE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Pieter Goedkoopweg 16, unit 7, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Be Map's Vietnamese Kitchen,,"[{'height': 3349, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113972579277674693321"">Be Map&#39;s Vietnamese Kitchen</a>'], 'photo_reference': 'AXQCQNQh1voxkrAaREND3sercwiCl19rv33p4Hvv0mWXoP3NO_uGwsIn82Rvf6EX0J5ojwPP77PVXaAB6zHcbrYRp6VEQ-VNTrij7kFAPqYGLLMLgjZjjWe3BB7nxP41oVRgX2tm-QelX4s67ul3q1uqXsQW-oMC2gpn-AaKbVtBdQ0C8tOxa0Ctw-ADy8LYaHNELG06nA2p1qEfIj7luEJCQfi5BczQyi9NIoNuQTB9qlOpxbjQov-5iXXOqzdy0EkY1KQMAz66a8VfVZhnD5wksqyvfJZTZcIiVoIbgb21OhJB3xJTAhQqbn85k0XAit2fxQF6rX19r5g', 'width': 4465}]",ChIJkabMCevvxUcR4Be6KAI_VMc,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",5.0,ChIJkabMCevvxUcR4Be6KAI_VMc,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",20.0,"Pieter Goedkoopweg 16, Haarlem",,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Surinaamse Broodjes By Rico,,,ChIJMwdPLHnvxUcRAScZNLPKD5s,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",,ChIJMwdPLHnvxUcRAScZNLPKD5s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Pieter Goedkoopweg 16, Haarlem",,8819682517fffff
CLOSED_TEMPORARILY,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Burger Maffia Haarlem,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108261348205529799087"">Andries Dansen</a>'], 'photo_reference': 'AXQCQNR5_jQuWXwhvFjrHAj41394Z--6N0FoGbxLPEwd-ubSqMNUGVBYJR9XWmZcLIwheI9dGDJD57rqdRLS4kqzxGcnLr64_pyqHm5XRcjrEaud6BKlz1bWFmbnMgX9hsqjKGgAtCbSsjyYeZrRpuyeQD1i4-Oo9d3JzNmb8FIhiIOvW5NDcpA8zJ7A8z1TU1kdkmaQfyJX0kfb00ahycySsg941PPtIghYBaaBdxYgFyUOH15xfF_edQJr7ZYGnkI_P3HyOvsIZiA-RDlmvR6JWARQ370TAuUf5CqUB7KqRxm8Mg5WwEzqRNSmVkeQa7vruI4RUoCvFCBKzPP9QbJExuPlOhtlVRxcEPn0Yyx9cg-Sh6JsK48-aRfipXFGi9NXvTUoW8XXxo6r6MXFl_W0u0xhpXTshpvVJW-Cf7MqoiQzW0e_aO9XZEdInFgXn7Va5-k7tejZkSAcEiSyLsZX2cmhQf3xH8-Ko7uPQm2AUBw1LGOdPBOezIXaLZrudWReyljrnMpJqiD_Pz3tMbhXbMErCN1AhH16KPaQMuUNPOjJfB0JR6UGN-RIp2TrwuV7KRAORIy_e01ejRM0Y89uk3VEVdacEng1fULFb94IjMNIUeImi5fpHC0xQfr4y4mF', 'width': 3000}]",ChIJiQFdZ6vvxUcRmfL4XaeoWX0,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",4.3,ChIJiQFdZ6vvxUcRmfL4XaeoWX0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",30.0,"Pieter Goedkoopweg 16, Haarlem",True,8819682517fffff
OPERATIONAL,"{'location': {'lat': 52.39462690000001, 'lng': 4.6537825}, 'viewport': {'northeast': {'lat': 52.39592618029149, 'lng': 4.655221180291503}, 'southwest': {'lat': 52.3932282197085, 'lng': 4.652523219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Latin Tuin,{'open_now': False},"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107751700451514617218"">Latin Tuin</a>'], 'photo_reference': 'AXQCQNQwhdniuzv8bvYOms4zkl-xY7PvdowZa3PJpFY9zxGtEMQN2VVTtWJyG9eiowa1cJvimExrY9gZ0gZtlryj8fJQu8eb_PXeSPLVriGoEKWS1uZqPHNEjOHlRetCKX2td3U2V5lAj5OUakiSN8MDjBqaLOGRqPKfKf5qv7BwtAOjCG8n5HpXrI1xU2b5Bw9nXmudGnP9HYXB_gOygYrSrr7_ZfyxxTqvYd9ehKJIMFVoN4gf3V7uJw5Qe3D4-kjzY8-LuWQbk2tPEqJSPfgJ30R6PZ1RoFNj2BWlO7CDRebMT240HM0pVODvR3rxLI88venuhh1-fPQ', 'width': 6720}]",ChIJ_4sQoMHvxUcRtJ2jLCzeEKA,"{'compound_code': '9MV3+VG Haarlem, Netherlands', 'global_code': '9F469MV3+VG'}",4.9,ChIJ_4sQoMHvxUcRtJ2jLCzeEKA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",94.0,"Pieter Goedkoopweg 16, unit 6, Haarlem",,8819682517fffff
