business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.3877739, 'lng': 4.6376336}, 'viewport': {'northeast': {'lat': 52.3890114302915, 'lng': 4.639045180291503}, 'southwest': {'lat': 52.3863134697085, 'lng': 4.636347219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Döner Company,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109958624452003631768"">Emad Zezo</a>'], 'photo_reference': 'AXQCQNSU5cZiZbc3zb3j5gjGB2_-aaAG0Y-82z9hskTXTjrAEunAby8nBpCh8M9uyss1QsE2Gud22T8gwUrSKLaWWZZ3bPktCoalAxpe8MUUBFqgZQ-Y8czHhf5x6N1Tj4IlhA_BvK_A1NA8JmEf2uvdXVTlj-q0glgeWka-sUBuQkgrzBk5G3Dy6FFYuM6O8A2pyNj48vvodub-HNxlnWl90IQYCv5UnCLcrqyhD2sRCYiH-cdKjbeVfvwvD__Y9H3LnssjbV-o6HKhzVNpIAmP9AFaBFYgKglpZda_t-rRxdipjAN2prwLKCXO7CXBqXWM5tVe9IsI96gNlGmM6CZX-_-nXgnhSjUxGBi64Mq6zZRRCKcHxjGZERFtDz0d2z3UuyfjBGQED2SAC47NE6PK1me-i34ktRsJ03HRKP6SoG6J6SHrwBIPghUc0b1Iz9-ETg8y2U-urgLXJsijaojiNPg-l1USj0i7lcPZlDsgZcl1YBLtR4s25SWQxS2tYUPP-DOjwtSX4HpfU15Gnqh2SW3v0t_Ccz8yGqC3WK6gIN6wgzBUJsY4zFOHU0QkHkKxdYsJyJ-gDQKk6i6-n25CxDvv3fMg7X_H8pihX_whJsskLWUXLcnIR9ulJY_MDE6P', 'width': 3024}]",ChIJW96_A3LvxUcRHN1M-dJA_Oc,"{'compound_code': '9JQQ+43 Haarlem, Netherlands', 'global_code': '9F469JQQ+43'}",1.0,2.9,ChIJW96_A3LvxUcRHN1M-dJA_Oc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",85,"Stationsplein 3, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3864848, 'lng': 4.637113599999999}, 'viewport': {'northeast': {'lat': 52.3878950302915, 'lng': 4.638478130291501}, 'southwest': {'lat': 52.3851970697085, 'lng': 4.635780169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Cafe de Lange Heer,{'open_now': False},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100463734353343555702"">Paddy Gladman</a>'], 'photo_reference': 'AXQCQNQRsh60P1kZKa9gtKfHpOJPpyUBZ6-dDEaTEohSRYVJZMXU2Vf_sIfgKH6debcPsvbOFPvm_URvL1FmHhvaDsBB0B07VKwbyJoIr2fceZVmc4sMYwLyPbLP8YnB1Y_tZCXlmq8crGfoVQHjsESQx0rXvIj16jCr2V2pvKF0FyrtviMofqDrtG8kenN-DhhlG6C5eVlaBKF3MePoaIuAO8_VlTmL49xg_8xXDMhqK_sWIhJqJCLzclFQ-Fq_fkRiamcTY6ZhqDXOMlabRW9FEGDxX2GdRFG9lHGqNfJBGS2WuYXpfbyjhQsA5Nppr64LoKoT7Y5jCyPJYnNMPBeBl2umCa1ntPYz_W6iXafpnT0qpDC2WEsv0M94MeJ5TF78Qqc1oeJjFPGsAFQiejYS1b8e1doWg5Zq4xaJOflllJEJwDPtdeicdC3evIXr0CzMdQAGdaMZI50jKzkZvJxNy_TAgA2kdaN6MjstCwf2LpOQi_Hz8OBhW43Y5J1RotguN0bM3jMlKCSIt7xOdLfceduLNsZqL-jq3eOTAgG5B1YKH7r1EjygmSaMMJ4iV5rexYlLnt4OR1xIr9p5GivBHXptLvWOymbxsc9iWcGxuUnw1jQlU0NlooBenUMYImgc-VWbog', 'width': 3468}]",ChIJrWx8l23vxUcRoX-bU5cFhyw,"{'compound_code': '9JPP+HR Haarlem, Netherlands', 'global_code': '9F469JPP+HR'}",1.0,4.5,ChIJrWx8l23vxUcRoX-bU5cFhyw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",347,"Lange Herenstraat 6, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3861391, 'lng': 4.6362586}, 'viewport': {'northeast': {'lat': 52.38748088029151, 'lng': 4.637688130291503}, 'southwest': {'lat': 52.38478291970851, 'lng': 4.634990169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,SLA,{'open_now': False},"[{'height': 433, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111567373123014642029"">SLA</a>'], 'photo_reference': 'AXQCQNQ2QcnGod0TwjTOUyIHiJfWx4Ox3MbmdblZcv9YYKSjdzis31-CBNT67F2KNDC0-fnF5SnYXgko1NlDaX3LZiL__Wxned7KCBIM2JUVgttezWMQDD0_Cce0BRN3XufbyE1NIq8LB3veiqoSX-Gcx5vbNajzcfIEil4O9sCs1ZpivuOIuX7dXARiMoLfykygKaNPk0W4fsoqLe8zlqFnY8R13F6_wu3HzaoYfjz5Ia3b-f6NFbaIkNcxrvVaA0D0xwyvtmYT5GA2a_y-iGgJ4P0FJTexrsREyQ-lh-J7U0hIy0p8S_JiHd9dXJf_h6NI2QLBPjyOHNQ', 'width': 650}]",ChIJxTAqoW3vxUcR_X5X3ZpFn-U,"{'compound_code': '9JPP+FG Haarlem, Netherlands', 'global_code': '9F469JPP+FG'}",2.0,4.3,ChIJxTAqoW3vxUcR_X5X3ZpFn-U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",376,"Kruisweg 68B, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38425959999999, 'lng': 4.635214399999999}, 'viewport': {'northeast': {'lat': 52.38563963029149, 'lng': 4.636488930291501}, 'southwest': {'lat': 52.38294166970849, 'lng': 4.633790969708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Le Mortier,{'open_now': False},"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100834266938305258648"">Restaurant Le Mortier</a>'], 'photo_reference': 'AXQCQNSWc-Hdo6sQ-vYV3uSlyMdL9KGX4DpKX7P1ZZ3QHrHxrcxixePEJuo4H5m2orKSQV8WfIx__PktevFYXUpUoegWJQRayV8HwZMOTfFe8iQpnTLu_oMR4bqPyUIYtXErVHg-LisCUXtpROvBjbEVt5MuZIazsqjiHpOkR7Geth-NIyn4Ok_lwjymNqueCWNZaKjo5A6Z5qqek5eMkd8gv9wtiR8nqoXsImMcLHvY_UNuPKEvI8tG_lBKoCyRLa1NSF4Y4bvdXSXpxjQzWam89U8fqjhx5U2FYgXxcMvbPP-kZcpNuBxmWrTBtt6-Vk94BlIKtdH2Xfg', 'width': 1512}]",ChIJwyneVBPvxUcRVLviQUYFafw,"{'compound_code': '9JMP+P3 Haarlem, Netherlands', 'global_code': '9F469JMP+P3'}",2.0,4.7,ChIJwyneVBPvxUcRVLviQUYFafw,GOOGLE,"['liquor_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",164,"Nassaustraat 15zw, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38391799999999, 'lng': 4.635558899999999}, 'viewport': {'northeast': {'lat': 52.3852539302915, 'lng': 4.637012530291503}, 'southwest': {'lat': 52.3825559697085, 'lng': 4.634314569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Crêpe Affaire,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116877419753421450050"">Ineke Leuveren</a>'], 'photo_reference': 'AXQCQNRy8gKtKbS_o5CjBnBgolhkd7_kE_t37Z75VZEhBQVPgs_7lbNgAetesweBa5GQSKbnqvhxYvyLGG6P2GjT58iHPUGdHFACcz91JPxkgOgg7hHoB3kHU6an4EXlpLdmzxhsaKzySwIaPerZ1suylMor3cn_Mmb9S0nj_g_-xvxbgqDyj31-1DU9u-M2eeB0kAtQBwBt4LsMKG9TrMpQ68kBXkQDtYEXKFAbNQB9ZxWy91p6NjYDL-brr0lcvVDfGcdwNKmgyecgF-jO_3R3ONhP0YHVyUfDQkJ-5SH6QxGXHWqVj6QfdEnUx7ydX7fCc3g5E6mEzVUeH-n1HKuh2Qj6cNkWKJH9qZaSbDX1hckaNFrPJRYGAZ1feTuBk14UxFcfO-5qXzzSHQo6-qFn9UQpXjQG6FSX7n6NctG7KBBpqh3qRmkXQMMkPQqI0k3doBy3tHdfbmKy18YFP4SX08oAtD8a_NhPjCzBVEy5k-XnqXMtIhP5ImG2Ql73lAmwafjOwimvyy8HmA31FFZazVPyLQIS-sEBUchLFrAl19zXoRS82Utg69iF6Tf_rA2NNe-PC80qPCUsa6z__EM0XGnawg35gZvee1al-mIuAHVRE27NPU8sajNVtcgaWvYNKh_x4_qC', 'width': 4032}]",ChIJETF-9WzvxUcRoUcMHb3YLLg,"{'compound_code': '9JMP+H6 Haarlem, Netherlands', 'global_code': '9F469JMP+H6'}",2.0,4.4,ChIJETF-9WzvxUcRoUcMHb3YLLg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1266,"Kruisstraat 22, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.3830857, 'lng': 4.6354846}, 'viewport': {'northeast': {'lat': 52.3844671302915, 'lng': 4.636723880291502}, 'southwest': {'lat': 52.3817691697085, 'lng': 4.634025919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La PlaceExpress,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112169272476814707986"">Joep</a>'], 'photo_reference': 'AXQCQNRlzY8OyAuzPxZjnBna5eQTUW5NhNzgQtZL5TR-zk1eniSUcT65DIMR9jIgrq27PmChQxnm39NZSM18JJ_kvR20VfCWGCM4pNysLJ-Cs5ejQnapu0pwXF8qZxcaHVEV7n6oy33Zo8fQnNdSstap2a43uaHD1znHQKFi9sPznWi29lyKkTBKHvgiu0MVHOFqMxBMroSC2lVVZuZayLwn2P0-aRMfz-mgJreXmnKuKmReNGoGuSUyX_WjnxR8N7K8eU6EdZ8p38hod6BhLRrAGu5egvagtFFxfFUEO_7zoyXcAex1EIgMkM5rDtaXsnj1x5vojCCZ1VhHhUg9njoqaRsAhGsD2VtXJq8Y8qrzuN3y3WVXqMHaF3IVBXMuqKPsBuYKEMSOND4ZgpkzpabeQwN2oDQlpRa1WIBA0AZeOyeeVkB3m6P6KQ1MMmagTWxR61Oft_V9oVAJMMq1fDMf3dYNEBg--zbB866eFmKtJRvA4DI5rWNSnPIN5Xy4nEGSPtXYUyeo2vPnRgqf3Qp_UAFEfSi84XnM_AFadArrEUZuVEXpJk876GUOeJAZJsd16IdmPZiY-t67JZNNZp12LHgwZFDym78u6gCidJ8cNe9jaTDW5b1HXmi8Y_agTMu-Z-OxuQ', 'width': 4032}]",ChIJbT8Yvp_vxUcRC5tr00NfNFs,"{'compound_code': '9JMP+65 Haarlem, Netherlands', 'global_code': '9F469JMP+65'}",2.0,3.7,ChIJbT8Yvp_vxUcRC5tr00NfNFs,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",197,"Kruisstraat 51, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38286369999999, 'lng': 4.635101}, 'viewport': {'northeast': {'lat': 52.38425978029149, 'lng': 4.636439480291502}, 'southwest': {'lat': 52.38156181970849, 'lng': 4.633741519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114204453582739082806"">Jarosław Sikora</a>'], 'photo_reference': 'AXQCQNQUk0cUF3FEJIcV3f0yoNNehCcx8YPM2vB_6v2SeDH2KhtqfwpKr6IwTm_CzpNqAVzxRp9XLmo5o82RaHTxVpjU2iawyUIf40rcIbbG0FIFBcV0kkBE-RvKKiJTuaOkJpxdlJAw8ER9vsaG97_lTapqwxa_MckSGQxTLBQ0KHghOIqKuxICSywnGNbv9YOSGfoo5yh6VDR-U-A_o4kzmJOiyV9AMQgEHE0f8lMGk8u1XRtZD3JrG-Mp9GD64-wTZyPt8_fXQZDNdg3lurEiNvvas24SyoEAQ8QrX06jUxFMqxVkqTZGYDSRWwDLqP1bc9aKifbsRjkkwGbm6pH6BNmIJjPLLIQqu0ePN_tbwxePHwmFR05Zg_oBMnDTGjq8bVYwHgmTLkfNCKdKn83mjpdq3L3sYQn6fE7KAPUYLGSog5E67ZWmrX2hcObZEZVuZfMCmLvoLfE9xKAlZWVBRuGYQMXh1ZKsnhTUUgF89HSJHEB7VQIn992FKmoxR9qpRpZsAnDzmrNhEmL-e46UGLTdKorKyw2eHtoRPmGM5j-3f_gID00TRXp-jy1J8O-0x-vtDZBUZRpkdftEFiWGbx4gus-HOmDMXmqbXzRLZF2IqKBcNPn-6DXessSpeEUj', 'width': 3840}]",ChIJsQFshGzvxUcRUkjfgDb0_hI,"{'compound_code': '9JMP+42 Haarlem, Netherlands', 'global_code': '9F469JMP+42'}",2.0,3.2,ChIJsQFshGzvxUcRUkjfgDb0_hI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",423,"Krocht 12, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.390486, 'lng': 4.637926999999999}, 'viewport': {'northeast': {'lat': 52.39184128029149, 'lng': 4.639381030291503}, 'southwest': {'lat': 52.3891433197085, 'lng': 4.636683069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Museumcafé Thuys,{'open_now': False},"[{'height': 1068, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113557995228754364940"">Museumcafé Thuys</a>'], 'photo_reference': 'AXQCQNSSAVT0wVFgLMcThS_EXWK_SreTELMRRT4FpJ--NjUds8UxAXuHFbUuvbQRPbB3HiFJj6rLnpnRvG1GPJ0pe_bt4DUcBCoAdjHtXRvdQWyKwvQjOQaqXhFdLSD8wJIQuLnMQmhdZJtFf-XUuntfn_JwwkkFT2wpOeNv0VqmiR3CKHO987-oMT04coGKfhIlLnd0so3ECxCao8Oej6uu_0s_lgiIO0VBKVhSoPArTAU7iULe9V89oDbxefhozgKvra8KhshwVSlN7-I3z0m4MmGoQnSjp_m5DvQ_keWVY0bP2AA5Pugt4rJHVNT8DdWVxlF3I8STpaI', 'width': 1612}]",ChIJZbNcsnPvxUcR0jLZKqQsCKo,"{'compound_code': '9JRQ+55 Haarlem, Netherlands', 'global_code': '9F469JRQ+55'}",,4.5,ChIJZbNcsnPvxUcR0jLZKqQsCKo,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",57,"Schotersingel 2, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38572699999999, 'lng': 4.636500400000001}, 'viewport': {'northeast': {'lat': 52.38713613029149, 'lng': 4.637831430291503}, 'southwest': {'lat': 52.3844381697085, 'lng': 4.635133469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jetties,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109969936285779120984"">Jetties</a>'], 'photo_reference': 'AXQCQNTDF1VHPHdpdZrwHASnFm5hAuHdeGiafnTvl_drmvgvTfDvbAnOnCEWVioZX9Fa-iyB31rFdCRaQgizc5SdqLom5PpX1wkw3YJ-ixsTSUyY290t2EnAjzMZAdKPzeLxrzSR0llCvfQLZ4N5RB55crYkOi9QIqwBUxAz1Co5Jnx-rP0_722ELaDuHxzDEa47ZUR681S0lt0c9RpCZSwU0e11HBr3uTEj1MBi0JGMmDZ9pYL7jiNpLaicKVCtx5hDGflOntFKHxvdqsxumF3HjaP2B-J9Flw4pt4zR-TdaV-cRaluu_UbBL38OT_6I9ckFHxQyyWBI-c', 'width': 6240}]",ChIJw0YCpm3vxUcRcPaxlc2g8mM,"{'compound_code': '9JPP+7J Haarlem, Netherlands', 'global_code': '9F469JPP+7J'}",2.0,4.4,ChIJw0YCpm3vxUcRcPaxlc2g8mM,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",832,"Kruisweg 57, Haarlem",8819682533fffff
OPERATIONAL,"{'location': {'lat': 52.38305709999999, 'lng': 4.6366194}, 'viewport': {'northeast': {'lat': 52.3843791802915, 'lng': 4.638012430291502}, 'southwest': {'lat': 52.3816812197085, 'lng': 4.635314469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Eet-Biercafé Bruxelles,{'open_now': True},"[{'height': 316, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116646790884633748385"">Eet-Biercafé Bruxelles</a>'], 'photo_reference': 'AXQCQNSOEAv87myOyPNcuDQd8o1N4GslGewezvPI2PCjOx-fOTVr_99ZY3JjSOMEuC4-0taSqIHCGigCp1VUf2VjvcUBk23L_j3KrkQMrADhVg1B_xDK_OZWezYMw6PMIawSD_6K_PUUvgeUoBaGQqn3sBFe9wdYd4_P2KrUEaLR-nxCHWKAR-96Rx7PCiUd4Nmy13lxIv1kyefONsm2dpLLQChG7l3To0BiKs6kbNT1INdFS-BfmEevMV3-u5PRrzN7kEy9C7IVkXrGJCI0P6ozbiqv8KKZp01LxLm_pURhmSVbuThBFGlBJRsoFWozaVyvp8KiiJC58jc', 'width': 333}]",ChIJhYPHcWzvxUcRltdBa4l4GPA,"{'compound_code': '9JMP+6J Haarlem, Netherlands', 'global_code': '9F469JMP+6J'}",1.0,4.3,ChIJhYPHcWzvxUcRltdBa4l4GPA,GOOGLE,"['restaurant', 'liquor_store', 'bar', 'food', 'store', 'point_of_interest', 'establishment']",737,"Lange Wijngaardstraat 16, Haarlem",8819682533fffff
