business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 52.4016937, 'lng': 4.645204200000001}, 'viewport': {'northeast': {'lat': 52.4030295802915, 'lng': 4.646620380291503}, 'southwest': {'lat': 52.40033161970851, 'lng': 4.643922419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Indonesische Afhaalcentrum Terang Boelan,{'open_now': False},"[{'height': 575, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114035573777833401023"">Indonesische Afhaalcentrum Terang Boelan</a>'], 'photo_reference': 'AXQCQNQGIhuqpuoMZp0gnQqatpzCb4lxm7fHL7rgBUSrw5B7OTw9N2w_ZQq4dL3wWaba78OIQyX7aJeVPQ8E6PEcvxiVNVAqPgtr0hGOUDPuy5e0MlZ6G47A3j-1fjtNMg7Wl6z_1MqJPJK_AHyDRel0FDVYOvwiWpDCSshQsb2uiM-51rYswEVNb4xmlfIZALuQcLVtlTsHUigoTm4uypOxRl0bG0viRiMAPd7_HkVG9RAO8z_-utiRmEOyEHqmuCJ5DjN7ElvuR4ueGkcsfPD6riSnyvMCkm2iUgEcz_p1XpLwGN-mFFZDRFbkOKD9Hez_TWHY5gFmEDc', 'width': 1020}]",ChIJl9Xw_sc7ZUER2vWr3rCRLbk,"{'compound_code': 'CJ2W+M3 Haarlem, Netherlands', 'global_code': '9F46CJ2W+M3'}",1.0,4.6,ChIJl9Xw_sc7ZUER2vWr3rCRLbk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",196.0,"Rijksstraatweg 49, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.4015687, 'lng': 4.6456298}, 'viewport': {'northeast': {'lat': 52.40295073029149, 'lng': 4.646889730291502}, 'southwest': {'lat': 52.40025276970849, 'lng': 4.644191769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eethuis Ramo,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110326598487568708241"">Eethuis Ramo</a>'], 'photo_reference': 'AXQCQNTshFDq5Q-1z2HGtoe5vvK2k3RIJaHi-wVqczDiTcTftZLsd_v59FPjfhNGjTUK_W0hKvejTBhFchbVON35EKO8azxtXeEAyOk7kxW-OmrLBKSKPv_W1jf8zBCBbhPHejdLLzxD3mCfGkK-qSoEBKCVxS1rGv6AEwsaXLnuaHFhjSZzGOeJfkmsLvGT_QA9VHRAJJ5xPYDMVJnOoFrAuNyobNkenTyfO9aMy4MMuEWlEasC_hueq099K3cH690wYG7iz3Nhy7tC21n2gqhhQ5txyr790UZ74fSPWJdHOCRa0iol5dJtIkXM0gqYEHkw8yNpM1aJ7Uo', 'width': 3024}]",ChIJfUsh95zvxUcRUxnCQyqJ0YA,"{'compound_code': 'CJ2W+J7 Haarlem, Netherlands', 'global_code': '9F46CJ2W+J7'}",1.0,3.4,ChIJfUsh95zvxUcRUxnCQyqJ0YA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",248.0,"Rijksstraatweg 38, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.4006007, 'lng': 4.6444974}, 'viewport': {'northeast': {'lat': 52.4018641302915, 'lng': 4.645880580291502}, 'southwest': {'lat': 52.3991661697085, 'lng': 4.643182619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lok Moon,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106593788622797462353"">Martien Brander</a>'], 'photo_reference': 'AXQCQNTBYYSuO8019TdX6sJAdcEmlfSP8thuzS5j-Ui6XDetpjZcUfCP-YcNQParKg7iXGHeFueKICpBtjpS9F9W6J9X6vkiT-IQGGy9CBH-FitdYdkBOXp0lvXeioUPJ1k9UvUkjIshNMktJMlFYLvCam3feKz-dkOyK4lsGMQ2G_WxFrbi3yMWlIOM_qTZqDuZa6ZPMQwMukFhEMJkJfBknr2uUqDSW7B9E09ExeDd7PhVEArhWeGPxuLRNS5jXVm3ObUTFaBVLPxvvx8p-wwuShusWJTLWZkMtzGAcNHc2Q4XqHAuJIyKR2nEh5UHmOzerQ-63LdbGkFo9JQnI_SEhbqYcR5V4hOiXr2hNYLXYqepnieb_d7xEPZVprDlwdDnNng9feBt3GpB482FpBmyRQ9wh12SRuFAifWrz1KOUQ81y4uPIy7U_m86IJUQD7bsfLUg6yF8u3CDt0MTYm5IfeuLwWKhLqlnjWSpiG4SGek-tKidRHJmxG_tK7rpCIRjKtJH87pcIbbog33GDYOIhjlmcmea2Ymsshg47KvT8vDzmVBCcATa0joiPCkJgFHkKko1obCOCURiOTFPUKoGTm0I6WRS-W9FKx6CwZ8ZjrDEu3pK9hRmp5pPgC752TC6VkRZQA', 'width': 4000}]",ChIJhQdGrJ3vxUcR1xltbIQOzTo,"{'compound_code': 'CJ2V+6Q Haarlem, Netherlands', 'global_code': '9F46CJ2V+6Q'}",2.0,3.8,ChIJhQdGrJ3vxUcR1xltbIQOzTo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,"Rijksstraatweg 23, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.39631, 'lng': 4.6429293}, 'viewport': {'northeast': {'lat': 52.3976721802915, 'lng': 4.644183830291503}, 'southwest': {'lat': 52.3949742197085, 'lng': 4.641485869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kwalitaria Reko,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNTGYb6tSD9dCUFS2X4x-B8xDbU1AC7WvVeB5KeKBkZivEKWFVPtQKDmmf9kzuiBId3sdywK1FAIfD8e1OxcHxZ0mmjP1kdCTYTp1Vr9p54du5hjmfGCu5Kk8wG4KZLntLXXRrct1kBV8M23SpYpHS-_jLu0RYJ4VR5QdL2lHoQreboJPWprcGBXqPHSeOjUpDfP_D6OMBdsWZvrHRLVOD7fy5DRoejZIlaqF8ci5WYi8OHKzXYeYqr-zmX3BGxH_DMrd9g0nfl1Px5v-TXuub28DYOEH8YpnO-bzAZIpu3jp-v7AvLlpOefadhPNKu3y-okQQEkulxq9sKcMm__oU-0S_4IQakYxa2Ep2REXKrqjDjb1NCp-befJw6vYOb89q-IWscAm29g8UoVV6adWbQ91LkqP0nVQR-da0yfmUhjL73bETOxxVWmXRyAbtSf7UWm-vdtdb0vILAE0WJjkHgokyTDTe3HhGUiA1cTOGRLs_jJ9u-n52fM0yIvf9ibcTsg_KdQ3dUCG9Qc1-1vsrzdtD7aROPvGkiaH9IyuoSuB--kEb6YBMAL6MGO9-m04tQzLu5pXX6Apu3Hd9vPVKG3lwfs7HtJCF3-g_nUkCrmku8ZBXjKKXkHrCJ7Vl4o', 'width': 4032}]",ChIJ-eePQnbvxUcRl9WCETZVYSA,"{'compound_code': '9JWV+G5 Haarlem, Netherlands', 'global_code': '9F469JWV+G5'}",2.0,4.2,ChIJ-eePQnbvxUcRl9WCETZVYSA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",389.0,"Generaal Cronjéstraat 164, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.4027326, 'lng': 4.646760599999999}, 'viewport': {'northeast': {'lat': 52.4041164302915, 'lng': 4.648023330291502}, 'southwest': {'lat': 52.4014184697085, 'lng': 4.645325369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,India Roti Room,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113997940297121309962"">Roeland Veer</a>'], 'photo_reference': 'AXQCQNR-AuIRTvynQHlW7fpOEwKA8XaGLxilTGM4hEOetcomF4pFEhp71OHRbvRwyOmj2YAjSZZjsTPyMhP_ng2CTnDMcw6hUJqgNo1e36m-i0tUyKXxS9tMu-XqHquckQhnSObsxEzQlsZSVZf1VYTqAoLT2bbIZ3dT3STt6sB-SDIHiQlhEga3oV2zwrfNHMjnSa5m7UR8KBjI8XyaikYZBQsP2adqm49IpnrW-q4MKDZw1yBnW0KLTr3dGBhcM83f53jIImSljSEZumCl-seh13o5B3JrMCa_wJx8NNJaS0KhN3Akd0NfFsLXBzKmL0BavBW3OpU48k2gt19KM2PT7uhnCq_z24KouYzDAfDkUFKruAuZkpZZbX2VT6bAjmDmBe8jBNxF_bNE5mVHbRECNS3jtmJ7FeCfHuVfXH68odpEtL0fn--EJuy965qpzrrQ6D8tqWdg5N1o0lC_SY14y6XMsTH2zYg1sd_xq_7f9gjXVVnGbHERIb421BuiENjbhXe4k91KkNCLjj7UVcK9J07Vx55yXjdlOnOw_-kTdvMFvF36RyOvGwDu9mC1RU4Wtt-5VmVR6cowKxUb8K4IHCIuHh0p-1M1xW3TjiqUQBdZgpadA6lVb0Hi9Xe_i7cjEzJ4Mw', 'width': 3000}]",ChIJy3HpTHHvxUcRPuuiY2V0nO8,"{'compound_code': 'CJ3W+3P Haarlem, Netherlands', 'global_code': '9F46CJ3W+3P'}",,4.0,ChIJy3HpTHHvxUcRPuuiY2V0nO8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",157.0,"Rijksstraatweg 80-82, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.4018758, 'lng': 4.6458745}, 'viewport': {'northeast': {'lat': 52.4032496802915, 'lng': 4.647111580291502}, 'southwest': {'lat': 52.4005517197085, 'lng': 4.644413619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pasar Raya,{'open_now': False},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102194874427512277656"">Godie en Rob AerschotSchuitema</a>'], 'photo_reference': 'AXQCQNQoFtDsGmiahuuNTeRXBxP1PHLBYPOSUA4J8J9MBucZhpu9cBZy6ofuOpB9eYGBEtJG08VULF8SXWSkhQpVcEglKOan7Yo_Hpoo7VIcItL4Xm5zPERrgqYdMwZvO42nFOl7aCNuO9lnVsR3MKjVcp1QjlsAKM8Dcadcql5Ff101DKgNhnboSZO9jxz6z1xywlEP-bfgX-3kNgKhImEjspxubALfOKENSIFqp1VDXtSALg_CTsVqUDLY4zesoyyO2wxSV_RI97mqeJ4dQkl9OdHeTj4SS6wK_pmqL0SDnEes5mkMYWH3wWokN_uCGX3aDkuYO-FICbfgz3xn0HEjMuUosxnh4vrQ2-ug33pwqDduSu5iS8kETdrnwOeoBLDEVpkfDRffBjAhnNT2KKUN8-XzJAtlivFoR2zKM5G4HXJPYKDZyBx4I8S9Odlk9tJxukFD2kbMPCtX2Dkval0oD6K_gG35a6Y-t5DGEK8EHNLHqlU5JPWdrw-0iqtjZNbmib0Ekki7accmr2tJjwk6TXwwGvJ7duuX2FkXOAij69V0XxI2FqE-qS9BXcUhSPULkMrxOVrpEpyDdgmgaKviOf4Bt_XE7xF3xTSqqG1Y1Kzzz-bARy30KqDg9q4cCOFKXn-FH8cG', 'width': 1600}]",ChIJQ7Of85zvxUcRZgotqB6vnos,"{'compound_code': 'CJ2W+Q8 Haarlem, Netherlands', 'global_code': '9F46CJ2W+Q8'}",,4.8,ChIJQ7Of85zvxUcRZgotqB6vnos,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",153.0,"Rijksstraatweg 50, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.3995962, 'lng': 4.644657700000001}, 'viewport': {'northeast': {'lat': 52.4009508302915, 'lng': 4.645930080291503}, 'southwest': {'lat': 52.3982528697085, 'lng': 4.643232119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Khao Thai,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116865728534074092259"">Anna Pond</a>'], 'photo_reference': 'AXQCQNSKuU3HfBISrT2NYtn_WX3ZloBYcMJ7UpN7A1mZ4rAUo02th0AA4W2qD5hLGENi8E_wEg2I9G9_q-ppvZfQli9PchoKDPIPwKYnWRHBY6nG3WqUBPv5ga9MIzun0qDYFVDAVyab4oHMjyd2ck1BYqHiz9kpen4romDGRQxcncpFKbcIwlAaigvZFMuZd_41Tk_EF1nIz8K5qnP6Vt0QSnGlW7d3GrgbkskfViPBipj48ujxYCSS7hE5NjdtElFp0lYdbXWPsqqyjE9ue3BzzS6MGc4JexyOjMojb8E8jWBVxPsbVojWm02KGrtS9UTi0L4A2y3MJYI0E6VKdWkrRdVDnfB7Ug_Q79qCAKE7JvntUyppaeglUE2LY7-u87VvRkFvc6jcsFBYC8VQaWRSsamC2OgP2Tp8A7NJDwq5Hqm3A5V1qZCkRQ3HJUaue_QqFeBVSra6illCn4V1-9ar1lbFOAoNghOc7zNotYVZlyDtUoQn_2W2MpEEshLtNvM4CSOyGtsLXF75VY4bVfskmQbeyCNwYDhHGyiBR-lKO0lJoJuXACij-WruM8YhaRsoYdAhFH7IZLnYmnHbxLo2HGgUwsg-2e9Wd5JufDUut0iu2fe7fWS-qQSI-GeF-fy6lnTTBmlc', 'width': 3024}]",ChIJRWuioZ3vxUcRTH31k4EAXTw,"{'compound_code': '9JXV+RV Haarlem, Netherlands', 'global_code': '9F469JXV+RV'}",,3.7,ChIJRWuioZ3vxUcRTH31k4EAXTw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"Rijksstraatweg 6, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.399131, 'lng': 4.638221}, 'viewport': {'northeast': {'lat': 52.4004571302915, 'lng': 4.639653380291501}, 'southwest': {'lat': 52.3977591697085, 'lng': 4.636955419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toffe Snacks,{'open_now': True},"[{'height': 2272, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106934351102037771507"">johan nijenhuis</a>'], 'photo_reference': 'AXQCQNTnQo6exP7NsnbNbk_Haiwi6WtF2hhv4M-pRujJrVE5maXH9BmXBw0Vx8wvkLAxJfB4zaT0AdgdXIiqqTLU31MziM4kHiHc7ibvERG_5dQ9QOmrbI0h5Ywhro2XquhILavMa3WaM951OhGNA9IBxKpPP5UrruhDzDwhyl7F2SX5YvBs-LC5wCqt31sOj3oSBQakE6NrbspuBX31mt-j9VHdfdBK8iM_0OegxWvYkGps247O6SRXHev8Uq4ULObim8ZZnfv30XE79F4EuGblo33_Kux20yH5eGh-fjr0KSkA9XBZ0JasKt23F706uNEson-5pRehfL3REIT0vjvIjHUd5q6qB-q7Fc23VPZEjghNF8lystQ_IZcof4HmoS_JjVfTJ2FnukkphWqh245rZFmUSO2PTRykV7TNoBcl7l3DyuCPRXEE8jO6-YNNBBKcyzAI1BcYMq_g85ihCknkUhmQNRm2isdpt5uyaWR5gSVGdaJetwprc2sTG8umHJXMVcvpARDSJ8Hbi8vfrH2oPzwCDx0xSxGmdb2R99tHgl316XUzNBFCoDwUKHPD0I0i7-75090iJGuzyXt86emWp_tcuShQwzGHDbuKy6XA72X0j6ETdzXLL0aop_VVxOZweBfJoA', 'width': 4608}]",ChIJMQhazZ_vxUcRfnzD8pj5RiQ,"{'compound_code': '9JXQ+M7 Haarlem, Netherlands', 'global_code': '9F469JXQ+M7'}",,4.5,ChIJMQhazZ_vxUcRfnzD8pj5RiQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",98.0,"Kastanjestraat 42, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.3975318, 'lng': 4.6431774}, 'viewport': {'northeast': {'lat': 52.3988724302915, 'lng': 4.644576230291502}, 'southwest': {'lat': 52.3961744697085, 'lng': 4.641878269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hasret Donner,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110934739879036972433"">Fleur</a>'], 'photo_reference': 'AXQCQNRhBUxShbu6ciJE-4Amd3gqXcQ3hIxnd3YiKdfRoqzWxRV-0hHE7sdvuytEBwVlPaG0kBfemR9qEubbMTLkP3X2AeDyHtC6EgzmgBconc3eDpxwBFnPyp3OkMxanffiVXbILTWWWXIVgxgVqD-Hz5k193Mm4XiSNCZwQiLCXLYQUVBM69-UNiSi9hAbA_QWoQ2pfjDVjHieS7VVPaWVpnuSND4iPkD237fc0DkYflnaJL0vy5OvbTabNq2sF_pMWChwzW9pUMkU-ydXqxHL-qFu6WP4x5NPLzJr_pkiBO2g5ev9SsyMOZIBTz9B8IAnJkoBxQzZAE8tFnZF5cOlqmNLs5ReEvE2TsQ1LZp6_pIhw7VHRYCsAbGxrWRFtWQbC-S7XQc47-xojqalfCbkf56I2DQWAF7fJcMTk4wPdURO3VYRDPplO9iM26iv-wkGo46E1Kg_ot7cVFgSx0emgeo-bNBPC4CmlfNWkcTdAuG1gH36qb610J6c6mN2b5tyQpFBLMTFnQXf5pQ6E2nLgybMPDwV566xdQIH46OD9UE3tbFkQNxCIfcp-afmU1UOaEHoP3xh3iXzhb8s34TdobBLGeqj-WD0oTHkraOElBWtQwEHYC6TpBOg-I6SbKEaq2zIiQ', 'width': 3024}]",ChIJncXLi7bvxUcRya-AyS_QmbQ,"{'compound_code': '9JXV+27 Haarlem, Netherlands', 'global_code': '9F469JXV+27'}",,4.5,ChIJncXLi7bvxUcRya-AyS_QmbQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",43.0,"Julianapark 54R, Haarlem",,8819682539fffff
OPERATIONAL,"{'location': {'lat': 52.39935389999999, 'lng': 4.644941900000001}, 'viewport': {'northeast': {'lat': 52.4006395802915, 'lng': 4.646253180291503}, 'southwest': {'lat': 52.3979416197085, 'lng': 4.643555219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,De Snackerij,{'open_now': False},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114164055113401758649"">De Snackerij</a>'], 'photo_reference': 'AXQCQNTMSvLbLC-j28Hc8bUB6Enzy4h8hLrSSf4d_GUSUZ2p36tzGVl_y-eJxhHRHnuPsefYg4yEkfUPKO2QVwgmRFySRlpT6OvOAGOPZ6XjN0jLcD-DI1ysiIFIt6i8gnJw_5ZNiiI95oogeSiWrA1X4e4XP1AsxoGJiqFbVvfhJQoCuzNeVwInSoLeya21Bhe5xZkCivBtGcIPnwPEn1nAhtE-fKYM56VwqC1PmyJ0PUgA-lLfPtI6kDgVuzqCSv3A7lrSVKdjBZg3nOiNBB-PeGzLZRc56v1HpSJhBRQHMyfMKuhSfJ1sRFmwbRTzyVsvJ7MZf686c9E', 'width': 4032}]",ChIJ-2RhdZ3vxUcR8Eso7q8F8uQ,"{'compound_code': '9JXV+PX Haarlem, Netherlands', 'global_code': '9F469JXV+PX'}",,4.5,ChIJ-2RhdZ3vxUcR8Eso7q8F8uQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",60.0,"Floresstraat 5, Haarlem",,8819682539fffff
