business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 52.3929551, 'lng': 4.6411064}, 'viewport': {'northeast': {'lat': 52.3942908302915, 'lng': 4.642470280291502}, 'southwest': {'lat': 52.3915928697085, 'lng': 4.639772319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,FEBO Haarlem - Paul Krugerstraat,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNRnXKqW2qxQcRqB6U_Zy_Lb1_1hHwWm6oy2aQujhLQTTvln4KeKQ08GbPyaCrAp0kzcPI-MswA_Xre5iqZMdXRnQ9in1X0bH8SLFROo6Tzf0mPGFY3hlMyXu6i70tqG2t7NMLN4VO5kZRTjlAOqLYp3YyPQaVHNEylCbKdMVOinjCLDbUKa96peyDdV8E_e9sS1e6DJgpPUqRjo4xxvjFHUWAzsjpsou6ZgWlnKc3CY7l-3nVzmx6_ZWqb3cRycMQqGIW_bSNrNN0lTmOcJ8dPnrhLheTs_EkvC2ea7QQO83b4jLT7GqJNPrglT920lJoFUVuc1Z3kjU-_Ce5KMgFJr27EUV-qVZkxEsJAChloPXVQliW8kUX152iHy-x57T3UjNU3KWPAOxEWVgszXcYNxAcjZcKMq_fyN2Q7LUbA8Ps_TE06DOEna68N_f-95MVl-V14nRMqyNh7no9bx70uefiqWMmBgfoPTLyhRtBilxfQxSuBXf1qDGXIFXsh4GLiLV2esylBNhyr2IWmawjzwkQgujz6ijDlXBpNI27JpczFYRCvKZEiIlbdpgbAATdA2IDoU54xXOsvsuySPY6U-0plCuT66OTCLngIr9fZqIP9sKxMQh_Cna9bJGxtoLE9qdw', 'width': 4032}]",ChIJq4XIrHbvxUcRbjFqEu9POio,"{'compound_code': '9JVR+5C Haarlem, Netherlands', 'global_code': '9F469JVR+5C'}",1.0,3.4,ChIJq4XIrHbvxUcRbjFqEu9POio,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",227,"Paul Krugerstraat 11, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.3928354, 'lng': 4.641784900000001}, 'viewport': {'northeast': {'lat': 52.3941448302915, 'lng': 4.643085280291503}, 'southwest': {'lat': 52.3914468697085, 'lng': 4.640387319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,New Delhi Tandoori,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNTawND_wkNm29YI_gBWdE8MjbZxbFnqV1XgZKtu_eF17f1m2qWFt7YDT8PeLpEpVjOYhcU-7NmZ9PuIepTaxDD2U4UCLzfLYuPjYiujvrR__F9OXYPO-5f8u4-0Ci8ozTDLLmXcvbKELQI3RVwcHA5FdnwiJkG6lkXFfb5g00lwCaoO9bGbofzrbJBA1clEV-UMu9oFs20M5VVc39zEfGL13Fqa-XVATmacEHePaQWSRpIDV-NPgLFCZNY71S19pWZnNOmYJEOXVcOe4GEUOBziLFf1u8CsIJWxNevWI9Z0PQwtENbNYPYvIKtZVpGhiIaCHHtta7LXjW9kjFu5trt-ULQinqUNPROp1Pu2PDyL02tibVoy5dv9niNHBG53V91jKgVVhVlHFOb1G9Gnran1s8jts0S-ay2F7EQfC5vnJ6XRuYIvOfA30dWQcHBOlq7wM6-y0KgF4oI87L8rAUP4mrKnZZZ0gH5PXwgpfUNjc_lvuVXITnKABZJrE6qa1_x5H2UARSFxnyp5j5A-s-qSYW_Nep5w_jx8KQ5AQbsu07CtR1MSEWjJwUYBe9p3zkpirwyX1mg95A0usekBsbmINlovTZ8Bs1sWZsGyy-mX1P0ytGuSCg5i7QbGYjVtDL-3yaFD', 'width': 3024}]",ChIJnUPLrHbvxUcRBMVhYpM64Ds,"{'compound_code': '9JVR+4P Haarlem, Netherlands', 'global_code': '9F469JVR+4P'}",,3.9,ChIJnUPLrHbvxUcRBMVhYpM64Ds,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",96,"Paul Krugerstraat 23, Haarlem",,881968253bfffff
CLOSED_TEMPORARILY,"{'location': {'lat': 52.391419, 'lng': 4.648120800000001}, 'viewport': {'northeast': {'lat': 52.39283428029149, 'lng': 4.649874830291502}, 'southwest': {'lat': 52.3901363197085, 'lng': 4.647176869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kays take away,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112169272476814707986"">Joep</a>'], 'photo_reference': 'AXQCQNTTXr3AR4F-Kg9V7l5tKEVp5Fw6c8SF2Ohc_X2nvObBE6dRpGN9KSLhhbWTQx3X-wvAGLZ6DaOZHyIRVQWx2UdqGGxQZYXM3qGAbaxX1N8btAoO44FQC_SFRq5pdscouZ8ETZQHDEu3tO2NyGN647AA5Vpq8gNyhtJZVWN4wxXBkmweOkXW_UaPjq98IQZj1owYnuc164ZFUtHFiV_spd6fHgCSp4_PJn8XCVUeAWbhhRtHxfMi2pz_3n3eeR9RSYez9wLongEa1YkzboRiFAjmv_Xm0UN42EKud7pl9WIjp4PHWSRTMFKUFQMwcVOHb-Xmf7AXfN-1xGjggN8AEgItOkTBTcCZUNDozE4LRs5rj_1ht4TRaw7aQ0_R_puPJkiyBSZP0Eiix_Nq7vHZR3zO6pdXTuFsdtLER-QJKOgHljB0bbGiTt9q6r5GPdQ6sYeuqDDetZ4T1puRRzBWoQsh6g-QDMjEzbrFkLTLNEqqnU0GiM_AqLa3diG4P18x--4ttG60GP5IOiP9qRbnzH7xKDJ0o-E2wkmSNPh4DbDvz0le0K6rID-bYuC9sZYdlL9AsT8yT9Cm08DyWXwxM0Q3OOxQ86hRToaW66R89VlJZbL8R-xXUZi1zASY-2Zr_Gc09g', 'width': 4032}]",ChIJD0-mCw7XxUcRHDVdhYMLmk8,"{'compound_code': '9JRX+H6 Haarlem, Netherlands', 'global_code': '9F469JRX+H6'}",,3.6,ChIJD0-mCw7XxUcRHDVdhYMLmk8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",26,"Paul Krugerkade 16, Haarlem",True,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.39503729999999, 'lng': 4.6423406}, 'viewport': {'northeast': {'lat': 52.39640153029149, 'lng': 4.643597380291502}, 'southwest': {'lat': 52.39370356970849, 'lng': 4.640899419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lunch & Co,{'open_now': False},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108893383593559904344"">Robin Irwin</a>'], 'photo_reference': 'AXQCQNSkY4qBeuqIDpKuqLa7_p6a7fXm1NAxoia8Bqz8DY6OLlhhSm-v8NmsnQLPW9INjVEvyv-Fh_WkYbzd2OFXN0qh8l2_uN-gr3g6qcEFcyNV6AYUx590N_u7B2ojbXOk0dT7gN17Df53SSws732Dkx2-ltn2SGo_C0EB5_fBpFvWh6qffLh5VH0-HavURWfi01H4zKTsA7dwOMbOGmgEzU5AabrwFYjYWudAOUvoi5WkJtRCtyVbcHLv1UI_fl5i0rbKfNk6EMmHtWDHdh4ljycqGRFphGwKHGoAfSlh86Y8TqHKteD5uu0ZpfzR85W_W8awLfo_GD8MHugsfIOGR8IkvmKINrGyiHQXJEd8fkIGrXbXURrG3Q_QVkHx_O7Wra1DikRttpnl2moXMkG4TacLYNLA7kyMar4QsEsjnzk_M79-rXFZvm45hd6zNrj9V-Rtu6e_fl5LEq5gAUINhgfXPDXKXsBFpiELF1T2fcOgkY9NERohbCKGH8wlMVSjUc18PvqVEw8fnDQwXunb06kqkuOwPgA5yaqM9G2NzfrbjKoGjwaQ1lxpgEBpuBeP08nMssVGl3cUhWruJ2Uj4JHHoiE0s06oABfMTdv0dQRIf-Z7oFOigk5UbuRVi627jTWdbQ', 'width': 4080}]",ChIJ5eGyjXbvxUcRRwqmB8ZIRPA,"{'compound_code': '9JWR+2W Haarlem, Netherlands', 'global_code': '9F469JWR+2W'}",2.0,4.5,ChIJ5eGyjXbvxUcRRwqmB8ZIRPA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",334,"Generaal Cronjéstraat 108, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.394989, 'lng': 4.642338}, 'viewport': {'northeast': {'lat': 52.3963603802915, 'lng': 4.643588530291502}, 'southwest': {'lat': 52.39366241970851, 'lng': 4.640890569708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Alexandria,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117551105313017921333"">anson antony</a>'], 'photo_reference': 'AXQCQNRQ2s5ABPMLCxotue8g7Ykr78bBmTYC7GB0MG9Q_xCQrH5YpgJBCT9bSeW9EefKAf_YkhegMs-47cMJXEVs1PnCvlVLwTsjE_14M3cWtewPl0RXuDO0LtDZT87OgkoPnHXbPvAsEYiRhuLi-1ktwoLJtUDeMEOnG-Xkj0WBvaziekRh9g4Iv4E2v80mJQmLkow8viXtY1JUJCIcf_SqYsUuNJLJUxBGzzII6gdeUhyrLY-YOVcOM8YiJ4aUXrEUwYjoBCvADBt_mIIHn7Qa8tC8K42vGtdDHjRvb8e4QYbaZcg1sor1o7ubK5uiQdVwXG-MSpIX2PKaus4xtOtquuLDfNjpFICC7RxFJOShlewMzL9vZg9MEMoLZorzjVbvjHyt1gnCs3OOWALyS8VDPIjZonwiUgFuaA2Os_x7BldRlG2zB81Gq5tbcz29Anb3NxJ4dbLRbpZwKYNHtc3mqUkFX9qZozxkqc8dkel4BQKIWJIlkWhMZEh8RUZN9E22OpmTHtkWhtFq2PfrLz2hTRdoZI445mMS75pDkgTT6ixxSasx0rrH8S3uqn8L0IPYSkitqwGaL0EAtaV7pT5I_dYRXTu-0kvMoCrFfQZ1wcTIAypXgvwNqWUs2EehcuGu8pq6kA', 'width': 4000}]",ChIJiYwg95zvxUcRzgLSUSpxaEw,"{'compound_code': '9JVR+XW Haarlem, Netherlands', 'global_code': '9F469JVR+XW'}",,3.7,ChIJiYwg95zvxUcRzgLSUSpxaEw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",66,"Generaal Cronjéstraat 106, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.3919673, 'lng': 4.639399500000001}, 'viewport': {'northeast': {'lat': 52.3933451802915, 'lng': 4.640659180291504}, 'southwest': {'lat': 52.3906472197085, 'lng': 4.637961219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Milano Pizza,{'open_now': True},"[{'height': 2952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109208506233271503384"">Danny Gooyer</a>'], 'photo_reference': 'AXQCQNSkSapshv6dMBqlHdnB85bYWaeklB4EvXP8NNgRcd2QMC2I2RM_Ul6mWOcLM-jq6Ove33Iigp90zXBbQkk0ZFi0Od8qznWORUhpzi6T9gJkT-erMuv846pSHALrquhFWvPNAevdvPv1rVIxUFUjyb4pGhstMBOPJPyckFrNADfVsyQfe-qj5YZ8ichI6zmS068Odlkn9VGvhr0qk567vcHNkCtrnnbR85o1VJYcdmmRmmqM0tEfUCXDOYxmL7vuk8h1uoqYf8GMzFnDo0iGoIEbKiZkSqF8h145lCIcumHyWrP59mbjqWnGTQT0R0B4ZWG3C3Zohc-bcgfPc05MrbUcEmWaoXZgxi2MssjWlFaSdRQg5ATV6QE7ufq9Iv9QtYDYn8CD7msyZSDE2jxhZMo3h9x-YCN252fZtT4x3QBw3xXYd-Ywx1O7837pIpKhbTPcJFQVzz26fKX-SusMUGoXSjpdukNeLqZPhK7W3PbNur_6Qz56-ttKsxla1py_YkHcU9m0h2DD5bcaC5U3RGW-2etzRkM-Wnhr8HilxZyoI491gI4Bf85IfiRz7RC4BUORLlZ96cZZDFzzmWzbN-dsQ82b5b606_ox_QwHDgeDDu4zVcVKZ0BW20Lw7Q', 'width': 3936}]",ChIJZQMs6XPvxUcRsRnY8CjT4tY,"{'compound_code': '9JRQ+QQ Haarlem, Netherlands', 'global_code': '9F469JRQ+QQ'}",1.0,4.3,ChIJZQMs6XPvxUcRsRnY8CjT4tY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",133,"Kennemerstraat 32, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.39631, 'lng': 4.6429293}, 'viewport': {'northeast': {'lat': 52.3976721802915, 'lng': 4.644183830291503}, 'southwest': {'lat': 52.3949742197085, 'lng': 4.641485869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kwalitaria Reko,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNRmbFJsCK_952bxllKmZz2z1MAnu6cPEJN3YVEOyO3jkcEkMYviTWdxnyFumBwViq0bj_Y7vLhUnkuCKK91gw1SBgexr_dCqoqHl1gQUp2EUZKpD-TjYT6H2BTugkOeMl7Qh98P2Jzses1dIYat1SHLs7JgiolIR31qN6ohtTFi40XFB32jiM2mnsl7g_YBVkDtQOp2r4AfCvHXpxctPQjbzQ_sXHf7vp6lXrPf3CzkY5pwWKkvfojca4ss0-0fFXoOWmGF9ua4pogZORv68kWoDylZ5gICCuI0fqS8D-8Our_cPFJuX_oMaVKrK2ESA4Vot-C9GP0nUohpypnBQLjK7rjgQR4VqTjQSm6svQvI96Ou1-YKkDgGWnmpAmb3CBeUFcq_vfre5-_ZKWt4-uyPnftIBXSYKzDfMNGa3ubHzF00R1NVmY-tgiEKTIpcFCQGg2s1gWD4FyA-0IcNFocso1R64ZK4sSpi9UnhgOBBxLPX2hgUYiT3gt6D0O2D-NCWaxWg2L8svfchcq5kuOTT40qFf9HH72an7Kl0glB2E7EsZg5aKcPGCUYAtVxD8anQr2AUV4E-nQKl2FVRtkfBC4SCTSVu9mbJraBmyb4c284fMsmXq4a-N1kYfUiv', 'width': 4032}]",ChIJ-eePQnbvxUcRl9WCETZVYSA,"{'compound_code': '9JWV+G5 Haarlem, Netherlands', 'global_code': '9F469JWV+G5'}",2.0,4.2,ChIJ-eePQnbvxUcRl9WCETZVYSA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",389,"Generaal Cronjéstraat 164, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.391419, 'lng': 4.648120800000001}, 'viewport': {'northeast': {'lat': 52.3928629302915, 'lng': 4.649822430291502}, 'southwest': {'lat': 52.3901649697085, 'lng': 4.647124469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,D. Tran & T. Tran,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104900167929430831506"">Hennie van Malsen</a>'], 'photo_reference': 'AXQCQNSR4P2rIkTiwiXhKsmL7nsTugHY52ByOgPea-CiTWzC5HdCoAGjxu-g7N9n0fdkoDxXMY7s49IvcKsKDa_X0jDRZb_oRpp2ArUq6MaRt8SbLS1pb974f3_1hKNCfaz6rGLB1fqBiur9Z4lXZ9DHvHzKPglBSkBueLrQzccqT0FfG8ZP7CBQUpoY8p7d8oMTYSZ-PGbs48TuzLQ0Tvf22Sb_bBeDbLA7GBpvyGRl6VAbHLlwWTF1VjrzJqjX-2v6syB_cOF9gFdoB33-OnwQj0LjflD9hLW2appIG4Dyiimx5LEjcVL6uiyyozsL5WTsaVPWRvopJN4xnUzgmDDAcp9fCI60sh_iIUnZKgbhU-2xg67iyGa9K2twqapmW3DvGaaewxh4qE2zgC8GSShc02m8DlnxONJxY48pDe4C0xxJjWYWMyT8qlXE6MjCP-9p-2FrhpzDXQswuB_wvVaKy7TEn4Wtg3EQ5dAlfx2UkKd5FeQi0d79fMrcQ-rUI4oxX6nqNq8JgafVK-LWBZ-uc1hEh6Mdm_BvVdb3YOBJmZrZBJalskc69YuE3j8_fKwQccwjQ-tpL3Rj8VQmmHfPbERiHXdlFpgJyIm0z-yQqjs_BrYl-hmzwfDwj5gu2DzXEVQ70A', 'width': 3024}]",ChIJYWJhE3rvxUcRUsr3Th1hR9Q,"{'compound_code': '9JRX+H6 Haarlem, Netherlands', 'global_code': '9F469JRX+H6'}",,5.0,ChIJYWJhE3rvxUcRUsr3Th1hR9Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Paul Krugerkade 14, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.39333370000001, 'lng': 4.641571200000001}, 'viewport': {'northeast': {'lat': 52.3946996302915, 'lng': 4.642824180291504}, 'southwest': {'lat': 52.3920016697085, 'lng': 4.640126219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mr. Sushi Haarlem,{'open_now': True},"[{'height': 672, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101878439500858949126"">Mr. Sushi Haarlem</a>'], 'photo_reference': 'AXQCQNQg4xHGRiHZ61MHbhJeaSwQseVNqDhlbu8TSyS3luCSW0iP8sXAbopp72-UYHaMfUIZLSWuq2MaVCTbSrB53cDWDy0DD6rHPxagCG5IE_Ym7udW8Q5xA_34yIA2Ph3hL0gnGlZS1Cwa7XPu5KXPgAOfqLUjxQXwfB84eBhRcBFcFEmnUibGvqnRxr1Wt8KEXMeE8TkZ-K7D_l1P0Rzq4OsnfjlM3L4eNjkyIUzXdBB2PtTbOLLEAyynTpyvPkjTo_6WzfdqcDfLWd8CnA7b63m6rxOlr_geed_UVCLQsn5ZK2o9VqhfSwxDmbicpAj9lKZxc2nZP7k', 'width': 1200}]",ChIJJeg1nwTvxUcRcfNBx6XxM7w,"{'compound_code': '9JVR+8J Haarlem, Netherlands', 'global_code': '9F469JVR+8J'}",,3.2,ChIJJeg1nwTvxUcRcfNBx6XxM7w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",136,"Generaal Cronjéstraat 38zw, Haarlem",,881968253bfffff
OPERATIONAL,"{'location': {'lat': 52.39327249999999, 'lng': 4.6415352}, 'viewport': {'northeast': {'lat': 52.3946378802915, 'lng': 4.642791380291502}, 'southwest': {'lat': 52.3919399197085, 'lng': 4.640093419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fresh Food Saigon,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106870523046496088110"">Iekie T.</a>'], 'photo_reference': 'AXQCQNQarOT7jIrlgowjpHcBmfQaSmo39DR3wJlZ_NJJhJLSAYg0eW8UNs7wQAiSB5k3X1sl6eQTMnrNbjefwm4boaAL6djkgpO1q54fopVUV5b7_nIubxwKyaT34NvKFXvw_dcjLcvAJZSCcU1PoDux5nxG25T1TP3-yZFZ9QodxbiKSp2FerlIYFYgSAze1in3JBLnqXa4ZJ1fefUlBgUSNYZqjoYA57owNysvLdLeTL0ZzjGy6CrnA28Ebzfh36qkZfNPFeC1-6eEtvn9Z2LmN1SJxA9LCIQhm3ZDP33aUfKeKCSHuaBZRTzT8bKP6o7ju03cJXgMkqoYzjaNZ_c55GIygT3ABxIRWSRGfpPW-N1WrDVotDkb4YZVkVHfjupMU6MT-TV9mRDl2cFQ6ZZXwT79F_T4nP36rfhtJ5zXDiGM0JKdwzQEeN4Fd1RtPQwkTzPbSWRrRCy0Y-oXDMGBPsvmYBPTM1Xz9UaZS3xcOWq7zXZMDRlmkVUBcw8GFlIUJ8RT11tIzRx-Y5z4aBdhJyzhfpt-BBQqXSNx8FQhBzYr7bsUItdsx16RpbLbJN4DViHIBc15KpAa6fGd914v9CQUIT0-E3JaT-YNXqYR37L6RfjxJ4phdSAvD1313akEpFYQBnbf', 'width': 3024}]",ChIJkz4qoV7vxUcRJEIaWEbKelE,"{'compound_code': '9JVR+8J Haarlem, Netherlands', 'global_code': '9F469JVR+8J'}",,4.6,ChIJkz4qoV7vxUcRJEIaWEbKelE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",18,"Generaal Cronjéstraat 36, Haarlem",,881968253bfffff
