business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.35904659999999, 'lng': 4.653768699999999}, 'viewport': {'northeast': {'lat': 52.3603081802915, 'lng': 4.654920880291502}, 'southwest': {'lat': 52.3576102197085, 'lng': 4.652222919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,HEMA,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102611899986458934541"">Ramez D</a>'], 'photo_reference': 'AXQCQNQ_tKE7idQuSn2kDZ_tLHs11A3SqhrE1_f02UWwFHT71648S309O0mMbmKk8-bdPdHUOQvjzr2Qka5ZDuutjXUw-_w6pH82tCTshYTuVf9Lz7iSuQFA_w-AKf0hx-GjAobMF5208OUo7UqEkvjOqDSs5iiWJac1PD5Cn7GuuYj1o9WBV9dBbhbFgwwg_uQatPrPZbpmHSTzffqGaEhRSRsfw8YHNptlYFZPVlke4tHWmFpUsrVmAbh5g1wSc1a4BurEXjB5XUhipI3Ceb5S6o10HODFZ5x8cpysgI2z1_qLAb1-g_wg131oWoCdMV3AmT-MYvSJg_fk6quiN8fzB8aKtUaVWuW6Xg1XEHvdAnoxT_G_2fKaGqGxhQ2cgOEpqurCoAUhVIBldbgyg-bhz_TlH8Xi36wH28N80hqxC6E8EtJe5Lgfk9Ty4KE9FrXx9ZSu6RobKOrMgsC4nVZWL9FE-cgwMiXukTK_cRkkiI0USFT5r5KVjbtVT1JE0pJSfMvk94Mu7QfHmAKusFJb3aW8jLcJy3eEUipJuwSBjA0G5hd71QwqrIxCfkWjD--_PK3dHwxE1MO4nhdzWO3SrWyG6M7ZTyRLPUBNuda2W56tY1-e7jMffhNhx2-9LQisBpTk-Iaw', 'width': 3840}]",ChIJLdXS8VXvxUcRba1493KqmYU,"{'compound_code': '9M53+JG Haarlem, Netherlands', 'global_code': '9F469M53+JG'}",4.0,ChIJLdXS8VXvxUcRba1493KqmYU,GOOGLE,"['department_store', 'home_goods_store', 'bakery', 'clothing_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",362.0,"Rivièradreef 24, Haarlem",,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.3617145, 'lng': 4.6500004}, 'viewport': {'northeast': {'lat': 52.36301393029149, 'lng': 4.651370880291502}, 'southwest': {'lat': 52.36031596970849, 'lng': 4.648672919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mahzen Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109638309201652791003"">Michael Beelen</a>'], 'photo_reference': 'AXQCQNQTd38kJl6ZkJlpEHb1insbYrGiYieDZSZ1pL0v99DyPe2_IFyb1JG85HrPAkrzQMGjgtyb1Y1mG4twCnaHSn1Ro9V0V0rPAKVotxS8x42oH_-YOtnWElBSGuK5yDHyMbmB8BUjj0a49f0yT1CgkDyTql5z98qLhk2g9Z9e6Vd7h8tiwrkKmLzvlSh2DRz-t7HhG4NT4aZC65YwCjh78iq1wsQAi-__P1uYz-7xi9bsmjHzSBFLZw7xC8nSWfRuAgiq0nrNEYWzp_YwQ-gQ8dknBnSJP5aS6J40-6Vd4ym811YFIqEWZHx9ldvuFGLDBAPdrpmwKD7Hbhf_iQZythm2zdDDaGpdk15-MM-F67IArhuYlFD30VllCZPIN9ncxpbAwHg3VOzCevq0Hx1tDR87aYKTzRcwkgRzbrnmDLT49T_x1vz--4ybX2tHvnoR5EBXTTo-VaLLw50_UoJWrENrla2wGOqMm_R3QRJt2XEp0p6XMGT6Al90ZiazNiVMxOmF8Lviz9uD_rzn5dS6o9ov4IggHKoecnE_BY4zZUx3XVFuVY7cQR4CjMfdFwzAFm2qpgJWf2zy7WjSeUjEo5X4P-haDu6XSxMC9dHZGxfOn6D7xOmNjFWGHESnYoTkm7g3dA', 'width': 3024}]",ChIJQ3tVvlbvxUcR6UwrdBB1uBo,"{'compound_code': '9M62+M2 Haarlem, Netherlands', 'global_code': '9F469M62+M2'}",4.3,ChIJQ3tVvlbvxUcR6UwrdBB1uBo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",718.0,"Italiëlaan 165, Haarlem",2.0,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.35969430000001, 'lng': 4.654972099999999}, 'viewport': {'northeast': {'lat': 52.36124468029151, 'lng': 4.656377480291503}, 'southwest': {'lat': 52.35854671970851, 'lng': 4.653679519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Kippie Haarlem,{'open_now': False},"[{'height': 3554, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103326091325167037459"">Kippie Haarlem</a>'], 'photo_reference': 'AXQCQNQuZxpevAxaekUVDIzdDKWySElwgugrbuNqvC2hcUDzY1ZLS_MYttxM2CTrSZZteCsKWWUeVW4PlsaafPzAQMGnzPm5nnjc-zW2K-ZLpuJpCZy9rEeH_l98DIKxz16nFQLnHzPayFvzSxBr3WJkLWeJL0JViiSCqmfFZ4PyWGMAT7_EW-CU1QLHPCiWTHR0rZmx8sikPzpWGf8TdRZJI57IzRuC7btZu2u_txYKyijIMNLvgSQo0Qk8w-Y4dW8355wCYX_pwgJ3AgSIcMVpmtWp5JUf0BHI0EpjdxVTwXIOumR2-A8LK3JqGbE13uDzy9cCNcKJG7k', 'width': 5331}]",ChIJMb6AV__lxUcR1_CNo15bkFc,"{'compound_code': '9M53+VX Haarlem, Netherlands', 'global_code': '9F469M53+VX'}",4.7,ChIJMb6AV__lxUcR1_CNo15bkFc,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",358.0,"Menton Passage 8, Haarlem",2.0,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.358473, 'lng': 4.655205}, 'viewport': {'northeast': {'lat': 52.3598492802915, 'lng': 4.656632230291502}, 'southwest': {'lat': 52.3571513197085, 'lng': 4.653934269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107826474859449867351"">wesley van der meule</a>'], 'photo_reference': 'AXQCQNQmSVhO4ESsx5kosCwx03L43YKaSJlIfzxbKq4OeCb6tNGJwT_mg0MEI0dRvn9VsNde_zXu8uk3ZGnv0TIS3IwQiwr5tYl8C7utFvkm7p9VTLpxzQpj8JB2H_cymaAQgCwy9gz39OLfntg63pUXa0IXBkJmLftnJdSgNINPGb32mJzT9s9djGA7x1ClHQDVQNojcEjQxe3Fp-THnv1K-cM9s4k9B-4ofKa4ZZMc61ewKNDO_EKM5FnFwKFtucOW-XxhMdGybANp8I9xalHHJt4N7JSC41s7Y0wYXss-fgundfloC-dAVzXYu7x7HUSheqLIMYACyeV9_Ei-UW7GDA4FY9iCGBtWUIhcaVCZtQy5GFg1CRloiDVBFN2S9dLgAY9D4hNI4ZpTLPJlTzsevqZLolDNR3k5sI0oWzwYKKYj6s-gbG9pIwQW3B7SrYaHYE9Oj_MwFCLb0ZDRBzWJTgGPwLYqiRWDZ-AwQ0R9eEGBAPpjzWg0735RoVbtzQ8Uc8xY-lyyrDkIhPSJ3ir1IgSy4DZJvYpqPiOD2LhbUS2qaMCZI1fqjAquomdgCnUwrBIwh1jsgWv8UYnfITd778r46hnLekNaClRGm7fJZhknBgKI_lDIKDcXQ1RkeZ_c9gdK1ZNT', 'width': 4032}]",ChIJ1VI3d1XvxUcR03UWOuVkUGE,"{'compound_code': '9M54+93 Haarlem, Netherlands', 'global_code': '9F469M54+93'}",3.6,ChIJ1VI3d1XvxUcR03UWOuVkUGE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1317.0,"Casablancastraat 20, Haarlem",2.0,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.3592289, 'lng': 4.652927900000001}, 'viewport': {'northeast': {'lat': 52.3608378802915, 'lng': 4.654116580291503}, 'southwest': {'lat': 52.3581399197085, 'lng': 4.651418619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,KANEDA Sushi & Bowls Haarlem,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113547032860370480487"">KANEDA Sushi &amp; Bowls Haarlem</a>'], 'photo_reference': 'AXQCQNRmtsl4sfINwr-kqDPiEY0uMtXZDW4GIEbGIQ8TfjhUG4u0qx0lEn7dK9NTEFVjFYZb36DXNebYMDx6Nwl5tmECUNCMe5YcX5RbWslpa62xR3sojCT0GofN3tg6NMmtJ6wLqesfYf2H7jWTagzUSWzQ-U4nSFqxTVJ-RMAlp2XnUf9N2kE6cMAKbQU12NHoIdmvfQ6F7-twAvP3lQrNM21MfNLhjFPX16x9XfJEzUqKS_Eg9HpCrZSsGNMdOrWWbb2VHw90caZ5xHDRaiMyhUAqKlDJWq9WKHfofYVaZft0epxkV-gBmRTink4Ht9iM9lhboS8wvco', 'width': 1600}]",ChIJOxbgibbvxUcRzIfMwhAM4F8,"{'compound_code': '9M53+M5 Haarlem, Netherlands', 'global_code': '9F469M53+M5'}",4.5,ChIJOxbgibbvxUcRzIfMwhAM4F8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",95.0,"Andalusië 9A, Haarlem",,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.3590807, 'lng': 4.6528969}, 'viewport': {'northeast': {'lat': 52.3603251802915, 'lng': 4.654405930291501}, 'southwest': {'lat': 52.3576272197085, 'lng': 4.651707969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Erva Haarlem,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116496474270044026731"">Dela Davinci</a>'], 'photo_reference': 'AXQCQNR05uJIgfrhQI9CyWXmtQ4TKJPZbgSkNzCLTKObc9hNJ2BAy16h7ymbFQpMZhPpluiTC6AxP3uNjLYvQ5Je9Rj8suS-pOBBkW87yZ2lV-tf25yMhQt_lOe0zkbc1ZoADfhYOiCPW7GPzsgbX2XemhIrCX1mqhoB_nsfLTTdqXHqWNeMpvF_PiwLE5r-XXsXshUK9a0Z1XYQvG4FmLjhUdrokus7P7p29i6Ra57LhkL62zKJyzt2EPxFXi5AYDCQMaK76DeI5b16j8PbxKX4lv9g1oPUTZGWr7OGktffNh4OOSXa8BYZGhzdU4QU3ZWf3TeN7VKeMw0d_znlVZLjQtuIpRo_Wlv7Vi8uRz_bek1CddyiVri7GCkzNNqr5gy8bWLdh8uHBRNHs1Eo8EpKNJEMfiM6QuQAiSMJ1yAmtEUpNlekfb0nlbaZwpCc4zoHjll0q-1FWp9fAKkbX56sZDSmcx3UL3DBu5KoAERRmg879hik-u6YdpK5zxfjn0DXRkfVAQaGsQqhkrzpkTtqAgyEJ__5TLHVceiRktIbgxR1tz8PPtQMdD2HJrNqhviw9CdiaRjr0klO2Cye45CNj8u7VnW7HsldnRLnjUhDxQEIoBEGUuruxtbMHNOhlhKmisJVf_Dj', 'width': 1080}]",ChIJX6FHURvvxUcRGeHgz0gvk94,"{'compound_code': '9M53+J5 Haarlem, Netherlands', 'global_code': '9F469M53+J5'}",4.0,ChIJX6FHURvvxUcRGeHgz0gvk94,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",290.0,"Andalusië 15, Haarlem",2.0,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.3596125, 'lng': 4.652711299999999}, 'viewport': {'northeast': {'lat': 52.3610351302915, 'lng': 4.653953130291502}, 'southwest': {'lat': 52.3583371697085, 'lng': 4.651255169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bar & Jo Lunchroom,{'open_now': False},"[{'height': 1848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108934371601723180369"">Cindy Isabel Tervoort</a>'], 'photo_reference': 'AXQCQNQ9WYkWJtwGNi9jI8ba7y4BOUCZ3QklIoBqevjjjz0A4wfQpBL0hxZVZryt4T_B9WD3KZa5usvrZJEAkvcE6n73FOVbzCCQsck7GTeM1-RpxoLYmi2C1GIjHygUDWVA4W6NL0Yn4echBBX5Q_YLWMwp-BcxWYYRmqWqclVzz9etbOK63Avt9FuT20QQqO8WhNlptM5k8r0qOLcEPQC_Lnw5N69Es0wxDgkeHVbtoyy8CkeXvARt-j7VSgnye9_KMHBM9CRh-wZrpx7zyoNa1wJN7kQK9PaZNvr4iHSagukSg-eCZ3ptD_fcD3Hd8u733dNHhhLgvIQkwYeRpzcvToM3REpyOxwJJSHCvSGL8VaDkXidYqBSgL2dlpccEkZSIThc4vpPd6jXZyNiJxuhIWyBM2yr-hUfqVrQd2m-Jm5KioDti_8YZ0xX3QCsmBT44T_MYyIf1XKv9garWRhUZCo5a66-maWtXq_mu0vTvkxmcYsA1qNS9KFvNws21ccx3G2vTyQPW3aX-VoUHtqg7TQuEsRvCBC30lY0n5tmcPVerbKwTxkdcAfxIWzcmWBuRI23bpyUjzFv7Te0FV28k13yoLAazVpiTZdn4k6ghyPLndHQb8A2RfSw2AQkQhFLtY1_NA', 'width': 4000}]",ChIJu7M1xFXvxUcRfU12hmjtIpQ,"{'compound_code': '9M53+R3 Haarlem, Netherlands', 'global_code': '9F469M53+R3'}",4.7,ChIJu7M1xFXvxUcRfU12hmjtIpQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,Netherlands,,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.35927019999999, 'lng': 4.653035099999999}, 'viewport': {'northeast': {'lat': 52.36085258029149, 'lng': 4.654166130291502}, 'southwest': {'lat': 52.35815461970849, 'lng': 4.651468169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mayflower,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117845667578952838077"">Mayflower</a>'], 'photo_reference': 'AXQCQNR5mBWlW54jSISpAGfmWA5ajU1EiSzrkTeDOziytosr9ZwetnHEu5hcfF11AIwF7d8GEin2N24IqDu53Hhj2wWz8VqDBex5_K0cdsHbfLal_5XY7_4CB2Sa-Dn-o01DHN0QwOyDNgz6b7Ni8yhyE3KE3ma53PHAgRRy5x8b7bq35eEPWQhXNvxsth4Wha930lOuL05LQbt48laun5Y1_NJh7IHF6kmaWXmMK9EmtG2NhUayobpacp2wG8KrOR9Pd4CzAGMN8Co7XeJCw6ER4_a8lRtPxVDiMHZCbBPo_FrStYHS0l4973NE0yJJxTAPJakFKMG0HJk', 'width': 4000}]",ChIJN4YswFXvxUcREy8GLOqS924,"{'compound_code': '9M53+P6 Haarlem, Netherlands', 'global_code': '9F469M53+P6'}",4.1,ChIJN4YswFXvxUcREy8GLOqS924,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",172.0,"Andalusië 9, Haarlem",,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.35948810000001, 'lng': 4.652954100000001}, 'viewport': {'northeast': {'lat': 52.3609623802915, 'lng': 4.654094880291503}, 'southwest': {'lat': 52.3582644197085, 'lng': 4.651396919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beyzade Pideci en Kebabcı,{'open_now': True},"[{'height': 574, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102310814208859313811"">Beyzade Pideci en Kebabcı</a>'], 'photo_reference': 'AXQCQNRe6-a951i04JmLUbzut3rpGwUdaJJFHr8B2zRNhDKhpQU25R2QPNDCmSzQGcsL6m-6_77emaq6mfa0p77echS6qYYHLGBLo2fpGBDt1BN7qMy3EBbFLNY1aYnB5unTo_ZiznlBofpyF92xQc6KTLcjA1rJCAsw6-JWF4qpVVrwVZ_8zcUJtDNXSf64qYLbiXX52KOpt4tkjJc7Ws5-kd_J-HWAGjhhM-mXvKuUPpxX-RfFpZ6OoBPBXNZ6NCYSktMUfYlq7lf3_Pa-1UTeF4y9J0ME1S4tGVWnQ6AhoU-bGjPOXI4dUeEJ-ot5eqaM5k1P3Ln8VjQ', 'width': 1018}]",ChIJhSknzVnvxUcR8cS0WimxThg,"{'compound_code': '9M53+Q5 Haarlem, Netherlands', 'global_code': '9F469M53+Q5'}",4.6,ChIJhSknzVnvxUcR8cS0WimxThg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",395.0,"Andalusië 5, 7, Haarlem",,88196825abfffff
OPERATIONAL,"{'location': {'lat': 52.3595421, 'lng': 4.6529532}, 'viewport': {'northeast': {'lat': 52.3609886802915, 'lng': 4.654087080291501}, 'southwest': {'lat': 52.3582907197085, 'lng': 4.651389119708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Crunch & Munch,{'open_now': False},"[{'height': 2245, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107206276467055654221"">Crunch &amp; Munch</a>'], 'photo_reference': 'AXQCQNRULBSSAqRAq6duO_SID4BOet-WCiH9u1aDQJ2EwnftoM9h07KeJdYBHEYg9le34Y6CXmpkU83iVjQZNeXuX1c-QsZ_1jFDpCuSD8liMG3atLAFp42t0wHTvvtvg6Rrat-m5RbRREvsHPwqjwVKIxH6Skh6m_isby4m7XfRa6KOdd77YszvDLj_H3NebILKiDTP2G29bndAjBISXDILTq0DBVhxapgAwg0isa0u626EyYYwNDYAgi3y6FnTnHUeuJ3PZUWABvs9apSre2qiVyNXO2gbXDK4-MkGT6gMf7ggFIq5QHGX-pan7Bauga7ByL9GItUa2R4', 'width': 1587}]",ChIJRdyeDtjvxUcR9NNgCqzhnCE,"{'compound_code': '9M53+R5 Haarlem, Netherlands', 'global_code': '9F469M53+R5'}",5.0,ChIJRdyeDtjvxUcR9NNgCqzhnCE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"Andalusië 3, Haarlem",,88196825abfffff
