business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 52.3798171, 'lng': 4.655584300000001}, 'viewport': {'northeast': {'lat': 52.3811596802915, 'lng': 4.656952780291502}, 'southwest': {'lat': 52.3784617197085, 'lng': 4.654254819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Italiaans Restaurant Sorrento,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104755550428628953325"">Subendra Thiruchelvam</a>'], 'photo_reference': 'AXQCQNQgMaq4cCXS8zBWjHgg6kyWr9h1r_i_2JYLMzq3N2RBLArupNHbWNk-y5m2RVd2gBRxxcnGxN_5BZ7fyl1X6aa4awpcxBtgK_Qk7NrJz4eJIjJ76zsXUTNT_eeO0s5w5fXqNCdmQ7eC93VE3Il7pirl2kyHoIT6MEimuQq3NHjRbk8bwPgME6aeYun4kRzhzJadVSA8GcKS4cM1_XFkRrl1hGHb0Rd1MjY-HGUKFWynzqZt1rtcdp80VOA1s0xT-PlzcHwgRLJWDQ9SLKHBfh-yo-kIYSzC8idzvB1IbQDHfmxB0gjlLbA5iJqAScXrPYHKvHdW3zG-KMVnDwgalLGlzgWETd2gCSgifmr88IMeosQkgEc3_5PQhKvS8Bm09oBST0A8cT7IUT_k4YUvCwxYmkp_zg1IQn2e8NYU8PyvI-fJPjSgjvpUo7pbrrub_PW7dPgF4d0-eFV1gvN8AtN1KxEZFJGCVMdMACI0bYFM6V1Soc1tzM3lgxMst7Yb4sxG9i4XCMEh2P1f0LpQBxaYM5JhfgmImgWnRx2h0BvptrQpmXhiounXwJuc3id_4Zwfp3naFF8R4lx2l5Wp-J4dvfp0xOqSHkXC-kRivAA6J52_jHwV2TOxJnrgGdKt9R8x3eM7', 'width': 4080}]",ChIJocvipGHvxUcRT1MJEet6jVo,"{'compound_code': '9MH4+W6 Haarlem, Netherlands', 'global_code': '9F469MH4+W6'}",2.0,4.2,ChIJocvipGHvxUcRT1MJEet6jVo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",184,"Teding van Berkhoutstraat 67, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.3790649, 'lng': 4.647760300000001}, 'viewport': {'northeast': {'lat': 52.3804297802915, 'lng': 4.649169930291502}, 'southwest': {'lat': 52.3777318197085, 'lng': 4.646471969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Snelly,{'open_now': True},"[{'height': 547, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114371440795045717651"">Snelly</a>'], 'photo_reference': 'AXQCQNT1Dihi15LnCLGWAjCOg6nAWBnq6oU0uTPotAGbKDRvhCm7L--wUNp1GSOWY6klmyTHyrdwyRNDGwKQhV-AYrSGbQvSpKfMfbgJ0tFpFVJvXLSmV_9fwkBgHtdcXY2EjrW7gQf15KPce56yJ39I-kRuaQ1TNzxVVlJEgpfBDesmltRZUeq9IFShBRjtrQbWmR0YzrenuTYAH8ulF1pVALn1ZoJMUh2v33Bt3jC2MKnXYkPmJdUwF_-0WJIf69ejEGbhJ0byObcwyL4PPOcLoH8Rl3fwkM-ivyMbZMp2uKciJot5l5xLhAAiAdHU-RKuf-tY9rer9yM', 'width': 729}]",ChIJrQe-q2fvxUcRZShl2LKTa_c,"{'compound_code': '9JHX+J4 Haarlem, Netherlands', 'global_code': '9F469JHX+J4'}",,4.0,ChIJrQe-q2fvxUcRZShl2LKTa_c,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116,"Amsterdamstraat 38, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.3797782, 'lng': 4.655818599999999}, 'viewport': {'northeast': {'lat': 52.38108418029151, 'lng': 4.657125730291502}, 'southwest': {'lat': 52.37838621970851, 'lng': 4.654427769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Steak Out,{'open_now': True},,ChIJNyQpjQzvxUcRUqzvIX-1ZwE,"{'compound_code': '9MH4+W8 Haarlem, Netherlands', 'global_code': '9F469MH4+W8'}",,2.7,ChIJNyQpjQzvxUcRUqzvIX-1ZwE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Teding van Berkhoutstraat 69, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.3764994, 'lng': 4.6496031}, 'viewport': {'northeast': {'lat': 52.3778427302915, 'lng': 4.650866430291503}, 'southwest': {'lat': 52.37514476970851, 'lng': 4.648168469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Haarlemsche Snackbar,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109208506233271503384"">Danny Gooyer</a>'], 'photo_reference': 'AXQCQNQC57RfGOCIM5KhG-5B3rELNx30QpPSDQGXRS2sjo-aMqc7vRknJ2DU7SvIia6QqAPjTE7-1JyVvCtJZGvtQHU_PHBTO4jDcIyEdqfdcJIP2d4FSLtngRP5skFgv1vwvaOcAR_hHXdkp4WTmgZF_3DoE1gZhU---qT0QH2wQQ5YpR0-yNUqpZK4c88157PYXX2aP-OmRaFxNK3x3JDfxnvrI8Vu9PsR3ZCc7FHSLthb2_zz3HcxsqnluAZUOHXePfmVdPZgHTWrk_FP5ZPe3enTkGEz4uTXB09beBe9QZSWMYdjTdGu3IIjNL8VpR44aljTV0ClTLTaeg5zIfvr5Ew112L88EsoZ3gjUEAduoCW4H0Doh1Hc-aNBY_3f1Jm3yyw-a0L7b-g-2phhBNfrZyBJO7jNViCjJN2kzDGl9y8qA19lrd0yYqAbTvG8lnLVzxZlvEN_khCv0knI89ctYjPaYUMNOyI8wmrlnvESy1zYpbDjFPoLZPkkw22HuXleZV4xekB6RYxuOgU3jpP0uV8A13QKkju1ObH_9czI9penCEqWKtAZOz2iEjv3tR4wQ-RC9rn65bNdhmGQwG_zYpKcri-HY7AFb6UHMF7ptzzxJ1c0OvKOEfGtrxeHMQ_Q5PdHQ', 'width': 4160}]",ChIJ_aOi9V3vxUcRB4sZ37QtEd4,"{'compound_code': '9JGX+HR Haarlem, Netherlands', 'global_code': '9F469JGX+HR'}",,4.0,ChIJ_aOi9V3vxUcRB4sZ37QtEd4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",144,"Kruistochtstraat 1, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.379535, 'lng': 4.6477902}, 'viewport': {'northeast': {'lat': 52.3808771302915, 'lng': 4.649035130291503}, 'southwest': {'lat': 52.3781791697085, 'lng': 4.646337169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Italiaanse Pizzeria Valentino,{'open_now': True},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110417467391739901343"">Italiaanse Pizzeria Valentino</a>'], 'photo_reference': 'AXQCQNS7trY82FXMeyiaR0DhGCQuuIsiD8so_uyXhjpYgHt7GdOBFYNm-vtRzTQEXp8voniWNo4XtsclkER4Kh3IeWLAVZi2gQmzhehIQSHv_QkHvKo8NtGAnoghNQEC_hnQL_dkl8VGB_NpN3xs5LB_lIEe2S8cnSrCnChVholveSsvub-tdk_UKqywY5EyjMEF_F1WGJzhiMp6YEC9plOuucbVx2mYHSE7JjI7yxkYacCqeM1CE240Dz1mAeZQzL8IWkQmD-EMYtay9Hai-00Dp1XIX24lLYk92xM4xFoxutigtDMJMpKPaCN6foy7Yzhvx8IFllz2u7s', 'width': 640}]",ChIJ0WF2FinmxUcRmXQ55gwEMuQ,"{'compound_code': '9JHX+R4 Haarlem, Netherlands', 'global_code': '9F469JHX+R4'}",,3.8,ChIJ0WF2FinmxUcRmXQ55gwEMuQ,GOOGLE,"['meal_delivery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",103,"Amsterdamstraat 23C, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.380678, 'lng': 4.645945000000001}, 'viewport': {'northeast': {'lat': 52.3819798802915, 'lng': 4.647269430291503}, 'southwest': {'lat': 52.3792819197085, 'lng': 4.644571469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Jerusalem,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106308819575638317162"">Marion de Jong-Markwat</a>'], 'photo_reference': 'AXQCQNRtzHZWXNTZlYpP4gQw_g83eyc2DX5YXG1CYbspcOwXTWkn_Zl7VgJhZrfBgAHK2PGFWJ2n4qY2bszJmLK07UzLZToS66HltFhGezCBoWQWdfRN8OQfNB6EgRJSXMsSGwQ3W_tNPOa7H7B41YGpJkmpBKAO60k160T2XrZe75XrQmyj0IFZDWMCnljQLYivOX84mO0hWG9k9ZDLkWU5IFd3KsoDjcILeNacrLF88mB5hXbvGStTMP70X1IWVdCHVwUBPxPgwOM6i_jWU165WD-LCny-Evv7X3iUSoaurOsVYe1yrgAhEx_EFgVHLXOwxFCSxmL6RmSeZSznC9_Q3XWIgg3OanXAyv74r5z6RevxvLqVE0rPO0Gc7YzouKsRWVoQTyGnyMwQwHRnMTUNMr8JNm4fO5ntap6dcxr3OjsJKymiqEaDfpQshSr_Sf2L4xNzp0kqn_EbEdoHawyJb52namRSXfG9W6mC8oXBrbCxbq9iQR7SF4oMpSJDkkkHPBQx4T1iqXEm50aBU5ROT3PeU3w25kCYotNJ2j5dD1Q-JwOc4EsIdpIn9rGRCoBCNczfZfAQgg-SmA1Zfnts5-IFAbxGx_1roWbqRmdfS4xzGUv9pN46AJ1lFqH_jWhbtcXOCZ8Y', 'width': 3016}]",ChIJXX9OPWbvxUcRbbM8FUIa8Es,"{'compound_code': '9JJW+79 Haarlem, Netherlands', 'global_code': '9F469JJW+79'}",,3.7,ChIJXX9OPWbvxUcRbbM8FUIa8Es,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",94,"Spaarnwouderstraat 97, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.37988370000001, 'lng': 4.6471182}, 'viewport': {'northeast': {'lat': 52.38122163029151, 'lng': 4.648557380291502}, 'southwest': {'lat': 52.37852366970851, 'lng': 4.645859419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chinees Restaurant De Draak,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107210252626152685580"">Arie Feud</a>'], 'photo_reference': 'AXQCQNRJcfTb1pDKwtWiA-5XDOMzbI0tie1fWl4RQfkHwHnEfg2CUKeQZB9AGkCgn2Mrhp2mysjEPJeQmZVuvTEZDRIns52K48dz3tpx-UChfKDYE-mFpv3RzTVkv7Noyd41xzuZ9MaPq0_OM2pVLv6ZPH5NWhILO5tmVOQOnUfJ15JFualFaPHACy8EhP1pHMF9MGoAKapiD1f4WmRnzppG9aOo3459q_-7nyQjXyjriEPa27Xa61Kpc6JA9jwCpcZOx3SFuB1gP5xqUtprfaazhYxiVpfDQv4eNMMNRgVgtM-UqKadonwPaHj_kMrDNZ9Ua2yVCtjnvYG4y3C2c03md4ZAsoYXHkCByD6f-_1QkeeuJah2ELkhc-T0yZmd0pFVn9ficHR-2H9AGjXnkRmTvDHfHzeq4pQlD5ovzhkKVK-zB4KVNgndLJghBFKCNNPT87b776x20_-Wosxd7Uz5yx7rh_km-wDBvQUCekLnpYLzblve5fwSI_mOo13Cj1fDuGQN-WV4fwgoH6RGp_ZnDG0Q4s6Swb5VoTFvDoqZyrtmgN-bnsK1UUUC0WoKb4mOValHHZIsDC8Ba3Re2Dh3nqNPw43W7VMxtwdmBT2WVeLp6e5z_YjZs_-Am6VgF9HS8huRJA', 'width': 4032}]",ChIJ80iuT2bvxUcRwmUP8Zv9WJc,"{'compound_code': '9JHW+XR Haarlem, Netherlands', 'global_code': '9F469JHW+XR'}",2.0,3.8,ChIJ80iuT2bvxUcRwmUP8Zv9WJc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",264,"Amsterdamstraat 24-26, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.379767, 'lng': 4.647542}, 'viewport': {'northeast': {'lat': 52.3811160302915, 'lng': 4.648813980291502}, 'southwest': {'lat': 52.3784180697085, 'lng': 4.646116019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fons Hof Lunchroom & Catering,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109208506233271503384"">Danny Gooyer</a>'], 'photo_reference': 'AXQCQNRuLw4URmd6FbebZK3E2fMSBmmcgClhIkkYnj7sPwODwoUTHVUno7NWIOvtLOs1No82bIphWqbdjZ1JR7gaVlucroNpdO1Hx0BC0cdO7jsZTetM6jSXhxvo3f60jvC0zQTMAEDqlUn9Q4tRwzsEhLOYcYCG7UUntCbjxMrXsla4CnogZqkf7J6OgLclm__E6Nliqp3L6et-dAtm_EXrXV4uvaMONiSvH3Ft5QhuGm7AYakK5bQ-Nslo2Ar6M5hAEylCUADLcjqpAG4QX6W9a8FsDvqGrFjz5TRLqNKZKOOnKLpzj848W63QZPy1PFVZ4fNE0tHy7PvytzjBCoIHDtdjtG0e-mCiVz0QiYadtFaaQae663HchIKHN1tYlFhhU8J9Y8jNvkDXPFHt3bKnQ2vTBcrRFhb5S6Nhwm2ujz08C-AIjKS89Eg-qHN4o5R42VF9Nr8BdV70uip16uiv3sP7tE1_YB8ldD2Ep1JabQ7krJyY0h9X7VWfq0xJ7-9xUR3IogyFvXN_ZapA2xLW3QPTtFT7WIAkSA7RHJjnXwIgXFcCp0c9xP_zr_e4XFVngs8h5zLf_fagS7LLeJknxExzNtDW2GpOvUIyVjFOoZxlQDcYZveg2lhHEgWfeGGxAX6nouPx', 'width': 2048}]",ChIJXTHDUWbvxUcR2koYEnOP28Y,"{'compound_code': '9JHX+W2 Haarlem, Netherlands', 'global_code': '9F469JHX+W2'}",2.0,4.5,ChIJXTHDUWbvxUcR2koYEnOP28Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",938,"Amsterdamstraat 19, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.3797643, 'lng': 4.6557761}, 'viewport': {'northeast': {'lat': 52.3810783302915, 'lng': 4.657104330291502}, 'southwest': {'lat': 52.3783803697085, 'lng': 4.654406369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grillroom Mama,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101614751539890042410"">Floris Beerthuizen</a>'], 'photo_reference': 'AXQCQNSJL8fo__9q54odHebamTYhgaqziSMwrBfB-BNx3_kH3wKUNqfdy4jLca4Ko6KbRSsGVPrUWEl-yhPr21P1Oq7AUXYoQq6h6A2_DMcQuq40WQw60dn6U8EJFATFygd6F3Flr4Y9mCZ6dylCbwCsaY60aC9rXAeN-smsfCdd8-z0xF7ebLB_rSlsUtSx1jBAdf_HhD2akAhi0GStk-Vx0xBuv0ouTP6u8ULCMopyNSOr19RrCPhDfSNOnBJ8qtNxbfpkD01H4KsXrQRKY7TS1ZEfSZBlsuNz0WAZG8uHzdDCndcwB3vOc7FKr5g2V8iNPgdBUPOv-NNbHtWme4D9EqwR1FP8URUctG4vmc3eZ_7wdCsHhrmZ6jvl8RhsFzYdn4jNI4bXaojrKDAHWQ0FwqWR4iJ-sWyZBoBQkzBUbY3FhrI8oJFCKrhIW0RlLn3cIqgSFypBqs6NPOBeC1nJ2uKZa87Ut2BisbyRbBh6J8PryhQk0lIfXKcnLJc4xQ0GgmKer-JcIHjiLlmLEVh-_Zr91gKULy3e9Hqnk_z0TX0tMBWBTA21N3_cQP1ZEiDLaYFtnMd5jC0B8DK3hga1NnD4CZt88ETzC1fweObkgyuU04R9bNo_6a40RmseyPwD2Qp-tN61', 'width': 4000}]",ChIJpdTbumHvxUcRiaCRdMDHgng,"{'compound_code': '9MH4+W8 Haarlem, Netherlands', 'global_code': '9F469MH4+W8'}",,4.4,ChIJpdTbumHvxUcRiaCRdMDHgng,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",45,"Teding van Berkhoutstraat 69, Haarlem",,88196825e1fffff
OPERATIONAL,"{'location': {'lat': 52.37963939999999, 'lng': 4.654470999999999}, 'viewport': {'northeast': {'lat': 52.38098068029149, 'lng': 4.655881980291502}, 'southwest': {'lat': 52.37828271970849, 'lng': 4.653184019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IKBESTELZELF,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110048637282284490185"">Mettien Ibrahim</a>'], 'photo_reference': 'AXQCQNTKWh0crQ7RxF_hEg_u0mA8mJOE1Y_kPy70pPWkx4Rz2oVAGajA9vF0wTmaSkQ2lkmhr6dqYx78gEdxOc1bH0Jxk575yZb8lVpA5qi0q5AKa-6Bnh_eYJdIPRldjxpg-b-_toSJc9RU5b8ZgnEXm45rSwlAkst_tihPMRMUyzDiVH6peKuh9TfDRrwsSGsw-kNahcGLMOdMxQFHlFFalDyrR3B_GEhXJIsHxA21x7OuRmkpX8hRoUS-PhgBF-UsGxZDIm-M4luESQMuYxiWgGA0SmpDx1WmFpjqnF3tbmskf7ZX9I0yo1Z-5yqyQwE9c5jvO_fQbuct4ra7m7HVb3w3EW7Lgj8456ox2cTloZa7Mk08kOrShQuklcflpFhqV7VneMlTLlGdUeUOMjKPFDYWJU0WwgDPo985DRQdj5kFeTB9p75hXcW8tTXsSSXUPUYNxmGw_MskD93p8UgCYhifX7JGJzPSLWCDo36frSr0zz_a42FCgSrrxFqU4uPHG-5RFUGb3dYS4s4iGkBe-g-sXfvMhsG-MLaHzXUHarC5N8RdDsdQwqPsZo-BMH6FO7OqGq2H5cFYdHsQDJ1i-n86FcxO3lGHXkhOriBYgDj0jyKnXEMjElaObEJ23FWx', 'width': 2048}]",ChIJYb9yBmHvxUcRiW_jCMkTRic,"{'compound_code': '9MH3+VQ Haarlem, Netherlands', 'global_code': '9F469MH3+VQ'}",,3.7,ChIJYb9yBmHvxUcRiW_jCMkTRic,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Dr. Schaepmanstraat 52, Haarlem",,88196825e1fffff
