business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.3822784, 'lng': 4.6299324}, 'viewport': {'northeast': {'lat': 52.3836005302915, 'lng': 4.631015680291503}, 'southwest': {'lat': 52.3809025697085, 'lng': 4.628317719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Raecks,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103337568360730841173"">RAECKS</a>'], 'photo_reference': 'AXQCQNQiuWC_oplsyN26csuYnZKbGdr6ezbVdhuJoxm4Ws80fYogRgJ_FrpaQy8bngaUNhxLLsQd8gMoplCXLTKXid0qis_lQ1r5ZgAIA3n0rEqIB78URufUi99WN1E2twK9al8SIXTvV5n6_K-pgE8PEOGN-NN3YD-VuGcXrk5RkTbgmt5RBHoDbUANzKIAdPyNp1_0JnYCXgIlyhP0rXzyOYGDT5FQ4_JzXumdGBM9pYhK87f1c1ONyJiRbMjTTxCgABtR40rSAW2ubEvk6i6XsdMCDyPLCSB36HtoIqjLT2PEaypTVne4Al22ltnSqsOUk-EM8nwBDII', 'width': 2048}]",ChIJu_G6mxTvxUcR6utcvXPQR2Q,"{'compound_code': '9JJH+WX Haarlem, Netherlands', 'global_code': '9F469JJH+WX'}",3.6,ChIJu_G6mxTvxUcR6utcvXPQR2Q,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",259,"Raaks 1 - 3, Haarlem",,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3812145, 'lng': 4.6297315}, 'viewport': {'northeast': {'lat': 52.3825955302915, 'lng': 4.631271980291502}, 'southwest': {'lat': 52.3798975697085, 'lng': 4.628574019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jopen,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103719062565479933817"">Jopenkerk Haarlem</a>'], 'photo_reference': 'AXQCQNRSYYPdZ8PjvcOCe6opLOtQLjKSK3rPqYCoeBBPnFrCHIAU3rHx_1A_clGOv2YEl8EMPOKuE_Vgfy1QcMXa4P9Qt8aIVs9CimfDpdSdiMrgfruq2EJc9_Y10ORNfxQLQ4Iod7ZNWOdZF8POe19YCQVJEULZZqIMy9rNfLVaExFVry3HPG4PGrdl-aNXhpWtaaV4V-liuVQBCcRMr51__tDfNfQHAaelNesCHzfhsJkFFP7QAlaO0y0x9xnmen_Wg63DQlUDZb65FmjVda8z5EjVprgY5xeYMOwOlsCFlffaGXqvbOops7-KZrTreDWHVJBobR7WrCM', 'width': 4124}]",ChIJA4Z27RTvxUcRkBwGh3qr9l8,"{'compound_code': '9JJH+FV Haarlem, Netherlands', 'global_code': '9F469JJH+FV'}",4.4,ChIJA4Z27RTvxUcRkBwGh3qr9l8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7025,"Gedempte Voldersgracht 2, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.381213, 'lng': 4.635442499999999}, 'viewport': {'northeast': {'lat': 52.38311288029149, 'lng': 4.636677730291502}, 'southwest': {'lat': 52.38041491970849, 'lng': 4.633979769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bambu Haarlem,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114848983037991372183"">Bambu Kitchen &amp; Bar</a>'], 'photo_reference': 'AXQCQNRPAIzYYKLBZEg4KZ571_CHu8finIZiuSKGSkxZCjZIqnoLTmhy1styn14NZyJ-rcR9mBRViR5QbKovND0NgIUnqDf3UWJzsXV1EfVfLWYHfZj6A9IEYRizZZK3rlSMtmIl9EVPxzatJ2gD4309BO9xPSuqc4XoVrrDgHtiFUVaGKxfIH1Uxrsf45BlK7V8Gk0xi1dqsi2SNuyYajAV8Vue1F8BGb-RVaUIi1PIwiBxpkYk8BZ132XGHdMsCcKyHlPnwN0HqTtIp-HNTx-18QRVVklC7R4U8TiBRkFEDRHyhNgIjOh1cB99NJe-kKkPvTb_6S0ZwrU', 'width': 6000}]",ChIJVVWBn2vvxUcRjtyy-qEx_mQ,"{'compound_code': '9JJP+F5 Haarlem, Netherlands', 'global_code': '9F469JJP+F5'}",4.3,ChIJVVWBn2vvxUcRjtyy-qEx_mQ,GOOGLE,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",680,"Grote Markt 12, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3788137, 'lng': 4.631164099999999}, 'viewport': {'northeast': {'lat': 52.3801906302915, 'lng': 4.632521830291503}, 'southwest': {'lat': 52.3774926697085, 'lng': 4.629823869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brick,{'open_now': True},"[{'height': 6605, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104361151661367873921"">Brick</a>'], 'photo_reference': 'AXQCQNSKoU0sTVBPUEWUD6vidgy-e11E07OLCZsGJ5WeiNB_YbxXoc-gUxsmN1ckD2jGnP0VWCC9gIbX8pnW0sOhoLTrHr_p-yDa7ZAhVfOc8RjY33RHjYW6n9QFkyFs8VLLlK7aUphwo4BtCkA4AIGi0-2xkQaBf8QqRUAB_6R0xQTbX9Kqb0Y4OEFNTw-Mdke1lw0KpVNTwdDwv79iRN1H8PGu5RpM9vytdERjujs88tS133dJRmL27fMDGF16qznKaHQVMBWrU-MVVEIS5nCECM1YPzJQSPKX-CgfQtBi6LEzsHO8i98dbVhkFquyWQTBilkpWA9IjmM', 'width': 4403}]",ChIJOcknNBXvxUcRIjTBdsTW9nI,"{'compound_code': '9JHJ+GF Haarlem, Netherlands', 'global_code': '9F469JHJ+GF'}",4.6,ChIJOcknNBXvxUcRIjTBdsTW9nI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",460,"Breestraat 24-26, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3800468, 'lng': 4.6334616}, 'viewport': {'northeast': {'lat': 52.38124553029149, 'lng': 4.634583130291503}, 'southwest': {'lat': 52.37854756970849, 'lng': 4.631885169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toko Nina,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118377574497584303554"">Toko Nina</a>'], 'photo_reference': 'AXQCQNRsRYkQaSNtNvTTui67gEojEqzejYlBLHg_Y0WaGFuuQ5phHQbyUQXDty3Z6dJcN6YVGABmYFGBGAARWpdHRI0cGWFUcURyyO6Yd6Tc9zZY5PDNxzAbovpJ7JfBZjpUQJeMlRfSXzIv1jnmTbY9GTvJl8S9T7ekI4eQhhBa2hlpDyrPWcMNawn-Uw1ZYO3q_z26iqqF5fI4FEubO8vGADKYVNTFlBbuankHIr13ASW62yV_X3QJezitiag7VBVCI2FArjCdgXHQZ1x-rDa9jNKDWIqys1SJa1volIr4nhxlsacAaR-RISbZ8UywL_1MeHlXOyKwtHo', 'width': 1280}]",ChIJu1iaH2vvxUcRorn3MfnyBss,"{'compound_code': '9JJM+29 Haarlem, Netherlands', 'global_code': '9F469JJM+29'}",4.6,ChIJu1iaH2vvxUcRorn3MfnyBss,GOOGLE,"['grocery_or_supermarket', 'restaurant', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",351,"Koningstraat 48, Haarlem",,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3798797, 'lng': 4.6320352}, 'viewport': {'northeast': {'lat': 52.38109068029149, 'lng': 4.633726780291502}, 'southwest': {'lat': 52.3783927197085, 'lng': 4.631028819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Café De Linde,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110934739879036972433"">Fleur</a>'], 'photo_reference': 'AXQCQNQt_20UY5BNfH_57oI3DIJgFfD_HHQ48QWtPnKl80yNwVzBlqcO-vBkdda4ugdXpCI7AKRKis6669eEK3Y6-l6deVaFHe5J_YUcvrrBz6i1pZifKliPan9tVyH1UNZEpyu4Hm4x5lrsjknj93za5HQGgIZdem43zbmNiSx0mvNkFViDgDJT3hl5pi5NczbcaV9XUxxXFqJJVMOdsd1h8OdUiR7rsYqdfxca0dcYJ4iLjGxraKFcewf7PI4sV0h6hlaRkDFFVuUjr8-oWJh5FVB3IWw4L4d_pj7XTGeXffeAgZqkjVZ-iQtBEKT81aGsq9c40Yh3gGP8u7yFD151kncTtCfUXOgJbhQa9Vn4bVdpiy7kaOniO3qvEh5ELuMczAF-TRiIHaqAS4Mh4Lp_rpRSpv2zSPwPhfgCSE782Vj34o7ysMNwwEaSOacHAQvzP-u3pcn5kbM3Wt-oWOxPk3z9ePADCZfF7LbMibSvNYXWlrKjn5hMwW4Tt1Dx8SHs-7U4hEdJ0cxjcKFyhsCjcUft7QrKaWFnd4aZiIVPYkCuIsVG_-e1d9c1k6LCOCiOcI4SApdii1GPoN4oOLtHp01DKW5fMJq-5IRD9e4kdXe1Uz9NBsXNRIL0QcKnJzevgO5lwA', 'width': 3024}]",ChIJm3681WrvxUcRW2GJUw_X8WE,"{'compound_code': '9JHJ+XR Haarlem, Netherlands', 'global_code': '9F469JHJ+XR'}",3.5,ChIJm3681WrvxUcRW2GJUw_X8WE,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",439,"Botermarkt 21, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3775, 'lng': 4.6313889}, 'viewport': {'northeast': {'lat': 52.37899333029149, 'lng': 4.632224080291501}, 'southwest': {'lat': 52.37629536970849, 'lng': 4.629526119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hofje Zonder Zorgen,{'open_now': False},"[{'height': 2825, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115208351239723773127"">Hofje zonder zorgen</a>'], 'photo_reference': 'AXQCQNR2MTPX9pCVIIF2zRUs2IFbMKnj4zLpmw_edAe2FPtm7cJcGqISb0iqPpSNE_BpK570bWyqRmXJMAFhr6M7TDeZghFD2Ev8oPPETN4rzOab2zSzguE6AoXV6YnRVhw_IZELgG8-_IWhPesMb-W5W3BEeJhQLWkXvTjGXyJYi4OjT54Osg604GsOvpl_w1lcuM93uzKY2g5eTXau0skka_zuxqY_qaBY4XWOc9g71DvIKQ3XJtZ01taBRylIc2FINsxQV7BGbqUQAqdPmwjXQ6M_XPC-usDjZi2JMzsXe155VqMRxbmhUz7Bya3kCklNjSPg0Ur9NsI', 'width': 4000}]",ChIJx4rbqmrvxUcRusS_zHDmZ6M,"{'compound_code': '9JGJ+XH Haarlem, Netherlands', 'global_code': '9F469JGJ+XH'}",4.2,ChIJx4rbqmrvxUcRusS_zHDmZ6M,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",765,"Grote Houtstraat 142A, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3791732, 'lng': 4.6334498}, 'viewport': {'northeast': {'lat': 52.38062308029149, 'lng': 4.634767380291502}, 'southwest': {'lat': 52.37792511970849, 'lng': 4.632069419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114936551742889652319"">Marco Hueg</a>'], 'photo_reference': 'AXQCQNTTbymroKEKRJ94qhbhPQW7fXYYsOjUAixf1KiD1XMI12H1mYi5sGlY0ZSzdURB1og6Y3mAZdYNA_VPdYmnTTItdjt1cdcI5ycc-9tGicjT9gWULSf84faKL-SQPT5A2GEg8kxkG4_MuEpYmEMNpjwTMqh7IlQ9WQ1MjtHu0s5rqk3Fov5VT65YWfpyZWHW_QpI5cLsa8gqqv1oGdAo_T9a7ZcxsptHymNnJ3AcqktA5Sv84R5XYU3s50s7zBAGvi9_NC-lk4hPoDFAIrcYkzPlRQ-PVrZsNgMdoBN0IxaeQB4EnH5-NJI8mjkHm72S3aDQuyzV8HiOPp2nbKa-MIv9h4bKgt9wTwUlsI2PVBGopwlnpp105xJVJORPiBMXltHnHxX14wMj_PHxwOhLb-a9e007yVwjUqx-DbfUoiPbUuqEOKCClFY_E_A1vu8trF1yIaVHUiwR606q7-irSX7ch9-qg4zXnmrg7oYYP3CMHxN-wkuhGdhb-gJiGcEGFzSyZu318p2rCDf_SV9cKCDDO9q0ZO9mW5k0kUGgVR9P2Wrzs8QR5v41Ijl-7jtigtKjoAIsxMA1dql-8glPcMZ-gz8IVMBMe8su7U1nATYfGQYcO3Pzi_mFxt0aLiRWsYwi1k7R', 'width': 3025}]",ChIJ4_Fv6GrvxUcR51IV9tu9sOo,"{'compound_code': '9JHM+M9 Haarlem, Netherlands', 'global_code': '9F469JHM+M9'}",3.6,ChIJ4_Fv6GrvxUcR51IV9tu9sOo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3177,"Grote Houtstraat 75, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3794416, 'lng': 4.635549600000001}, 'viewport': {'northeast': {'lat': 52.38046328029149, 'lng': 4.636365380291503}, 'southwest': {'lat': 52.37776531970849, 'lng': 4.633667419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,De Lachende Javaan,{'open_now': True},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109537544271355810894"">Rob Greve</a>'], 'photo_reference': 'AXQCQNQaGJr3VnMGlDXDEQ2Zb2UQD7GjsYDlZNEiVQm044eAMdP756q84Rx1f9GcAikRJJ1h6v5HqVfRH1Do4pm-l25fI1IrDZC3hJvy12bOiK7Zi8TxcvI3wDPKMJml3WuwJeW5WFDprT2NNcFQoOX22DTluWexu3vPe4GiyBJ-3lGDgX0EeVTy0aBgm53TcMO2zESTMeSG35WX9r4ZaWW2Rhcc0Lwl3NOzBSXb2xLpsM9upe-4BWzMBG7a9K0GC25X_7GpNzjGkC35Y0CVh2F2uvbIPPoJYH1Jq01cT0X-Ut_qEAF46n5dENWhAb6U0r7Y-oHq0QYJloJiF-hQqc85KUT7b-N3iuZ5GdSWk14nt_XxT-Kk_KEYeesRPP3cMqBJAm-g31Dy7aKuXgBYCkycoTAewc7Dom0ESVrgQNMIH9nhfIfbRuC7PSemYT0Zufld70-vHannfeQ7gS2wzyV2rE9kvykeF3PeynzsIb6wAPrY3C9gLUPcZL98FfzTLpta1aY6BqMPoo7uy3hJ3pc7DG80_7mPyHdBw8tX2ImBagvV8HmWOijy_26t3S2Q4DnwhofdcL-1fZvBzLroo_1OYV25ppCWxVp-wiTJ-_bJ1fE45iYuRvKTvO7UbINbwgdRbGCVeA', 'width': 9248}]",ChIJMYteUWrvxUcRTdhevYEdw88,"{'compound_code': '9JHP+Q6 Haarlem, Netherlands', 'global_code': '9F469JHP+Q6'}",4.7,ChIJMYteUWrvxUcRTdhevYEdw88,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1053,"Frankestraat 25, Haarlem",2.0,8819682ed9fffff
OPERATIONAL,"{'location': {'lat': 52.3799754, 'lng': 4.634593}, 'viewport': {'northeast': {'lat': 52.3810474302915, 'lng': 4.635405780291502}, 'southwest': {'lat': 52.3783494697085, 'lng': 4.632707819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,De wereld van Jansje,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610170158827874093"">John V.</a>'], 'photo_reference': 'AXQCQNTkPOTJyGm770BLraGInVNdVcsK_tNYLZuDR8XFKvIFFZO9rodpHTjHJQfZv_kVFR5cBg0EnN7yz1tHKBRB_3HxvRacCQnA7ZFz-RQcwAw2KOqelfnxMNUP2Gw6HVzz39Kyc4OYYfiYC6jhAtOHbWlvnCovnbHDky5Ea_U2M_05njPhzHV66yaxWjVYeZgfVXHqm_e0HMQXjsNRu5YQ0u6LSoPV5YWYjX7Y_ETSGy_J5ZG1yogQc6LZc8z1qFXuCFBnTh9mOdplpptudGTSsbvx-j2mFjp2vWtXosn-kjVXWXY4ORZmavaiAIXC_KT5X3qE92S5-GNnu4XcuWPx6BRWmRLF5gka7UbP6Ve3M5l1_jdhDTAjiy4CJeoRSMMi76tyaGDjX3BASmi3DQXeFbDbr4ALg-0v2cM4SOG-NiN5T3n8AuuZZUtRHrTSXJlB_u5goFx1qh5WPTc7HTIyVV0vZCuW65F1jL8WDwepvhP2CTyyOz8yR0G57J6IbUN7SAivHscVZhzpPi93KnGRhqDbb3DSL8_uFp4qji-1c1FsJTmKa6-4xvTZQIs4uxNAMORKlYmof54NCPGWunAmzG7XQExYxDuq3rVeDn1l4I1DLmJnJPl5_phhheOSIxkbZmhjXg', 'width': 4032}]",ChIJyVQmAmvvxUcR2_aFa8rtr9c,"{'compound_code': '9JHM+XR Haarlem, Netherlands', 'global_code': '9F469JHM+XR'}",4.6,ChIJyVQmAmvvxUcR2_aFa8rtr9c,GOOGLE,"['restaurant', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",305,"Grote Houtstraat 45, Haarlem",,8819682ed9fffff
