business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.3744153, 'lng': 4.631590099999999}, 'viewport': {'northeast': {'lat': 52.37571468029149, 'lng': 4.633009280291502}, 'southwest': {'lat': 52.3730167197085, 'lng': 4.630311319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Carlton Square Hotel,{'open_now': True},"[{'height': 5792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105925688659629330495"">Carlton Square Hotel</a>'], 'photo_reference': 'AXQCQNRHKNzb1czc-BkjjjoastIqjJE1W7k1iOKWknv6AXZoZNmKqQQLnveGoEIwqbo6lgVbumgcxN4cclGGYujrC78AI70XfDhw4E2v0EqFnXLTyxVNEHjsYsDAdHsxXGnJ6vyCIXfLGwmwDeNJEMBG7tucj_Hv1F5IqdSYCAQu1VZ_573NEAxsGe9nzMujfcxwOLn-CxkM50onniJFGhBm2s-8zHHQRxpn-qdYxkqO1So3lJaWcd1dI7fsqiHU4xbHw5eVK4XcDQITs_ZU0OhpeTJGSss3utlOaRvyfwXkGhzrKxiNpJhKBQpyjirmI2ZpQ9nNDYAA8BU', 'width': 8688}]",ChIJZZcehkDvxUcReYBVtbOKS2Q,"{'compound_code': '9JFJ+QJ Haarlem, Netherlands', 'global_code': '9F469JFJ+QJ'}",4.4,ChIJZZcehkDvxUcReYBVtbOKS2Q,GOOGLE,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1117,"Baan 7, Haarlem",,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3722496, 'lng': 4.634197200000001}, 'viewport': {'northeast': {'lat': 52.37356048029149, 'lng': 4.635520980291503}, 'southwest': {'lat': 52.3708625197085, 'lng': 4.632823019708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Fris - Haarlem,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111416277511293414130"">Restaurant Fris - Haarlem</a>'], 'photo_reference': 'AXQCQNR8489tR_FDQqXWutqAhPcEVLuRgO63q3bate_JHlkr5vRw4XYC5wscoiWCKEXVzJ7_QwrjhNobMjtP5SB6L8mwc-KBaLHz5vBQO1svA2Af-QD-3PQE3oIfrw2-_6GkpN3G7zJvbaB1KyADhmq9mG18fIvIDGq8h29SuExzyWr8AWZXms-3UP5AyG4uv8cSohHalD0fahGWdnfvDjRROkzmG2_YmJWUwjECRcNAzmzCSPWB41LwNVXf8owb7voMSHoE5mvQqW2AZZddm_7-dDBuq6uhXdd6uqX3Rahv8ZzawjQ9-1HnICxgvPRAKokegtYmjsXHXvY', 'width': 6000}]",ChIJKdBrKUHvxUcRCjRxM9XTCc0,"{'compound_code': '9JCM+VM Haarlem, Netherlands', 'global_code': '9F469JCM+VM'}",4.6,ChIJKdBrKUHvxUcRCjRxM9XTCc0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",423,"Twijnderslaan 7, Haarlem",3.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3775, 'lng': 4.6313889}, 'viewport': {'northeast': {'lat': 52.37899333029149, 'lng': 4.632224080291501}, 'southwest': {'lat': 52.37629536970849, 'lng': 4.629526119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hofje Zonder Zorgen,{'open_now': False},"[{'height': 2825, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115208351239723773127"">Hofje zonder zorgen</a>'], 'photo_reference': 'AXQCQNQA2K6DREkmEbzY_ZcvTUd8tMU1bM7qCw4TcBefb-VxDdxKUWgpsneArkiwkdu12CEkyiv6gd7CN7oEzq9SDI2LXGPprlu6nuxCYKxKjVTLsCQfD1FejwJMUJnbIn9l1R9gji4MNJ-vrBN3U9_Y91KFrWeC9oqEcw2Xivqmhg3N22K5ulaq2JJM-pBVlV8Ydau9ckRPtwiEvLhns0lclRhd7KRo5odLDO4RbwSDKZNin4dsgeByzhT3EzE4Gd0Y3Dy4IfsZPUULdrfDtnfrZtw_GavcUX-Cmijvg80mdpYob8B0EMM992J7ZERulToPVOfdYoRJZAQ', 'width': 4000}]",ChIJx4rbqmrvxUcRusS_zHDmZ6M,"{'compound_code': '9JGJ+XH Haarlem, Netherlands', 'global_code': '9F469JGJ+XH'}",4.2,ChIJx4rbqmrvxUcRusS_zHDmZ6M,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",765,"Grote Houtstraat 142A, Haarlem",2.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37468630000001, 'lng': 4.6300576}, 'viewport': {'northeast': {'lat': 52.3759910802915, 'lng': 4.631429330291502}, 'southwest': {'lat': 52.3732931197085, 'lng': 4.628731369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,SushiPoint Haarlem,{'open_now': True},"[{'height': 2552, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111193246434501586156"">SushiPoint Haarlem</a>'], 'photo_reference': 'AXQCQNTW0IQH_s-ynkLpnlLKpFO1iHhQEyJDfSNrhMAYFzAX_MIOjjoUBgLAb0-T1h2cuD3yEPEXm8l7BxThDU6XeUk1OJONDWYL5ULUEQN3KNfSxkNU2Ui3zd0TG-_lI7bTxx22x8tYT4LDGzb6Gh76IcmHlW-nrcMVq0TjlTm8TjrAf3ll75UDlKQ66EjkhpRMYNpUO65c7brY9EqjasLGoHI2slC9DWBUEqrJlFI2W4cih8iVXE43DGhDiz9X8ruNhTZulRR94Ql-2cX4nvHuh3rHCai3lyp7UD8r6_9iiesFB1Phd0jUwnSgszBP9ZvR93Xe4lwMBzU', 'width': 2552}]",ChIJLQWqgj_vxUcR0G34llm8YXQ,"{'compound_code': '9JFJ+V2 Haarlem, Netherlands', 'global_code': '9F469JFJ+V2'}",3.8,ChIJLQWqgj_vxUcR0G34llm8YXQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",156,"Houtplein 26, Haarlem",2.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37527780000001, 'lng': 4.629444400000001}, 'viewport': {'northeast': {'lat': 52.3766968302915, 'lng': 4.630832080291503}, 'southwest': {'lat': 52.3739988697085, 'lng': 4.628134119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,De Tempelier snackhalte,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110936982413634485815"">Igor Raietskyi</a>'], 'photo_reference': 'AXQCQNTQ6QUAtPG9lh7qbxF1boXI9pOZ2nadF1TgvX897G8DROA7okmjL7kw5aaD3NR1DaoFl8VOnDEQats1hiRuDIqA17eiiiEdjPfYPaoKBoraOErveNJK4CdJUO9VkHq3u457_FQvDHXb66M_QIkxBCln4OdRxUK6k_slZvTEfm68Yl1mXhX5RnkITUQj88Mvpkfz-_jtzQ3PLvu1nYqFCnwkvbXp0on7KlTQH7VelAqVJgbfu4r4hfkHF6JZbLzEHuYYFE2Vv3NMqpDam9ESAlsyzrG7gyM76vFNLjOWMASE5ahrdH0IrTpTZth-Nz0Sg97IQMl-In-xX_kfkAGbb_AN_j1IlxdekfgY-TXFNL9419uLnoTDS8Jite54GF2R-D0RSfLWIsSgbCB3ZwSNtdxmUTb2ha-Gi6S8U8Xl_f3n9Moo0rx1D1b9zaSK5js5RbNEy5fu-Po2UbPeCaJRO3yd9hzzB503IPtz5h6vLlb4X9PSMJGLNff5ijZGO9JvTNUx8PWtgu30TSBVCAMldig42noTodYQZ797Ooqq1pnQ7_R_MjdMq3kmJ-iAX4-jJ1Ob1brLiTH0aYcaVnGYM8HGR8YK8Tnt1tEYixZC7gS2cgIQjRdjREkfQobP4cRcRCUl0w', 'width': 5312}]",ChIJJ9Houj_vxUcRFZb6Oxn41qA,"{'compound_code': '9JGH+4Q Haarlem, Netherlands', 'global_code': '9F469JGH+4Q'}",3.4,ChIJJ9Houj_vxUcRFZb6Oxn41qA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",168,"Tempeliersstraat 56, Haarlem",,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37571939999999, 'lng': 4.635176}, 'viewport': {'northeast': {'lat': 52.37710363029149, 'lng': 4.636558230291501}, 'southwest': {'lat': 52.37440566970849, 'lng': 4.633860269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dönerkom,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106483537497718352812"">أذن واعية</a>'], 'photo_reference': 'AXQCQNTNbM3gOOFoibpb-S1q7IXnJ38HQIGIITjxcdRtwcPBC20wzeTQ_j9u8EXu1V16gEe-tyjliAryRIM55evJ0fx4tg8SNck-sRG5_g2WueOthiWaR2svFVuYog4W0TwUFxqYzc1uzBrX-fQlvA25n0tRnXiCLWcc8O9GTBcwcu4G0P0gKtQy-4Yu0YZG1mQSNWJh1ELCiQ_fWmYF18fwFlv9QksFoQc_GZ28lO2GRglJEYQh-_sT6ZIwHhLPgGRYRTFAeiPMWldmOM3_5IpTeFidt9upg_GYPnccOqLuAitNx_BLEpY7kqshInHzPdVo8J2806sBam6ofb9bWUf7Jo2pzjXWnsStYMfva4efF_NqEe9gaWQRFkyI00_rdDfJEQM2AH5I3cN14j64iHBYiTwOwli5FETOF8xNqNxKJdVvAbw9NVUACEgD3N1YcPAQkzwfBmi6LcOMQdDIuIXtJj8_mjGl7vnf4dlXfdn3dwti1M5aN5dHZS5fhRIY42gWW2ps994qQoxdZm9T-eBxu2Txr2zjNStV0f-n2IGD3e9BIwSkpWv1ep76FwOUfGbKAWYIk14zkbXP3gE9d4TMa0_9KI5Poo4lXit2AxTe1QDAnbGr6MsJ54r9gx28j2qIqiu_qber', 'width': 1920}]",ChIJsZzauUHvxUcRBxhufnt0_I0,"{'compound_code': '9JGP+73 Haarlem, Netherlands', 'global_code': '9F469JGP+73'}",3.4,ChIJsZzauUHvxUcRBxhufnt0_I0,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",317,"Kleine Houtweg 1 ZW, Haarlem",,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.377644, 'lng': 4.6301687}, 'viewport': {'northeast': {'lat': 52.37897023029149, 'lng': 4.631462980291502}, 'southwest': {'lat': 52.37627226970849, 'lng': 4.628765019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Aan 't Plein,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106261670810838981663"">Restaurant aan &#39;t plein</a>'], 'photo_reference': 'AXQCQNRANkmUvE07oYGTpE9wxsMhSJhaHuDMx6dGfoy6o-ZKH0VrlfmNb_iCYsB1FkVJdycGfrqnRmFt4W3xB00EE52mnf7YLKubYXXgslktlW08a_WmLgRS0FqI8mYbDwnmdAqg0zbbF2ABsXuGRRLYNRRQHisJRrDy2TJ6d2S753C4Uhq41nzZEm8aGn7DVKGNnVmDDC3zDzgcCDo2_oHTHdIIRA1DLFAAJ8rw7hO7HkLVOa2ejRhDVMtRnodPv0uyIQgHYUzJqgMfmnrmdrt-h8rHRnHyCi7UVrTiQfQqrzYyUeSL6jucpo4SExt7aaZybO-jtMdOeps', 'width': 1200}]",ChIJl59aWRXvxUcRfGuuViEe2TI,"{'compound_code': '9JHJ+33 Haarlem, Netherlands', 'global_code': '9F469JHJ+33'}",4.6,ChIJl59aWRXvxUcRfGuuViEe2TI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",240,"Lange Annastraat 56, Haarlem",2.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37547540000001, 'lng': 4.628521000000001}, 'viewport': {'northeast': {'lat': 52.3768784302915, 'lng': 4.629897680291503}, 'southwest': {'lat': 52.3741804697085, 'lng': 4.627199719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toko Gembira Haarlem,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115918714954331321736"">Krzysztof Polito</a>'], 'photo_reference': 'AXQCQNT-0GuXKBzYM7_viRitEloyPm5eagwRyqncD9C_zG-I_Ljb9VPLUTgvjtUGG5W8hrzhLRtqCX6NNNQMiCDBvvsX_q3be7cyShp8nnEza0wOUiEg_CfU4VFm7dYQdNHVWnsEwOmaELwgwGY1MkDsf0HH4nk-noQGMKFrMJjhhWQ5WbTXWuI-1mxQPKchVNB1VtHQRRB43yiJYpV2WHhNPYxEScV42EZhmpZ8jUDqvhH47Zy-0_YLF7UBh5b-FB6HVaQkzJkxv_TLgMoaAeSrDok0H8X4BQ_deAsLBQyPD0jL15qXBm_BtOnJGICuB0oXj92Mvntt4nikmE3dPKYsl8tppFuUzSLGMVKTDDOdcahrhJP8mqJddqbLcjSZqW9fMIei5CoMM-V4vFq25tY1EYEMzAAp01-caTKY-XFpTGPuF4tArVeUT8Ke0FCuN5YUwwCpWLAGsyexobj5LDSrVL51y1UgW8pPUQrsK0ghXudkr5swFShs36kkcBmyK8exsQWf23hBdwXYdF7jUIqJe_tqLttfCx-vAvT-4KG0-kDJL0PbQOcGoPwGsx1E6dS7WVvzJf8le6nYusn8ZGPWCpVzm1Ce-k-9mX9PImRNvvn-qLl_DnbMlTiaCDhZ8w77EsANkwC0', 'width': 5184}]",ChIJ1ceTuj_vxUcRWHSNxKWomwM,"{'compound_code': '9JGH+5C Haarlem, Netherlands', 'global_code': '9F469JGH+5C'}",4.6,ChIJ1ceTuj_vxUcRWHSNxKWomwM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",245,"Tempeliersstraat 32Z, Haarlem",2.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.37296169999999, 'lng': 4.6360226}, 'viewport': {'northeast': {'lat': 52.37428278029149, 'lng': 4.637442930291503}, 'southwest': {'lat': 52.3715848197085, 'lng': 4.634744969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,New York Pizza,{'open_now': True},"[{'height': 1266, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101374214991841016443"">New York Pizza</a>'], 'photo_reference': 'AXQCQNREtm603Hj1p9JJCTu0rgDDWS0X4G2_9BETd636omyRfImxtcIQSnC6rhUf-n6n6y73Jtt5w2HqdOWDVAePG4AejRAOa7efabj4Nb_w4pHC8p5D-XRTc2Bj6IUUNkRGByK7PS9bpc2_7B0SprIdaTxPvimOpIhvQfBVel9VH00t6C6v3FmwAIC4sHLpfdi68ykXwDNtASrVoXQiCoGhTa-uJztzWz2FYYStnEb3sSOMgn-YKLxJ6faa8YCI7NpfsYAfhg9oSQj_zsuj7WRAYJZmii_4CIpVm4VUXRg10iCEbhc5kuBOtOUFZNH9WCr4jpLotAoqaIw', 'width': 1636}]",ChIJBazBQ0HvxUcRiAa7kKGbeVQ,"{'compound_code': '9JFP+5C Haarlem, Netherlands', 'global_code': '9F469JFP+5C'}",3.2,ChIJBazBQ0HvxUcRiAa7kKGbeVQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",228,"Rustenburgerlaan 41, Haarlem",2.0,8819682edbfffff
OPERATIONAL,"{'location': {'lat': 52.3770386, 'lng': 4.630022299999999}, 'viewport': {'northeast': {'lat': 52.3783964802915, 'lng': 4.631320530291503}, 'southwest': {'lat': 52.3756985197085, 'lng': 4.628622569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In 't Goede Uur,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102491441988222997722"">Jonathan</a>'], 'photo_reference': 'AXQCQNTSRSwM-vd7t5uhyyAQIdbb-mJ7T98w4JbwRnbH-Q0Ray9TAfI0Z5Yr_u2TlzXpPh-SdFqth0yd65yVtCYyJI-5JxF-hi2JdrHkWNsRHRfBjs5o_N6bI_5mopLvfjty9DKWi2ic-w28_IoRahYmKJe4tzZA9Q8asM8BUHfbUX41-l9-CqhEZSkF-fRqzfOStOfD4RAQY7NNmAiEEPLgJ9SFui6ZLdo-vbJsbZTHDiPmptRVN6J2uj42O392NzcTclvmCrVGVUqSmP7mMqKP4M89DK9769SPPeGjfMtnvdtVCj_6ZlAJn8uBnItcI60OW-0zTkn2-AX03bnSU2m3r2OmAsEeW6XVfxfSDMQme4mw4DTWr-lazklv2cS4xakLUyVQ93LwER19E3XSeY-GoSkrulhOOBBY3pucbhXaEz58-VLwWxumTMesrl1nWWMrFKN-4tnf-9c7esPmyxDlJf90T4UmEVtYYOxGFQkjTP8gZqVSuK_8ZnDqFl-CfAQ-NN4n5sRaz3QSrtZ6ZMJfzK26uYebkcaDROucHpjY6DoIiX6o5UED2oEJeVcK9Xcp44hvzUAr69SkEcszc3NCvOvvYJl08BQg0nanHppF8C4SxiuQzUcRVnzaJILih-TSh3aUEbNH', 'width': 3024}]",ChIJyTpV4T_vxUcR_zJl7jSEexg,"{'compound_code': '9JGJ+R2 Haarlem, Netherlands', 'global_code': '9F469JGJ+R2'}",4.7,ChIJyTpV4T_vxUcR_zJl7jSEexg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",542,"Korte Houtstraat 1, Haarlem",2.0,8819682edbfffff
