geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,permanently_closed,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNQGZOvlCIWLv4w6yj0GPRW1w31Xy-FTY49S_v3fGUA_C8apbuWeWR3sZp71NZdrk12CdjrDzJzvjLG_qt0pTWyAzHS9Eaw49c6V4fX5EVIwOfOJK5pYUuUXgzbMYTqdsSzyxftnPfmdjpSrPl6tEW9s79PbaRHenidD3-LwOXcoks2bEekmuu6Gw4aw1ZTLtJ8CDW-AhCwqqbaK9kv55VFlV3JbV1NLUpqvktcknfENB6A2AS-5Sm0nS5GM6xQdNrLnM9cnFes3dTCbxstbLdUDC4uBkYjfXojdc_k1xFEJa1oNifs4YArZkXSwfdkTRTPy8QX-Qx869T0J8p7uF-AyS4nzUa_O1_4rQpG9tOdAn9RE9ujBmYXeMdebvIDEFcO2tJvbqpkke_-d2xE1SN6WBpR8I7cNWjSJICtmkwAw-VTgZehbqXqQFBf4KKU9J05PCOVzP4RU2Cb9EQzBSZjyBGelKdzpWiY3Bua9yNzB43Gu3z3_0x6Ld6W8WlLRrFllO8wo0sEMnNe3Dv-I0VmbreMiY4sxJBJCglJV11Eq2iz7h7JCYtRVtwSK1DvPMMsfNlKdeX3YJ8BaLWyoFFiZmEy_qbRLMe0C0ZL9LOOvoxclhS7X-fyQODmXVgYO', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682503fffff
"{'location': {'lat': 52.404091, 'lng': 4.6471403}, 'viewport': {'northeast': {'lat': 52.4053846802915, 'lng': 4.648450580291501}, 'southwest': {'lat': 52.4026867197085, 'lng': 4.645752619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sauna Van Egmond,"[{'height': 1588, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103194239625709729276"">Sauna Van Egmond</a>'], 'photo_reference': 'AXQCQNRNmMK2yzEzFtzldzrJ6M-mHrq-tZUH0GNzuN7Gu4qKg9SUROkhCFN_5ayP4s7NuH9mmTMaju-1NvzS0AfKRpjfHRon7XfH5INfIFSG13GKBdndrj7iQRxZdvABL36EQipHox5Sbc-haolHYFSnoU6A5463NnbEo7rqymfZp82tW0aKCRmsJ5i9rpYo4olC2pOowLKadCRAajm3a3tnjwTOa-JrRqoqYvnZlC8tqoLEg3UVKIEkNmEaqcUTQTm1NT5ISjM-48FOTcBwLI_6X_BiYtKKeI_Os6gGort47KtOHJ7sm1_r5VHqNAqnfkpsMuh1wQPgzso', 'width': 3073}]",ChIJX_KFaJvvxUcRYUvgnFLUuyQ,ChIJX_KFaJvvxUcRYUvgnFLUuyQ,GOOGLE,"['beauty_salon', 'spa', 'health', 'point_of_interest', 'establishment']","Van Egmondstraat 4, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': 'CJ3W+JV Haarlem, Netherlands', 'global_code': '9F46CJ3W+JV'}",4.6,1412.0,,8819682503fffff
"{'location': {'lat': 52.4083934, 'lng': 4.646595500000001}, 'viewport': {'northeast': {'lat': 52.4096315302915, 'lng': 4.648044580291502}, 'southwest': {'lat': 52.4069335697085, 'lng': 4.645346619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Zwembad de Planeet,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113965209851381031613"">Mars T</a>'], 'photo_reference': 'AXQCQNSoW0C7y46Qc-fRQOd5LClllBpVbYxoOguV2p33GElW95StJyTTmijELlTrfMVALNFgqmA05xQM8PoTju-mn5Wb-GUdR4aG969Pa_TUlCUtMBkWuPMC6ul8NkCRNvg9k3A2gyQPUcydF5cdykd-nMUKXrXcibX3mw2FlKIuK9it0xMtRe2by7q9yBTTZxokmZL1mC67-SqQLLEWEbW37eB1ynYfnjEYCFN2TeJ6Jw0wEYURjSxFkobbYjf7ZeUoJaZOntB9J3cdkRfA5xEoWx-4ocGh3_Y9UkJ4kvbcO3rVhABg-7Q0lgfVYUYMoenC-ZoKPBJEkU1_IJlG74PFzbIKXP_adcvYa5V2z-jbp2b8hJHjc9JY63kdP9V96apSawBUiPcQA05kNjHgD6OahdOnFvs38JvAtsIIred2HPb_v_IjcbXYCqQ7gP-IKqYnOMT6dHxTkyzn50Y5S8YLaYY5mU2vte9yGNzFWaZFmTG6-vE00nENZjSyY9gGIgPrFmMVbQOLx3ADygmm4QfhrRR6Z3LpiX0JRwCeekD_kShjfs8V5FpYL21zrICjMoFuNbaVlWbjY57d1zWj7jwosUJsOP_rGCiSg6SYwoDKu8C-8485uW1Zoc_MIAsRVdMu5fuXBA', 'width': 4624}]",ChIJ9QuReJrvxUcRxuzoJGI8Ogg,ChIJ9QuReJrvxUcRxuzoJGI8Ogg,GOOGLE,"['point_of_interest', 'establishment']","Planetenlaan 15, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ5W+9J Haarlem, Netherlands', 'global_code': '9F46CJ5W+9J'}",4.0,526.0,,8819682503fffff
"{'location': {'lat': 52.40977239999999, 'lng': 4.6482225}, 'viewport': {'northeast': {'lat': 52.41083923029149, 'lng': 4.649669730291502}, 'southwest': {'lat': 52.4081412697085, 'lng': 4.646971769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Party Centrum Haarlem,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107375088149866445317"">Partycentrum Haarlem</a>'], 'photo_reference': 'AXQCQNT_WNxQg-X1vZnN9MlgOqqO_xMDDUzY8NchTPabMKOkvAeWaHAvdkQRO-8XUNfkf0YGwU0tDZI1yAxhvjtqQUEo0-dexwPBV5b4BpKFiCTclrr74Aa1BUjZGiXAYHPhEG7OMZAZSQjbG8ywNbkkHAVL47_oJLnCnMOZpgpGsneTwriECF-vkeMzy6yd-7JFHc76vjJQ7OQuag_HwKobxaPXvI49lh7ebflw4VdV5DQ1aYrylc_gc--7ieTM2Cec9vpkcqdNTN_-von9BoeIacWN2dN9NcQEXyZvB36z5AmukoE28xP8v5dn5bOMBjxlFwy4KPstJsc', 'width': 3024}]",ChIJt5anBZDvxUcRoMUbV-qslgs,ChIJt5anBZDvxUcRoMUbV-qslgs,GOOGLE,"['point_of_interest', 'establishment']","Sportweg 8, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': 'CJ5X+W7 Haarlem, Netherlands', 'global_code': '9F46CJ5X+W7'}",4.2,96.0,,8819682503fffff
"{'location': {'lat': 52.40414570000001, 'lng': 4.6499}, 'viewport': {'northeast': {'lat': 52.40552708029151, 'lng': 4.651289230291503}, 'southwest': {'lat': 52.40282911970851, 'lng': 4.648591269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Beautique Monique,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113161896986825274717"">Beautique Monique</a>'], 'photo_reference': 'AXQCQNRJTU4PEvNGKdXouFQ5EwMctlsfFU_q1Q7E6CSeMsGsb5B0cFLmFoQPVU1WMwistHMX1f70jqKrno93re2u_OE2SmkrTQmOUk0yZhluXjXw8edlRbzWxyowfST2w-YYCjCD-TaXx2_qIgZYf5fGGsfdaWdoPy1htXzk01jK0js9Zc7HwBttGREVGGxCDev7iIpBPi2t5B3WUEhSDYcvTB1GfSUYXCoQ8EuC4zBNnrfPNotgeRDUqVOY5YIZa_pmaUlacpfxzJbuyMjKbVrSKGy6_dj1eH4I_QmGCQq9MmlvuIadneDP_SfCoDr-nxK6Bwfo9WrgrPk', 'width': 1920}]",ChIJycNih_a2xUcRQJ6W7XZSo_w,ChIJycNih_a2xUcRQJ6W7XZSo_w,GOOGLE,"['beauty_salon', 'point_of_interest', 'establishment']","Bantamstraat 18, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ3X+MX Haarlem, Netherlands', 'global_code': '9F46CJ3X+MX'}",4.9,19.0,,8819682503fffff
"{'location': {'lat': 52.4057875, 'lng': 4.6498438}, 'viewport': {'northeast': {'lat': 52.40712283029149, 'lng': 4.651261630291502}, 'southwest': {'lat': 52.40442486970849, 'lng': 4.648563669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dema Massage,,ChIJFVLW1YTvxUcR8WtLI7FeIlw,ChIJFVLW1YTvxUcR8WtLI7FeIlw,GOOGLE,"['point_of_interest', 'establishment']","Timorstraat 167, Haarlem",OPERATIONAL,,"{'compound_code': 'CJ4X+8W Haarlem, Netherlands', 'global_code': '9F46CJ4X+8W'}",5.0,1.0,,8819682503fffff
"{'location': {'lat': 52.4060363, 'lng': 4.651506900000001}, 'viewport': {'northeast': {'lat': 52.40736563029151, 'lng': 4.652843730291503}, 'southwest': {'lat': 52.40466766970851, 'lng': 4.650145769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tegelzetbedrijf v Egmond,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104555520677394112760"">Tegelzetbedrijf v Egmond</a>'], 'photo_reference': 'AXQCQNSSmvlLRxw-pqyuzaD6_xFUBksjdZQqgRfkLE2U9wTOhc40wE76JzQ1fU6gXri8nDtNmZSutGc6Wp9lI4KMqDlA5WPefgmoEIM5rDgP0BDjKozn6J-8rIfVGHelXkq4JohDhcjRSHAkB5PsYJPHCE3dnqiDYsRY5Ne-7oHaeuQDKs_uu6RSC58a2g4bD9abywPUXLNhVxUL-L6YWsDCFBeteCevYuug5eBBbuZFSV4ogpncDieD9-0rgFsWTCmNqyNw1DGcqmVIz_3uMNuY7RIpKdW7xUGl-P71QkA7W53PhxvuNJ4phPA5GZnx-VHR4lWi8IxsX-Q', 'width': 1440}]",ChIJqWY0HIXvxUcRNlwgxvyyXOM,ChIJqWY0HIXvxUcRNlwgxvyyXOM,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']","Medanstraat 27, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM42+CJ Haarlem, Netherlands', 'global_code': '9F46CM42+CJ'}",5.0,15.0,,8819682503fffff
"{'location': {'lat': 52.4061526, 'lng': 4.649976599999999}, 'viewport': {'northeast': {'lat': 52.40748243029149, 'lng': 4.651422280291501}, 'southwest': {'lat': 52.4047844697085, 'lng': 4.648724319708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Kinderopvang de Berenboot,,ChIJu-oeKYXvxUcRQlzYskT8YDk,ChIJu-oeKYXvxUcRQlzYskT8YDk,GOOGLE,"['point_of_interest', 'establishment']","Timorstraat 181, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ4X+FX Haarlem, Netherlands', 'global_code': '9F46CJ4X+FX'}",5.0,2.0,,8819682503fffff
"{'location': {'lat': 52.4052343, 'lng': 4.6540625}, 'viewport': {'northeast': {'lat': 52.40666248029149, 'lng': 4.655487030291502}, 'southwest': {'lat': 52.4039645197085, 'lng': 4.652789069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rij Metalen,,ChIJyV1JSITvxUcReOP-Ku3L7GM,ChIJyV1JSITvxUcReOP-Ku3L7GM,GOOGLE,"['point_of_interest', 'establishment']","Ambonstraat 12, Haarlem",OPERATIONAL,,"{'compound_code': 'CM43+3J Haarlem, Netherlands', 'global_code': '9F46CM43+3J'}",5.0,1.0,,8819682503fffff
"{'location': {'lat': 52.40499189999999, 'lng': 4.6511794}, 'viewport': {'northeast': {'lat': 52.40632818029149, 'lng': 4.652595230291503}, 'southwest': {'lat': 52.4036302197085, 'lng': 4.649897269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,passie for Hair,"[{'height': 2480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115609040605432701455"">pascalle Smit detmar</a>'], 'photo_reference': 'AXQCQNRV8-nO61KS1gp5ZkoN0JjzCrJMcOHIPsM4MbSRmqUbv8BepffiMVRWAMNk-5GEMYngG0zUJwDIh9sayxWbxCKpMBMPivHb279gPAoDqNo3JLnAO-XBNhgA7dKrgntuN2f7YVyc_6XP1Kk1cHDbyE0fIFowejnESc7h5rdPmf3IfCr4eMxeyIN71p2pr0TGcUSrNhgNNhRJ3qfdyxGaHimvr_o-b5uH7MQgG6_gYkoT3gDPoqwzHLzf_wRxnFufDu40fIpg_Xw3_k3IR7mV31pyDRPHC8n1wC_K69l77FbjqeQ_r1Z1N2jNY_A7YcO9bNxcwDR2pJr6tzjx7kCZLoEo__Ax1glcSZo93NjgbjqdfGhnVT_2XHumQqtp5Dfxa_MBRnI9nQdUfwES3e08rMgCpmjNdgrIx3c8qjJvDIR9O09MwMKvXcXhOZssAgrWAM0uVFAysSnVKCgvFNJYvlrh124yCY5yS0Waga3YXojabIXQZi_XE25XQyCh6nGal8vgYV2PAD4JPzt4xMr6pD0oH-etFR9Uj9RzfVK-1lQR0JSmVyYWuvLEJ3vCs0esT1x_R5CsV97qSyQMmNAmk6P7Zu2624gN9PYgImkLLgxXFm_6SPBNy6mpT5E8Nxbp2zBeI2ua', 'width': 2480}]",ChIJDXJFlITvxUcRDb4-81uBzMs,ChIJDXJFlITvxUcRDb4-81uBzMs,GOOGLE,"['hair_care', 'point_of_interest', 'establishment']","Padangstraat 33, Haarlem",OPERATIONAL,,"{'compound_code': 'CM32+XF Haarlem, Netherlands', 'global_code': '9F46CM32+XF'}",5.0,18.0,,8819682503fffff
