geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRjLUd2STOO775sknYTojyl4j46CryicZOzoMwPtLPi5RD9kVgktextVBTmdQbKOA8QclLJ0Ml_QTwdjk7WQ2aCEmNLkOaU13djLVmjWC10AsoRfOzqz3h3kqxE2_nAoHa4Iqxi6t75qtPKMckjYgtEYyY14j0QHdnENHn5htRRpMpzTo7AuqKZuo4WG5t_tIImmJE-mM1APLKZN8873exnJpVOiVbl024YStSjoEKLqL3TT0YpC_QSsjy3I-6H7OEeN7CYs7xIewl18EgTqU4U5jVg8g1QwX2qe5vYtLiYK-b2DUcSWDuAN0CjltsYxXy6EGNtS4tUOb0S8t7tk5mPdjCE4WjtOqurTmPxXDfDNQWzixUE9zvoC4rpd1SCVJ0C0j4E2mUbIJP6-A-g0UIZ3TMMF1bEZMKmGUSYAn6ppnifC6KpUfMNxoWdjgr2tqLWW92AA_EXbLZEHMaI0sNenRJvlAxy7sQCkHzIdA03BMiMrgxVVKmDliEqSlO2GjizOY9mWWyVirIND5DtehbHPpHV4PtKlEg-BHfxDk1tiMNrZNx_bp3UvFHlZeRNX5kryOglIvWMVJgloC1-TD6BhJWLowQL81lxbvKGPXbrsTmuHjz_REEZRujJqmnQ', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,8819682507fffff
"{'location': {'lat': 52.4069577, 'lng': 4.6353064}, 'viewport': {'northeast': {'lat': 52.4082465302915, 'lng': 4.636882930291503}, 'southwest': {'lat': 52.4055485697085, 'lng': 4.634184969708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bison Bowling Haarlem,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116594438973556590362"">Bison Bowling Haarlem</a>'], 'photo_reference': 'AXQCQNT-uvNA5qLR2rynj5Tcm6ju_rf4dY8cMcci6xk6jISVVpgmDD8KyQQcwnw6Vdzn7eIENnYHF7TyRgr151MfTLSTvU07x1XRrispGIKXwj32SCc4Qu7E_3BSM-oCr-LcIR_9rY_1XGJRaU4ZmMfyenSqClBsGtGL-TT1YPafaHJRIWYxlWm7HNpLfM_2shOmZH__bVXSfUT3Ksal21LWeBCy2fy1D4WStqFzUGBZaDFCnazJHACMYIfZ7mRZ21aZ4O7iPOwFvQrsbPpfawlp7lQDF_D8Qs5xuOYBDL0WEgElSK1ql9LHCozFYoN_VFcaPBfhFdY37QQ', 'width': 954}]",ChIJQaBOhqLvxUcRX4nSaKZoVl0,ChIJQaBOhqLvxUcRX4nSaKZoVl0,GOOGLE,"['bowling_alley', 'point_of_interest', 'establishment']","Orionweg 400, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': 'CJ4P+Q4 Haarlem, Netherlands', 'global_code': '9F46CJ4P+Q4'}",4.3,1613.0,8819682507fffff
"{'location': {'lat': 52.4064843, 'lng': 4.6410829}, 'viewport': {'northeast': {'lat': 52.40779523029149, 'lng': 4.642467730291503}, 'southwest': {'lat': 52.40509726970849, 'lng': 4.639769769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Nova College Welzijn en Recreatie,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100028085383718412915"">Rene ten Caat</a>'], 'photo_reference': 'AXQCQNTp0ocSToIxi7c1WjATE8_lOXVqYQDrJfl86Q3b4QnoJqzu9RDmsx3j2gSCmgYHW9dPqi3MrK48lM7pDLVaWZmECk6YkvEjVmZRg8-5oeXUXTn-dRX970Q2jAWV5NwoPw5rn-mAXl2JJBSFeAenjOSWRbKyV7b9vVqaM9_Jq6Yn2rod5X2SId7LB-jIEfUfK7UsBUazh9tXHyDg1Wxct77luXU43NXAW_cbwfeKDt5DftUgwah7nUGp-6BntYwcp2Bw8Wi4t7EVVoDP-ASqEZDRrlnO3xg7MFrqChqrNz7AV00HjiFxlkgXxnPNRNMCqPxLD4UqqdstOrk3BPWiAO72C9YqZc9Lk_H74OTOQ6jyc8Pb4wAP2pNR1S4gup3BO9ATjlAmKLlZ3QzXmuHi7OSKGW7_r1xSgcWhGUilHFvuOiBbBHOY4yheMF_EpruR03l6iozp4c-8RlPMfri-T8QXPrQ6qJz8K_Hw4RHCzXQYpAlX4o7xAC90HyuVkDWseT48Miewpg4DA2myvo8zRD-Y-r6e0IugETRgfOPqFV9kdOmk4Y6EN92dD41fsA15L1XPKjxqPV8jJK7lZYvgb2riQIIS7nKIn3ctePeyP_NcFwKvECRKkBfj47NxSkJR', 'width': 4000}]",ChIJH3eVoZnvxUcRsH-itONHkZA,ChIJH3eVoZnvxUcRsH-itONHkZA,GOOGLE,"['point_of_interest', 'establishment']","Planetenlaan 5, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ4R+HC Haarlem, Netherlands', 'global_code': '9F46CJ4R+HC'}",4.0,3.0,8819682507fffff
"{'location': {'lat': 52.4070009, 'lng': 4.641671}, 'viewport': {'northeast': {'lat': 52.40832208029151, 'lng': 4.643279730291503}, 'southwest': {'lat': 52.40562411970851, 'lng': 4.640581769708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Openbare Basisschool (OBS) De Zonnewijzer,"[{'height': 1031, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117279700681389549076"">De Zonnewijzer</a>'], 'photo_reference': 'AXQCQNRrc1NBIgldNJTjPNnIa2GP3bibh-xO1UamX0KPqcNN2eGeMiwdumilSTpjsotxLqbJMcI3NT0030qRYpuQDQ6hWpyy9K-ZfleaFZ7U3sq3zqRjaqPIMuAoNLXI5FYc4YV0BgSeFAy1VuWAfuigm5QVjBTX16-1iPG8ImFMV8W7QXW9bw0qrJ_Ah5Y7gd3uonINbigKESzUzL04WmeZWcug7pFe7Y6kk08yNRJPPRVFYLzSY0vWzYaAfpVyG8FW6hcZUU9JWynsKgmiuXdnSszj_8sE1h24ro7xRbEMXSqkmRNbKiSlRNbwIEud0HNiwwQZvClJKpk', 'width': 1650}]",ChIJUVe8iZnvxUcRNRcOoKcqdMo,ChIJUVe8iZnvxUcRNRcOoKcqdMo,GOOGLE,"['primary_school', 'school', 'point_of_interest', 'establishment']","Planetenlaan 9, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ4R+RM Haarlem, Netherlands', 'global_code': '9F46CJ4R+RM'}",,,8819682507fffff
"{'location': {'lat': 52.40584829999999, 'lng': 4.6372845}, 'viewport': {'northeast': {'lat': 52.40725223029149, 'lng': 4.638679280291502}, 'southwest': {'lat': 52.40455426970849, 'lng': 4.635981319708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Dikke Maatjes Kinderopvang BV,"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111505134296684569229"">Dikke Maatjes Kinderopvang BV</a>'], 'photo_reference': 'AXQCQNRp3jTD6UotmyJhOxjPioO5Ok_cedgDlT0yjW2gp_hYdLl1hl3tcg66b9miarXeteBGdS0kJ-asxlXlqVfaXO2PRSZkmf3RXDvUzS7qZsz9bbub9eqYSdfK654e35iPO5r3W9PmPmfthGPaAq8RzCzGfcuSiq_1a1GVluLIrAFk5-X_gqwn2WswlEKDmT_VMi0LGfOiHXZRgnpL6TEbikzUTNc8ep09WVxKZXO9L7Syil4mxtRUlhR6QrE2o5GUot2ryF10rOL-uxg99uP2vrcszR6CuKhpLcVKOAofj4Cr5x7QCGoyO0ha9DqsERdZxk2ltvgNJ3s', 'width': 800}]",ChIJL43ujZjvxUcRtXyoVVDNxdc,ChIJL43ujZjvxUcRtXyoVVDNxdc,GOOGLE,"['point_of_interest', 'establishment']","Orionweg 77, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ4P+8W Haarlem, Netherlands', 'global_code': '9F46CJ4P+8W'}",5.0,4.0,8819682507fffff
"{'location': {'lat': 52.4041356, 'lng': 4.639352300000001}, 'viewport': {'northeast': {'lat': 52.40545623029151, 'lng': 4.640598630291502}, 'southwest': {'lat': 52.40275826970851, 'lng': 4.637900669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vries en Zn Schildersbedrijf R de,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116256245574082930547"">Vries en Zn Schildersbedrijf R de</a>'], 'photo_reference': 'AXQCQNSWc_eCEvYKC8loLG_WVyumjOmR2Mk-XEsrBORsgmBNildbqldyJ-9n_wF3adX0bf2cvlO7f_QreM4X9aDD4ZNJYF2D3ELsCiKWsnkaO_sNc2WZmz4vJLph0qyxrD4U5KJKvlbOWcJWlKEH5klrXRUo1eBJuJ1RENeuUf1INXSvWbEqEmIfVFGomIywKfaj0knV1Lnvl1QeiuAuH5Ky4mrF4Yo8Zfg1RIZEJlb-HUzMXA_byU_4lKddaqr0jyCQg3OOaTAij3Oj7XEcDVHjzFa3EmWpl77DOlP9xXAIjyMpKofa4ySRzJorJsOGJgcwf3Rcg6Dzh-k', 'width': 1080}]",ChIJ7XAtg3PvxUcRUZZHQIWaKxM,ChIJ7XAtg3PvxUcRUZZHQIWaKxM,GOOGLE,"['painter', 'point_of_interest', 'establishment']","Pleiadenstraat 16, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ3Q+MP Haarlem, Netherlands', 'global_code': '9F46CJ3Q+MP'}",5.0,4.0,8819682507fffff
"{'location': {'lat': 52.4070858, 'lng': 4.6396884}, 'viewport': {'northeast': {'lat': 52.40843713029149, 'lng': 4.640972780291502}, 'southwest': {'lat': 52.4057391697085, 'lng': 4.638274819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Praktijk M. Wouda,,ChIJjZ-5spnvxUcRjlKwKky54Kw,ChIJjZ-5spnvxUcRjlKwKky54Kw,GOOGLE,"['physiotherapist', 'health', 'point_of_interest', 'establishment']","Marcellus Emantsstraat 40, Haarlem",OPERATIONAL,,"{'compound_code': 'CJ4Q+RV Haarlem, Netherlands', 'global_code': '9F46CJ4Q+RV'}",,,8819682507fffff
"{'location': {'lat': 52.4050623, 'lng': 4.6375171}, 'viewport': {'northeast': {'lat': 52.4064218802915, 'lng': 4.638811280291502}, 'southwest': {'lat': 52.4037239197085, 'lng': 4.636113319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gezond en Gelukkig Zijn,,ChIJ8fPbv5jvxUcRXskuGBElmbs,ChIJ8fPbv5jvxUcRXskuGBElmbs,GOOGLE,"['health', 'point_of_interest', 'establishment']","Herculesstraat 28, Haarlem",OPERATIONAL,,"{'compound_code': 'CJ4Q+22 Haarlem, Netherlands', 'global_code': '9F46CJ4Q+22'}",,,8819682507fffff
"{'location': {'lat': 52.4035579, 'lng': 4.6389544}, 'viewport': {'northeast': {'lat': 52.4048674302915, 'lng': 4.640361380291503}, 'southwest': {'lat': 52.4021694697085, 'lng': 4.637663419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Trampoline Coaching,,ChIJFUV-1Z7vxUcRFzShkaeLuiA,ChIJFUV-1Z7vxUcRFzShkaeLuiA,GOOGLE,"['point_of_interest', 'establishment']","Mercuriusstraat 19, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ3Q+CH Haarlem, Netherlands', 'global_code': '9F46CJ3Q+CH'}",,,8819682507fffff
"{'location': {'lat': 52.405414, 'lng': 4.636865999999999}, 'viewport': {'northeast': {'lat': 52.4067259802915, 'lng': 4.638192330291502}, 'southwest': {'lat': 52.40402801970851, 'lng': 4.635494369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Webmarketeers,"[{'height': 1082, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105899373652110806793"">Webmarketeers</a>'], 'photo_reference': 'AXQCQNSP48JpktlMNnwBPXAiClFsbzrz3ltiecWsw3LacRYA7ahRdpblH_DHUa0zHgnbNczo7g7M-yCspPNhUbl1m5RkuWifapzUglOaeIXs-upt2hCeiBXQ6AAG7AvY_QEC0oXZBO7BrlsVHRqiz6zgkT_tiFc7lTnQy1JYrZsyDPLtWd4IoCUWIulLMvCfmHP4Cu1gGqNYL712lrk65ONIkLSFcGqUGCma1g9WteWeT1i9yRjHeWJnrfLw9G9NfQtCJmYET7kJ-iL-nMn2TL_yi2n92Zm93Env5qcX-dn4ZigyqKfiVNYHr518lSNv4QvrN6NoxMVr9_s', 'width': 1081}]",ChIJJXPjmZjvxUcRqA4FPO2zTtY,ChIJJXPjmZjvxUcRqA4FPO2zTtY,GOOGLE,"['point_of_interest', 'establishment']","Pleiadenstraat 104, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ4P+5P Haarlem, Netherlands', 'global_code': '9F46CJ4P+5P'}",,,8819682507fffff
