geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,price_level,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNSC0GhLTKojcgjrDf5qBf-lYlZQ9cwMfC5iGavx2885OI4K-7vQRdw7LmRIGCaRYHBjgHRkF8pNiwjuA_cacB67Vl3YypNAHLsXy_eksPnNu3c02QBv78iGeJGXtlsIfN0xerkUuzOO8ttfKr7cy5YSkYTaFMSry-GpuzvkDbSppgYlR_zdBcds-Lr3T3zYx-XsjaTcT1qKdocCfhSMbPyJT7NJRcLaDQ_Wl23p9Awr_38570HIFNngCh6pv6QuiGwc30zKNYCj-JaZ0aSMpIWkK-yXY6JEgVX4utRXsX5c4s7NL9trVuZrkFDMAx0ZGMPdfh1Z0fSZNXq8LepNotxlswbFXCVDK1pwodol5DfgvbZq-kajEuXFsCpJZKW3TBEaMCnNXPiCC0cd7My6fvqIgIF8pTa-QdfB_6xOzNfRE-aWcrBCpoxrc2VtCJYIzN-2nG2AgJen0cRF8vrFgAYOnZt6VRwkphSINuDpKWCBaRB_llsJT7D9_znqkeE3RMWMtR8v65bSaMI_yYysXLSDJkXiEzyMNV5OriJLHcKzxawz4xw2H2ZRF7vJgdk-WGn79T9xMlVlYU2PMqB7q5Rw_-6Pp5ImrDzva0Zpn3YaPzMcle_jIXaFEr0aq0Qd', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682509fffff
"{'location': {'lat': 52.4168676, 'lng': 4.6495862}, 'viewport': {'northeast': {'lat': 52.4181528302915, 'lng': 4.650794480291502}, 'southwest': {'lat': 52.4154548697085, 'lng': 4.648096519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Domino's Pizza Haarlem - Tesselschadeplein,"[{'height': 684, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106436721609220865654"">Domino&#39;s Pizza Haarlem - Tesselschadeplein</a>'], 'photo_reference': 'AXQCQNRUu3GcvnhMxgzxNYNh0vlyYZRX3c48JtHjYX1gOgzeCs3D0ZJHmrSB8d1P452_LjrsxaSmDjr_6FHmzG_oEdED45LQcz6MZc3PqpRMc1wQugWE-bnJI1RaRDeHeTasLzA8Gwz2ukff-Il_MnwYJ6JQQ_6um-w0qYCCDwNS2h9wXfD3iBY1BADm0ARDy7GkI5-_eqvL_Log7phXRm6eFPS3FSd2cZtSx1fsNQk87e-ip2AyTiJJSX0T5etN7dtVPBeKtwWgGOT5yjmRnYy0t3tvmbuoWBsNVS5O68_lemGZeD2MvvHFRtXaaZsvPLQVTwqV3eDWOPI', 'width': 1025}]",ChIJNU1EYv_lxUcRuuvG80xmRQI,ChIJNU1EYv_lxUcRuuvG80xmRQI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Tesselschadeplein 1, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': 'CJ8X+PR Haarlem, Netherlands', 'global_code': '9F46CJ8X+PR'}",2.0,3.9,242.0,8819682509fffff
"{'location': {'lat': 52.41577220000001, 'lng': 4.6532854}, 'viewport': {'northeast': {'lat': 52.4170570802915, 'lng': 4.654685080291502}, 'southwest': {'lat': 52.4143591197085, 'lng': 4.651987119708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Driving School Kennemerland,"[{'height': 2330, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114656499587387997389"">Rijschool Kennemerland</a>'], 'photo_reference': 'AXQCQNSf-1Hf7_ZgHLzI6U6OgAOuFk5mD83HJcDwTWT4CxcQsUNqkh02uCM1BSVQZcOTaFUnQZUWnV57OzlL6YWWSPPGkmnt7BgagPBlv914y9XJ6CR1LmTwue2itKha4yS1kEctAhJtYcFIKVl98joByQr_5ah_kbhKfsQ6_o72okRVDUZo6IGS5jzz9xnvGGimTb7hCCTRmAKdFlYriirOmtru4CcoqipGk796cHYnwM5NoWj0nB1BZbLlJiBNOskQgvmfUbSmkCAaX90qESRK2y1zOQmbYbP7Zpy55KMNjygkdSajjAQlhPVo9PHj1uXEyNeK09lV6Vc', 'width': 4143}]",ChIJBxu4xHTvxUcREcOwPng47uE,ChIJBxu4xHTvxUcREcOwPng47uE,GOOGLE,"['point_of_interest', 'establishment']","Vergierdeweg 110, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM83+88 Haarlem, Netherlands', 'global_code': '9F46CM83+88'}",,4.8,925.0,8819682509fffff
"{'location': {'lat': 52.4190396, 'lng': 4.6497327}, 'viewport': {'northeast': {'lat': 52.4203227302915, 'lng': 4.651112380291502}, 'southwest': {'lat': 52.4176247697085, 'lng': 4.648414419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Timmers Elektro en Illuminatie Techniek B.V.,,ChIJg0AjDHfvxUcR5zSYVNk3cC4,ChIJg0AjDHfvxUcR5zSYVNk3cC4,GOOGLE,"['electrician', 'point_of_interest', 'establishment']","Gijsbrecht van Aemstelstraat 7, Haarlem",OPERATIONAL,,"{'compound_code': 'CJ9X+JV Haarlem, Netherlands', 'global_code': '9F46CJ9X+JV'}",,3.4,5.0,8819682509fffff
"{'location': {'lat': 52.4157428, 'lng': 4.651987599999999}, 'viewport': {'northeast': {'lat': 52.4171423302915, 'lng': 4.653385830291501}, 'southwest': {'lat': 52.41444436970851, 'lng': 4.650687869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Verdam Groep,"[{'height': 652, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104834760764915676802"">Verdam Groep</a>'], 'photo_reference': 'AXQCQNT2YB2kORwJO54Uy8ir50vfz3_sqMXNUCDrYdyNYId014_RtA3RKJRaibZRPJSsaWgOfQWsIZBNkRh74RGxo9PF_tgicMnIuF2f-VIGOPBfhdWiam-umxdMjPq5uIg6CrYf3DWIa_nwgEyDRbQwAD8g7Txcvb2ApbwQh1wIef2OPjCWa9ciW1YSCx2DoB83bMchwyxRKNb_Vqw5nFcueW_oLYnl2olOosRJDvwuLzqkavj5lC_Wmo7entxGF8VxdMDiwvLpkqjE2rZwO3N7lN5kNdAQKSQkUIK7T60G1d8dpNHFw1PaJdhPaU8eekEkVUuSp85IYfc', 'width': 1078}]",ChIJR8HG_Y3lxUcRl0QQ0bjsyx8,ChIJR8HG_Y3lxUcRl0QQ0bjsyx8,GOOGLE,"['point_of_interest', 'establishment']","Eksterlaan 80, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM82+7Q Haarlem, Netherlands', 'global_code': '9F46CM82+7Q'}",,4.5,12.0,8819682509fffff
"{'location': {'lat': 52.4189757, 'lng': 4.6568192}, 'viewport': {'northeast': {'lat': 52.4202856802915, 'lng': 4.658122430291502}, 'southwest': {'lat': 52.4175877197085, 'lng': 4.655424469708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Titia de Vries,,ChIJj0i2tIzvxUcRcD9Kt3nClWk,ChIJj0i2tIzvxUcRcD9Kt3nClWk,GOOGLE,"['point_of_interest', 'establishment']","Roemer Visscherstraat 229, Haarlem",OPERATIONAL,,"{'compound_code': 'CM94+HP Haarlem, Netherlands', 'global_code': '9F46CM94+HP'}",,5.0,3.0,8819682509fffff
"{'location': {'lat': 52.4154815, 'lng': 4.6542457}, 'viewport': {'northeast': {'lat': 52.4167566302915, 'lng': 4.655530130291503}, 'southwest': {'lat': 52.4140586697085, 'lng': 4.652832169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Duba Multicare,,ChIJq974zZXvxUcR_hvY6vcoQws,ChIJq974zZXvxUcR_hvY6vcoQws,GOOGLE,"['beauty_salon', 'point_of_interest', 'establishment']","Eksterlaan 135, Haarlem",OPERATIONAL,,"{'compound_code': 'CM83+5M Haarlem, Netherlands', 'global_code': '9F46CM83+5M'}",,3.0,1.0,8819682509fffff
"{'location': {'lat': 52.41924170000001, 'lng': 4.6562415}, 'viewport': {'northeast': {'lat': 52.42062648029151, 'lng': 4.657553230291502}, 'southwest': {'lat': 52.41792851970851, 'lng': 4.654855269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wash & Shine Building Service B.V.,,ChIJMxZCNPPvxUcRkIXXGTAT-Ts,ChIJMxZCNPPvxUcRkIXXGTAT-Ts,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']","Vergierdeweg 248, Haarlem",OPERATIONAL,,"{'compound_code': 'CM94+MF Haarlem, Netherlands', 'global_code': '9F46CM94+MF'}",,,,8819682509fffff
"{'location': {'lat': 52.42008709999999, 'lng': 4.654875099999999}, 'viewport': {'northeast': {'lat': 52.42148763029149, 'lng': 4.656284280291501}, 'southwest': {'lat': 52.41878966970849, 'lng': 4.653586319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mudde Belastingadvies,,ChIJkZYx3_LvxUcRajvHrXTgt7c,ChIJkZYx3_LvxUcRajvHrXTgt7c,GOOGLE,"['finance', 'point_of_interest', 'establishment']","Vondelweg 472, Haarlem",OPERATIONAL,,"{'compound_code': 'CMC3+2X Haarlem, Netherlands', 'global_code': '9F46CMC3+2X'}",,3.0,1.0,8819682509fffff
"{'location': {'lat': 52.4174388, 'lng': 4.655374599999999}, 'viewport': {'northeast': {'lat': 52.41874118029151, 'lng': 4.656683030291503}, 'southwest': {'lat': 52.41604321970851, 'lng': 4.653985069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dat loopt wel los,,ChIJc2wP5ozvxUcRou5A2sjETY4,ChIJc2wP5ozvxUcRou5A2sjETY4,GOOGLE,"['point_of_interest', 'establishment']","Gijsbrecht van Aemstelstraat 155, Haarlem",OPERATIONAL,,"{'compound_code': 'CM84+X4 Haarlem, Netherlands', 'global_code': '9F46CM84+X4'}",,,,8819682509fffff
