geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNSdxmbTfayKOoOzLInxiGCUMad7COyUJVbkf77tstR7MUsXP4Al44QUg0UROw45hdBf0fLhcvz5DiJinKlh0k1JEONY0O-2gto1A6vqdKZGhjU-xJau3RLl41gjUHv_GkBYJekU4ol04mlIg2zEv-Snho734B46QzHsF2Hv5qIVYqEMTik0poP2YoLF8CHtruhuQ7vIIvapgqT3N3vgJHgPGKihXM4Pa17n2FHN5WZbYPIhtweUKFFz_WPJXsLL2WJl7kQmBuJkY1HRgKWG84MMh0dMAnSs0OstRK9rQjbTk2k-IVUUAco2h1UzTaVMwZp4ndNpW56RCh-MXXfkXLPZ9ITln2WqqInxlaJsQLo6BUAoysBTn9-H-ccMOYLzqEoEcHUIMApuJYZ-YfJGFw-ZpKz4mmeNb61vl57lbZ4FT-T_-obS4AyK3EGvsn7REf-uK8j_dAIFKyVK5P8TfngURFsxRYxU1yDk65kC8GWMwH8GO_GhmnZDTeuDUp05IyM4pVl_w7fPR22YEe_LxPnHr9PNjwoV3MEpTuHRrlsGPexQz8mk__ueAxH5w5yQ7xnksdeWmcdtipq0FJEWG1QVD21UpowFOD7eIYB_Nziq_VfXwi7vQdyiTEoPSqd8', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,881968250bfffff
"{'location': {'lat': 52.4100289, 'lng': 4.6565524}, 'viewport': {'northeast': {'lat': 52.4113816302915, 'lng': 4.657955280291503}, 'southwest': {'lat': 52.4086836697085, 'lng': 4.655257319708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Onderhoudsbedrijf Trouwen,"[{'height': 897, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117605649292636841785"">Onderhoudsbedrijf Trouwen</a>'], 'photo_reference': 'AXQCQNSX0xoxImR4RsI4hugD9QIjy4QksP4v7e5z6JE09VjifVzs9n48TDFMS7dA5ZzYk_yWXkRQPDMWfps6XMDDjaqnJOSBGQ0Pa8g8i1yacZ5qKUKT6ZH-V4xzNSS-4dOF0nwVl4_87rIl9AEWjz2lIgr_4JQ1dzU2b_JhtgoWv-s21LCoexec_S6RIoK5Ujp3bC_wA0WtWYPK6M3F224et4NEJSUo5KehICD35uWlpyxYr6U9gtT5qT6C9SeY6Wk9-eYlyxpveLqnw9qmySxvMW9CZZeqL13C7akDTe2RgfZ-WpWTsgI8KAXz7bcyUcqANtKBma06-ng', 'width': 1344}]",ChIJiQn-fPvvxUcRPUUjGE2zhd8,ChIJiQn-fPvvxUcRPUUjGE2zhd8,GOOGLE,"['point_of_interest', 'establishment']","Vondelweg 136, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM64+2J Haarlem, Netherlands', 'global_code': '9F46CM64+2J'}",5.0,3.0,881968250bfffff
"{'location': {'lat': 52.4119304, 'lng': 4.6558701}, 'viewport': {'northeast': {'lat': 52.4133115802915, 'lng': 4.657260630291503}, 'southwest': {'lat': 52.4106136197085, 'lng': 4.654562669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Accordeonist & Keyboard Paul Meijaard,,ChIJKWxIxI7vxUcRbyfsZePXWNY,ChIJKWxIxI7vxUcRbyfsZePXWNY,GOOGLE,"['point_of_interest', 'establishment']","Nachtegaalstraat 106, Haarlem",OPERATIONAL,,"{'compound_code': 'CM64+Q8 Haarlem, Netherlands', 'global_code': '9F46CM64+Q8'}",,,881968250bfffff
"{'location': {'lat': 52.41213709999999, 'lng': 4.653433899999999}, 'viewport': {'northeast': {'lat': 52.41344858029149, 'lng': 4.654730630291501}, 'southwest': {'lat': 52.41075061970849, 'lng': 4.652032669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Stucadoor Haarlem - Dave Uitendaal,"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104629532358454346560"">Dorien Straathof</a>'], 'photo_reference': 'AXQCQNQSUeISuhrYVbVp1GbxkSM9U6Zaw6uK1PrTlJ2nQQkN_9IrOAmyHrNq617xpBlHP2ovlaSl7kfCQuE3nNnY7xduF9PW3RDUr5xydrN_Ur9cXCc5ZS4l9Ew3HLSLZjManAcmJT3e07Ea1jAgT_F5OaVqj3hrS8jZR2-7LZeKwnNtGdu7OSAKi3VNtJh7n8XsmC4I_8-8JMPhvVvJo54ZFU9dx01IXwpIbvYKIr2D9SfN4bAkVhAEXPmuMVdUsSrZZsfHCfZRiuz3zhTy4iByvj6XYqN1j8rr94x6wdhCm6hNeytFhHRJtO3Ck5QqvH6ns4s-oLkRYZMP8oHLiI7M2FtpQ7m24Pcxxe7P9tdxFkXglkCE6hTvgv5UKLX0IMtDLqo_XLogLL8nFIf4aXhkP1AFR6hAJvaPDzkeJ9nyPEkHXiw3RRvsixbfMP0hBwW6E13uNCYBu67sjnSyGwveupRW79t6J38H8-4Els7upbc00SE6pZLHW9xEd8vfTr1mQjlQf-hIei6vJqQcUr-gXnFhb477p8OeTpzrbm-OwVFV1dJxZOQi7Bc0lwv_QvgMUl0kRv1KiKQtb_L-Ib-PCh50NauJhXtcdfUplEg9Z7sZKwaHBVIBaY86W5KCGuDyIk-pSg', 'width': 2000}]",ChIJKa5MWY7vxUcReyULXrnPkJw,ChIJKa5MWY7vxUcReyULXrnPkJw,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']","Leeuwerikstraat 59, Haarlem",OPERATIONAL,,"{'compound_code': 'CM63+V9 Haarlem, Netherlands', 'global_code': '9F46CM63+V9'}",4.0,2.0,881968250bfffff
"{'location': {'lat': 52.4145107, 'lng': 4.6564158}, 'viewport': {'northeast': {'lat': 52.41588538029151, 'lng': 4.657642330291503}, 'southwest': {'lat': 52.41318741970851, 'lng': 4.654944369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gymnastiekvereniging Volo,"[{'height': 3480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114669564076301656545"">Dymph van Dijk</a>'], 'photo_reference': 'AXQCQNSfZzgl_izp6qjk1j7tTybI464MzI92ZK3IUsAEUysD_MN2wDKHNW-qXtrdJfCO1F5zgO5y3uaSP1AlzBXrIU9ofQUIgeXTD7tzXHiXrwqYEML42K_ALLykMZJWJR6qYwmMK52rRV1A-BfltytMhvDrgOUfPHCl-6bh-OmTssHAaiTZD-3nITTJedgtRuWdS8T1mjk8AQoMTFgOmOrjOkE3pf_MRdrPPMcqticg0QDttX5R05RHkFM4sQOtAtrQGuwLB405Q2P25CFGhPXKBPRmtQJ2FPQNlYgmsjtHZD_pTnR77ew5ApO9a5BBylcJdxDDifdNKlM7VsYjO9M_QK6z1cJ521RsJu5HoyELFbAZ_ZrUj1FFFgLIr0xc2Y9KBiNiU9AfXru7hDtkAcZwV46K4J9v6eYG__bYsU_Z1TRmWo3CA2kCMjG8WbVx--DnbSYXQeNKZfKIcoY2NgMuWigf9YyNDQXjMS-aRnx-MvxCcil0cLbLUsso-etbTPdQC-k3EkxWeivt9V6sQ8EBkQZ6XRKVHcRc0wMXPqUEAZRjm-w5EPckIJmzyYEL7OEeAj_urQJuhl6qAnGopjs18kFRwbuVgqvibcuYT8EPxtpjEog3qgAzPkJshqLKKg5eb-zm_A', 'width': 4640}]",ChIJJaU3EIzvxUcR4F6MwWHRXLo,ChIJJaU3EIzvxUcR4F6MwWHRXLo,GOOGLE,"['point_of_interest', 'establishment']","Jephtastraat, Haarlem",OPERATIONAL,,"{'compound_code': 'CM74+RH Haarlem, Netherlands', 'global_code': '9F46CM74+RH'}",4.0,25.0,881968250bfffff
"{'location': {'lat': 52.4107519, 'lng': 4.655367399999999}, 'viewport': {'northeast': {'lat': 52.41214918029151, 'lng': 4.656697530291502}, 'southwest': {'lat': 52.40945121970851, 'lng': 4.653999569708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jeroen Harkmans Schilderwerken,,ChIJ639oIY_vxUcRF3M-zxBbjf8,ChIJ639oIY_vxUcRF3M-zxBbjf8,GOOGLE,"['painter', 'point_of_interest', 'establishment']","Kievitstraat 46, Haarlem",OPERATIONAL,,"{'compound_code': 'CM64+84 Haarlem, Netherlands', 'global_code': '9F46CM64+84'}",5.0,1.0,881968250bfffff
"{'location': {'lat': 52.4097806, 'lng': 4.6551328}, 'viewport': {'northeast': {'lat': 52.4110689802915, 'lng': 4.656500580291502}, 'southwest': {'lat': 52.4083710197085, 'lng': 4.653802619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Stichting Vrienden van Sint Nicolaas Wormerveer,,ChIJBWjRkYr7xUcRkK7mB0uXW00,ChIJBWjRkYr7xUcRkK7mB0uXW00,GOOGLE,"['point_of_interest', 'establishment']","Romeinenstraat 45, Haarlem",OPERATIONAL,,"{'compound_code': 'CM54+W3 Haarlem, Netherlands', 'global_code': '9F46CM54+W3'}",,,881968250bfffff
"{'location': {'lat': 52.41033519999999, 'lng': 4.654779}, 'viewport': {'northeast': {'lat': 52.4116240802915, 'lng': 4.656149230291503}, 'southwest': {'lat': 52.4089261197085, 'lng': 4.653451269708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Hans van Rutten,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100100954460085390118"">Hans van Rutten</a>'], 'photo_reference': 'AXQCQNSDAFzV8gOStUkieiGPlwD6t_KlWQDBHZv5AxLnxxHz-EiAWZvVzdjfVBZC2_i2_G9-un1TTq0FNkUZYSi3xaANN6zqccfQivqlUyckN-2DezRGZnv7AXREkMmGfX6s1g2i_6vLzX-TCB3krXSjk75wMessMyQRBOQwLo6hhxCdp4a4D2bIf9oYO2595p2nSzrYZkpl01iN10pa48AnEoDsR9PiehnzUXMbr709m9bnPXPb7eH5hqb8od5mWeLg0WbPvB28bEzXtff66PcdKF9a_mozoWBYs8RJxzGi8zg17wPsyKhELdq6pnQrcN8duc12obPOixA', 'width': 5472}]",ChIJUVVrF4_vxUcR7kUjVFxz-4M,ChIJUVVrF4_vxUcR7kUjVFxz-4M,GOOGLE,"['school', 'point_of_interest', 'establishment']","Roerdompstraat 39, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM63+4W Haarlem, Netherlands', 'global_code': '9F46CM63+4W'}",,,881968250bfffff
"{'location': {'lat': 52.4114044, 'lng': 4.654783500000001}, 'viewport': {'northeast': {'lat': 52.4127774802915, 'lng': 4.656091080291502}, 'southwest': {'lat': 52.4100795197085, 'lng': 4.653393119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Matchday Voetbalreizen,,ChIJn0kH5I7vxUcRFW3Mg76qrOE,ChIJn0kH5I7vxUcRFW3Mg76qrOE,GOOGLE,"['travel_agency', 'point_of_interest', 'establishment']","Havikstraat 28, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CM63+HW Haarlem, Netherlands', 'global_code': '9F46CM63+HW'}",,,881968250bfffff
"{'location': {'lat': 52.4132405, 'lng': 4.6556472}, 'viewport': {'northeast': {'lat': 52.4145783802915, 'lng': 4.657062230291502}, 'southwest': {'lat': 52.4118804197085, 'lng': 4.654364269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Interim Management Advies Groep bv,,ChIJsTFdoo7vxUcRD9SmbmxXBEM,ChIJsTFdoo7vxUcRD9SmbmxXBEM,GOOGLE,"['point_of_interest', 'establishment']","Gruttostraat 32, Haarlem",OPERATIONAL,,"{'compound_code': 'CM74+77 Haarlem, Netherlands', 'global_code': '9F46CM74+77'}",,,881968250bfffff
