geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRUC-_wFJ43WJfPYRkhZofIDylL66yqCvckhuWkrNCw1wSm8_jdaM3R5-eJcPGPZFNfggxa4r__pbg8kCG-JajoGvZv7Bq38rJFjLiOU2kP0egDJv3yXlLK9ZIZxHe-XtWJ7AGN-zKkawBFYHbI6Z2qdTl40TvnbpZwo5fINB3_Rpb85KWVJvUJeEMlrpzyweDC46uxAX8x1Rnfrhwsxibv89TTfyn2ug8CVDVQeItazL7KqG5WeOn2KCJzxf0UN4X9_I4d60im8szyw4CX-9dslMIYeu2IkFZdtQUWWzSGSwaYbln6hBbguZILoUb6t2M6t7DUOVffknr-FEl1Odu-qbk-94JgLbLErS2-vQIkjMCE1cxxl59XYJxZ0PVp-KhiGjx81psFpHiqJOSrCepCEfa6FjVdgYyoyNEWbay3RVhkQtxK1H1Ljg1KQNq-ZbvvNRdWRHwy9uo6Uo0S8RaHZMkDdF60gQpj1doWVRIg2LfelDc7CrXDr4k8HPgNlj59MTfDhVAAUyZggv3PAPCOQnKBxOJP5htIsCOUX2VxRl_1ddpCC7wDG-UbwJVClM50E1zlsvD05ZKxXJY5Vaq9AxbLdTgXhrBana2XilXu4ZNwhNj6kenKFYkxrZFf', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682531fffff
"{'location': {'lat': 52.39381340000001, 'lng': 4.629111099999999}, 'viewport': {'northeast': {'lat': 52.3952983802915, 'lng': 4.630467480291502}, 'southwest': {'lat': 52.3926004197085, 'lng': 4.627769519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,DekaMarkt Haarlem,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNSNare2HTdpoJNPsIIwOhZ9-cPimBQBKf92gCIRmwcNC_DVK9IByu9Q_cDJw08qAoBFyBmOp9jEVLPIVpvhbYo1wWG19v5Ma4ylJeKSk7-pWaehbg17vqQnvCAQvnV-8amhegE0RvO_41tOJKut-Z2_dmhKMQYhYvdFJhIHyNsQnbCv76IGJF3T7P8l65cMSxHd0jgLdbq8B4qA2Bb2AffiJ74hIDNdTzVitFbhyF820AY2SdWx1LEhYUI0LS0rAL54BKGz-9GCiGgYtrSdlVVIBBZsWjwFFi0ECte7DOrgaXXCo-VOFAG5ULLT97Q54Wb_0xyTPAyTyozZldp1md7BYyr81c6_DIaKqoNXcIyxRNe_4JsLXbasE_MWEYfzhXJtA4dCzQy22EHd4q3BifJg6IeuAoGo7qsYq8QYYf_drQFRP3paOdUrbTSWVP9tQde4OFuss-7l0N_pmaVDBpFSwY6Tg8SyTlNSKe83LgklNh2FClYQRDiuHl4KmmLVtAq0Ru3ZvM0Wz9mjcCbNtCOvi4UAbVCEftDd6aszqCUdEyI6fRAEbafKtYDE7rg6Nrj69lgzBm2-mYtrUjsmJO2BYASIK6xPpAdrYfr1Kj_pVJRIkIQfjH-Iuk2yarffy2AM5bee', 'width': 4032}]",ChIJ96CX8gvvxUcRPM3XS1kzEEs,ChIJ96CX8gvvxUcRPM3XS1kzEEs,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","Meester Cornelisstraat 52-56, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JVH+GJ Haarlem, Netherlands', 'global_code': '9F469JVH+GJ'}",3.9,423.0,,8819682531fffff
"{'location': {'lat': 52.39047799999999, 'lng': 4.6380579}, 'viewport': {'northeast': {'lat': 52.39182478029149, 'lng': 4.639426330291502}, 'southwest': {'lat': 52.38912681970849, 'lng': 4.636728369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Het Dolhuys,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108277111621512904344"">Sander Degen</a>'], 'photo_reference': 'AXQCQNTWjqcHMZZ-gCtFfcQhSSIeOKENu7PHR26MDlOk8DzsDYhl9-Of8n9LnNzuB-nhrPyz4bXtE8WNA0f2Vq88Zsyltmz93KBInE790NaFUJKKz4re4MFX4jpH7IrfUI_cx6J2gT8x0__dne5Xb9ov6YvsYMsJnxfZ6-4x4ARmrGc7UqOHJMrdM3S2n0Pnzh_xDoBt4xDktlevQGOp6rbz48PabdFRDYQOcw9GrRZSsGUli_PkW2zE0rr9aBjoyZWAmhRC7gio10zqbvER5Yq_bk5hyOAbwDqetUB4apXFau0ur0lCuXFAPn_nSrEcXTbNwfvNOp8dzUQYVKoEgpx-jrDcyl6jmE8P9lTgqFS0Hj9jjUu-HDHghhripiiwQ3SHu8reiq5wzbdW67fqNuHravdswk3upy46SBLMPsVyH-p1XPxm7OktSqSMe-7YwX0hyanI6teTCmeVnpLZSPr1HPIp-zDf-Ha4UTqzs0yscIXIPUSjWtLDwkKa5P1X5ZOPEQ43vVNxURzbeVfm2j5pjxm21yCBpx1-xodpcgh3n_Egsdrv3xequPxrkpiflvaZaurtbRiEvMSL5osscWHx43xZI0DwWOxsXMmFKFDKV5Edir8A9X3mxN8hE9tDj6ePt1awrg', 'width': 4160}]",ChIJxfcBs3PvxUcReOojnqq1zx4,ChIJxfcBs3PvxUcReOojnqq1zx4,GOOGLE,"['museum', 'tourist_attraction', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']","Schotersingel 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JRQ+56 Haarlem, Netherlands', 'global_code': '9F469JRQ+56'}",4.0,1080.0,,8819682531fffff
"{'location': {'lat': 52.39275130000001, 'lng': 4.629977900000001}, 'viewport': {'northeast': {'lat': 52.39404173029151, 'lng': 4.631306130291503}, 'southwest': {'lat': 52.39134376970851, 'lng': 4.628608169708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,De Haan Hilbers notarissen,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105010064686373411488"">De Haan John</a>'], 'photo_reference': 'AXQCQNTNg092vReRXyr8v5OJDYg0RMN7qkQDjf1WnJXttDeuojewXhOQRUbUFArzjwYhYd73D2-Z5cfEmjZR1Vv1t1kkLCCvN4kM3y3XwMLGeeIq5XcEAkQIeWjPC4uuCUyRNoKKDSQ9IlqZXiEK4Z6ncqr4wi645LNBZ3X8BVviEaEMrr9WL7uVurcPYN7gS2vf4cG_6f5wJQZ4lxm0fbw1Bdy_eOCCmqy8yNfqTyCIXI3q8wHB-SS8sRdoS5DC_F_BNp6x8SQKLVVZsY-MHqkH0VteO0v0Hp9VeK6hme786DbI8f9QuTCg-6eeCWkM7O4Qm-zW95iTm0UI0nnvzTQCvxRgNhmbUyAFLxwN428HwL0fZPz4UNbQqOBRVhRzWrShBBMMlFJkd0qIMa3xI4j3FNFHmAmYeogw5w2Biy9TSDwsY8lbcqjYOlfrFeZ78KSKXr1OEOHIQCg6x2CrI1RgvaxmoZ0koqdufjYRsaeEQQ8uV2P1V_1Rib7yAd0qgbNu9K2-BHjAy_ZrNTgCxQl_5vRvi2XHxxmw4A9d4qZhjtF0Kd_bwuOcUHKr5grtXQA3hveImVxwcHK-r-qtP1iPnHSXxmEJfcSs_GyIvXej3ydGqw7BJ8fu2IVTMHz82llD', 'width': 2048}]",ChIJewovZQzvxUcRj9c8fguYUX8,ChIJewovZQzvxUcRj9c8fguYUX8,GOOGLE,"['finance', 'point_of_interest', 'establishment']","Kleverparkweg 55, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JVH+4X Haarlem, Netherlands', 'global_code': '9F469JVH+4X'}",3.2,9.0,,8819682531fffff
"{'location': {'lat': 52.39675010000001, 'lng': 4.6312381}, 'viewport': {'northeast': {'lat': 52.3981593802915, 'lng': 4.632629980291503}, 'southwest': {'lat': 52.3954614197085, 'lng': 4.629932019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Earth Matters,,ChIJx7lwWArvxUcR1e4MNIRMFDw,ChIJx7lwWArvxUcR1e4MNIRMFDw,GOOGLE,"['point_of_interest', 'establishment']","Van Dortstraat 52, Haarlem",OPERATIONAL,,"{'compound_code': '9JWJ+PF Haarlem, Netherlands', 'global_code': '9F469JWJ+PF'}",,,,8819682531fffff
"{'location': {'lat': 52.391545, 'lng': 4.6310625}, 'viewport': {'northeast': {'lat': 52.3929235302915, 'lng': 4.632525930291502}, 'southwest': {'lat': 52.3902255697085, 'lng': 4.629827969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Home Pizza,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100208995821149770571"">Home Pizza</a>'], 'photo_reference': 'AXQCQNTPq-uPdnrZbeJPAtTOZWxO6rS5Y8XVNIAqJbB9teqN0lqHL7x92A6-XLpJTOBoFxvYpcW2KhKNY9TSbDPL5Oq6lxHBE_avXyh-DBwAlMRO_--ilpkOk2OzLLh1MNgiyCkU2y0QQ1puDIZQbplSj8kCUkCTWUoLPoamZSwLzEK6lMmTpWUjOB1HhsdgERZLROS0n3JUmZWe-3kkuNps4TfDCw3xf2jh2qS8arN4S2pEzmqsZduPf-0lDZB-ZT5YrLHlPK9tTnlHlmynUSNbnjbvpnXfE1T5qK1w-IYAF9Gp2p_Wsa3IK9xDZDCXE4srOYH6rHcyBZc', 'width': 1536}]",ChIJn0S38QzvxUcRlN3E--Y3F18,ChIJn0S38QzvxUcRlN3E--Y3F18,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Kleverparkweg 20zw, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JRJ+JC Haarlem, Netherlands', 'global_code': '9F469JRJ+JC'}",3.6,120.0,1.0,8819682531fffff
"{'location': {'lat': 52.39098949999999, 'lng': 4.631165799999999}, 'viewport': {'northeast': {'lat': 52.3923260302915, 'lng': 4.632627280291501}, 'southwest': {'lat': 52.3896280697085, 'lng': 4.629929319708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cirkel Realtors,"[{'height': 3103, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108699456501233532520"">Cirkel Makelaars</a>'], 'photo_reference': 'AXQCQNSGPYk_IOlQdPuTYtKBMBi52T8qwui2gk3OZV0B9TcijNM9KflobtpBLTLMyjKrN66iiwhRbnUjBcczWB41TaEgH7fjW8eKwhPiMwm7y0M2_F-V7fTAu1iTT5ecGsEEUtVw3EuJK6-K2NICzWkXFwdKIdVOlA6owS_oCqFEmDR4IXFZC11xHISG2AmT0-F7lvhUsIeS7qV-wckvXaZKjQ6ogJvTM75ZeK2x0es5Z_Z74hm8sOvichYYGzsH0s5kLhkwSJ0-TGCSKa9M5eMMSfJN2Q--v2HOsCjfa-WRZU0cP_P02n5kKXObzkk6bneRRUknQxJvb9s', 'width': 3999}]",ChIJzcQS4wzvxUcRJmvgnV8Vrn8,ChIJzcQS4wzvxUcRJmvgnV8Vrn8,GOOGLE,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']","Kleverparkweg 6, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JRJ+9F Haarlem, Netherlands', 'global_code': '9F469JRJ+9F'}",4.8,22.0,,8819682531fffff
"{'location': {'lat': 52.391439, 'lng': 4.638075199999999}, 'viewport': {'northeast': {'lat': 52.3928545302915, 'lng': 4.639452930291502}, 'southwest': {'lat': 52.3901565697085, 'lng': 4.636754969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bijl Radiateuren V.O.F.,"[{'height': 1357, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115899327113261452728"">Bijl Radiateuren V.O.F.</a>'], 'photo_reference': 'AXQCQNRyjpzqe8arDMsi-56L7c5zYiEZKPoq1q3pBv13Sq9j1h96sPeJPQKmkHRB-fKpxcCWxRr_gwRUMJNDNj9SkHRi6octkDvz27IWAfdOVAdtILG8XcPVmeZ25YLzGdnCNACIWRXEZggSwg4cZuaKpUP34Owc6vZKR-eMqJrH0JZ04uXhVeWQIwL8AnBj3_3UxJ0zStgqloal3ILUnh6u1r3lkLWUcRtO8bBCQjJIAuyocWgbCtIwYLltK-qBd8ILO7ZliLBA3DQnUXwqKlqM2QYxmS4LXeq3pr0P70j1X1zCjIqPPNl4ly2J-70d_JohGV7YeHESoQU', 'width': 2048}]",ChIJ02pRvHPvxUcR-E0KgxT4hgI,ChIJ02pRvHPvxUcR-E0KgxT4hgI,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']","Frans Halsstraat 44, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JRQ+H6 Haarlem, Netherlands', 'global_code': '9F469JRQ+H6'}",4.9,35.0,,8819682531fffff
"{'location': {'lat': 52.3920846, 'lng': 4.631061899999999}, 'viewport': {'northeast': {'lat': 52.3933903302915, 'lng': 4.632320930291502}, 'southwest': {'lat': 52.3906923697085, 'lng': 4.629622969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Patricia's Hairfashion Kleverpark Haarlem,"[{'height': 418, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114575765131988199881"">Patricia&#39;s Hairfashion Kleverpark Haarlem</a>'], 'photo_reference': 'AXQCQNQkWgvZUOVC9R5hhT1f5g0WzMD2cHc2YucLGLzJB5_vyvMKvpAdzvJ8xpB-0Q4sZwbIw4-byVmfyC5t-0LFdF9DIscxA8XqKjd1JQESxMIGaQ7pawxggY4NyctPTxEWC03rBH89KEKpABGdyKs962I7VRaL7BelM8_mJ9zowJcXa1b1qcdB4Kd22uWrUXjCPC8RXWTlbdRH_KXzufPV4nOJZY6jxnvtGx-F23X0f8DRsCnW3Yl3MsF46U1edfF5pdxuClxuY7XqCxW1hElgx4cKzGCnPb8pOZGhNnytrewXb9OUr-1ERJhUcfbHSfSHZn2i6xAF8YQ', 'width': 630}]",ChIJiTKH8gzvxUcRQYBA-yLAVyo,ChIJiTKH8gzvxUcRQYBA-yLAVyo,GOOGLE,"['hair_care', 'point_of_interest', 'establishment']","Kleverparkweg 21 D, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JRJ+RC Haarlem, Netherlands', 'global_code': '9F469JRJ+RC'}",4.8,19.0,,8819682531fffff
"{'location': {'lat': 52.393379, 'lng': 4.629458000000001}, 'viewport': {'northeast': {'lat': 52.3947145802915, 'lng': 4.630869080291502}, 'southwest': {'lat': 52.3920166197085, 'lng': 4.628171119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Chiropractie Haarlem,"[{'height': 2244, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105627604993701574881"">Chiropractie Haarlem</a>'], 'photo_reference': 'AXQCQNQ4t3HxElQq9f530wRjRDLCu_87H7StKlN5rIXbV7kYakJhdUNSLwReYnxUZovNtxJayeb3jpXcWf9oKNdfJ5OFkDPlSWQ1M4TXMdslw-VEd_1IZNDL2FwIDtQNL9z8qrM-dkFpxLv888YLVCpOP3dtjR6kvekswTOM9PCbDvKBz2GSWnWnRi2k9EiArVws9U-zDVmoO_rElDiSoA3anXZZxOiPuGCj5Fzp-5CkYVpwJiCvwS3vx8j32JGAtJd_NWiiPB6UQh7dgttahpMuc4lFRY5_eM3zpw1RB40ecwxMX-MXXU4iq1NC-1I6bCZAsQ7t3S4Qb8o', 'width': 3176}]",ChIJ6RpudgzvxUcRySFAdB3fjVw,ChIJ6RpudgzvxUcRySFAdB3fjVw,GOOGLE,"['health', 'point_of_interest', 'establishment']","Santpoorterstraat 50, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JVH+9Q Haarlem, Netherlands', 'global_code': '9F469JVH+9Q'}",4.7,18.0,,8819682531fffff
