geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNR2juotDKfzzW0fyz_71DNdsPqjxKE3vKGmMSnvws9mvcB52llWZGj8NO4-ZGfBC9oEp6GT6rPTHmA_yR0Q4tyDYdtPiNb64oN0VEEw9IxcjirR-lH9opkHOI5pNRGMVDf_zpuX_YR9Fysr_2NPCpHmsLg_18gYa9Lmg93ZsPQIiW8VEzAQQL5y2qUKo9Q4OOy-CjEUF1x9yuo78d5wOrTSb7lQ4M82DnidwsAv2hxPfHGMdzkFTG_Mvvfl3m10Xj8gCXFBbdtCQh-f2Rrklqo4-SgbHtStvAmPJCAU1C17bYWKhGc2vTJSMMzPxaUFuEf32vnKqEMqzj6oNHubV6WfWiqiDTnDU6p5vZsK3rAdtfp7A7HpredMLipzFC2sG40xL3RjwHxu1V3hN1OrxDzqjGNYsmAl1kAD8aL-o1OwUbVNX_kDRyHu-C7wW3HXblIShYah9A58sxAP9_JLGAq5wCD3aTBjQuvTI3xR_q_AI7XYvAZ1Jc7KRsN7HsXAYNy54M24sdvezKSInSL5QFD_KF9TIgqMH1S26eGHSY9B4dJgjz49T16R9q7-Pj6Y-bW_Y1HsUBte1SpZ9dJBI_K65BoFfqrNvXHcVvxLmrQ7utLdvGjxjbf2pTEgG41F', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,881968253dfffff
"{'location': {'lat': 52.398864, 'lng': 4.626542}, 'viewport': {'northeast': {'lat': 52.4003515302915, 'lng': 4.628362130291502}, 'southwest': {'lat': 52.3976535697085, 'lng': 4.625664169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Restaurant Kunstijsbaan Kennemerland,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115314299818907024522"">Restaurant Kunstijsbaan Kennemerland</a>'], 'photo_reference': 'AXQCQNRVwDFOvKTZEJ_8QF9QT4cyq-3i4jirs8-aFCwnTfYNoKH8yTpmELAN8ZmJzTvTqD3DJOs8sRHsqfjiNaJbGHGe1gzxr81TXNlfS9G5fZdUk5Z2nFDVItltz5hrS0e4KKAJvAp2ps4Op2LuiGC8P5ShS6khALqMJXEltmAcJ18uNF3vTqhHFYiM6Q3HUD07OhrcagT234vBfAQ8V8fxJKgGEXJc6bn4uNjecZYnLQQ5ZYkjbnd699h885vZBOha7U-2Wqpzh7Bg-k5297PCexusJN0Jy6r9Fj4fm4Y7Rs74GLySoSM07NCfa6D19QVCO_WleOOlTN4', 'width': 2048}]",ChIJZ8WaYKfvxUcRLP2iMJdLL08,ChIJZ8WaYKfvxUcRLP2iMJdLL08,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Carel Reinierszpad 52, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JXG+GJ Haarlem, Netherlands', 'global_code': '9F469JXG+GJ'}",4.0,24.0,,881968253dfffff
"{'location': {'lat': 52.39675010000001, 'lng': 4.6312381}, 'viewport': {'northeast': {'lat': 52.3981593802915, 'lng': 4.632629980291503}, 'southwest': {'lat': 52.3954614197085, 'lng': 4.629932019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Earth Matters,,ChIJx7lwWArvxUcR1e4MNIRMFDw,ChIJx7lwWArvxUcR1e4MNIRMFDw,GOOGLE,"['point_of_interest', 'establishment']","Van Dortstraat 52, Haarlem",OPERATIONAL,,"{'compound_code': '9JWJ+PF Haarlem, Netherlands', 'global_code': '9F469JWJ+PF'}",,,,881968253dfffff
"{'location': {'lat': 52.40018240000001, 'lng': 4.6303055}, 'viewport': {'northeast': {'lat': 52.4015567302915, 'lng': 4.631567380291503}, 'southwest': {'lat': 52.3988587697085, 'lng': 4.628869419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Prima Jurist,"[{'height': 335, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112454053084373837615"">Prima Jurist</a>'], 'photo_reference': 'AXQCQNRagjCIUD3z6jxG0ccH_JImQ4k8VdYDnR_xyJ7eIejMcXzvlDLhkyLk0o8PBATeiq9TsO1-u2hIeWIk0AyzMRCNEOZFWU6tIKrQZkbyEhsPGYFqrhR8aALeRfnNreiVJkufe-D19oIJQCA5ATdOeGoWaxxBGEjyOyau8Z8OfRrJYsiqFfKBhO7UHqPiYwEp2qP4RdGLqBddh4vkdsR3W0C6OkJbW838Py9rENJNsnTlm5BIVw--cL66ZSFSGPQgRqQzJ7bkUlYGM-WlXcKCEdgn-WJhoneESQ7MXEbyJCl1vydPmm8mXjs3zv96Ts5NrHetbo17VKo', 'width': 341}]",ChIJqVtg6qDvxUcRQ-SCAgS87M0,ChIJqVtg6qDvxUcRQ-SCAgS87M0,GOOGLE,"['point_of_interest', 'establishment']","Veenbergstraat 1, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ2J+34 Haarlem, Netherlands', 'global_code': '9F46CJ2J+34'}",,,,881968253dfffff
"{'location': {'lat': 52.400184, 'lng': 4.633094}, 'viewport': {'northeast': {'lat': 52.4015817802915, 'lng': 4.634480980291502}, 'southwest': {'lat': 52.3988838197085, 'lng': 4.631783019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,De Huiswerkclub voor bijles en huiswerkbegeleiding,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110030443750057077636"">De Huiswerkclub voor bijles en huiswerkbegeleiding</a>'], 'photo_reference': 'AXQCQNT-CqG8CW5L_f6Ea7GA4yZcjH2mi9XLoSsmTYTN3XQLlzcFdNXf7fIHXAC5A5L9zNXHZECV-OQngojmv-mwV3bCUIEIqAchP9dK2M5s5vA6zkj3Un4RggjPHf7Fpl43XHbM8PwRTn0SvcB7v_Yj-W9_MBHWZ6lD8baILCM5x1JykgSa64zPyk1_RXdZ76TpsiWkVqq89EGw0bShC0RpsaGrK406iNIY66UYOvEpL7CCZ2AsG9EbGQHoNmQPc8qu-VS6JQYfaCyc-UnXrUMJeHcPMigyCaE9EpJX17i12lmky-NgSw_olVanSYx3KDzHYwcIFD7qgtw', 'width': 2048}]",ChIJGbddRKDvxUcR5B_ec4mKYkY,ChIJGbddRKDvxUcR5B_ec4mKYkY,GOOGLE,"['primary_school', 'school', 'point_of_interest', 'establishment']","Stuyvesantstraat 67, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ2M+36 Haarlem, Netherlands', 'global_code': '9F46CJ2M+36'}",,,,881968253dfffff
"{'location': {'lat': 52.3986154, 'lng': 4.6291786}, 'viewport': {'northeast': {'lat': 52.39994703029151, 'lng': 4.630904730291502}, 'southwest': {'lat': 52.39724906970851, 'lng': 4.628206769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Stichting Kinderopvang Haarlem,,ChIJF7ZpCArvxUcRYasklaEQWxw,ChIJF7ZpCArvxUcRYasklaEQWxw,GOOGLE,"['point_of_interest', 'establishment']","Het Hoenstraat 1, Haarlem",OPERATIONAL,,"{'compound_code': '9JXH+CM Haarlem, Netherlands', 'global_code': '9F469JXH+CM'}",,,,881968253dfffff
"{'location': {'lat': 52.400617, 'lng': 4.627277999999999}, 'viewport': {'northeast': {'lat': 52.40184068029149, 'lng': 4.628702430291501}, 'southwest': {'lat': 52.3991427197085, 'lng': 4.626004469708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Tennisschool Kim Kilsdonk,,ChIJf4d5YZjvxUcRWBWP-CAC1vM,ChIJf4d5YZjvxUcRWBWP-CAC1vM,GOOGLE,"['school', 'health', 'point_of_interest', 'establishment']","IJsbaanlaan 4A, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': 'CJ2G+6W Haarlem, Netherlands', 'global_code': '9F46CJ2G+6W'}",3.0,2.0,,881968253dfffff
"{'location': {'lat': 52.40070649999999, 'lng': 4.630806799999999}, 'viewport': {'northeast': {'lat': 52.40210068029149, 'lng': 4.632192580291501}, 'southwest': {'lat': 52.3994027197085, 'lng': 4.629494619708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ramona Da Cruz Lopes,,ChIJe840VnXvxUcRbAwqImFy8Yc,ChIJe840VnXvxUcRbAwqImFy8Yc,GOOGLE,"['point_of_interest', 'establishment']","Stuyvesantstraat 85 RD, Haarlem",OPERATIONAL,,"{'compound_code': 'CJ2J+78 Haarlem, Netherlands', 'global_code': '9F46CJ2J+78'}",,,,881968253dfffff
"{'location': {'lat': 52.3992432, 'lng': 4.6318192}, 'viewport': {'northeast': {'lat': 52.4006185302915, 'lng': 4.633078630291502}, 'southwest': {'lat': 52.3979205697085, 'lng': 4.630380669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,A-OK Translations,"[{'height': 646, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114934883698176023944"">A-OK Translations</a>'], 'photo_reference': 'AXQCQNTv_t7B-fo1qPX0J7TZTglXpRclkdvsnx_mFZjp-vmkGJ5RV_ag70IWtF1xP4p1PMlNr4CUzjH5Xc2CBN2H2nRRYAmvHc58dzYr3Y3SScM0UjqyA8mErkCCPOaLloVIsIrl7IVL0RDhkEqtgv9peHE93x7XGFJXJq5k6Q3lTQvjeBfKW8Ti-ijaFD1qIUjIfUFjeZVUvy_zjlOrPccCU4R6lbk1DL5lU0o870LhSQNJRcZZkYg7xHsX3EmfozLf-nhsgSKtBBSAo5WPIXxnQY8kSyf3Va1K0aMkOHPj69vm3JAR9Yb-iwq1mp0Q3Esxj6UdD_ijVzc', 'width': 452}]",ChIJORnkiqDvxUcReMuyXvesPmo,ChIJORnkiqDvxUcReMuyXvesPmo,GOOGLE,"['point_of_interest', 'establishment']","Sparenbergstraat 8, Haarlem",OPERATIONAL,,"{'compound_code': '9JXJ+MP Haarlem, Netherlands', 'global_code': '9F469JXJ+MP'}",,,,881968253dfffff
"{'location': {'lat': 52.4001235, 'lng': 4.632819399999999}, 'viewport': {'northeast': {'lat': 52.4014820802915, 'lng': 4.634092680291502}, 'southwest': {'lat': 52.3987841197085, 'lng': 4.631394719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pastry shop Theo Bijman,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100919401390420397888"">Banketbakkerij Theo Bijman</a>'], 'photo_reference': 'AXQCQNS66QBuiQ_461gRgb8MrX6LvyEn22PFPUYu9IAacOcmcrXdNIOMSLMtzVhzj8NXUUkP3XWI1N6WPgkDzx-y644ad3vyLQP_I8KwRMTnQsjUTnbRnowHqqWBePHRWBDUBFOH_8tjnuy8wWYjb98xBOO_lImzyl_cdj3KwDuHtDCD5W9bG6WR8qLemFW1y-4siz3_EaaAz1N-mfBQHmxWHV7z927yTKHrEDIFQ9H-R0Z5fCgVZlxtnRDj0w7vf4k3NOPQAgpZ8dB9XfJBbjADA4cW0vUZ44mrSwnbicdGZ_U3HHM_9uk7V9jKTcsk9vhada9m19qowbY', 'width': 360}]",ChIJTQAXQ6DvxUcRusDrUgPkwYY,ChIJTQAXQ6DvxUcRusDrUgPkwYY,GOOGLE,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']","Stuyvesantplein 31, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': 'CJ2M+24 Haarlem, Netherlands', 'global_code': '9F46CJ2M+24'}",4.7,62.0,2.0,881968253dfffff
