geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,plus_code,rating,user_ratings_total,opening_hours,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTysFdtxNKmaT0ImTcLVzfT3-8mTdOx7VhuVabxIO456pEC-54zKe8mvw_1Z4GzzpXiZgi8UyoR1bkP6hCx9r3PqrTZaIpKlS1musz7gc1tl1fDM1TOxEmL6zXQXmVtqqhJ_1Ulyc2RSKJSaThw1foUk0Qch-b1arVpZVHK227iJ5qoO8XN1isG2bVuJqCrj4cgzhWQ0XT1zsq320tjt8ADpUO1QnejDiHZIYJ0K3F-nCi_vfMRgWr971ncqHy2ib6eBW-wzZ-cmrUWNha95EHS8pd0TA1VoIpqDmxshirIR1Yw-gfV7MwUQ3vbfb0ZjHbEQO00YLGXA8bViG_Mg45j6JaU9x_ia5Yu1WOXyI-8XoDSSguY1H9tAaTalRwnV-GQo-8EK1ZwVaytpj89QijfQ9Fm9OydtbviuIt1MR4rblviTZgUXhUSMIwWaYpVYi-AXnGZhS_f4aM2xkA32whRBPJOAuVmtvHxlUomrhuNI2maMImDczX-C0hTsOyx1y03FeZNCYz9OiCAcF_ppBqNMYh96WL7UZe-wBYiufGptzVzqJugQLuCaUvvWtkHnVMRewjDs2824Al4_56xW-wEzzHxKM7aXbeailxINJEMBPl36lUFWC1aB-pN5DWZ', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,8819682543fffff
"{'location': {'lat': 52.4268279, 'lng': 4.659232100000001}, 'viewport': {'northeast': {'lat': 52.4282595302915, 'lng': 4.660780380291502}, 'southwest': {'lat': 52.4255615697085, 'lng': 4.658082419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Huren Smoking,"[{'height': 1049, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101080701739951872499"">Huren Smoking</a>'], 'photo_reference': 'AXQCQNRK1Xwbu59RbPzJ00HGwjtSjuDWGjtj_1O09D9kwM35QV5tnyUVIUoGItsuhl9IpC3xIYRpa2DDx4WzPctNpI-sg9U1qBScRnn2UnHWZ4F7809W1KpJ6tNU6sDNjm_Y6O7jESRSTP7gI5XF3galx669VuGwfssJx3thf7b2k8_7l9F2kTzxFwHhF6LjbVWlxbE8RkbHfqI2blzJ4F_M7K4Vn1hbzk3e-Vkg4APpvpI1ALKgkj8VF_8RH-7dU8wRCS1EeaW6MwvcHmYV7dn4cGvjECoWNpN0uki0jnG71uIcizLcQjmtXLwSm5-7g_WCPR9TgXgl', 'width': 2998}]",ChIJH7tqKvHvxUcRqvgQ5X4Ef_s,ChIJH7tqKvHvxUcRqvgQ5X4Ef_s,GOOGLE,"['clothing_store', 'store', 'point_of_interest', 'establishment']","Schoener 29, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG5+PM Velserbroek, Netherlands', 'global_code': '9F46CMG5+PM'}",4.9,63.0,,8819682543fffff
"{'location': {'lat': 52.4267459, 'lng': 4.661983999999999}, 'viewport': {'northeast': {'lat': 52.4281056802915, 'lng': 4.663127930291501}, 'southwest': {'lat': 52.4254077197085, 'lng': 4.660429969708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Blue Skies Information Services,,ChIJjWBO_fbvxUcRYkQuwVRJuvw,ChIJjWBO_fbvxUcRYkQuwVRJuvw,GOOGLE,"['point_of_interest', 'establishment']","Schoener 71, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG6+MQ Velserbroek, Netherlands', 'global_code': '9F46CMG6+MQ'}",,,,8819682543fffff
"{'location': {'lat': 52.42745839999999, 'lng': 4.662383999999999}, 'viewport': {'northeast': {'lat': 52.42873153029149, 'lng': 4.663697980291502}, 'southwest': {'lat': 52.42603356970849, 'lng': 4.661000019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GenerExe IT,,ChIJRdRfD_fvxUcRkbl7vLWd89I,ChIJRdRfD_fvxUcRkbl7vLWd89I,GOOGLE,"['point_of_interest', 'establishment']","Dammersboog 184, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG6+XX Velserbroek, Netherlands', 'global_code': '9F46CMG6+XX'}",,,{'open_now': False},8819682543fffff
"{'location': {'lat': 52.4271956, 'lng': 4.662196199999999}, 'viewport': {'northeast': {'lat': 52.4286055302915, 'lng': 4.663572730291501}, 'southwest': {'lat': 52.4259075697085, 'lng': 4.660874769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Visualwork,,ChIJL1ubC8zxxUcRwbfzv5VVyqw,ChIJL1ubC8zxxUcRwbfzv5VVyqw,GOOGLE,"['point_of_interest', 'establishment']","De Zeiler 178, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG6+VV Velserbroek, Netherlands', 'global_code': '9F46CMG6+VV'}",,,,8819682543fffff
"{'location': {'lat': 52.4267459, 'lng': 4.661983999999999}, 'viewport': {'northeast': {'lat': 52.4281056802915, 'lng': 4.663127930291501}, 'southwest': {'lat': 52.4254077197085, 'lng': 4.660429969708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JuridischeVacatures.nl,,ChIJjWBO_fbvxUcRcIUByhgdQ-A,ChIJjWBO_fbvxUcRcIUByhgdQ-A,GOOGLE,"['point_of_interest', 'establishment']","Schoener 71, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG6+MQ Velserbroek, Netherlands', 'global_code': '9F46CMG6+MQ'}",,,,8819682543fffff
"{'location': {'lat': 52.4267609, 'lng': 4.6660396}, 'viewport': {'northeast': {'lat': 52.4281459302915, 'lng': 4.667355330291502}, 'southwest': {'lat': 52.4254479697085, 'lng': 4.664657369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kraamzorg Mara,,ChIJjeDreqXnxUcRldMNM6OkMmo,ChIJjeDreqXnxUcRldMNM6OkMmo,GOOGLE,"['point_of_interest', 'health', 'establishment']","H. Reptonstraat 64, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG8+PC Velserbroek, Netherlands', 'global_code': '9F46CMG8+PC'}",5.0,1.0,,8819682543fffff
"{'location': {'lat': 52.4274564, 'lng': 4.663530800000001}, 'viewport': {'northeast': {'lat': 52.42878058029149, 'lng': 4.665077130291503}, 'southwest': {'lat': 52.4260826197085, 'lng': 4.662379169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Crosscoaching,,ChIJaRyQuvfvxUcRjEsiB_vNZfs,ChIJaRyQuvfvxUcRjEsiB_vNZfs,GOOGLE,"['point_of_interest', 'health', 'establishment']","D. Marotstraat 74, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG7+XC Velserbroek, Netherlands', 'global_code': '9F46CMG7+XC'}",,,,8819682543fffff
"{'location': {'lat': 52.42775650000001, 'lng': 4.662890600000001}, 'viewport': {'northeast': {'lat': 52.4290796302915, 'lng': 4.664379130291503}, 'southwest': {'lat': 52.4263816697085, 'lng': 4.661681169708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pro-Moois Vormgeving,"[{'height': 3159, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111059754670840707332"">Pro-Moois Vormgeving</a>'], 'photo_reference': 'AXQCQNR51tAwL8b0W8KHoJMY4DjznjDpispXgCnowsDL78WEMcO_l9higsPtHEUGzwrMTITtK8MJWglIGicVH0Qkp8qq6NwmNVr2s4LUmyZTcA93jNi9t2USq8lrQ6tnd_a81h0CQum2ZkVRj79kVVCnKMN3tdUUMC4Oa6nDBJX76WBGPlD3afIr6zMRL6_iElLNJvKJbYxyVZd-BouKT62mCjX4czBjQuKo7hen2yvyi8t1_nggFLHHtxFZGZyKOQi43y4M-MNqqEMfU76GlH_u7DxvQegRJfSKiCeOFLtcyyZXPE2LRMQk0Udgl_lXOoXKCrphqpjS8NI', 'width': 5616}]",ChIJY3v8CffvxUcRXiLVM9q9XfA,ChIJY3v8CffvxUcRXiLVM9q9XfA,GOOGLE,"['point_of_interest', 'establishment']","Dammersboog 170, Velserbroek",OPERATIONAL,"{'compound_code': 'CMH7+45 Velserbroek, Netherlands', 'global_code': '9F46CMH7+45'}",4.3,3.0,{'open_now': False},8819682543fffff
"{'location': {'lat': 52.42777599999999, 'lng': 4.662952}, 'viewport': {'northeast': {'lat': 52.42910348029149, 'lng': 4.664416880291502}, 'southwest': {'lat': 52.42640551970849, 'lng': 4.661718919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pro-Reg,"[{'height': 530, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114505543677652590674"">Pro-Reg</a>'], 'photo_reference': 'AXQCQNQN0cQbWeBsPHYwzH_Bf2A5NL3KYJLNup4iU6jLiIkxC5AWmX6UbDGLvUOvyjtqHCH9iRj2W74nZOt8Yx9hcbdtWtSyz8HuW7-6z963780azueeXaItQ2IYRPIKhUzxs0bS5XxhLH88OpqtQkuX_UWw2_--kGbSuuPk9n6yUU9o8_WdrsSrMowfINJY4rpnsMeboM1S8xZbOD3p_H1eArSWSvH5_K8X37FtFL0-Hm6K2CbSjWSfPg3S_jUmljcrqzSAHlbDa59bzXOO0NZKlQNkdXr7obIcPwbWogCJdqLTAZIrpIoYAo1K8jdg3-mZ_sNZ0e9FrLo', 'width': 530}]",ChIJ_1OvoPfvxUcRh7mx_Xe_WEc,ChIJ_1OvoPfvxUcRh7mx_Xe_WEc,GOOGLE,"['electrician', 'point_of_interest', 'establishment']","Dammersboog 168, Velserbroek",OPERATIONAL,"{'compound_code': 'CMH7+45 Velserbroek, Netherlands', 'global_code': '9F46CMH7+45'}",,,{'open_now': False},8819682543fffff
"{'location': {'lat': 52.4273626, 'lng': 4.6599596}, 'viewport': {'northeast': {'lat': 52.42866508029149, 'lng': 4.661279580291502}, 'southwest': {'lat': 52.4259671197085, 'lng': 4.658581619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,De Rijk Bouwbedrijf,,ChIJfYorLPfvxUcRwdpxgdTck4c,ChIJfYorLPfvxUcRwdpxgdTck4c,GOOGLE,"['point_of_interest', 'establishment']","Schoener 11, Velserbroek",OPERATIONAL,"{'compound_code': 'CMG5+WX Velserbroek, Netherlands', 'global_code': '9F46CMG5+WX'}",5.0,3.0,,8819682543fffff
"{'location': {'lat': 52.42234879999999, 'lng': 4.6585961}, 'viewport': {'northeast': {'lat': 52.4235308302915, 'lng': 4.660354830291503}, 'southwest': {'lat': 52.4208328697085, 'lng': 4.657656869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yarden Crematorium Haarlem,"[{'height': 3594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117314090254769567756"">DELA Kennemerland | crematorium in Haarlem</a>'], 'photo_reference': 'AXQCQNT-JxeV0QQIFCzDNGnreokLM5bzRzg_AmQNXgEx5JGKyhh4rV9PE7cdSudIChvROaLKBKhp7dznvKReCYvZ9NIw6xCUfRnhwpT4xifIn-lF_SX72Nxs1vUshJv0FvWKqsbZXw7O-ZZ6fu94aT2GehZ6kg8LtegKwuewLfkqT7JM7y26XqCSOn0OI3kq0_mZ0uPMahPVqqPffuooJi1_-RTO1-oPBoRh5umANjzfMEeMQU7eGJOvfkCHpMT0o3NIOuD-Pup3Wa5R_NqYMIzeqtuAu59yt53VlqyglbK8H3htnc-5Xvfy1Hj3LoK9cDjV8uPmy3YBohU', 'width': 5391}]",ChIJYeOMa_TvxUcROU8ImFLlN5U,ChIJYeOMa_TvxUcROU8ImFLlN5U,GOOGLE,"['funeral_home', 'point_of_interest', 'establishment']","Vergierdeweg 271, Haarlem",OPERATIONAL,"{'compound_code': 'CMC5+WC Haarlem, Netherlands', 'global_code': '9F46CMC5+WC'}",3.5,22.0,{'open_now': False},8819682543fffff
"{'location': {'lat': 52.4276001, 'lng': 4.6605732}, 'viewport': {'northeast': {'lat': 52.4290038802915, 'lng': 4.661961830291503}, 'southwest': {'lat': 52.4263059197085, 'lng': 4.659263869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Beautyconsultancy,,ChIJFxHCOvfvxUcRsXhCoYyXg5M,ChIJFxHCOvfvxUcRsXhCoYyXg5M,GOOGLE,"['point_of_interest', 'establishment']","De Zeiler 130, Velserbroek",OPERATIONAL,"{'compound_code': 'CMH6+26 Velserbroek, Netherlands', 'global_code': '9F46CMH6+26'}",,,,8819682543fffff
