geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTMRtrKQQWg3QTT-brPFFZ_BHx0euoOsVNmBS58rZ0oH-9iIds3fbBlVIp4cND2qRfqAGj6SkgG0pQ2YpvipNDIMynwQ2j2X1eMRjQfiI9iESEUEUokx4jMYJF4oL_DWyvOM1Siw9c47RE3veKgm6S9YjawQGraLaqUSKXFASIJPJxH-KT-DEyispTrW2-plH1a5Ty3aVf_2iUboIpuMBMnVw-FfWZZWuux9gcsR3pmyCJyMIrQGigQ3Jiopp6KpF8JJhfMt6JqmOfJnH6iDrurjOIKQFpebDH6_Y6TEF_UGaSOok-8l3dJpwLlu76gtyUIYW810fhkGFclO_IAXKrOpMRNKACbAh2EaM9-JpbOB0KS0yB8r9jkxuDqmdrJ9P72fMAbOCalPwiIN3oi7UzqITkEpXV4fTP8h2MM-lHbCuoOLccWofD7j2ngvnV2Tp-7HLinevZmRa2sn_EecZITygYM-3z-vdBMgVDg8fQWifaBYNTw-ZimLFd90oRZ5s97KMcWCoRSpztpFzt5QEYPvBzAW_zDlDXvJyX2rb_Kq82pVzCMFwkrzSRu0tTU9AXtrjyungaq5GMnmPqgeJ_ZZZsg_wrc5QXFZoVw7vUBjFC4gp1fIldXgeQ0y6Q1', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,881968258dfffff
"{'location': {'lat': 52.37342559999999, 'lng': 4.6729805}, 'viewport': {'northeast': {'lat': 52.3747544302915, 'lng': 4.674420330291502}, 'southwest': {'lat': 52.3720564697085, 'lng': 4.671722369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Trampolineland.nl,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108358259139150657943"">Trampolineland.nl</a>'], 'photo_reference': 'AXQCQNSZopoSDaH-7vCmfQwc_a9s_x2BoiW5hNDdWR9v_dMnBoD26MUmLjuzimORJCVeO0bMAFzDI7trg4xH1newkCeCOEo4t0sG81T4DR92Mp3lnTebF5JaW4XjVt3SzjktSrk6U6WaVxgNnwhIN4U_VIlQStlwLDuAjvmoQjhOb0boYfhfeGlAVW9IUKSv5DOYmLOImJzlJn8CU1LQ9wQmJc9ua1KIf_u8nS5xc1TlQ0S-7m4groSUlzTKJk8SpD6Ln0S8kDX5p6XTdj6df35G4lwJuEs1qMx_XNIKlwuukSaTn2Yo5hEQRtrS6ez2yV4B6OvLNg1-h9k', 'width': 1600}]",ChIJhXasB-3lxUcRgi5zSrkYrOE,ChIJhXasB-3lxUcRgi5zSrkYrOE,GOOGLE,"['store', 'point_of_interest', 'establishment']","Vijfhuizerdijk 181, Vijfhuizen",OPERATIONAL,{'open_now': False},"{'compound_code': '9MFF+95 Vijfhuizen, Netherlands', 'global_code': '9F469MFF+95'}",4.0,44.0,881968258dfffff
"{'location': {'lat': 52.3718061, 'lng': 4.667598599999999}, 'viewport': {'northeast': {'lat': 52.37318518029149, 'lng': 4.668962080291503}, 'southwest': {'lat': 52.3704872197085, 'lng': 4.666264119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Maxframes & Printing,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109424308160693374388"">Maxframes &amp; Printing</a>'], 'photo_reference': 'AXQCQNQEPiWbh3W-b4XzSG28hm-qExMHLubzVdZfiXdjGOjLA5ZO5YkiLT6FJ9Odz7TANSlU9WVQs6CM242JyBJFOSKGp8njtt7t_1f5RUSLIVCf0xTZuH_gp5mc0kt0UkERzKjZoBy0ve75HC0ngbNC536bwvq34ivuXDXhNlixGHByNMChmrkjaw_tszf6x2qHFKWRTOy_nUmo40gSTs6fnISns_uBK7TxfZynBl-ephovHVFQvCKauFvYEaecXT0P-DmZj6JWHBUYVUtRrUwUqWEGG2KX32lMcwaAP2ypAqCncw5bfHf4VwleIF0LlrMrhAblAKzf8lM', 'width': 2016}]",ChIJ39_J8O3lxUcR3EvZG6t51dw,ChIJ39_J8O3lxUcR3EvZG6t51dw,GOOGLE,"['point_of_interest', 'establishment']","Nieuweweg, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MC9+P2 Haarlem, Netherlands', 'global_code': '9F469MC9+P2'}",4.0,1.0,881968258dfffff
"{'location': {'lat': 52.3686362, 'lng': 4.6662176}, 'viewport': {'northeast': {'lat': 52.36991818029151, 'lng': 4.667630530291501}, 'southwest': {'lat': 52.36722021970851, 'lng': 4.664932569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HBSV Brederode,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117742450444526415336"">Annemarie Veenings- de Ruiter</a>'], 'photo_reference': 'AXQCQNRQqFGxvbFcu4qNP_1F09d_FyDpgmQXuh9NXBxGKL5oh9Oqg2aKJIQvsKJIlLsA01f21XrKDkbsSFROYZafwwEdxGpsWL-bpHzwnk4xAgmXW1d15prwv9l6Dyqo6JOaR00bO3sFW9LJrCSRzB3QLW7ELowWwMOI3B6fSg52oLLQX75oUGfeqieruCjwCLZEnS5ZUmwcMzlTr13XndlleXFdI76ZXpk0psUAxFDJXFS9IeddoJ7zIa8DqwCws73fft0RhLyTofn3drHE1CA0Sn9A5f31SCaiYCPIcBB0sUlDyEWXDsuK7VumqVQ9KlioxUz1Bc6qZBGMK9QXqhjWxx-8XcPSgd0wXrWKT4f5qTYSNPi_5AwvtKCaP_UbXQsH9ucAFTDsUiSvptaaraV_UBymF8rFP-ayUkPe6MRNvtk-srNCTLA2cTQB2XkNjXXTKm8SyASaMrkTotu_LM4Wa8yBA8tTfOufWi0cIR0T3HVtB_OnOWcmE0KHVfUDgtISBXn1OWztaE9vF3sLEkMQeV73cT0yGKU1OlJIXuWivwl4JZxZYSGQ_MhXadaKK3XNR7zMYhODH4QBZ5gP24R6Y3-KMQvQBUST0_XY1OvtXla7T_c86QT16KFtEc1z6RMkDrzdkZHi', 'width': 3060}]",ChIJNyzpCfHlxUcRix1mQjLFDEs,ChIJNyzpCfHlxUcRix1mQjLFDEs,GOOGLE,"['point_of_interest', 'establishment']","Boerhaavelaan 45, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M98+FF Haarlem, Netherlands', 'global_code': '9F469M98+FF'}",4.9,20.0,881968258dfffff
"{'location': {'lat': 52.3728127, 'lng': 4.6727637}, 'viewport': {'northeast': {'lat': 52.37418338029149, 'lng': 4.673974080291503}, 'southwest': {'lat': 52.3714854197085, 'lng': 4.671276119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Donatus Thöne & Associates,,ChIJKUSPqO3lxUcRjcnsH88b0_M,ChIJKUSPqO3lxUcRjcnsH88b0_M,GOOGLE,"['point_of_interest', 'establishment']","Ringvaart, Vijfhuizerdijk 174, Vijfhuizen",OPERATIONAL,,"{'compound_code': '9MFF+44 Vijfhuizen, Netherlands', 'global_code': '9F469MFF+44'}",,,881968258dfffff
"{'location': {'lat': 52.3696007, 'lng': 4.6722447}, 'viewport': {'northeast': {'lat': 52.37095758029151, 'lng': 4.673647630291502}, 'southwest': {'lat': 52.36825961970851, 'lng': 4.670949669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Funty Trampolineland Expeditie,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107776816954266154693"">Funty Trampolineland Expeditie</a>'], 'photo_reference': 'AXQCQNTUOuScaWTiyETlFWH9llzBmlBdMpmNKMDGEaER25ICJ6PykR2I7iSV_maerlwaunTz-4eDmaIRVnbrZQhHwPXiJOQnCBqk7BaJmgqKE2uo-pWr8EBk_pyFbPbfRH6jSQYqxhuxeJokI1lIR9kaStNm9UMYkSlEU8lJ7mRNL-LC67PM6f9dlwm6KyBs6zCLYVywg0Q_7qwPZV9VitRzyZvijIUFL1UP_NaitnYeELU9ijN-HsQEH_-nFtQKuogFjzcAN2r4fAQ5QySlDlcWh2JnmJgrgdtjckhBNyTUN0ShUnIGzlz0RpdK-70_ji90u6gPl0ym4TI', 'width': 1920}]",ChIJkR9bAe3lxUcROy2lW82Uw6I,ChIJkR9bAe3lxUcROy2lW82Uw6I,GOOGLE,"['store', 'point_of_interest', 'establishment']","Vijfhuizerdijk 140, Vijfhuizen",OPERATIONAL,{'open_now': False},"{'compound_code': '9M9C+RV Vijfhuizen, Netherlands', 'global_code': '9F469M9C+RV'}",5.0,3.0,881968258dfffff
"{'location': {'lat': 52.37410320000001, 'lng': 4.6694964}, 'viewport': {'northeast': {'lat': 52.37553723029151, 'lng': 4.670886930291502}, 'southwest': {'lat': 52.37283926970851, 'lng': 4.668188969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,wen-d | Vormgeving DTP,"[{'height': 313, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110503160052426842085"">wen-d | Vormgeving DTP</a>'], 'photo_reference': 'AXQCQNSFhYXS4MAm1x2WzOdeU5gcr9eLzxWq6P3qIbsaXJ79keSI7gGOY_ITzOfH6gYFvPzaE2qDq6ZQs3Qq1BLn266sC7eIqpwJwI1fPgW6ikx2AF-dTLcC2eGLMYbcY23rvfm9Kn4U6HrZZiqQhNrp-JCKJlmBC630QgSFaTZOMjt970cPl6B3K_gEADyviQlegECKRT5XY7o30i4lu1qY3-386hKys8ArqBweqhTRhrlp_tckSeKUJbcZ0z9_QtpkeQtrJzZM-neGnK0htLzh9yanFA_c78LuUTfpk1oYB3hR-uPhgCB7jEH2IJ6AqlnzbT9NrPr8', 'width': 851}]",ChIJv4PNkPLlxUcR3MfTKzgvm4U,ChIJv4PNkPLlxUcR3MfTKzgvm4U,GOOGLE,"['point_of_interest', 'establishment']","Sutan Sjahrirstraat 19, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MF9+JQ Haarlem, Netherlands', 'global_code': '9F469MF9+JQ'}",,,881968258dfffff
"{'location': {'lat': 52.373281, 'lng': 4.673265099999999}, 'viewport': {'northeast': {'lat': 52.3746826802915, 'lng': 4.674659880291501}, 'southwest': {'lat': 52.3719847197085, 'lng': 4.671961919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Airhockeytafel,,ChIJkR9bAe3lxUcRt7U2Pldbb3s,ChIJkR9bAe3lxUcRt7U2Pldbb3s,GOOGLE,"['store', 'point_of_interest', 'establishment']","Vijfhuizerdijk 181, Vijfhuizen",OPERATIONAL,,"{'compound_code': '9MFF+88 Vijfhuizen, Netherlands', 'global_code': '9F469MFF+88'}",,,881968258dfffff
"{'location': {'lat': 52.373281, 'lng': 4.673265099999999}, 'viewport': {'northeast': {'lat': 52.3746826802915, 'lng': 4.674659880291501}, 'southwest': {'lat': 52.3719847197085, 'lng': 4.671961919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sjoelbakland,,ChIJkR9bAe3lxUcRdliZjLI4Pns,ChIJkR9bAe3lxUcRdliZjLI4Pns,GOOGLE,"['point_of_interest', 'establishment']","Vijfhuizerdijk 181, Vijfhuizen",OPERATIONAL,,"{'compound_code': '9MFF+88 Vijfhuizen, Netherlands', 'global_code': '9F469MFF+88'}",,,881968258dfffff
"{'location': {'lat': 52.3732958, 'lng': 4.673279900000001}, 'viewport': {'northeast': {'lat': 52.3746898302915, 'lng': 4.674661230291503}, 'southwest': {'lat': 52.3719918697085, 'lng': 4.671963269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Funty.nl Trampolineland Pooltafelland Tafeltennisland Tafelvoetballand,"[{'height': 2248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115230923646472112130"">Funty.nl Trampolineland Pooltafelland Tafeltennisland Tafelvoetballand</a>'], 'photo_reference': 'AXQCQNQHlUBHONPAwk5aoHOzTEXfm_I19asLUHwYNKwGdIuIp0xKGpyceM9bF-MCsLR1BN7_3KIm-EOq4HF5NZbdssf5p7hI7rKD2rbH0vh7kaQPVJvG7EMj1DwVCKnwtgt5CKYPk0NK8iwFV2kjAF-I0SpDZp09wbUh_e1-LluT4WIeDpEgKhApsUw-22rt1BDpea0aRVfvoQ2Ts5IlOkr33TaVKwM1hiseLKs--Uo-Dn5Wtf2BrDKr8cK_YPxs-bcOqPjpas1WVuMblnBcGazSIR1HdUEwyZMN5XNkKm3eHFABS_9Jm3REqghYP4PXNXClMirYfjeF3wM', 'width': 4000}]",ChIJ_0JJBO3lxUcRlLmgGr3Yucw,ChIJ_0JJBO3lxUcRlLmgGr3Yucw,GOOGLE,"['park', 'store', 'point_of_interest', 'establishment']","Vijfhuizerdijk 181, Vijfhuizen",OPERATIONAL,{'open_now': False},"{'compound_code': '9MFF+88 Vijfhuizen, Netherlands', 'global_code': '9F469MFF+88'}",4.7,3.0,881968258dfffff
