geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTlV81HYruCpjEHPKRrjxNG0zpkSLuivUYl1YdZpei_pwDF4s9_fubMLfpn-7RvLui1rQ4_nizRdBjG8ufME6WUsIToww7Fltg0JVDx50ouCutH2MJZ1aJiaGJq0saeaE2b0c8hTQJXb-WnSAiqlrEI1EgLHpNaZZCUd_eIzSq_bOfAF2__tfZd7JMdfbFVk_Y0lhVnBoenx0sxSVJTVzVzaJPHAzb8NmMdFZgXT-zLBCL2oIigKUlttUWm4-PR4LdAqLv50vLqNNr25Wcco_aCI5zHj8MKQAD1HGV36S8lWSKYUmhFcJ7VVfBBUIbRPerJ2dY8IhLeLbIOEeWgENEeP6LgFYkjVpupgcXNW1DZ01Ebvlh2r3zdoubS5lzCO6N9bK7RKCryMQtjE9eFYKhO67s47DEznjt6DMT0rxKTHhPKLx3Wm5bRzGpRxxRIm6rU9MddIxxQfGJo3gNG7S2MByPd8JD-Vp8gbL0Gwh7LyXt7xWyhPEm3oEFC8kQLOPHMBAkX44YNTqePsS-3c-4BKBKmVgpAN4i6hMXRAKMSxrvHMeBSGhGENkEdDrjKg7jv2uelGiUCPiqd1VFh4voP8IatV8J9MUd407OutAvCJNjfBLPcn_GFzb20oIb8', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825a3fffff
"{'location': {'lat': 52.3564064, 'lng': 4.6475487}, 'viewport': {'northeast': {'lat': 52.3578124302915, 'lng': 4.648888130291501}, 'southwest': {'lat': 52.3551144697085, 'lng': 4.646190169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Bizztemp B.V.,"[{'height': 486, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115103658370012398686"">Bizztemp B.V.</a>'], 'photo_reference': 'AXQCQNSa0-vPIq9UXHt7RQNUe0zm2yUx7VNlpP0FzDXHskI-20MDOvigFGSyBk6w6Dd1fp4uqclQEqRt8uJQncGQJPswrBJwYsGbL-ZGFbgi2ybqRkdgqByq1VzZMYzEZL6moXnXRSPC71h8wZvFHOsQBNAtLGE_eCE9C7DDvUOUf2DJkT2pEH-shtc7kDtyKmYNUtP0j64txlJIbVSAryOSJeZJEsAW4FlOpD7yFKdgy0flb6EUO6iPSnFkfhEIaqzCVNpuKd706hlcmw73GvhCLPcfyT-eFGM2RH1-_LjuqXtJ81i8tjxbsY636BT0zJ-gqlkZPlYUAIg', 'width': 648}]",ChIJ_6N4x3jvxUcRa7JdgQRXLAo,ChIJ_6N4x3jvxUcRa7JdgQRXLAo,GOOGLE,"['point_of_interest', 'establishment']","Tappersweg 8D, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9J4X+H2 Haarlem, Netherlands', 'global_code': '9F469J4X+H2'}",3.8,18.0,88196825a3fffff
"{'location': {'lat': 52.3503968, 'lng': 4.6464557}, 'viewport': {'northeast': {'lat': 52.35181023029149, 'lng': 4.647796030291502}, 'southwest': {'lat': 52.34911226970849, 'lng': 4.645098069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Haarlem 49,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109597095913521449441"">Sandra Maliyekkal Sabu</a>'], 'photo_reference': 'AXQCQNS-qnk07kv-L2L7u_e1hcBZEVP4yDtFA6knmbMygyVyIFrA-Cbl5sIEJvMsytZ_kQ8UifTgafkFwf_Y01rS4ULjmYJbhEaUxWrbGU3GxKDmVf6MBcQvCwkceBFyu9tq01mpi5jOsMPH4KSURIbCuRn-ovSVZZtbjdZ3yJhqKn68eyi6mF7S0Xe33S8h2heWrUOtzU5vaSK67RMG_ei7f_JFz6RK6-Xmeox9rdPZDcauWWLkAGdlZ_q7QadMqXHt3tVNfxT8HrWFEOQuz_t0lospqap7qOlJRG64ZpV0KeYkMmpF8zp-58wHpmjlvOyAU5dWmtgAC-TwxgHlA0ONRHlNFttzz7Ax9a0VMFrzjPVVTTSgknjU7hl4BqAhO8zuPfhRq5GjfmdqdolwURpdTuGsknB1Nr9P8yNsXwlpx6Ugh9LMEYzWCHBEuj7XePJJtPunF-3TGrL78x4OhvkQ4b6IEqgaX6Q6V-2i66XJWzUgDAObInKSbi1R7ppYFDr_3ezl59-h7IqjCjyRLm5k4HBZYATwKPGr_xdw_pTBj1Pc0K3zmPSEq1NwW1iyg9sHayDf4MNHqER-9jbUpVENtvtA_UJ3weoUJ1BhA-E8_VBh0U2-skaKGuxNT8evt2kEEovUn0CrFm3j6NbU32p4jg', 'width': 1836}]",ChIJexcuB6zoxUcR_MgzWepOuI4,ChIJexcuB6zoxUcR_MgzWepOuI4,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Poelgeest 49, Haarlem",OPERATIONAL,,"{'compound_code': '9J2W+5H Haarlem, Netherlands', 'global_code': '9F469J2W+5H'}",4.8,30.0,88196825a3fffff
"{'location': {'lat': 52.3509161, 'lng': 4.650017300000001}, 'viewport': {'northeast': {'lat': 52.3523289802915, 'lng': 4.651600230291502}, 'southwest': {'lat': 52.3496310197085, 'lng': 4.648902269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,PréSport,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116506469242768575923"">Aalo Plrnso</a>'], 'photo_reference': 'AXQCQNTjCOQJpsw-C5WZuogey9M6lsIt6B_Dozg08_XE-DTCz4Og51jKjWp4ksA6FjZUXFwi0gZFTUnmBcgnMQtPvQAqrWkPw3hnfTYb_YPlapRPd_ypRdy5JI0b5nf2flXrCAAiYfp_WmGd5_ynn6y7v7peV-BYl0KqaYPOYhIk-kJ6fxemJ29T4IaZClaLhmHcTIvhAkQNsaiF2j8JMqDh9oYml7DgSJS2ZXer6kETvdnvuNEDXR_2lzTLo8aE_tv5O6htrTTuAtc5IAvbrSofWuwm2diOw6SEf-p6wvydUyl3hXCj75svdfxnQiP2l9Bl9Pn6C7dSkSBFFXbM6fmLY1TFkYisjHU7-nsVCiK_DpAcp9oX2CTwOrh9wtWJAvk4B3a92OXmWvrx4-fH0kLY4lKuhJO4t8Z_tcj484z-GtwLBw7M_oWyN77d-EtznoDviMS64YXWo8HcZEw1azr5ErxOSuPSW9K5ZVgNm0FeMZ4Bt7nCr3IL-oZH7USUgp_5_CDgnfCoEXNdGW9VDeY2kVrcU2Ug_nidY2koYz2z3kA15mvIqrdNNZNJnKd9YTiV5eUpA4hnSH3B7dKf6SrDMeA8HeLoyeHhsHqpnU75Cebrrsy2_5hAvelCMR_8aXMBb4zPRg', 'width': 1024}]",ChIJBTEJSKroxUcRgtioIHIyiKc,ChIJBTEJSKroxUcRgtioIHIyiKc,GOOGLE,"['point_of_interest', 'establishment']","Sandenburg 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M22+92 Haarlem, Netherlands', 'global_code': '9F469M22+92'}",4.5,112.0,88196825a3fffff
"{'location': {'lat': 52.35312339999999, 'lng': 4.639819599999999}, 'viewport': {'northeast': {'lat': 52.35447458029149, 'lng': 4.641277630291501}, 'southwest': {'lat': 52.35177661970849, 'lng': 4.638579669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Odufré Studio 20,,ChIJs32rh7LoxUcR-lxuFtoxRik,ChIJs32rh7LoxUcR-lxuFtoxRik,GOOGLE,"['point_of_interest', 'establishment']","Zuid Schalkwijkerweg 20, Haarlem",OPERATIONAL,,"{'compound_code': '9J3Q+6W Haarlem, Netherlands', 'global_code': '9F469J3Q+6W'}",,,88196825a3fffff
"{'location': {'lat': 52.351928, 'lng': 4.646342099999999}, 'viewport': {'northeast': {'lat': 52.35320978029149, 'lng': 4.647602230291502}, 'southwest': {'lat': 52.3505118197085, 'lng': 4.644904269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wendy Molee,,ChIJ9-7RLaroxUcR63ZX6twlei4,ChIJ9-7RLaroxUcR63ZX6twlei4,GOOGLE,"['point_of_interest', 'establishment']","Hondsbos 20, Haarlem",OPERATIONAL,,"{'compound_code': '9J2W+QG Haarlem, Netherlands', 'global_code': '9F469J2W+QG'}",,,88196825a3fffff
"{'location': {'lat': 52.3522252, 'lng': 4.6399228}, 'viewport': {'northeast': {'lat': 52.35358548029149, 'lng': 4.641403330291501}, 'southwest': {'lat': 52.35088751970849, 'lng': 4.638705369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Interim Only B.V.,,ChIJz8RLd7LoxUcRaUFEcCUO2ps,ChIJz8RLd7LoxUcRaUFEcCUO2ps,GOOGLE,"['local_government_office', 'point_of_interest', 'establishment']","Zuid Schalkwijkerweg 23, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9J2Q+VX Haarlem, Netherlands', 'global_code': '9F469J2Q+VX'}",,,88196825a3fffff
"{'location': {'lat': 52.35208969999999, 'lng': 4.646955899999999}, 'viewport': {'northeast': {'lat': 52.35375073029149, 'lng': 4.648191780291502}, 'southwest': {'lat': 52.3510527697085, 'lng': 4.645493819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TPMHaarlem,,ChIJB5NWgYblxUcRDNJ0iue_A28,ChIJB5NWgYblxUcRDNJ0iue_A28,GOOGLE,"['point_of_interest', 'establishment']","Hondsbos 56, Haarlem",OPERATIONAL,,"{'compound_code': '9J2W+RQ Haarlem, Netherlands', 'global_code': '9F469J2W+RQ'}",,,88196825a3fffff
"{'location': {'lat': 52.3543329, 'lng': 4.645313499999999}, 'viewport': {'northeast': {'lat': 52.3556517802915, 'lng': 4.646719980291502}, 'southwest': {'lat': 52.3529538197085, 'lng': 4.644022019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Mooizooi,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101534008582953595104"">Ania Sz.</a>'], 'photo_reference': 'AXQCQNTqCwO7pjRJeRWBpCaS8_6XexFCpR1Spq5CgHN5BILD2iZp2zxZ82NsfZY7r5FBkRdfIrvebzM7a_Rr3noCo5ayzXx1U6C9rEhjiAoY8z5VAXsEuK-IOI8OtM5DLAB3F-xRyvcsBQagP-YCWab0DJEU8pbw98v_qjcQhji50XXZehxbZN0flsbj19PQKTSMZDyx5adnFU15bVJnMopvHj1UWqg9HPFgOnxn4BIGA1vgrW_-eLDDJDIRbbbUgFCVRJXZeUQxRlQDMmKS1A38uAx86EgsUTPNKbW0JoZCA6yJwvaTPsnb-ZrnDEdC14MaJ6sSaCxMTPQIcYgHC-vjTQ-7lQgI2omsTxw4Qb_Nf6-6Wtbg0xw7dv4fyVSHfK11KyxfR29W5q4tJmVWUqipe9Y2QnQVNOqnqX6msIVNy1m1GTU4Ra5ouAlu9oLV8nYoKqnESyf4o5hS-cYzoz5T4CIBtccHq3P4QXr4HuArwjIJ_hwJ1bge_knqg7_p4lfvAn8-QRYsOpzVmNhezmc5YwxwmyPXX7kkB7OGKWl7hk1qM3d2wLiJ_1_VdQsqooJ5unQ5VnCtSA_Y2cCWQbWRN4cT38DqnFObYERNsOtwTBOR9UGcGAggJFXK2CyNcNUv', 'width': 3024}]",ChIJn2Y9vazoxUcRf3KWJhwYzFY,ChIJn2Y9vazoxUcRf3KWJhwYzFY,GOOGLE,"['store', 'point_of_interest', 'establishment']","Terschellingpad 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9J3W+P4 Haarlem, Netherlands', 'global_code': '9F469J3W+P4'}",4.4,89.0,88196825a3fffff
"{'location': {'lat': 52.35435340000001, 'lng': 4.645318100000001}, 'viewport': {'northeast': {'lat': 52.3557147802915, 'lng': 4.646720830291502}, 'southwest': {'lat': 52.3530168197085, 'lng': 4.644022869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,INTK Taalschool,"[{'height': 3080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101674791912609694958"">INTK Taalschool</a>'], 'photo_reference': 'AXQCQNQfCbcfg29_VrG7tUpB3FDXpFnCMZ_iy8QW1xT4tlKQr88Z_RKgv6bkqG_UuvI6yAYlrzoMvN3Jz8IdN43MMOIUjxFBZMPn8zZvSgRoOqG_MOF4oU-N8iV9hEyKcPzB5JIKGDGfUuWvoq4aEuMwg13E8yp1Hlpx0ystpm1tklOPUp8ecfe99qRqvwo6ZVjBxOc7oMWMEgDFRWhqfnxrisNXZl-WFEfRc0AKIbdFGLKvRMF6lQdjl76cYneOWMfkKOyND_keKAYHaLoycZ17kL2uQbxPonWT3_Cfem3Ml9exJO_0ALKi4qMVQ_Gt7udY3sXMkbproXE', 'width': 5472}]",ChIJz1Q_wazoxUcRu-F14biQz8A,ChIJz1Q_wazoxUcRu-F14biQz8A,GOOGLE,"['school', 'point_of_interest', 'establishment']","Terschellingpad 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9J3W+P4 Haarlem, Netherlands', 'global_code': '9F469J3W+P4'}",3.5,4.0,88196825a3fffff
