geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTGu6JYeuR-L-CyZxjVwBY2BQUgsWKYFjswVRG1fbpV3BISIgXS68627zThkYcA8vLFFZppDg31c8fv56iRc2vqV4gq4kIXxpazECKfmufueJHrEID0HQ1nQGBlHLg8OrlKKBXl2R5m-Aj-AKhASsrK73TZC9TVHV26uG06LDT30hGhCIOM6PHYAzfkDFR5As1qS6hNezYtBYy-Bjm463XkGN6yGtLsCqcNJiM-vEmt5NKjyA1MQHSrTqYaKMuv_TB3o2HssJlUZVIQ5qzv_7LGn5LlDFHQFZmdM82LNgyjME-PznAla1oB7lpYDx5A3a2XyIAIZ5c6QnAP2fK7iH1xtgMqSoSq1opmmwBYPxUZibOcACyfSKTPYeIEr-JSdz8XeHBrirAGg-ZnBGkgcbwQ6j-U2GCayiDYtHYf4pmYDHDnbr1nIobSAQgdhAa1n8p_s3aZpEoQooUhHPMUM-zz8NZqHdvYdfFWUDj309sW7HCC7C2m642HBmUa1m8gUhpiOUnI6wfR7lgGOF3YJexASE1OrUoh-e0AvhmxtTH5dvCqgT_FkAg7HviC8F4cTfWx2LzG__ltOKVh6F4K24SSJpgS--dvo_DF_1bWpFKfxC-qpgdRrak3WK8XWwha', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,88196825abfffff
"{'location': {'lat': 52.35904659999999, 'lng': 4.653768699999999}, 'viewport': {'northeast': {'lat': 52.3603081802915, 'lng': 4.654920880291502}, 'southwest': {'lat': 52.3576102197085, 'lng': 4.652222919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,HEMA,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102611899986458934541"">Ramez D</a>'], 'photo_reference': 'AXQCQNQIj8SAGKoRFQy1H6xifEA5nrDVMSCRvXSuNMyt16_USR-UB15ysMueGyM7uU5fNxbDIYYtqHL27T8kbjyPUkEVbfkT8b3DzUidVw-xMFYaXj6m3uXIY24OBI5VY-L4QmRfJ0H2KbkBt6rBBx-zcYoUepNTOUoWHX096pdYe_G2YfFtBD_uzM4ffwBCUj00fhJGfV8lWCvokelfx8N_pdnU3ZcjEY26LSzE8fwE6tfVdItVRNMQdVSz3QDd232J7hoKXtO7HfxMUTzJSdT3gNjziBjhaI7_N2h8wT03Osf0ZhX5UpGvDkyENV_VqLlWsuQR9aDqq7TfQnkHOK0E5NqIMWyFaXYpIolHap0wliQb33eiDvXxkoGvAimYlhW14fPwILn50TslI44dF14EdNt7QoeQHTcJ2bherYjoRc7em3-yeEpPT2Gqs1hSyPd6lw4L1JZF6lpVjDp0-IgZOsLXVYcfMwCvSxZcIkc1uNgLhprRNkFhwO59ZR2KxCqYuTlL5OWs2P5LMKADKh4xk2XIHXVWIL_kBzCyhc-pCXfE4H3--4mK1lxXvebDsY5FFGd8ROw4ZnRcJpFFIkA0u3uGiUJ3wnVuhNrcLkR2-ithH1znz7bXyc5FekMu4fw-NR-5f8Su', 'width': 3840}]",ChIJLdXS8VXvxUcRba1493KqmYU,ChIJLdXS8VXvxUcRba1493KqmYU,GOOGLE,"['department_store', 'bakery', 'clothing_store', 'restaurant', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Rivièradreef 24, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+JG Haarlem, Netherlands', 'global_code': '9F469M53+JG'}",4.0,362.0,,88196825abfffff
"{'location': {'lat': 52.35863089999999, 'lng': 4.6536316}, 'viewport': {'northeast': {'lat': 52.3601002802915, 'lng': 4.654972880291502}, 'southwest': {'lat': 52.3574023197085, 'lng': 4.652274919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,ICI PARIS XL,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105968937695088602844"">Mirjam Roshandel-Heinis</a>'], 'photo_reference': 'AXQCQNS3fKtHTOs2HwHflfAy7flb2g4C399W2pto4A0MN3tZmpx8adS9piul-2XiugyH2wzBcdIzyTfmyM8uMqtEK9ktbK4pRJ6LM0707O30NYaXNXi0gO7-e3Xr0-b-xU-bh4kxVSucQDVDk3s042Kgej3Xs2o9veJHehLoEe7ILB-M4ujm7FXf49pS88WnYyIujX0hMNykWAkEcqZFjL8tHi_YLYGoO4BBWI1aagyBuFdyEHRgbZS8ky-OAcafVIYOHOY34ICat9E9q0vUCpRk8EoXX4F_xycr1nRVJ9EFQ3Mw_FCN-PtJZhmUpoB64RV3yh4iRXFGIAUnXCtcYopvCNF2i1zxoGiINNiZOPQq4cOXNgYfTr5aQG7eh38WnoA1GNzo6BnNhPqId7v34kwb97ExhM67Lt5aoHMagi9_D6yIjf8p7Cre4UmfqlSLtePffktWEqsWsvqYkE8kEWzkPyPL6SNE4uP02jumuhQdXnm3WULOUFB2xjriEOAur_6-z6gqebY-wmF6mVKqUq8-7kp7z_pn5y6U0SyWx_boNCGI_5Du6J-wbMawfCyhH8605XD6pzqzsSSx8CahRz1z4jYOsVcCqqMBddSqRY9bFH4t7T_zqH5cy8xzRAkF-FU3fZv-Ng', 'width': 4032}]",ChIJd8TNkVXvxUcR5XysHHaSskM,ChIJd8TNkVXvxUcR5XysHHaSskM,GOOGLE,"['clothing_store', 'store', 'point_of_interest', 'establishment']","Rivièradreef 32, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+FF Haarlem, Netherlands', 'global_code': '9F469M53+FF'}",4.2,105.0,,88196825abfffff
"{'location': {'lat': 52.35953899999999, 'lng': 4.6539075}, 'viewport': {'northeast': {'lat': 52.36055523029149, 'lng': 4.655062680291501}, 'southwest': {'lat': 52.35785726970849, 'lng': 4.652364719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vodafone,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115587958461260917086"">Vodafone en Ziggo Haarlem Rivieradreef</a>'], 'photo_reference': 'AXQCQNResupna7P7nIvak0v-PuYpPkBisVvF0OeNVAmPU0OBPFCuMkItf5YFml8MfiDiaQ_KwCpY4F_MHNYzpweNZIf0N9UsCoKD2SuSPRF-pz_Ca2HgUX-hHiiuAeB1FKsx5fWFTgPn1-j5qC9-Iaxo8_T1B_S3icIus06EF0aFXklbYSgIpzFmMBn7I2XAryzj1ofYOesmamGz2d1Uy-7ZbZXY78guQOuXME1Wzh-6hjZQXf5nEAohH869C3kvloOxnGsQ0mbdIdYQ7tj-E3hC8jzZ26nMkZLMez0UNOgXiTtkZ01HbFIOuHZxGhBHomicdoXIJXFGFMo', 'width': 1080}]",ChIJGVIv7lXvxUcRt4i4ia23XuU,ChIJGVIv7lXvxUcRt4i4ia23XuU,GOOGLE,"['store', 'point_of_interest', 'establishment']","Rivièradreef 12, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+RH Haarlem, Netherlands', 'global_code': '9F469M53+RH'}",4.2,97.0,,88196825abfffff
"{'location': {'lat': 52.3564064, 'lng': 4.6475487}, 'viewport': {'northeast': {'lat': 52.3578124302915, 'lng': 4.648888130291501}, 'southwest': {'lat': 52.3551144697085, 'lng': 4.646190169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Bizztemp B.V.,"[{'height': 486, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115103658370012398686"">Bizztemp B.V.</a>'], 'photo_reference': 'AXQCQNTd-_DkFO_WCTT8fORZ1sisugt0zvOh8lvGU0DjtZGm2xUSEhm6gvrc01UYx67K2hhc-vjNs88iNwZ9eUkf5QtSWGy1363RquMaMtT7RTUd6EnfAqs1KdXTMOHnor1LD9U6z6pHLY6fGAc1KXmojvQ8FDwIZQ4C1o93fMKNZg5VKQGCaEilh_hK3m4Tqlym6E8tCa1eHOJZojh8ePtRoxlTajcX6AGxrUdA32kmlvXiDuEKuRBSTUgvW0ebeOfj8UJcwsoPRgdHnGoU8xjTWIxb8anGz5elpqorIxybft2y8YuxiFvrFZOMOp99nLhF2eeKp9WG538', 'width': 648}]",ChIJ_6N4x3jvxUcRa7JdgQRXLAo,ChIJ_6N4x3jvxUcRa7JdgQRXLAo,GOOGLE,"['point_of_interest', 'establishment']","Tappersweg 8D, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9J4X+H2 Haarlem, Netherlands', 'global_code': '9F469J4X+H2'}",3.8,18.0,,88196825abfffff
"{'location': {'lat': 52.3594115, 'lng': 4.6546373}, 'viewport': {'northeast': {'lat': 52.3605751802915, 'lng': 4.656059830291502}, 'southwest': {'lat': 52.35787721970851, 'lng': 4.653361869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,DekaMarkt Haarlem,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107826474859449867351"">wesley van der meule</a>'], 'photo_reference': 'AXQCQNQpLVualyFFq0Xd-7ufq1ysQPxPyvvMiunlP_wGn37VjohMgFJw51JBvqG04rQKpSpvS4VdhqAiyXT0NOulNXxFrMnUtsVg-SjtHgQiOw8d0ivYnkitL2195IeeHBQsIvPUNVeJqUrmT8MVTPTI1Nzw85CI3ywO-EsWFBzTso8ILTK9xEJqY1G27xHhvlHkPBMbQP5k5LYT9v7ErnkuRteaaBQYCVkU-A_E8SBApCqfBC1Tmyb4J4zu-gG9hhqw9VsAq5FkcPO2EX-RrjuptkvvbzaZ5OeVyJIhBgkhiJpxEwwLM2J4SPPPDYe8yrapCfHOlEKwV9flUAI3GiSrIHxNhXlmkZC885ECRvv433iYBL7c0527C0PNPA_xHJYmkVhLJ7944ug4f5RHmOD2n8oU270LtaztAWSU5N4V4TpnPMHTMuuWEIGzU2CNhZifwRNSi-NbCyQsgK6DCj4GVbOm1Xz0ohpBV4cZ1K0fsABUeOvnCrJYnj339I2-2PpAXFvkj2oqDcQG213QxL9vZD4_n1Mg38DRvSN4sDAfiv1G4JJQn2zqxknDMhzRZpweE2S_afcbWoKFRcdal7GkvJAtPmxmIwxip0RvusyJP-E2igmVW5rLtJSEjOToqJw90otk1A', 'width': 3264}]",ChIJuZm1Wv_lxUcR5BiM0vKLLgA,ChIJuZm1Wv_lxUcR5BiM0vKLLgA,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","Floridastraat 12, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+QV Haarlem, Netherlands', 'global_code': '9F469M53+QV'}",4.0,631.0,,88196825abfffff
"{'location': {'lat': 52.3586191, 'lng': 4.6545818}, 'viewport': {'northeast': {'lat': 52.3599790802915, 'lng': 4.656320780291502}, 'southwest': {'lat': 52.3572811197085, 'lng': 4.653622819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Intertoys,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107826474859449867351"">wesley van der meule</a>'], 'photo_reference': 'AXQCQNS_2eqB2XAsyfJoEELqAVyylgbtJfhq1OVqHprE07hrFxtqu2AxBA-OQ8P_5EEgfy9XIm91Z31yIwq5kFG4JabbxWxPZxI-vBSIhfyP5ZmqD5XoHQf-c5bFiqxc6dnRT-J7O97OcWuEgL0IUOu0z9baFv8ud3zin2rFMIFjFe1FhCnosdtnw515CBZ5vu6UH_eFqiep5SzDoMHxsM8V0D3eMjCD-C9i9Fk0x5TAmPYD6rwRFl-XZlQMLIDwEgd_nI0JpfNihKCG5_82jgDnsnQo7oxRRiFWYNzVJaPG4czwhQCNaqv8xDchFZb2pIcc6F_BxtV1hkIZP6EdKMlJUAwkOaUVm7KNvG97h7RX2RlXVFYN4Tkr5yKaGrQjnrMx0zDvsYPSRhXwapTasS7BCfeHWgYZ17nNMIIddtBtVuQgHzdwUHs_D2LbGKtsLicmON75JbwNUTA6oiKeO4HWVHn1RjAPpCaqVIZBU9chptsepkUU0c0goIpUBVIUyEBvDmqzYx85EFquLierAnjV663x1QXnz6qOAr3GQ39VMk9dTTczakBxtlLxEIn96rkDFN5rJH_Sg6GlyQsQZ163T70KvAoISr-OaKNLsxbInFVxN-A1PmnbgFWjyulFUyeb6ye3Qw', 'width': 4032}]",ChIJ_1d88VXvxUcRWI-zAD0vM-U,ChIJ_1d88VXvxUcRWI-zAD0vM-U,GOOGLE,"['store', 'point_of_interest', 'establishment']","Nice Passage 4, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+CR Haarlem, Netherlands', 'global_code': '9F469M53+CR'}",4.0,100.0,,88196825abfffff
"{'location': {'lat': 52.3589744, 'lng': 4.6541664}, 'viewport': {'northeast': {'lat': 52.3602722302915, 'lng': 4.655119680291502}, 'southwest': {'lat': 52.3575742697085, 'lng': 4.652421719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Specsavers,"[{'height': 947, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100539073740056236163"">Specsavers Schalkwijk - Haarlem</a>'], 'photo_reference': 'AXQCQNTXea5lpTC4mtg5prs8lAYcVh3K98PsUcbIlWS3P2B7IC3_UWHuhfRM2Ngrp1BPqPTv_N8-YIZ0eGUR3mo_zYgflqYeJif4-IHjVAumZfwvXWbPTxGSwbQ94CoHcaWoEYxLUfDR_ftbYZWk45PJ5wsYbFNMVtawezyo71DlP-TlSbys8kq6hgFn61PtsWQTathbUnwBtjtvhqqvvgjYdM1kuiGQ3UChdayMcUdtabW0faIHlVamS52oPGTof5APUOy2tRg3hyoTEDbUOxPVeFpau713Sr3XRO0GlDISFdKEYsUj8-XvN5QFyajzUj81cpXyqeVrRTY', 'width': 1600}]",ChIJ07KVjFXvxUcRS-gy5eD9at8,ChIJ07KVjFXvxUcRS-gy5eD9at8,GOOGLE,"['store', 'doctor', 'health', 'point_of_interest', 'establishment']","Rivièradreef 31, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+HM Haarlem, Netherlands', 'global_code': '9F469M53+HM'}",4.3,102.0,,88196825abfffff
"{'location': {'lat': 52.358818, 'lng': 4.654007999999999}, 'viewport': {'northeast': {'lat': 52.3602001302915, 'lng': 4.655041780291501}, 'southwest': {'lat': 52.3575021697085, 'lng': 4.652343819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Schalkwijk Shopping Center,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102611899986458934541"">Ramez D</a>'], 'photo_reference': 'AXQCQNRiXvNPJY0yCwbb-Twr4kGmpM_r223gvSK8RkRdhYtwH7gIhDRa44RSoSkI1ifa9beypTuJj55CRWBfpCVS1POOBvEcg7TsHhsGlPBtUDOECMC8iaVXbYXeAVEwvcqGYzfAQDAW6sp2dOk3-McoGUKDjE1a6fEMOVqSw8ehBEF940hQ9XmpJD8mfcmFnpVKgJVGX7wM1aBjhroys2S59nfvsWWHm6gc8engysHii6AO1YbSeBtJgxnn7XgQoNwwK-yXYT7PUetai4T48WO5hIsnZxpKNxp_eJuolClW0KkQ6Pg7zhQTVetByyWrKtfS5zMN9wZm9ixb9K8mys8Nx5nh5-C1d-frrKdxMz3ypnef78BlSkAaJXHMIACFYiX1EOhOtchTA_M7nK-J1wNxZ5u8ySe31n7-etXGhq8gwexiayfbsHVtrpQAZ_cNAUgXK7UU612Tbu96UPMmU8S0y_bJ0geKMrs3RY2Dl-13yUyryyC-bweNy9rHsZ3itmGPa4d743mcJ5Kn9GknkFR99nOXX5Rf2Ecc6WjswRU_K5bqghPPLU0CnCAhGav_47_SmaYfZUg6rTjj7peQFEG8nc_HI5nuqKp-um_7epuM2c32d8ig3ugaM-9N4RNSZ0pcAJmsFw', 'width': 3840}]",ChIJXymeRP_lxUcR3NRmcUH0QPg,ChIJXymeRP_lxUcR3NRmcUH0QPg,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']","Floridaplein 13, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M53+GJ Haarlem, Netherlands', 'global_code': '9F469M53+GJ'}",3.5,4558.0,,88196825abfffff
"{'location': {'lat': 52.35566879999999, 'lng': 4.655856999999999}, 'viewport': {'northeast': {'lat': 52.3571852802915, 'lng': 4.657320730291501}, 'southwest': {'lat': 52.3544873197085, 'lng': 4.654622769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,de Bibliotheek Haarlem Schalkwijk,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105205476158715088735"">de Bibliotheek Haarlem Schalkwijk</a>'], 'photo_reference': 'AXQCQNRz6hmbMgp6wpo0UfnrXHeENngzcWw6HfPA1SDewsRRr02dNmqkhNy0ehiXtT7Ble3GJK3vWiwqj7iBO_9Rb1FBfS2-f6HNHfnivxpbT-0XIckLd7eKvccDgH4QMnbWEUBGL2Estf9E5lJqIWEm75RspwNRQ4tVzHeEeSmnjC0t0xEz9OLJ3ptfFZsTx9hvoIJzbiYoD0Q94pIsb0t09fBImgfP3ctnt_aPMklpXNQ-6vxSo-SqS-JqC11A0_znGSp-DsI1aGrveP4rgtTiO1F0Jia1WbJ8bEoblGP04ZPknlbDb6ycJ3EmsuFwi45ZOL_4ziZqFbs', 'width': 5616}]",ChIJBbuVwv_lxUcRLopES_5YR9w,ChIJBbuVwv_lxUcRLopES_5YR9w,GOOGLE,"['library', 'point_of_interest', 'establishment']","Fie Carelsenplein 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M44+78 Haarlem, Netherlands', 'global_code': '9F469M44+78'}",4.2,68.0,,88196825abfffff
