geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,permanently_closed,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNR6KkoSfxVTsrZ26D4p3PR4v0hjjsORc5wr75HEkZzw0JQFFDPz4i551XhQ9AG9qr3OR7KcZPj_SXoXbNSLkR73gs-_B4fjp91nAZEf7tGJOO9Hl3Wm1r0urPyvG7x0d13HM8M3p7kgWMLzsw6ZZaukVSPcqaxUX5jCWHePUrwk589fV7xqw3I7FItQyEGx3JBHhWswult6E1RI1XITspAfIPWi3i0GQzGScafDl_xFCmufDvNy59KhJnVuhyigr_0avZZq2HNh0puALdxGlIDxAglcugsF0mYiD9WcEGTme087ASzFA7MJ6e2iLiX2N1C5HBo90OLsq5cOvIuZkeW6FdLNqkcRDCOlZ5AE-gnuCdYRhPGFJ1GeeMTjj49TmJw0vcFr80SE7_GZh62Z6foWzkM7pIuDoEetbjdZUgeevUJBFNm0OLWyechAbzBUqofOdYt-fc93BPUzoPJR-NyLPPR5Zunkgrd5MOoCtEAqA4dLi7znEG4CuKroQClKkRyDm0s-DwTao-sc909WXjSLOIrk9y_Abxgc0IGJrXdbXDz6FaPHYJ8OGT51-XV0U4v1acjz6RvyTtVWXA_r73OrxYvtefE-z_tXM48-qJXSR4n9IoJEiM7-xqcK5pLi', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,,88196825b1fffff
"{'location': {'lat': 52.34262109999999, 'lng': 4.662801399999999}, 'viewport': {'northeast': {'lat': 52.34386368029149, 'lng': 4.665879700000001}, 'southwest': {'lat': 52.34116571970849, 'lng': 4.661775299999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Koenkist,"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100669877532057620711"">Koenkist - Website Creatie &amp; Display Banner Animatie.</a>'], 'photo_reference': 'AXQCQNSzLhYEafgNw4z2IovJnrvIydb8HhdLIrMn1rP0Yl--yWjqNkQYjVbyPJKSxXwwLgT_uXjtpZ4GwvR2SSLc2ai_l4mmSwvew0Sg3KX6RBFGUj_Mvl7VNUzqgS6m7MVWunAfU-63-tWs5rv8W4gKkemwiDxI_Nr-eGHL08uax4ZGRdT8LB8Y6iujwD6HFJkHphaa8yYjnmcp9l2KG7GljzOCFkcI_iIfbA29sG753YDP3-VMuxNVUkamjOUXy-9CUb6W8KSXgl-HK18ue65McuxHpaxrIOP191sQg8sfcTdJPYt-3f5UYkgNT5KbLKmqcoyK56pZs10', 'width': 1931}]",ChIJwbYJSD7vxUcRe1g7o9Q1cIU,ChIJwbYJSD7vxUcRe1g7o9Q1cIU,GOOGLE,"['point_of_interest', 'establishment']","Voorhelmstraat 25 - 104, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '8MV7+24 Haarlem, Netherlands', 'global_code': '9F468MV7+24'}",5.0,9.0,,,88196825b1fffff
"{'location': {'lat': 52.34598159999999, 'lng': 4.656773099999999}, 'viewport': {'northeast': {'lat': 52.3474001302915, 'lng': 4.658144980291501}, 'southwest': {'lat': 52.3447021697085, 'lng': 4.655447019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,De Molenplas,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113417169412748248926"">De Molenplas</a>'], 'photo_reference': 'AXQCQNTL9fXxk8yCJiEb0eg6AVVD8nf_veN8lqqNo90Ad67sjxtcjB1y0JXwRUVXqx61AhyPUQHhN56Ne8WXOgUXQI_xqdQyql4JwuorrybPHewW6BxBmOvzSnkFupOmFKhP9TQTy0xPX-3DCE6h2VQtbQV3wEu9fIdbfCVG6M0j_pR8DpGcevpVp4FVMJNrcWi1VHDTWoQfliGvS1CHR4DbgDrj36mcVlmSWlHXYsfzitRSi845AOInoG2BMAuS6wanGp288qKO6Dak6oK6vYfluuq5RdoflnRQ2juY10SabXru1anejkIJMjDtu3eOiCGVvn4EjDSdhLE', 'width': 1280}]",ChIJR3HFEAPmxUcRT87oh89mT-I,ChIJR3HFEAPmxUcRT87oh89mT-I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Waertmolenpad 1, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '8MW4+9P Haarlem, Netherlands', 'global_code': '9F468MW4+9P'}",4.3,1519.0,2.0,,88196825b1fffff
"{'location': {'lat': 52.34757, 'lng': 4.654311}, 'viewport': {'northeast': {'lat': 52.34895633029149, 'lng': 4.655803230291501}, 'southwest': {'lat': 52.3462583697085, 'lng': 4.653105269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Eerste hulp bij aanbesteden - Tender Productions,"[{'height': 779, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107093127663345726576"">Eerste hulp bij aanbesteden - Tender Productions</a>'], 'photo_reference': 'AXQCQNRU7sCt443hWaLzIl0giTgUO9az8gfmCCOzyYgsT2mNV9JHmrHPJW3MbMXlH2oDZ0TKUSo8Hsd1DIaOYFtCEoyMW6Zj9h0s8yc4NBIVvG5DqdpbDlgqJJwYVz9qvBB6-a1QK0r3jIfCXeomRyxhln0cNJE6xbNzA5AHAS5fFZIA3eJ6EwBdlIEiyUXWhggsYs4CB0iiCfuT0_t-0SCH3YVOG6FudBPhz1VF8b-Vzwdy_HAT-UUTJQX5EVrlkCvtqu2-IpJXgsZb8pJ0Zmt9cedIer1AwpqQF187J1f9SsH8MPy26uQDtPH5NQp1fOQS_ULXLE_v', 'width': 1778}]",ChIJmU-eZwLmxUcRJnsN_D6A05Y,ChIJmU-eZwLmxUcRJnsN_D6A05Y,GOOGLE,"['point_of_interest', 'establishment']","Kempen 5, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '8MX3+2P Haarlem, Netherlands', 'global_code': '9F468MX3+2P'}",4.2,5.0,,,88196825b1fffff
"{'location': {'lat': 52.3498431, 'lng': 4.659350699999999}, 'viewport': {'northeast': {'lat': 52.3511656302915, 'lng': 4.660718180291502}, 'southwest': {'lat': 52.3484676697085, 'lng': 4.658020219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem Counseling,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107425126541692298127"">Haarlem Counseling</a>'], 'photo_reference': 'AXQCQNQ8EjBEeNAeyy3ExxENWxegiTssVZqDUFG_49Rp4zJjO37ixFZlGh9eix3l8qql2G8PEYg0jRmOIGI6VIqslUpU7c4O9-GH300ecX17pk_GJeT1zl5eacHK_kyb34W0J7dVJhqhC8rzTRdkWEQkvXoRHcCFwraTI2jc_dZN1XVwsAXd6nWsnvlV3WUh_WpGvAlk8KCU-Pu3k2yJswLVUDQnp4Lwhnd48PnVJcKbv6FhfVVLso3QhpPYL2puvUxxYTXrw_WgwLfkLSEk49DUHGDHccataEIssHRSOOBMQLzWrMNsBCg2MKydOAHZLP9rfc39fHu-TR8', 'width': 1024}]",ChIJU_N8_HfvxUcRbTxD4RxZR2g,ChIJU_N8_HfvxUcRbTxD4RxZR2g,GOOGLE,"['health', 'point_of_interest', 'establishment']","Vliek 68, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '8MX5+WP Haarlem, Netherlands', 'global_code': '9F468MX5+WP'}",,,,,88196825b1fffff
"{'location': {'lat': 52.34640899999999, 'lng': 4.652671499999999}, 'viewport': {'northeast': {'lat': 52.34784038029149, 'lng': 4.654016430291503}, 'southwest': {'lat': 52.34514241970849, 'lng': 4.651318469708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ik ben Top!,,ChIJDac5nQLmxUcRMq0kmIkSHTE,ChIJDac5nQLmxUcRMq0kmIkSHTE,GOOGLE,"['health', 'point_of_interest', 'establishment']","Vogelwaarde 46, Haarlem",OPERATIONAL,,"{'compound_code': '8MW3+H3 Haarlem, Netherlands', 'global_code': '9F468MW3+H3'}",5.0,3.0,,,88196825b1fffff
"{'location': {'lat': 52.3474218, 'lng': 4.652863499999999}, 'viewport': {'northeast': {'lat': 52.34897203029151, 'lng': 4.653926380291502}, 'southwest': {'lat': 52.34627406970851, 'lng': 4.651228419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Tamara Catharina Janmaat,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113367641137152587984"">Tamara Catharina Janmaat</a>'], 'photo_reference': 'AXQCQNRCTRh6vLk-WhgMfWnBnRITTrN2Y-2lemBf_mdlc4i0RAFjnKx7wIAW6olLrmna6ngoKII1frUnwnjUYwiKY1YhTEJzCsWI34bdSMFVzJ2v95FpsQdll5hxE9whJT3Zj2Cay6G9kKsATY-tzsMOc0AAPtpa78hYtvn-N4eKD1peYsifwUmogrT9vCzEZqIt1frlAmzsGUi_uColxyBVFTvxqZNQ743KSOLuJJCY7UzAfBDm_eulMr14vDoeZHqxPrRU52Dymqh935ov4CbG9xqh_1uFD_a-LGAqhq3if3GHHUiPFJ1wmli7OiIj3Kz1cXR_67zzdIg', 'width': 2048}]",ChIJRxqcpxrixUcRpIlCt31Gt8A,ChIJRxqcpxrixUcRpIlCt31Gt8A,GOOGLE,"['point_of_interest', 'establishment']","Saeftinge 140, Haarlem",OPERATIONAL,,"{'compound_code': '8MW3+X4 Haarlem, Netherlands', 'global_code': '9F468MW3+X4'}",5.0,1.0,,,88196825b1fffff
"{'location': {'lat': 52.34731859999999, 'lng': 4.6571142}, 'viewport': {'northeast': {'lat': 52.3486671302915, 'lng': 4.658468030291501}, 'southwest': {'lat': 52.3459691697085, 'lng': 4.655770069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"KenChi Dierengedrag & Training - Puppytraining, puppycursus en hondentraining","[{'height': 3131, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114808083595492043711"">KenChi Dierengedrag &amp; Training - Puppytraining, puppycursus en hondentraining</a>'], 'photo_reference': 'AXQCQNRb7y1-wvA52n-14l1MZRjgN_TWv1gt6PozjkEMVrx4x5_lIt6uBJB24MOInEhPplIUnAoJZx7lYf7TxU-1Uy9RY1Px0hFHI2cYqhUDFv8KPDcQ5rv2nOkHCOsIt_LO1SuGElrypFi7JyiwNYRSMj0VXZKrrG9PrkziyYNsofkHoi08rehvOz1ikACaCECpSh7CdhJs8Zu0k8IMA4Z6gNhl1tPHCh244sQ1Y0t7CopoEn9-4g_IxKKhv3FLFyNLkgLMupl2bx6vuv5YJYFK7omvVAKdHEOicPKNvlOjU9FiCDSZZsNklB08D3nt_hj_6in91tOCqIA', 'width': 4697}]",ChIJzxveE5XpxUcRdil1kz-7bVo,ChIJzxveE5XpxUcRdil1kz-7bVo,GOOGLE,"['point_of_interest', 'establishment']","Molenplas, Haarlem",CLOSED_TEMPORARILY,,"{'compound_code': '8MW4+WR Haarlem, Netherlands', 'global_code': '9F468MW4+WR'}",4.8,22.0,,True,88196825b1fffff
"{'location': {'lat': 52.3480797, 'lng': 4.6565236}, 'viewport': {'northeast': {'lat': 52.3494788302915, 'lng': 4.657828730291502}, 'southwest': {'lat': 52.3467808697085, 'lng': 4.655130769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kattenpension Poekie Haarlem,"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106684121509974856895"">Helen Kossen</a>'], 'photo_reference': 'AXQCQNQaR2UttStTfJiOzAqLWyo0DmUNNAcYLZmxhJcGrDEmOj0vevjFg7agi9Pu7XemRB2rlgMDeBLLEOtdW6eHQCXuK-wvcVma9vNztaSoe236Bru_bMMHJMlMUAsjTEHIo_siiz-yN8u0l9SJ6AKt7lGHYakL-_jsMP2h9U-u66Hp8B1sjw4xTnpAMvhOsRA9eQJp2A7oDw4HQa6S4AZPcMLEFLhYck-RTL-mn-oxk8YD5K-CM6l4Fz3MVC05m2d3KV44C2Tjz8oohDdBwlkCSodqcU99y1mVEtJ5Rw3TmcqGLZpp2Dpvb02xeCz3qoBxfqeeDa42DHQ-axnk9DrzEYwkAdgOXsx0UG8Rk0jgcNoV_N30Xm2Uqu-jEDJwm9C-8iJOxJuPiTc9r-KvQaCt63e5cekTugiwbPPu3oX9SxKOGWb0hmLYAHADaAb70fIlpeNSoyZszISfWp9n06H5OZ3cVfDMiF69VtY7IXObOBhnCR7gdkDoSFCK7W272zxRX3vffqzaeQfps6yN1M0JU9X23OT4smGCbUN7BDe3ZTLtzeEhBhGgXlcxrA9-kJb8ovQKNpk1m8IA166hP17pxeJOnjTwcoE0yC99F44DMSFTdMTo1ema9_mseYKBy3TUNHFw_w', 'width': 2000}]",ChIJj2qhtgPmxUcRyHYwsq-Ju3I,ChIJj2qhtgPmxUcRyHYwsq-Ju3I,GOOGLE,"['point_of_interest', 'establishment']","Kempen 36, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '8MX4+6J Haarlem, Netherlands', 'global_code': '9F468MX4+6J'}",4.2,11.0,,,88196825b1fffff
"{'location': {'lat': 52.34783840000001, 'lng': 4.655873199999999}, 'viewport': {'northeast': {'lat': 52.3493250802915, 'lng': 4.657343380291501}, 'southwest': {'lat': 52.34662711970851, 'lng': 4.654645419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Liz Beautyniz Schoonheidssalon,"[{'height': 5712, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117816972724570846482"">Liz Beautyniz Schoonheidssalon</a>'], 'photo_reference': 'AXQCQNTMNFoy4uv-uw2K35NsmOeyCWp0hji26TKIPApYWGsvAblqHjb2WVt7AQsUmDmWUolm0iZVaUwMPkFIX59CZ7TKqRkpPdLBNnRMiMtq745a-BIGi0BXB3CVuZQ3x0JAUFFOcPLJI_XwNqeajk2FyRjjEYIz_Tmx4o901280kuxVkKsdpR4feKAoX3ZtJ1a3ID25q3NKv5fjnf732qHuBMoBp2PpbJKaqvjlYH_NZWt9ua4ubEQmtvEnQLb_FKo_7LPiUiICsM54eFAyOuTIRn2cjbWEgLFO2_GSrzTpw-0Mq6ZKneLlX_BDNKhorXanvFqJ-tUU3Hc', 'width': 4284}]",ChIJwzgiL7vnxUcRiF41E6jCryw,ChIJwzgiL7vnxUcRiF41E6jCryw,GOOGLE,"['beauty_salon', 'point_of_interest', 'establishment']","Kempen 26, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '8MX4+48 Haarlem, Netherlands', 'global_code': '9F468MX4+48'}",5.0,8.0,,,88196825b1fffff
