geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRD-r7hL_FxDOVLBxomvdmlp3gzh1vMYNWO5EnkXCSMQRzyylQ3qUuRk7NLeeGyWoFnzeighTb1zMxdpHjhWOZ_j6gpAtnaRXxk2c4qqBd8F4LQKo45SsAqrfZgOcxjRFNByjLe7PiK_4UEgvEa8TB01TxYibuNxl2L4Mw62NnGfQffcEbJ2hKh-cKDUrGdJ4qLA5GfK-5J5cLjPcqBgl657X55rMUKXAG7kZJJrt3lmZx62C4I3YGqnCSfvKJWR1o9OyxiEUBKwTXqSZ5NUFSAluGHVguczFqKqNYCYhNFHiTeUZJo9TVRcAjtUjToK-ZF0eRWxWqm9Em0rGEddaMOiE2myKtdTAn1gXdOAvetiebSTDup0BS5qz8bdJJGa5Fzqb-WERNUcZKVcUPMzD5UIwqC1QOWCW7EapOr5Sp7oszjtcMHN3UqNcVH8U_08XonyAf01KS9CDEQIpiynDmpb35llgMg2fSlc0jgCdOneBm2I2bPoorlGcjOEC8XDiG0_Il_DkSAY3T6XOnIl2xPzOV5k5udcePcpqXR7WfJvOJdMtruVrGY8zjcWWi7VlHqQzxpZZ_ityCUikNRENqyqevX8O1rSE2Qj8VF8B9mChuNtIp7V2UbQOd4tf_i', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825b9fffff
"{'location': {'lat': 52.3538908, 'lng': 4.667379500000001}, 'viewport': {'northeast': {'lat': 52.3552922802915, 'lng': 4.668726630291503}, 'southwest': {'lat': 52.3525943197085, 'lng': 4.666028669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,spronk,"[{'height': 504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113130607209623911236"">Autorijschool Spronk</a>'], 'photo_reference': 'AXQCQNRNFITOHl4wAMquvZ3amnEB2imJNNfJMxknqQTu8tP6SC_Q9GYg_cXkAMLCtD0-ZkSuujRS6gVmw-n7YZa0UnQV0KQRZ3Vrc26j5YdleDeVistC4VxedYuj2x9P5fjig3jH9Qgw0d8mJTQ3Zkl9ChbO4bY_LqeVl5Pl_J1BvEFvhK3QxFU2VFPsro0YaPm11wgDDFMVaWbixFmt7I2Fwb5Tu1Zjtjo073mUEzPIa6TNCqT0IHnx5BKC754c4JEGGvpwUx1qfwvc-F7j8fG-eVH0ieG63MNXouDjScOqLNGAtSwbw3mdfwmoJ8j-esTI-Ib1TV5BrMY', 'width': 896}]",ChIJySUZBgjmxUcRMh9ymMNXYrs,ChIJySUZBgjmxUcRMh9ymMNXYrs,GOOGLE,"['point_of_interest', 'establishment']","Forelstraat 4, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M38+HX Haarlem, Netherlands', 'global_code': '9F469M38+HX'}",,,88196825b9fffff
"{'location': {'lat': 52.35340350000001, 'lng': 4.668496699999999}, 'viewport': {'northeast': {'lat': 52.3548049802915, 'lng': 4.669758180291502}, 'southwest': {'lat': 52.35210701970851, 'lng': 4.667060219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pedicure praktijk Christine van der Meule,"[{'height': 504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107335498619424216321"">Pedicure praktijk Christine van der Meule</a>'], 'photo_reference': 'AXQCQNTkX30Lzn3UXxrXRvU09SVIZG4vBYYJrgPWKQaOltBEaCUOceMBDdB7-HQmbjIitvlg60GT8efJ2aRDif_jd4MBKzPnY2Omlge48YVPc6Zhvt7KlmQinpPa4fnTz4EoSV4tLfmAjMnLwoOXAO4D1ELn_zo8aoqYHwg966sCR7fqxR5-modtQRF3xiMyGIN4ich9P8XdePtNp2vxPlOCU-g_XEuXViYgigIvekHOkUHBF93zBTOZIqz0fFspxhYXuiVMUUIS92AFbqo-65F_X9dg1I9nYDIqBmMHj-UwY2m1VBIOiP4JnieHjZ2WH7ODdfptn2NC', 'width': 896}]",ChIJa1f62F3vxUcRogIBY56K-EQ,ChIJa1f62F3vxUcRogIBY56K-EQ,GOOGLE,"['beauty_salon', 'point_of_interest', 'establishment']","Forelstraat 115, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M39+99 Haarlem, Netherlands', 'global_code': '9F469M39+99'}",5.0,4.0,88196825b9fffff
"{'location': {'lat': 52.3530816, 'lng': 4.666417300000001}, 'viewport': {'northeast': {'lat': 52.3544600302915, 'lng': 4.667755380291503}, 'southwest': {'lat': 52.3517620697085, 'lng': 4.665057419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Whebbes,,ChIJk2BHtAbmxUcR8uOmUx5J0z4,ChIJk2BHtAbmxUcR8uOmUx5J0z4,GOOGLE,"['point_of_interest', 'establishment']","Forelstraat 333, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M38+6H Haarlem, Netherlands', 'global_code': '9F469M38+6H'}",,,88196825b9fffff
"{'location': {'lat': 52.3528896, 'lng': 4.6658774}, 'viewport': {'northeast': {'lat': 52.35428398029151, 'lng': 4.667368830291503}, 'southwest': {'lat': 52.35158601970851, 'lng': 4.664670869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Studio Sherpa,,ChIJK9CPxAfmxUcRL7abXaVdZ8I,ChIJK9CPxAfmxUcRL7abXaVdZ8I,GOOGLE,"['point_of_interest', 'establishment']","Bernadottelaan 200, Haarlem",OPERATIONAL,,"{'compound_code': '9M38+59 Haarlem, Netherlands', 'global_code': '9F469M38+59'}",,,88196825b9fffff
"{'location': {'lat': 52.3540163, 'lng': 4.6648446}, 'viewport': {'northeast': {'lat': 52.3557759802915, 'lng': 4.665738780291503}, 'southwest': {'lat': 52.3530780197085, 'lng': 4.663040819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,1. Meerwijk Dolfijnen 2.Meerw. Kikkers 3. Meerwijk De Eendjes,,ChIJX8hhmgfmxUcRTAflE5zBnhU,ChIJX8hhmgfmxUcRTAflE5zBnhU,GOOGLE,"['school', 'point_of_interest', 'establishment']","Erasmuslaan 1, Haarlem",OPERATIONAL,,"{'compound_code': '9M37+JW Haarlem, Netherlands', 'global_code': '9F469M37+JW'}",5.0,1.0,88196825b9fffff
"{'location': {'lat': 52.35182200000001, 'lng': 4.663222999999999}, 'viewport': {'northeast': {'lat': 52.35315393029149, 'lng': 4.664500330291502}, 'southwest': {'lat': 52.3504559697085, 'lng': 4.661802369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kafai Publishing,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102821821921316271860"">Kafai Publishing</a>'], 'photo_reference': 'AXQCQNQ7iXYfAmDtRzSjdKT6jaoM2jHknoerzV5AJ142Wn-N7N-2YKIVhn9J1oLowIdvWfhqV7Zp7mnQkRHpY2eWzMvBVnDD-CiGgddsFXLzPS1yFnyj7hE-D-RudZr10WDd0AMEadomGpnV22DAnzU3SvTogeoaJLuRGowWXV6QtDPjlsSsR29fwVzY1AiAoA_N4qWxGOBkMDyNMfSP0XgoFnV1HR4N9hcZJpsOWNkGAU8CStVzCaG5LjhNwFceB_XmuC1zvUpiEu1f0uJ59uIgTZa-4kYmRcW69wCctA4hc3jXXDwmSjkhtzY3Fpj8WhnSGsQVc9RzVTo', 'width': 1024}]",ChIJWZkQ_wbmxUcRgF1hQZonvlw,ChIJWZkQ_wbmxUcRgF1hQZonvlw,GOOGLE,"['point_of_interest', 'establishment']","Elsa Brändströmstraat 192, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9M27+P7 Haarlem, Netherlands', 'global_code': '9F469M27+P7'}",,,88196825b9fffff
"{'location': {'lat': 52.3479166, 'lng': 4.667362799999998}, 'viewport': {'northeast': {'lat': 52.3492472302915, 'lng': 4.668732830291503}, 'southwest': {'lat': 52.3465492697085, 'lng': 4.666034869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Allesis.nl,,ChIJ_0WfDXXmxUcRftb5XfzFtac,ChIJ_0WfDXXmxUcRftb5XfzFtac,GOOGLE,"['point_of_interest', 'establishment']","Ringvaart, Cruquiusdijk 242, Vijfhuizen",OPERATIONAL,,"{'compound_code': '8MX8+5W Vijfhuizen, Netherlands', 'global_code': '9F468MX8+5W'}",,,88196825b9fffff
"{'location': {'lat': 52.3504763, 'lng': 4.6748048}, 'viewport': {'northeast': {'lat': 52.35176823029151, 'lng': 4.676247230291502}, 'southwest': {'lat': 52.34907026970851, 'lng': 4.673549269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,De Koning B.V.,,ChIJx8RgvAvmxUcRnLZ2fYR_qDI,ChIJx8RgvAvmxUcRnLZ2fYR_qDI,GOOGLE,"['point_of_interest', 'establishment']","Kromme Spieringweg 555, Vijfhuizen",OPERATIONAL,{'open_now': False},"{'compound_code': '9M2F+5W Vijfhuizen, Netherlands', 'global_code': '9F469M2F+5W'}",3.7,3.0,88196825b9fffff
"{'location': {'lat': 52.3546524, 'lng': 4.663922299999999}, 'viewport': {'northeast': {'lat': 52.3562109302915, 'lng': 4.665594880291501}, 'southwest': {'lat': 52.3535129697085, 'lng': 4.662896919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Stichting Herstelacademie Haarlem en Meer,"[{'height': 622, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116506469242768575923"">Aalo Plrnso</a>'], 'photo_reference': 'AXQCQNSHijqMLuuwfLnBbX8B_UbX8m9bxaPOrUZZcA8hEg9yU0Z14Rp7qthIC6U6GAqOKlDTqeg7BwbPuWBeaN4ixkqRCD4Pv2pxuHGRdVrSCYJDdYZ8yrurR4HgSXba32kdDSRExCOret5S8NK45np4opWvQ9tidBDWghQnwIFGTcxTnEfkBs1BhbUYdIyz8NVcinNVgzQjXWlmc22bJRtnJUFknNszGWdZc28bpOCmYt1CKnWrMn5mGAL9NctclZSlYPPcBCwxnPq3Dcmzwf8J2K1R73otkfwMMdpM9P8Gb1uUIfOvN4zFgYtoxCiW9g0dSsTDewYsPp9zh8etTmliLCAE-tGgf54fYE8WaapcLBZN6bNmEbppRetwud-NaLq5MHyrSlEmPRFPFmsFjWGBGx_NBKNBiiaX9-bMi3KGCeWuqViUMOuP3XcQE0ZB5mI5acsBVTWptsTBoJLn4QHo51ZUP9nHr84cEowdJxrKLGFtsoeE_OvhBH33pM-zthszMDj_tLlOrVUrfrEhXP0hZEfP0Y98fvcl95wejJnxK0gpEgB-j_8GhgH9EidT0TNZhXm6IvDOFYnei6zS_Z8b255IP8kr4BKd0GfSE06T3IUPwDwI76POqdiaFsB8BUT3u6k-Zw', 'width': 1200}]",ChIJrwjGGfrlxUcRhRh7nPo4Zfc,ChIJrwjGGfrlxUcRhRh7nPo4Zfc,GOOGLE,"['school', 'point_of_interest', 'establishment']","Leonardo Da Vinciplein 73, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M37+VH Haarlem, Netherlands', 'global_code': '9F469M37+VH'}",4.8,16.0,88196825b9fffff
