geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNR-ik01zFY00wGSL4hvpLk0gPysqu8uXGHtnilxUFOOY-2fStiabO-ZKAC2p4Xdpusq-KzehAXlyQByz2sSeoO7rshSrBacYvf_PWSkb39VdI3EIOpvlOwd0sSzbznTHoz9hsAZk0uO9Lmo5tgNIQ5gX5B5MNucbW04DnHJpQe6oM9Pg_uqp0s_cxQBphFyk6iQTeszj1G3zAmkvGZ9CD7bMag-1TVqYueZm65wr8xuiScGuhLwL3d3W5eHD2h_OqYBCkzPBmaXNdv-533V7mAtJNFiyLpHEgQtGv6aJM67Y7ANBsxTP_eADi6fTmh3NOklF12QGTiypCVTU5jGSyE-fWmARyBG24JS3yahBoTi_JDvczByqgWxvD8asac6V242Mt98mfsdhjCGwHNIQU--zjPgjrRuCKN5xbDyWtNzs4QL7vbTMDMNJNNgpOqzT2MATZtUOBTqILgTlErFUHNFZo7xFt--mRp1-uOxNXvVNQpjNRX8NQmPf1k17Bj8RLiy0ANBIr0E_32l7GsuONW9ljUFJuGkmK2OmcFYTa1Q86bYBE9HBCvU575WGSN9sGRTgrw-dqfYFeVUW9deS8W17QXaCNTIdE7j-Dp2e9Lk41oz7dPfw5RE3OQeYvSy', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825bdfffff
"{'location': {'lat': 52.3509161, 'lng': 4.650017300000001}, 'viewport': {'northeast': {'lat': 52.3523289802915, 'lng': 4.651600230291502}, 'southwest': {'lat': 52.3496310197085, 'lng': 4.648902269708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,PréSport,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116506469242768575923"">Aalo Plrnso</a>'], 'photo_reference': 'AXQCQNQQ56pn_-fkrDxZYae3lvniM--_6alogcpfRzq0OddeZqRctbKmt_smJk5zAUfL4eoNPX7Rer7uauSIyk5rLwdgn1Fa2RZUs52u8YcGjYEfaLb3oaI9QNGo-e7MeTiJ4q8V4iepRBQwFHovAZjR4yLg9ElgzX8dryHI_c_OLxPBMn6--9-4niZ0UGXV44qDuKNb_syz3cZnRdxd7XJkGquXbFciN5ag5gaJ6Rb_N7ua8tfC3xqCqb1B8-NHdO_IniTdRth6CkNIn9WRAAf6LasPHXxRJLFcBT7zBIpG5sQpF5tqY96BNVIQY323kn98s1ve6jECRFrsjgjQs8EBshZSuNPcUUQlg3znIK3tcbCclaDr2S-4YYB4_i9xSwSBkI1lmRGH4zeabTCtstEKlDApoqVqyWw6nSHDMAy9athZ2n-MLT5WOjHcwj3nmUB2hEm8jcFk3S9HujlifVQMXPuTHu1x61z4O4FekflazBJIcjAvDp2Q7hSl1Ci53GuBwcF2_PWn7BBuUH_6oYmKMrCCPrjEy6By-jyz_qwGoAy2JMAFSvithjsDp76gp5Nxxaqw2rfEwtC3nYbRjvX7qwUDPBMCi-uOR3L8_KP8tSx0sA6y0sWEJMx0DnFgKRMVgV9Ojg', 'width': 1024}]",ChIJBTEJSKroxUcRgtioIHIyiKc,ChIJBTEJSKroxUcRgtioIHIyiKc,GOOGLE,"['point_of_interest', 'establishment']","Sandenburg 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M22+92 Haarlem, Netherlands', 'global_code': '9F469M22+92'}",4.5,112.0,88196825bdfffff
"{'location': {'lat': 52.35566879999999, 'lng': 4.655856999999999}, 'viewport': {'northeast': {'lat': 52.3571852802915, 'lng': 4.657320730291501}, 'southwest': {'lat': 52.3544873197085, 'lng': 4.654622769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,de Bibliotheek Haarlem Schalkwijk,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105205476158715088735"">de Bibliotheek Haarlem Schalkwijk</a>'], 'photo_reference': 'AXQCQNSLI80hvYsqdCnhweAo_xlFmgbxZfvUA8IqcvMmg6WQMp4zYsgfXU6NLjOcEDLspBWyEIwIvGhs8lgl1h8zUxgSM24L9n6sZbEYHZsYQAzsWcRCqol_IbwaXZ9TWImOqdsut065WRh70rMZY38NYXWIBLktOaQqKw2EyApPRpbXQ5_TNuBG2H9vg6etWA82AyYKG-bzvQtiM8kdkPlMinYEgufq7hhgPEdx0-oOm3p4TzN5f1WWePZi08EUpWbqDW6rwtqdrADPmmZSoXxxlVPbhqX4CJ4LAXj8WLH67qE3txE0XRqLfHEupimV98aXab78rMmLh7U', 'width': 5616}]",ChIJBbuVwv_lxUcRLopES_5YR9w,ChIJBbuVwv_lxUcRLopES_5YR9w,GOOGLE,"['library', 'point_of_interest', 'establishment']","Fie Carelsenplein 2, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M44+78 Haarlem, Netherlands', 'global_code': '9F469M44+78'}",4.2,68.0,88196825bdfffff
"{'location': {'lat': 52.355316, 'lng': 4.654276}, 'viewport': {'northeast': {'lat': 52.35668498029149, 'lng': 4.655657030291501}, 'southwest': {'lat': 52.35398701970849, 'lng': 4.652959069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Timmer- en onderhoudsbedrijf van Duren,,ChIJoSLe_v_lxUcR8PqmKVi3q08,ChIJoSLe_v_lxUcR8PqmKVi3q08,GOOGLE,"['painter', 'general_contractor', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Christine Koetsstraat 32, Haarlem",OPERATIONAL,,"{'compound_code': '9M43+4P Haarlem, Netherlands', 'global_code': '9F469M43+4P'}",,,88196825bdfffff
"{'location': {'lat': 52.3545122, 'lng': 4.6549447}, 'viewport': {'northeast': {'lat': 52.3559392302915, 'lng': 4.656358930291502}, 'southwest': {'lat': 52.35324126970851, 'lng': 4.653660969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Renovatie Sloopwerk De Molenwijk,,ChIJb7esDwDmxUcRyvCIdgKlsN4,ChIJb7esDwDmxUcRyvCIdgKlsN4,GOOGLE,"['point_of_interest', 'establishment']","Els van Roodenstraat 14, Haarlem",OPERATIONAL,,"{'compound_code': '9M33+RX Haarlem, Netherlands', 'global_code': '9F469M33+RX'}",,,88196825bdfffff
"{'location': {'lat': 52.35451459999999, 'lng': 4.655341}, 'viewport': {'northeast': {'lat': 52.35594853029149, 'lng': 4.656675180291502}, 'southwest': {'lat': 52.35325056970849, 'lng': 4.653977219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ICT Services 4 you,,ChIJvwuiZzXoxUcRIOP_j4rCGeM,ChIJvwuiZzXoxUcRIOP_j4rCGeM,GOOGLE,"['point_of_interest', 'establishment']","Els van Roodenstraat 26, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9M34+R4 Haarlem, Netherlands', 'global_code': '9F469M34+R4'}",,,88196825bdfffff
"{'location': {'lat': 52.3515167, 'lng': 4.655992199999999}, 'viewport': {'northeast': {'lat': 52.35276853029149, 'lng': 4.656860580291502}, 'southwest': {'lat': 52.3500705697085, 'lng': 4.654162619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fysiotherapie Erwin Henskes,,ChIJzbllCj_vxUcR2KBGmB8xJ3o,ChIJzbllCj_vxUcR2KBGmB8xJ3o,GOOGLE,"['physiotherapist', 'health', 'point_of_interest', 'establishment']","Schuilenburg 2a, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M24+J9 Haarlem, Netherlands', 'global_code': '9F469M24+J9'}",,,88196825bdfffff
"{'location': {'lat': 52.3520365, 'lng': 4.653957399999999}, 'viewport': {'northeast': {'lat': 52.3533769302915, 'lng': 4.655314030291502}, 'southwest': {'lat': 52.3506789697085, 'lng': 4.652616069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HM schoonmaakbedrijf,"[{'height': 350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117910081465454422887"">annet heeremans</a>'], 'photo_reference': 'AXQCQNRcPSkVZWUz_uuOJS9QoSd76JsoJV783pcgwcxO8Cn7rdyjaZhNotnDK1a_jBixohzSotaaMxj8bflMASRRHQDnRUsRtMX4BakzKDVYXC15QoKf5dn0th5ru5DpFOWyZjO4cxK4__3AGb6Ss6Z3kBKM74JCdEwaIyMOvOJ4DS86gpyVxzzF5RJuHv-i-mMFOlqsYo9z6rG5GfaMCsbHsXq6XE4q7hgeQpwQT3bWR-sofnNvkIFLNh-7LrrskeQ-_Lurz0tAuPxy-s5BpTeRrdopdXrpy98CffxzUnvbwvBSKs2Icc72-nvEU4C32cp8sfdhQ55DnBn-5I3roJS78Srdde5OzwIKTJwruLZ9yI0nuOc6UOZ3IFBF98gZeQjvK_Rlij_ZEMnRMLOOJqnpYoZzXJLHaGDc294D3wmNCLAQuxs_ZFy9m4COVFWbvVLqwGCFdC3ZxU41IAYJav-nS0rjAmeB7jw3PbFKzXvHgebArZb-s-GMEst57Q1X_mqpMgWkXgLh27WwuQ09MdAmLN2W_1svM0w5Co8qyh8Gi2q7v4ipVVUPEKID8FVexUIwEKp7o21nvyuoGfh8USmjTLFo3sHSMdPn9byE_RmnNyBFWJeqvrwHIqyurA7FUHZruSq6Fw', 'width': 525}]",ChIJAQnvxAHmxUcRWC7hX-HJUPA,ChIJAQnvxAHmxUcRWC7hX-HJUPA,GOOGLE,"['point_of_interest', 'establishment']","Engelenburg 114, Haarlem",OPERATIONAL,,"{'compound_code': '9M23+RH Haarlem, Netherlands', 'global_code': '9F469M23+RH'}",,,88196825bdfffff
"{'location': {'lat': 52.3555809, 'lng': 4.6577161}, 'viewport': {'northeast': {'lat': 52.35674843029151, 'lng': 4.659073130291502}, 'southwest': {'lat': 52.35405046970851, 'lng': 4.656375169708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Huisartspraktijk Hamming,,ChIJl1tiMv7lxUcRmgENSUXuB-o,ChIJl1tiMv7lxUcRmgENSUXuB-o,GOOGLE,"['doctor', 'health', 'point_of_interest', 'establishment']","Briandlaan 11C, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M45+63 Haarlem, Netherlands', 'global_code': '9F469M45+63'}",5.0,1.0,88196825bdfffff
"{'location': {'lat': 52.3556912, 'lng': 4.657759599999999}, 'viewport': {'northeast': {'lat': 52.35717418029151, 'lng': 4.659115280291503}, 'southwest': {'lat': 52.35447621970851, 'lng': 4.656417319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Huisartsenpraktijk Mensink,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102611899986458934541"">Ramez D</a>'], 'photo_reference': 'AXQCQNRJeMOrIEQ2O-GTx3siUV4IJ9LUKc59Xh6ZQFD-YOKZvtwAzeKEqfi7BNx6PAK8pJTbinUXpJpsUkNtCUvepTWwfdSRt8i72t1YPMTaeQFoVyywQZNSRqw3rmUI8NneNOjYK0B-XwQ1_hSG86aV8DDk9lUFJ_XZMBCITfyvDUd_D45ZQX3SR47q1NbfsmL9dmDxoc-VvBDdyeXHKli3_D1dYdinOtwbQvUnP957t8hTFfL6JHybYP9lb7LJvT2K6VDtSnzPjp5_uCac_ziRqNuLdkqSGRt1c9SHc3qLCvagsvK-c1S7Zq83gxxmaIq7o3Dbwz8iy9i9a0teBeKCKRXMeMUj8O-VmjEMyhLARNfrbVolEvM1VXEO1FoLuK5RjFcjgiwliXuCHWi0axg_9lTGWcZfdFVi5xSS-1f92hv63TB6295hGn1VXj05SuCBdNPnhxyaJlA7yVcZdZw-iCcg7BCyJ9fmZ53s524qoBszWbjeC7MhEyTDrBMATUqiXlwWZ71zcBYlGCRHOsy0SqmfAQAMjCnEP3pApPWOZfkTSEVDBhflIlP2s_Xpaq4-SG8stG3nv2t-axmdfZGv3lH7nCCSPENT_-2olLl_qDpSukIJQM8um5rQFyOq6Smh', 'width': 5504}]",ChIJl1tiMv7lxUcR6gbkHP9ClRA,ChIJl1tiMv7lxUcR6gbkHP9ClRA,GOOGLE,"['doctor', 'health', 'point_of_interest', 'establishment']","Briandlaan 11B, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M45+74 Haarlem, Netherlands', 'global_code': '9F469M45+74'}",2.6,14.0,88196825bdfffff
"{'location': {'lat': 52.35339249999999, 'lng': 4.655437699999999}, 'viewport': {'northeast': {'lat': 52.35471373029149, 'lng': 4.656801580291502}, 'southwest': {'lat': 52.3520157697085, 'lng': 4.654103619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,FIT Muscle Care,"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112469518222059442419"">FIT Muscle Care</a>'], 'photo_reference': 'AXQCQNTdsWnOWILmqUyqvgyp08f2JnFf9HGYUxaFh1xOGs5Bq_URqaAL5r-LaQznc_AUR_Nedtk_X9E_9l0LQc2tDlbCT5KtoPizV7HPlMVQ5B4kysTclntOA58ucAH71BcpzXRM_HDd7Vq8cIyH3iUnJR6abcBoqCq8o3yb6hCVo91elGkizTKd3vFuNktiqxuF8kb2gFau2_owusWMnP6WwcOMxNwN0iWLVErVwPcHE85n2-24j4St9ybpaCTtfgx5Cia2XalsS80SITcmK3DBVVAz89KSxWCYshQYVuh8gxxWVIc2ION4uUkL_vLKsUQ9Ye1tJf3Rnbk', 'width': 1000}]",ChIJ_Uq6NwDmxUcRTmSzmC9ujkc,ChIJ_Uq6NwDmxUcRTmSzmC9ujkc,GOOGLE,"['store', 'health', 'point_of_interest', 'establishment']","Ramspol 6, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9M34+95 Haarlem, Netherlands', 'global_code': '9F469M34+95'}",5.0,2.0,88196825bdfffff
