geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,price_level,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRJjo5mZ9gBT5UEsc4ZZhSGnxmygqcRc2sOeDWTRuJ5JlDAptITSdE9sG6gVfeDWFybgeH5V2QTOSXdQJh4E0MprXp-fmaxYxnjs5VcgufNpaJSPaNt6fqtmwwnIXii38V2rr5ewfN6AyePNoZ4MLfCccYl-9CxN8Ag0QAfWnLJYhANOGnx5uee9hywdTBCGFhtuKsVGiIOkOgYOXr38zCZ62c6czp5eljxEUGDNE4OgTTTyb9Jl4hYkNVkq3CoM9mEFwNAMDUlDo0Crz39rFDXm0PLBSSBZUKPjnFb4A043GWJbxrCymGVO0LqwclT1mVzYk_40qlkCLM1jPGXvF-CSwpsK5enIPwl8MbWl4zyLVQekYsgvUXdifNwPyDIRR6rAMdyrElij-hBdxQDuSc5_0fMERXOZTn4v8bLKZ1AQBfbcfVQpaMeiPOsavR40hbi7y6CeDEWz13dHMpQHe9N4YzbubShB0fp0y5Dbuygf8ZqzZQDUv8azNrBhlP9J_t6hEArLvSNo5FR4Uk3CrJG4HFQVkOzPENe8DDkJhwhCpxjfYm4sHEucOWBFBV-1c8RVGHhn7IVRwOcSkC52a7Xf30H6719PExXgYBxDuD9Hv-VXb9LdikuDlOwc_Fv', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,88196825e1fffff
"{'location': {'lat': 52.3798171, 'lng': 4.655584300000001}, 'viewport': {'northeast': {'lat': 52.3811596802915, 'lng': 4.656952780291502}, 'southwest': {'lat': 52.3784617197085, 'lng': 4.654254819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Italiaans Restaurant Sorrento,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104755550428628953325"">Subendra Thiruchelvam</a>'], 'photo_reference': 'AXQCQNSgYum8fHWqlqHIDP4-jT0fgKH5NPqrLSPMcMD2P46zTmWWrtiBjUyD8a4yZc_WIk7MdbOCRGN2VtOqQTAp5Hok4f11Bl2e9IU8TJjMKV3hIAfBQuogR-ePLFmT5lyCoSWCN0s9QEN_wkn5je4Fas_IAaTr_LOKiupb2FTgbsTgqwUx98A8CtxX2V9OMUknGO7WsqqDGYKZQo8xILuId__aIIquUoa_lZRmWHutvd-LO1Z5st3BMlQsYSiXFaRTLrB-16HUCeobDpGZjL-nFWXWz523gxOKZLCz525QFq_Y7hx2pEDFh_ghaoHR5bLUVkhxiurX4oOfhJUgY1d0iBGQTmOhCARl1lo6DQkTDAFn2ZZz8oybgC7XTUVPDXG6yLdbIsyFOtHQ8N0vQ2EedoeyQuqfd5ZUpdxr1Bp9NajbX7l4moexbRt4yfvMNMPcf8sNsuJSsdCz3Vz4uLsXfaEgsWmFzp51UFn14jSU2F3x3DZHkdZ0438aSH7VZPsWXa786t5m4oVdu6dM4H0k7A66mhD_vNq64JJ4kUm_q_sYBtetSJLgmGmknj4ozxOn6lQL0_EU_bhIgVu-gtFLBHnO56Q-703dQdIANhsQ5-1mxJobxAYPVjfFiIWDZXVC6GtwXtLT', 'width': 4080}]",ChIJocvipGHvxUcRT1MJEet6jVo,ChIJocvipGHvxUcRT1MJEet6jVo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Teding van Berkhoutstraat 67, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9MH4+W6 Haarlem, Netherlands', 'global_code': '9F469MH4+W6'}",2.0,4.2,184.0,88196825e1fffff
"{'location': {'lat': 52.3790649, 'lng': 4.647760300000001}, 'viewport': {'northeast': {'lat': 52.3804297802915, 'lng': 4.649169930291502}, 'southwest': {'lat': 52.3777318197085, 'lng': 4.646471969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Snelly,"[{'height': 547, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114371440795045717651"">Snelly</a>'], 'photo_reference': 'AXQCQNTn6MaV9068bNgSRlYlRB6-iXwXz2fly1SRYPDoFHklhnlj0YXtNgcgNLJV7ZrEyGgncS-klLhqtzkG5nnyuN1PsnosJlxVpiUgASoehC5LYvqnIoUUFb-xK1v-GsRCz1Qy3DFP6KWTntMc3UsNGZc-EJSjR098Z5-QrYtUMxuTK_GmPTsXcGjTg3UaHPMSycTeFkt3Vkc1njvCyr-Ku9mOLaL8oMUxianctMC04nk0VB_qoY_bIiboDKtCclzXRXTvxymRr8bKkmZKAzmZCUgEb56l72FIsAlF-wRRsiXNr0rnF-nCvT2QFF4jVGU6FPsl5a5ry4w', 'width': 729}]",ChIJrQe-q2fvxUcRZShl2LKTa_c,ChIJrQe-q2fvxUcRZShl2LKTa_c,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Amsterdamstraat 38, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JHX+J4 Haarlem, Netherlands', 'global_code': '9F469JHX+J4'}",,4.0,116.0,88196825e1fffff
"{'location': {'lat': 52.376437, 'lng': 4.650316}, 'viewport': {'northeast': {'lat': 52.37780883029149, 'lng': 4.651728630291503}, 'southwest': {'lat': 52.37511086970849, 'lng': 4.649030669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Schous,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104310945330282654345"">Schous</a>'], 'photo_reference': 'AXQCQNTS9oTBNuqb2kwyS0O7SLS-_bysWsSeKmsQE2CaCR9wWuf1eKNsLgNf5onbbydixrFYxdpR5gTKC7Oa31EOolIELJqHeB3l9W9mO_v4ox0_Q3od8XELWUvLmTysv6r2BIrGppNw391MmUyPDIILnYmUjQEpsAkx-0VzQlYlpyZ_T_pl2D5IZnVpvFOJzbgb2D_ijPTgh5YA8z2ZMZ-F1ctW34RArmhHFQbUyf7vKPdnfNXp_DgZNOXvoXG8K7evi2OD7Ac2Bk-CDBbGqp6gOqZJuRRfumpRhmPila6HeZYOWGXdecjh-fXXAaqGV6Ju1vutUee0J4w', 'width': 3888}]",ChIJGU1Z-F3vxUcRGBhPBW3v5x0,ChIJGU1Z-F3vxUcRGBhPBW3v5x0,GOOGLE,"['point_of_interest', 'establishment']","Zomervaart 156, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MG2+H4 Haarlem, Netherlands', 'global_code': '9F469MG2+H4'}",,4.7,94.0,88196825e1fffff
"{'location': {'lat': 52.38017849999999, 'lng': 4.6472213}, 'viewport': {'northeast': {'lat': 52.3815197302915, 'lng': 4.648534530291503}, 'southwest': {'lat': 52.3788217697085, 'lng': 4.645836569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Key Gigant,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102977807541456787501"">De Sleutelgigant</a>'], 'photo_reference': 'AXQCQNRhQguyfni2nq7XaXZWQVap89bsY6zxaElWE-bnR5qWoWFpinSIujgCBgjMv_lsWoSDMwT0a0p7GLoXUBDJ93U2MTqWGyhYEwCE8CW4lAzkIzBx9-EBTLEhyaw110xRdN1VfeykvshAYlwxm41gQ8o9WH8QZb4kY8sqvhY99P0hx0N5MSK2K1rjvvHFCwoIUoKVmWsV5Q8_wizUPZ7H9b8-bG8kj5ktcx5G8F--XAVp1GA2RyFVqFAigVPD7OC37_dqL2q4wZQQcj5I3XPXWlLymSZSDoxNgndH51xsOYZqK_RStuhwYKUseUPmMbb1_tcMcUPL-jo', 'width': 1158}]",ChIJk8yyRWbvxUcRVLdKTmL_5Vg,ChIJk8yyRWbvxUcRVLdKTmL_5Vg,GOOGLE,"['locksmith', 'point_of_interest', 'establishment']","Amsterdamstraat 5, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJW+3V Haarlem, Netherlands', 'global_code': '9F469JJW+3V'}",,4.8,124.0,88196825e1fffff
"{'location': {'lat': 52.37975470000001, 'lng': 4.6545633}, 'viewport': {'northeast': {'lat': 52.3810869302915, 'lng': 4.655925830291503}, 'southwest': {'lat': 52.3783889697085, 'lng': 4.653227869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Anatolia Supermarket,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100871401566246012330"">Sjoerd Langkemper</a>'], 'photo_reference': 'AXQCQNS3bTxlDfdU4vy32yFXRGPwqPmThM4m1Y7yBHcLROG9KTMM6W-IK0Y2fJYErckkE2tGOg4W80a3BUfhwrpMNWTyvdlFDj8g7YtjsgJlTLrk3G_MyokZt8ldebUQbu6CtXv0Pat0eYuywLssD5DzcyFHa7P7AoigSIwDEKw-Ga9H-EkKEi8GdteF1AVTkM9_uQ1LeEO7Jzt_defwU_2OVXNdXWlGAiqaTwI-gFDH0z9IhrhzBQSGL1wL4yXEeixfhP0RW41zLA547RKVDQS2J5ml0bmkqXtBtOlW1XV49LmEL5VwcfFAu_2tzLvQDaflL6RwDH4qk4szi4fVhpVmgbVocFVj2lKaSqxftYZUz5g16xGscpSFPDW4TOp-yau5e7BnLMzRcILQMcIl7koYtu18XIRA3-GtTqRAYR_sNyexxaLuCHEpLHgAGXS1dhDjLrYOk1fbaUcjD9FzaH-kJG3LgAGzrDhlN2J74-aHY0MO-31RbbEpV1iMylH5UaLeMWeLDG3N9tpRNG9pnIJIzDhhseaYVPXAG8SXXHbCVW7oCssbreEntkKteDygFYwhbDNBoKbLXg4CObjhXgwpRfpCGh_7o6zdfxBqK1QK3YAfWk_8P4l-bx0IhOadff0v_5GVCA', 'width': 4032}]",ChIJ-e0cBmHvxUcRBboXSnCtbao,ChIJ-e0cBmHvxUcRBboXSnCtbao,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","Dr. Schaepmanstraat 54, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MH3+WR Haarlem, Netherlands', 'global_code': '9F469MH3+WR'}",,4.4,524.0,88196825e1fffff
"{'location': {'lat': 52.3791466, 'lng': 4.6476936}, 'viewport': {'northeast': {'lat': 52.3805036802915, 'lng': 4.649111830291502}, 'southwest': {'lat': 52.3778057197085, 'lng': 4.646413869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Zeeman Haarlem Amsterdamstraat,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112476418133006375150"">Bob van Velzen</a>'], 'photo_reference': 'AXQCQNTDQgl6Cfn03m2gFsmW-d2cHdSoiQSBFBNBsBZ113dQJp6PZunkGWSPDKNmb9T9lPD9Mwa3iA3-prDriujdMzAkIRDPDOMU7p7Bjh8T0zQ3JQeV7qFj4jkII_1_j7UBuDs7qNICmA7xUkh8CckUGNYti0qicLsA4VeeFi7vS-lFqkh9Gzua6g77VgvhZ8weC94IUDwXjsXqzYncQ0sC7QF6iECPz4VZ74KIj320x7HhqKV30IiE9Df8tyD8FzeT2XTVPOcX1-s3sLO0tVNvGlJ9MbPlhUYtSvDDv51KfQNIOSKzSOnMXFXihEtD9nfkfcXY-RaMvzO1En1M0Pez8fPk47xG-RLxOQ1NmUYlNiZYNw4hOOVf70TJSKzPLjT1Kowjam4rZpf3nCVrj9aX6MHjpfjnbiKDOV20nbI6zkC0KfVgQCKe8CIifEWBtvgU0jJlIk34iGCVYYsJrWsZyIfGHOK75EzQ_v04AFcJjeJlSpVZu1RRq4WvQq11bvwTDAKxIrvSlnHekY4vIMZKNRd-1-o54cr-94m7LiZQJmjcrZgnbMgK4mnK2ZuxVDHAxAasDnKcDGe7cvBS0gwnOqvaSJEY-XCFT57nPkrlzFN8Ji9hUs4gZ28g81W9qj4jRpmEWhVe', 'width': 3840}]",ChIJxxidq2fvxUcRE5OP-nu5Nas,ChIJxxidq2fvxUcRE5OP-nu5Nas,GOOGLE,"['clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Amsterdamstraat 32, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JHX+M3 Haarlem, Netherlands', 'global_code': '9F469JHX+M3'}",,4.1,55.0,88196825e1fffff
"{'location': {'lat': 52.3767957, 'lng': 4.651376099999999}, 'viewport': {'northeast': {'lat': 52.3780896802915, 'lng': 4.652614330291502}, 'southwest': {'lat': 52.3753917197085, 'lng': 4.649916369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nova Uitvaartverzorging - voorheen Ineke Smit Uitvaartverzorging,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116072054681672749269"">Ineke Smit &amp; Nova Uitvaartverzorging</a>'], 'photo_reference': 'AXQCQNS3wInEWh7UYsbqhhndI-xanCdAIAOrhGzjHeMsmiB35j0I_la-0rIulXj4z6NIqwVO1_VaQr8QjvuN_uQV62Ql3UhR8-lRKrWGg040P2_9Ev1mqDp3j5X9oHcgXF7B_F6lhaCoLukT4SxTWewVUZy11JeafxWNW445B3THlwWqikqi5q1fxm4fKa4tjjepcPuRrpebTisW9kgoDPLazQ1YAGoAefkgt5kBaBbGNn61QCSQnCpbTIWQsYoUTQO5HPkjRbEEOHMdcRmTihXQ67jZvqblg-YtBhbfw7_blnLBBw-mB6WAxqe-96NLuwjIbuLUEmFHgYc', 'width': 2048}]",ChIJB7YDvWfvxUcRnS17teHMFJg,ChIJB7YDvWfvxUcRnS17teHMFJg,GOOGLE,"['funeral_home', 'point_of_interest', 'establishment']","Zomerkade 161, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9MG2+PH Haarlem, Netherlands', 'global_code': '9F469MG2+PH'}",,4.9,108.0,88196825e1fffff
"{'location': {'lat': 52.381137, 'lng': 4.6541131}, 'viewport': {'northeast': {'lat': 52.3824809302915, 'lng': 4.655406630291502}, 'southwest': {'lat': 52.3797829697085, 'lng': 4.652708669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Maatschap Fysiotherapie Trias,"[{'height': 708, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112438887518565704327"">Repetskaya Anna</a>'], 'photo_reference': 'AXQCQNRZV7plDDBLyGPA3wETjrrmyOdmpp7z7gtco7gYNABNYflGLjtfl55VIGBRjVMDNMEOIOvBP0yaUQG87NPa4QVEiLAIG30FkdUKbRkIZV6OJOJjdK1IS3FXViKkaFjcq2VOEwgSTemj24nJlc-BZNX7uaYFZ0OkACTiesh9Lj8qkUJb8vzaQJ44tIn72NYdjZyyXgNCfFYB-QpAgRxPvSrGPTp2NIxka5KvMcUc6Ftl7Kyd8HPN-9Pv2somWWIi7hUt-zxVd4YbI5vU-h10lfKAfnC59TCsBMprBj7NFm3ucaeiGdlCvjA6AUs2Cwv2t2wWoI4g4oF0MOqcJQQu0AVfaLz1gAfoOLeCtivhW1Y5nZgs00znAuDBCRNd90nL2ggS6Og3Vcxxt3_IOVRGHqMf0Cgv9vmileyprhPmPYoI0G0XFCaebGsJlf5T-Cx5TQ039cJRKSLEgxztoJGY51wCk0SElO_oHEIIlnYVIbqAaq0E3wpugbMK_-NzTK_nVqeSSguvcL96oVo2I130Yz6KWbqDom54bfpjvBt8aiZJjCW7mXhcqQn9VUtt3jSiSbzx1bXVMHAGvgPO4Zm3ILJN8w-Ia0LQCgHfFV6yG0KYJZ-_6b9Dzjc3GFDLOEaV_EYw2T7v', 'width': 1169}]",ChIJTyPcZWHvxUcRDlAzU1LIe3g,ChIJTyPcZWHvxUcRDlAzU1LIe3g,GOOGLE,"['health', 'point_of_interest', 'establishment']","Amsterdamsevaart 128 /ZW, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MJ3+FJ Haarlem, Netherlands', 'global_code': '9F469MJ3+FJ'}",,5.0,6.0,88196825e1fffff
"{'location': {'lat': 52.3789923, 'lng': 4.6544817}, 'viewport': {'northeast': {'lat': 52.38033668029151, 'lng': 4.655745980291503}, 'southwest': {'lat': 52.37763871970851, 'lng': 4.653048019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Essential Marine BV,"[{'height': 2916, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106913761642736545707"">Essential Marine BV</a>'], 'photo_reference': 'AXQCQNS1sGzWPRI2iA3J4uffYVdJloT-rA7CYD-Wl5JHjXfrfldYO4ILnmP3qiCfg35f8eUIa4M_6namgvZbi9ulfiad-3M7eCAJKCBsLPyNOOKFYhzY9-SRAkUgo3ObYz_YM9qbmSgvDDdVCrO63ZY1XslZGBG6IYIPfKf2FDjndN5A-s4F7HK-5XS6gSsawMFvrQ_WraFQGR9RasFBlpEhsvzYj3RANjzjBXOx433E1RQZWa_6K5iGCp6d4u5Z4CKvhlkLP5XwALc3XL5CSUJAWdg9EvYNq4p5Ea_HBddRrJ0G-7bCQXqV5WDfUnpfWDoqwakh2fBd6BI', 'width': 5184}]",ChIJZwVhu4flxUcR7GkkJ1nYiao,ChIJZwVhu4flxUcR7GkkJ1nYiao,GOOGLE,"['point_of_interest', 'establishment']","Dr. Schaepmanstraat 39, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MH3+HQ Haarlem, Netherlands', 'global_code': '9F469MH3+HQ'}",,,,88196825e1fffff
