geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNSWw6V-JpSptOJqRztwfqB-dEPt8U1qdfp_TDMgBTdoBPbxLyGm6ndjdnJKj4rpkfC_lyjf4FYOCLJmkv4IEpe2qQVX2m4Uu4in7lu-m8ndaTzXZuK2ge-f5YNYv40revs0YV5g9fDHFIAmswxDSqQZH2BP4iJao3LSQywAY_AFJFhSUt3AZuEHZb2IFPfqeqY89YcNPpof1_MGL5nEwImS7PGi0-7C3LCUbWzeF6PbfcEYyzMGdzNDLdiMD9O3AE-SY_b0ef9RXXnczxoTKgc49TVko2-TFjRN9siLcZxcjMkh4jL_GMZ7bEjhWqWi05b-jjUy0A0w4jMgYrQ2BcsLS0-HeA70yGf0F7G5DcV6SXChF9gjpc871m3d_xV7s9Ld9-xwDDbg3Rvm4Iwfhrivk6CN_Bd2YQgRvSkwNQf07m1ELnyyI_0WrsvEJDNgCrPOYsiOzDG8_f-U6jrGVuTB9AgkU6Ww1rPUMK8fp9RgdHqSZ6ngm2BPS44-VL3Kfe5pa7e7-fv4J9YlYoezqVC4gRaTeBLAVSg_UHTnxv3vVqNI4554hS0JpYTb6En2mZXpb4jyJ2gAfugNpyxrx3MVfQvsQkMK0nd8WQQgf_eUfUbhHEAqbwYeQbEMczsk', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,88196825e5fffff
"{'location': {'lat': 52.3806194, 'lng': 4.637547200000001}, 'viewport': {'northeast': {'lat': 52.3816680802915, 'lng': 4.639656649999999}, 'southwest': {'lat': 52.3789701197085, 'lng': 4.63683005}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ambassador City Centre Hotel,"[{'height': 1996, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109014538054835109834"">Ambassador City Centre Hotel</a>'], 'photo_reference': 'AXQCQNST7HvxYir2gXGK7B-N9IxFZ4LxT5htIlKdGwG1J2_Z7gjFncF5aTdY42yYOtmhFrExa8cfZzou1IV2xjm9wu5rSsZwcTnng6MpM9fEDpi3HaimT9P24M-QV_J_6xEWnFZHbHKB_xZdoKo9P1F6GAReGZ_tbenZfXH4sZYJiZyYpEuTolnAV01N5IzSRcDnA5lN1vCXXk3e8rSa9GBixvQBsDS7gLxeB5uzBHKSrq_A48OPEBhqpTdnKeVyjKQ6mt2F-PXxukGbIqxovvmRaG2MCehw23hchEtldLCkpLj1fIPbggOQKIIAMoMvsJLQfKO1l9P0XYY', 'width': 3000}]",ChIJraCVxGvvxUcR4LGWU8COPoU,ChIJraCVxGvvxUcR4LGWU8COPoU,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Oude Groenmarkt 20, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJQ+62 Haarlem, Netherlands', 'global_code': '9F469JJQ+62'}",3.9,1177.0,,88196825e5fffff
"{'location': {'lat': 52.3796333, 'lng': 4.637711900000001}, 'viewport': {'northeast': {'lat': 52.38089548029151, 'lng': 4.639147080291504}, 'southwest': {'lat': 52.37819751970851, 'lng': 4.636449119708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Haarlem Hotel Suites,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115866812404339491726"">Haarlem Hotel Suites</a>'], 'photo_reference': 'AXQCQNSs7fTpmRPlQoryRnsuC0Y5W-KV5RH6U_I8ag9eyZckIw5rKpMQIFozmjxCks_xwmmUDN_5g-H7oUeg_RVMvXeY28KlOISS5chBcSc1GXuKLuByqpUC8KWYw-ocytxdJvF7Jk5jozP2qRmTF06t5cf1_jyP7gzbgywigOGRvny_YS6K9pPvuPt9Q0N72eCgs-GOwNHh9YbMmMhAbI8UfWq_5BPAVPNDd2WKrsfv8Nb4uKjhGLrAN9O-oQQlD9pOtMBlevM0cCg_1leeDJiy_gnweVuQlE1TmtDVj0G3zYlmDM2vpUdywNRRJg-Qlavz3b84YsRY9fc', 'width': 4032}]",ChIJvR1zN2rvxUcR0oiUkFmpqks,ChIJvR1zN2rvxUcR0oiUkFmpqks,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Korte Veerstraat 3, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JHQ+V3 Haarlem, Netherlands', 'global_code': '9F469JHQ+V3'}",4.6,78.0,,88196825e5fffff
"{'location': {'lat': 52.3815125, 'lng': 4.637154100000001}, 'viewport': {'northeast': {'lat': 52.3828031802915, 'lng': 4.638479130291502}, 'southwest': {'lat': 52.3801052197085, 'lng': 4.635781169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Carillon,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108783307355765078531"">Sandro Maravilha</a>'], 'photo_reference': 'AXQCQNQurpJxJsKbv1aOWSxHiEZZgoWIkLl-jwIrzAcmHYiIV-oKDsBHYUjkp7kvXdkU0LXQ1H5OCnkwKCPuSgdp-fxChDAt51V05s9A3OgfCydxZjtlTUaJsYuLDSQKS5coiJiGxmlcCDT3frDKcxUwORtsS_lkmc7qLHYg5cFeOCPe2dC6D1C46R-RIwTDBIPIyVjt8zRvbpwrHobeBHLEqiCfFK41ZvDPHLr-M9uQ48JCRoQAAXaQLNVvW5tRLm52POjrib2Om4cv182EOhpakw-TL1NSn5VexJYlVOuZE7XicpRRu3XGSJuiJFtoYHrHZwGEcv6aHlUwmInBfVnrf61UAJLy5KEW4RslrcTIYVU7T77_1DemcSLaysAnSk3yn07pqLJWvdCHSQWaAOyLh7zO3wx438vu7qdMY1jP_fTHvGn3N0OIi8ZbVkDHzLWKfgLVPwyK1S31UqgtRkglibOEKXy6tTwfGhpUyQ2dctvEz2KGaMGIoXW7bAs1SQvH1ZbMmBUBXrIkq88CEshL79qO1NxBkcVCwGLttCZyq3MivoRC5fIQhlRH7cCrN2i869EHgLLJMTw899M7LtIS9CsHwBlN3QtcPW31VD72ubE871PviT2Qo3F_4UtLOXHwI90kIA', 'width': 5312}]",ChIJVxPy7GvvxUcRvWSdRpomIgE,ChIJVxPy7GvvxUcRvWSdRpomIgE,GOOGLE,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Grote Markt 27, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJP+JV Haarlem, Netherlands', 'global_code': '9F469JJP+JV'}",2.9,495.0,,88196825e5fffff
"{'location': {'lat': 52.3804741, 'lng': 4.638598900000001}, 'viewport': {'northeast': {'lat': 52.3817519802915, 'lng': 4.640334480291504}, 'southwest': {'lat': 52.3790540197085, 'lng': 4.637636519708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Hotel Frans Hals,"[{'height': 1650, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111068382508838514692"">Grand Hotel Frans Hals</a>'], 'photo_reference': 'AXQCQNQe0gCxtLAc6fNfm98qhibEAgR0iVLcawtv8BQClsmEpBJb-mA__INIZj5XXMEqVKygp5S6zqPVai81F5Y7VAUAPQw3AIidV0ITEue1L0tiuv3gZ9maLFtAJpbOuFnFhev0FUAf6R-4WnZG-WwWA6TMkqbWCCvMHwvFleU924ORgOHKLR3OXgMFUyUsei6fI8h9ILXjbHDaep-FqPhpv-xsR-YsNscqHvhIz31_YAoCCGnmpu4cfnsykTaT2CJBmLQNpTwoLqQSd0qowlynxQT-zYgzRlRGSmH1ZbCo9MfbDDtLws3Wsog85HV2vd6R4BdJqXip91s', 'width': 2480}]",ChIJR1kJY2nvxUcRkNCTf9OvopY,ChIJR1kJY2nvxUcRkNCTf9OvopY,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Damstraat 10, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJQ+5C Haarlem, Netherlands', 'global_code': '9F469JJQ+5C'}",4.3,656.0,,88196825e5fffff
"{'location': {'lat': 52.3811764, 'lng': 4.635329400000001}, 'viewport': {'northeast': {'lat': 52.3826760302915, 'lng': 4.637527199999999}, 'southwest': {'lat': 52.3799780697085, 'lng': 4.6345968}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amadeus Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107996276561283322841"">Ron vd Berg</a>'], 'photo_reference': 'AXQCQNQjePhBwyjEEL8TIJrUPk4q3uvf-mBf8vCLz8GXlifdnysNhLoGD46xBHxxboqRxFe-1_zhb-SSd4vPDWBtDXZ8hfuRAOqj2y2TQ5oYSUJKuxaXxw6fFrEK37Oa9t5SSdix1Dl0AGn0x6xh2PIN2dWDoTIXr9pmhWvDQAXGydFp9sE1of1JcwK2gtY3DXO7JQSipkV_sIHl34ReSpvpqP8kguyJY8V736zlnciarwh9I7bUvrwsaZK2_PLYNWsJCfCOzCpHr0nUPRFa4S4nh4BnyTHpY23Po58v8OKHvwDx9ngHwKalWv81GkLEg0DYVgaNIWWQ7N2cI8iapMdMzOk2JBzYSz4oYEHLOn620X6yDTnrgZdjGUlO48SMNMJNQKv2xYjbOuNzPowBTLsU9wYPLooRO6R5FMHZXFJfE2YOAvT_jNe3JLsedASf7X9FqJINsu9so4lVXWD4yScAvs6_H5v10t9jqlybBAXTt7aPdOCdisbgV9rlJan1M_ya8Uda0m7LZg8aG8-QU6H6-f6inWIDWC4fYkln7XPWip5SnDxjpnOVnYnOi6NeYPKFdv9fLokVlGbVrgNSFSWdPKmkcae8vAv19AvyQUfbILz3bhrUtQ-GHjKW7rJzCHfHY60vrVQn', 'width': 3456}]",ChIJg-btn2vvxUcRhDDya8EMU_M,ChIJg-btn2vvxUcRhDDya8EMU_M,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Grote Markt 10, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJP+F4 Haarlem, Netherlands', 'global_code': '9F469JJP+F4'}",4.0,221.0,,88196825e5fffff
"{'location': {'lat': 52.3813627, 'lng': 4.6382862}, 'viewport': {'northeast': {'lat': 52.38272523029149, 'lng': 4.639284180291503}, 'southwest': {'lat': 52.3800272697085, 'lng': 4.636586219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,City Attic Haarlem | B&B,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115289965853245861200"">City Attic Haarlem | B&amp;B</a>'], 'photo_reference': 'AXQCQNTesQNR8lB73UIavONcxixoeVIFN7P7Ib6f3Vh1fwsMRfQPDEUPYpqV5Np-OwSjCR4oSV2cGPRmyflpWa0fFCEF0n5cBHFgK3V7oE9h9Cc--kQrQJQyYB84lskECpJFBFOtcapM0qPDWjjfAO-6Gg2TwEUHM-OClhUsNepGxnO--z3N78ZSe1y0aVmd-xmPTdJKmGwK-JH07k7CQ3mar4k0M4qTPf3t831zWhM2muHk2BbNOjFMzFaZr0cdONZPGUdWAiobJ8tqOP3sAlwxnRiQ3mC41pW5YrGegCb2vsKGgktQpwlpgj_kOYhChmNfs9cZ3G9Hm38', 'width': 1200}]",ChIJ3xxg4WvvxUcRu62LG54Syd4,ChIJ3xxg4WvvxUcRu62LG54Syd4,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Klokhuisplein 8, Haarlem",OPERATIONAL,,"{'compound_code': '9JJQ+G8 Haarlem, Netherlands', 'global_code': '9F469JJQ+G8'}",5.0,10.0,,88196825e5fffff
"{'location': {'lat': 52.3817822, 'lng': 4.637563600000001}, 'viewport': {'northeast': {'lat': 52.3831179302915, 'lng': 4.638972280291503}, 'southwest': {'lat': 52.3804199697085, 'lng': 4.636274319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Donatella,"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116096538160166727969"">Vinayak Rajesekhar</a>'], 'photo_reference': 'AXQCQNRDvPx5uxy3d1PeGyn3NstaBj-C-qAZ6lTrTgUvRiVxJwNu-MyxhjNZy96LoRyXzT7e5V9AwUeKbCjAUa5ZtyhncMYO9mNa5ZomvlvK74G4TqTTm-REFCEDRjDsXt-8Qmn9jwrYvOrBOrvnQAc2a0RTGjniL-GrLN0FgWXX5AdxslEhkG5c-7sC6VXPEh8kXPVJxtKn6olLQKcgWKSuEMIBIPeb7P-90Umi_Xis-1Ekn2Orxh7AjVhmjsZVlCFEXjnHgTf4RlkbH-JbODrIp66isx6Dm9kOwKWfTukrvbrx-BprqYza0OlhWoq5IcfNgTfoLuMy52G6T3d0Hf8m0jyHzepp9D4pHPS-1BNC5zk-ZdDRAJIS9C10ZFIuhH-5Y8LG92X4A4RPu627mEj26rfSGU9wkicS_cJbWC4pNpTwdPP3MXrLmefJPNyj_LKXIr0iOhOsmkBzTSa2it34dv2daSTJofN8rrZAOPWqlc8OBX-3ifJ91ye9_aWtuFJNxpIjvRDnX0WH-tIZFk7tWNW_zwz2paxRx29c3q2g_kccxsKXRlW9RMjmLoQYMoZVnDgkbSugtsH9Z8hHtnb2JBZpW-7wOb1s4mWKGafqjAF_2CdTqGsWBjn32OtRLOtVl35YKw', 'width': 2592}]",ChIJGVe18WvvxUcRLa4JQzZQKog,ChIJGVe18WvvxUcRLa4JQzZQKog,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Jansstraat 70, Haarlem",OPERATIONAL,,"{'compound_code': '9JJQ+P2 Haarlem, Netherlands', 'global_code': '9F469JJQ+P2'}",3.5,11.0,,88196825e5fffff
"{'location': {'lat': 52.37975429999999, 'lng': 4.637260400000001}, 'viewport': {'northeast': {'lat': 52.3809650802915, 'lng': 4.638957780291502}, 'southwest': {'lat': 52.3782671197085, 'lng': 4.636259819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Joops City Centre Hotel,"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103256329585144334155"">Joops City Centre Hotel</a>'], 'photo_reference': 'AXQCQNTx0RjDzOQsW3Vt9l6J3jeA1SD6O3yx9DBNVnjz65iyuUiegw26oEUljiqn9JsSSQ13oge7eBJISrx46DuYuU3h-gvNv70ZRU8U2y0q7O4oxIbZLwHJu0YdTH3dDaUtGMTNntRJPnJd5TyZZg10jKtUy1aernF0AdiWw6Dmx9Pz0YsL4U3TJbnX9X4wEqAbkW4v5B8TI4MnKBpUTobtpS4loEqYaY6qS-kBLToMUoAwpaQde_-cS7DT-Aa6sjc3cN8BnhWDSOdYKQLGez-N-6V25WTC4il6DxasoC5pQTZ6sVqqo0GNCpQdal1w814ia8v059xH-MA', 'width': 2000}]",ChIJAfMuzWvvxUcRBzqJKCYB924,ChIJAfMuzWvvxUcRBzqJKCYB924,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Lange Veerstraat 36, Haarlem",OPERATIONAL,,"{'compound_code': '9JHP+WW Haarlem, Netherlands', 'global_code': '9F469JHP+WW'}",3.3,239.0,,88196825e5fffff
"{'location': {'lat': 52.3798955, 'lng': 4.6435721}, 'viewport': {'northeast': {'lat': 52.3812750302915, 'lng': 4.644909080291503}, 'southwest': {'lat': 52.3785770697085, 'lng': 4.642211119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hello I'm Local,"[{'height': 5763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108953057454778785407"">Hello I&#39;m Local</a>'], 'photo_reference': 'AXQCQNRHKyM_Ht8aposj7vSkezuMdnWfda3bpdhXcfhqS3o0AsxrN8LaLfELH7KFtcssfjQW2-azD7PjiezLK6pEWQprM3P55Q40RLIyWH1a9R36a_3k7SZ3tm7RE6n5zitmcqRWX3e0s8W74Kzvj_WDlpFyayUpBmIopy9XWtIom4gf87Vsq4KcGufkZrOC5Yj1YhbjGsV8dfFLZAHZMOwcBEOZYkZRZHfEkqIxyGBvJcKtlKesyB5T6GnbSaHSA-FEMTCjivN8Kt0zZ2tI7FRp0wxzxUZYyxgge6Cc8rH9uf9ElAZkELl8ckWVIJeCBifPm95Hf0hG-OU', 'width': 3834}]",ChIJZXsltnfvxUcRbveOJ2yxB9E,ChIJZXsltnfvxUcRbveOJ2yxB9E,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Spaarnwouderstraat 74, Haarlem",OPERATIONAL,,"{'compound_code': '9JHV+XC Haarlem, Netherlands', 'global_code': '9F469JHV+XC'}",4.6,539.0,,88196825e5fffff
