geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNT_ZeK7VKvtvLOp4IUe2xFLALLXyA7v6ziAjL2thKfQwBpBrsR4UHs4xYwTgaHbGG6lUio2CWSDUjoCKpUXKuvmezP5ZxxIo2qMb8RnLUqBgJas-VxbSVISNu5DIRn9Q4Ru3NtI5OD4f_9l7mATBTjHBQ61p5kVEyeI23X26CXZJc487xWa-6aj2EbmZB8ue_T1ZmObU7Qam5LQh_iXYzRd3ogxM_T0sDniOZ9u9gl2m1jgJ_SSL4S1vCW5xYQDWe-3_WAciHhUvTjF5K4nC2QqcrurdHe9jwaQSwVSVdlC0deWnEPt1DRniczxnESBfSJVogtzPu-zRTA71uiIWrHMC4Pwz2pgGlBtsRBJFEThshtQWfTHoUjh8rKUW5BCP58LpI8NLWaprAcjoeFnk088VBrYNYc-MNubcYPE3jPUXJcZqYPd3KVfUjwDoWL4vbNnaBq88pallcqd3XGOz6FohgQCrT99-OhdjmfKiAErj_VYa9re9_Yl3SyLnuxlg9x2IUHXx9FRdm4GiWmpNUi3e9ug_N1wY_uh0b3eaMPZiChBrqYZiAnhO2QXh1IUgtVz85X46-p7W_qg0RVYrbPAXpoI0x97I2oRzxrLeeDklNHtkFtmnMYHebGk83Wh', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825e7fffff
"{'location': {'lat': 52.3687455, 'lng': 4.6478707}, 'viewport': {'northeast': {'lat': 52.37040898029149, 'lng': 4.648786880291503}, 'southwest': {'lat': 52.3677110197085, 'lng': 4.646088919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Van der Valk Hotel Haarlem,"[{'height': 3153, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112232825679318573763"">Van der Valk Hotel Haarlem</a>'], 'photo_reference': 'AXQCQNRkqQrDgD3qTMFMChshqOlLtHFs-PXV61VGBPFGCfC-Kdy7yEuKBDCcpj-C2ORMyYUkN5WgMJD5Acq9ibn9H4KKsAt528IK8GYO4xKoXs70ApqpgzqGDlYoW_ZUSJYLZChz3gfNz7U3X1J22pNRbWGGiImVTrK8ezL-ASf8dBmPDKijhkHMnmpncGva1m8G0ycR8h_srcUIrfOJ3QZHJXIe0o7123rx10ye3q8cdPRtvCcfVmIz40ZPZrSW9cA0jA2GM8viL9cwHR-1XeHm4eZMCE0wKLCLSXxAcLBCGJkuCjQLhuL0r1x_OC57sWKHQ1IpTpfpyMg', 'width': 4724}]",ChIJxSi0NVrvxUcRkMXFInNHTeI,ChIJxSi0NVrvxUcRkMXFInNHTeI,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Toekanweg 2, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9J9X+F4 Haarlem, Netherlands', 'global_code': '9F469J9X+F4'}",4.3,4183.0,88196825e7fffff
"{'location': {'lat': 52.3724284, 'lng': 4.6382315}, 'viewport': {'northeast': {'lat': 52.3737407302915, 'lng': 4.639573030291501}, 'southwest': {'lat': 52.3710427697085, 'lng': 4.636875069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Dasia Cycling,"[{'height': 5504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112236861577494393489"">Dasia Wielersport</a>'], 'photo_reference': 'AXQCQNTKRIeNpGtGucac3vuCQKioGzH4dvqTkfNRlHjJq9EAb-cxBhjTlKDdS-pNjmEfjUbr7vUnC-_tztxKAS6tQVgiID3VK-myS8LrWcxdKQX2zH0wbOiIWugxcyhVqiXlR8mAXDBwlG6Jqih1HZejBYLuJHhIDcvp1koaJVnm7ZiLdayJboVEgwWAhEAFa2vrmQJ8TTVmD_YbwbrjpoAjAkv_2o5QBJlIz40GTSGT_GfYmA5Bstv67BRBPjZK086n2uBn4QOXh-sTp4c-j-28_-RhtCSPc50WMzW0xZH7AfhFqjngVzvyGfCKiwOO5m5s1G9qgCX1Bz8', 'width': 8256}]",ChIJKzXdzULvxUcR0pnwddn5sjI,ChIJKzXdzULvxUcR0pnwddn5sjI,GOOGLE,"['bicycle_store', 'store', 'point_of_interest', 'establishment']","Rustenburgerlaan 73, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JCQ+X7 Haarlem, Netherlands', 'global_code': '9F469JCQ+X7'}",4.5,87.0,88196825e7fffff
"{'location': {'lat': 52.37446019999999, 'lng': 4.644651200000001}, 'viewport': {'northeast': {'lat': 52.37581563029151, 'lng': 4.645934480291503}, 'southwest': {'lat': 52.37311766970851, 'lng': 4.643236519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Hero Kindercentrum Hannie Schaft,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110820396158347335444"">san hug</a>'], 'photo_reference': 'AXQCQNRjk-on4DDwz4WjC98N-l0cKvYaT7NOKzmKsC6xsBhNDReExQPlbFkRpX3yd7nIQEgdPJgaeSvvaBw8QMvF_OYjolR4WjCOH1fvDqxucaLK2yjAzWkS2UkZsWdB_pRcN9Xdj3-TkzcvL2u9E7S-1XQ2QhNS9ChFeGRbSr9Y1sjDoYQo9TDfAbvkl_T5WFtvT-G301CNR9pglof5px1v1NM94qltdPAatDdvDUutvi_gWAZZ3Ls8iAWHI0VkG8nS4jENPy3hbIpVRplb_YwNUN07lsIakY8aH7Tsbu8OWZgAcVSWSQeA0XAPGkb-ry9BW398j3rRL6uVfInWDpvFy6dU1AdCIHS57ksXvjPjb955u2yEJ1awb0ogAfuFgx_mtzNVRu2lPpzERli8yJbVjxTVETWZdR7S0_ojiUqg3DcpP8nInnYQS30McIi5dK2a7m9JoO0OPZgKF8dB7R-gCmgfdOHpHKSgD5uwA0rRkBko0xq91y87mB4lc8QEeIbkrPSROTMwFojjCDKdUpYCd_8rqxgG6kCmiSEr04_tBzmTjGddlsHghQT3KkH95xmG7WFgcTiTvObH-wRL1ktujlalxADuoe4oKZkBsRA4Noa2YzM92apImt-rEyTJqYSW', 'width': 319}]",ChIJo7sIL13vxUcRKQUFuTyU4go,ChIJo7sIL13vxUcRKQUFuTyU4go,GOOGLE,"['point_of_interest', 'establishment']","Friezenstraat 1, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JFV+QV Haarlem, Netherlands', 'global_code': '9F469JFV+QV'}",4.6,10.0,88196825e7fffff
"{'location': {'lat': 52.3742945, 'lng': 4.6437037}, 'viewport': {'northeast': {'lat': 52.3756413802915, 'lng': 4.644958930291502}, 'southwest': {'lat': 52.3729434197085, 'lng': 4.642260969708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Herenkapsalon Goossens,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103681619388660686428"">Herenkapsalon Goossens</a>'], 'photo_reference': 'AXQCQNSRxQ3TUUMZZjwNiw09ofTvyYTfu4eCCdN0a7LAJXH4wRjDcJJI12SV2L7MJ26ndRtBGjdZOqRTcfxxXmRdNtwTuDtg23vribTwRWRhTh9F3ntKyHgKDnvJciFTdexgd9hcPHybWz93rICDoKXyBJV2OsQD39mHLF0Kl1KJhzpazYiu1JB9eDf2szRc147Gby46EzsfERRLFGKwd3gsXoIG4nfkKdRZ1P7doYxHcNHVtPmxPCn-8-J2T6K_oJoe0c9I1YmX1mLuZgh4Wpfrrien6AcQR_Id-6JFWOkbdHn8rmsQBddpG9oPcmYH4VX7iUHJDmGVqj8', 'width': 4608}]",ChIJYWHJ1ULvxUcR7GCfZUt1B_Y,ChIJYWHJ1ULvxUcR7GCfZUt1B_Y,GOOGLE,"['hair_care', 'point_of_interest', 'establishment']","Schalkwijkerstraat 47, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JFV+PF Haarlem, Netherlands', 'global_code': '9F469JFV+PF'}",4.7,47.0,88196825e7fffff
"{'location': {'lat': 52.375096, 'lng': 4.645059}, 'viewport': {'northeast': {'lat': 52.3765017302915, 'lng': 4.646402780291502}, 'southwest': {'lat': 52.37380376970851, 'lng': 4.643704819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Paramedisch Kollektief Fysiotherapie,"[{'height': 280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101068742408526857646"">Paramedisch Kollektief Fysiotherapie</a>'], 'photo_reference': 'AXQCQNSAszDqXQbtExyVLZoJHNYpcSmzyJ79eDhXm96MPeMJY5ZvTVm4E_ixRbBcb7wPBn9pwAx5-YoOx3fllgbpVr4RXtjINcauRl4u8k5EwMnb5VTRRkZYpyh2WhvgG6d9UIKnGkkNg2wbB9aS9s-SFASD77iMXKhg0uUfxLlZ9PJ7OCzsAPGmKQPww0e9aqbf5VyjzNtcCvxSF3PvcIPClZ4p00nCI_6GC3l-0Ha39PPHyhLNValSLxwbq1uQM8h5bKHQdaYQTlP2X68cbF_ZmksXm01C3uidvk5xMBtzFwyCGVPRReBwgyc7Bec2GqkdHEsoaio5', 'width': 800}]",ChIJIbb4OV3vxUcRNYAYZnkpto4,ChIJIbb4OV3vxUcRNYAYZnkpto4,GOOGLE,"['physiotherapist', 'health', 'point_of_interest', 'establishment']","Byzantiumstraat 24, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JGW+22 Haarlem, Netherlands', 'global_code': '9F469JGW+22'}",,,88196825e7fffff
"{'location': {'lat': 52.3713235, 'lng': 4.644035699999999}, 'viewport': {'northeast': {'lat': 52.37261918029149, 'lng': 4.645359580291502}, 'southwest': {'lat': 52.3699212197085, 'lng': 4.642661619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Ben Humpig Gitaarlessen,,ChIJLVRnVlvvxUcR7uoP9E8a-8M,ChIJLVRnVlvvxUcR7uoP9E8a-8M,GOOGLE,"['school', 'point_of_interest', 'establishment']","Gouwstraat 43, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JCV+GJ Haarlem, Netherlands', 'global_code': '9F469JCV+GJ'}",5.0,2.0,88196825e7fffff
"{'location': {'lat': 52.373526, 'lng': 4.644252899999999}, 'viewport': {'northeast': {'lat': 52.37493593029149, 'lng': 4.645581930291502}, 'southwest': {'lat': 52.37223796970849, 'lng': 4.642883969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Health & Pure,,ChIJrcEQ0lzvxUcR1E0gQjRQ3SM,ChIJrcEQ0lzvxUcR1E0gQjRQ3SM,GOOGLE,"['beauty_salon', 'point_of_interest', 'establishment']","Slachthuisstraat 12, Haarlem",OPERATIONAL,,"{'compound_code': '9JFV+CP Haarlem, Netherlands', 'global_code': '9F469JFV+CP'}",4.9,17.0,88196825e7fffff
"{'location': {'lat': 52.37450339999999, 'lng': 4.642362299999998}, 'viewport': {'northeast': {'lat': 52.37583443029149, 'lng': 4.643769630291501}, 'southwest': {'lat': 52.3731364697085, 'lng': 4.641071669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vitaal Bewustzijn,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110327838691119583881"">CS_Do</a>'], 'photo_reference': 'AXQCQNQknw1unxs189QpS6G7e8xFI_dO9yj5FOF7m6AolQfs3P2imbsJuhj69yqgl0ceXjuwfSohLa5TsxhidoNGasiSzJjYXepzMUlHNiGatuo9fkiX3_-8a2i7fhsLes1ELrYNPEIzCVXit-JiM1I7g7IFcKBqkxxYNAP-UP2Lq3wMzlu_NVE0eXoxqOa9QY5EZPITV5Eey2s3M0MCgCo1uimEb446-zVDnTI9h2k1DxnHUB0E2jBL35eqILNRlm0vIoAI1erYTzTI6_U6t_QXABWX-QwJsyZsRKT-lJs3h2EJteQO5zybEYswFm9RmvqN3oMOd4p6DcVQB5qql21Ju3fP5UK31dqNkC1Tp_E2jT2iLnCJRPixyWu_MRsAb7qjrt1ds_IML2R0_CmH4xZpKDc_8af2j8Zdmcz_u9ShuVx82DIkd0uP_hMVphZjrzOwjA8uCD6pSyi3NyR0-rBZFJ9KK1O6fNqcf0bBG8CWT9FK0_uDPyhRiB0rH05H2tZBsWU8wOL97jgqTuZ-XDZL1jxL6RuVc-_B4BWqOngBNHoDf8u38lRD1evql_M0q8WUaT8TcHxl1GmiX26LE2Nklm855A_E-beKB-KdcHCHSdzdctX__jwMgQ9DMA-Xb1HPgixENaEK', 'width': 3024}]",ChIJV_av4ELvxUcRfxOEP7ukKys,ChIJV_av4ELvxUcRfxOEP7ukKys,GOOGLE,"['point_of_interest', 'establishment']","Zuider Buiten Spaarne 76B, Haarlem",OPERATIONAL,,"{'compound_code': '9JFR+RW Haarlem, Netherlands', 'global_code': '9F469JFR+RW'}",,,88196825e7fffff
"{'location': {'lat': 52.37187850000001, 'lng': 4.6436887}, 'viewport': {'northeast': {'lat': 52.37321053029149, 'lng': 4.645082730291501}, 'southwest': {'lat': 52.3705125697085, 'lng': 4.642384769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JP Bouw Haarlem,"[{'height': 763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100440629705683502781"">JP Bouw Haarlem</a>'], 'photo_reference': 'AXQCQNSEZfQ2EsC130rM3jC-QuwLjji-VDukoSwRAQw5g8NuqNuLyI6jkMZKLX9sLdrouZ7lLj3f8kIYl23mg5081XqmJsXxyuK4NDNAnNIlp2klR9eXhgkiAcvWQmRUTGSWBNAjSYschu79CsIyNXPuZGMP0V-UCc6e7CMrQHvixJrq9XF5hSBy7IJ4so6RcdjxzJLFrBt0rxRXvj9k5YEQK_q6P9Cn1xmSK3WQJnKOmUXdEXC6Qv9Ew0eMstx9qnBIxDP9gmUkSkhvY0g4VcN_hbwp7lPbZYk5uI1wJ3NCCgvc72hQPeuHxESYYpkESywI0MwVL_O-', 'width': 1920}]",ChIJx1fSPhbvxUcRGh1SnBoK4Es,ChIJx1fSPhbvxUcRGh1SnBoK4Es,GOOGLE,"['point_of_interest', 'establishment']","Graafschapstraat 26, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JCV+QF Haarlem, Netherlands', 'global_code': '9F469JCV+QF'}",4.3,6.0,88196825e7fffff
