geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,plus_code,rating,user_ratings_total,opening_hours,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRs2Ub63zd-3y5Z0CaDcgjcGipfZM29mJTTOn27vXAe14hj8qAkfarNXfj-TqLuOiFV_bcIYXA8O6K0zdtTp7HntNt9Zcub7sLye-Z3zHlPUWaoXOCL2h9lS0ogtXf14p43pzwSHrWHdbmhoucM3aJvCISuOtlUYdJnUSoabQOOndc8O415vLGdzu6i1mps6maenM-l4mfixSYYuhZGG62lmpS1hNjBjBEqd-TcyzuaddTnUC1BEZrbvd06iJCW3PVaCq4amdS3pEWHhFsQOB1YSegcwYnoFFmEwmKP7-CIWavJ1hz1WXthebNSdObECk6dNLDzUYY2QeK0jpGPGbmp5w8GLyRa5JKApA2ZJtCCAvKLyECvuXrWhj8IwfrvseY8MxHS5ibj-wFmUDpUSjtf5M-aScHj7N2j6p0E6G7sK4pNY3aFTrNH5Hox4tnksIAzr0TPS5foA07mXoFK5kfvtkNgVmJVtIaFLsb8cRzDxZKJMB3bnzLpQ0UKu5jvvsXynpZ9rRTp6ssySZ5bfXdBN5EvP9lV354j6MBYGygKyxTHk_jBdwekkvEdtSFYk--pBtLWqPkIqwyW4v9T4XJ5NQ0sICuRCWxQqeEPxptsyZVlkVWGj3eAlOSh0p2A', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825e9fffff
"{'location': {'lat': 52.3850266, 'lng': 4.6660694}, 'viewport': {'northeast': {'lat': 52.3864171802915, 'lng': 4.667604780291501}, 'southwest': {'lat': 52.3837192197085, 'lng': 4.664906819708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,IDEMIA The Netherlands BV.,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117137033036038685497"">IDEMIA The Netherlands BV.</a>'], 'photo_reference': 'AXQCQNRY3Db4ExicnFQoVXhDwfpY_SrXPxKKhr2Y0mWzZCniVK_8Z9DQQ3k9EFsKleJKqkQL60n-J1QZNX4rABAPR_8d9p55g4wxa1T4qf2IYKD9BzlfXELXHtZZpHG4zy6_q2TLqn6L-OZKtsXG6vySjSG-uPF5cI92dgHJvQ2LoGvHQgYBHnmvz-T3NESgnju1-c8JHZ9eIMTtK9x2aONtLPk-DPkhlJRK2omlem4Dk0OIWjWJccq2rQLm_LatWf4Iczrf3AlIXT143o3pknSvyoaOciY2Z2yig6hQVokRLUrTT7AaOo2K66ImIQqSQGLlsEqGX6RAcLU', 'width': 4032}]",ChIJi9S2Lo_lxUcRdu4BjweU0To,ChIJi9S2Lo_lxUcRdu4BjweU0To,GOOGLE,"['point_of_interest', 'establishment']","Oudeweg 32, Postbus 5300, Haarlem",OPERATIONAL,"{'compound_code': '9MP8+2C Haarlem, Netherlands', 'global_code': '9F469MP8+2C'}",4.4,33.0,,88196825e9fffff
"{'location': {'lat': 52.3846122, 'lng': 4.668877800000001}, 'viewport': {'northeast': {'lat': 52.3862634802915, 'lng': 4.670025030291503}, 'southwest': {'lat': 52.3835655197085, 'lng': 4.667327069708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,IKEA,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110572417073378693536"">IKEA Haarlem</a>'], 'photo_reference': 'AXQCQNR7QeRu79SNlAecTcKF_jzW3L4ZN9raSObW0tTYWhCuxY2902fUkC6zCPTTPwSVKQYe9pghS_rOTlV2ThwZgme8t-tR6_6V8KNoB2-7AibMssia4HNjdTnPig9yuG5tv74L0X9UEBS9dWVWRL_zmvMQxB8WMfau89uDCjaVA0PI6zBXOPsw9hYyCmg1cPPBiPZvOSTRzxuzRikLo2IRo8MRUXRA5zQAlVpu3E9YAiWB2vg4TseztCSz4VvtrjayvPKoB6UV-3MnCXUcogiwIp8QFcYxjKtgHTyDiks-18rHQt7u9GYNHBNen2dqppkl_hgvMmMYCv0', 'width': 2048}]",ChIJpVsnyI_lxUcRWdvPkpX-FSU,ChIJpVsnyI_lxUcRWdvPkpX-FSU,GOOGLE,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Laan van Decima 1, Haarlem",OPERATIONAL,"{'compound_code': '9MM9+RH Haarlem, Netherlands', 'global_code': '9F469MM9+RH'}",4.2,15827.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.38084819999999, 'lng': 4.661589099999999}, 'viewport': {'northeast': {'lat': 52.38217198029149, 'lng': 4.6630599302915}, 'southwest': {'lat': 52.37947401970849, 'lng': 4.660361969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Auditorium (Holland2Stay),"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111299090967355006241"">The Auditorium (Holland2Stay)</a>'], 'photo_reference': 'AXQCQNSxjsuxcJzzq2Koj11vjn5C3j4Tjy65aFb2YFsid9FA_8ojdvp7ZJn7BQBjA7b2jJdbsL0jRC3XCzY6ITUL4cDbboTakUaQZmOsUTj5iDjO9wLFU0NSCETZk4ppUSJzBOCtF574bgfJbvnTFQ5DLjN5hXQcwp6nR9tKVUBXeBScY6-vxyVEzKir43aS6mKa6tNKZNdB22eumBAY-kEDe7YZNrwwl84RsMrfT1a7kRLeQ64TAfTIznrjSrhaQm0Wo5n8F-5wW5uao1rtUY4fVNIWzc-o5Cth8KSsLQDKNOBD9DmnqrBLu3Qx6DSL1uvnM4SQ0eobNBU', 'width': 1500}]",ChIJj9kEGynlxUcRkMKSP4Urmdo,ChIJj9kEGynlxUcRkMKSP4Urmdo,GOOGLE,"['point_of_interest', 'establishment']","Nico Andriessenstraat 43A 01, Haarlem",OPERATIONAL,"{'compound_code': '9MJ6+8J Haarlem, Netherlands', 'global_code': '9F469MJ6+8J'}",3.3,8.0,{'open_now': True},88196825e9fffff
"{'location': {'lat': 52.3843183, 'lng': 4.659280100000001}, 'viewport': {'northeast': {'lat': 52.38572028029149, 'lng': 4.660596130291502}, 'southwest': {'lat': 52.38302231970849, 'lng': 4.657898169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Pro Industry,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114813876349168140626"">Pro Industry - Haarlem</a>'], 'photo_reference': 'AXQCQNS74nyiDdW6cnbWOV41MyAnJJdJ4Lv7MvwcoM9Ewu6sdU4MpC6Q3vp6_RAhidq3vevQmuleNknhaPG42g54gxhGIftG4BluSYSp49E660DYkonwWUdMXln65WbYzN5Agnk7COrwexeb_iH7SRHie9PE_-Ab2dcM-oQ65_KewAwUUVFH1kU_opqIpNIDMYwetejONiFOtdNnTdQ8HjMsDreagjiHCh9PAfswoP6-mEI1pPadG4tIPg5lXGHTo21FT_QBZjC5nbeF5BKqQ1AKCykYZBd0jEty023Auc7CO4nGEsIwTQg9wd2hegHdrZbRIjSZXgvxVck', 'width': 4032}]",ChIJE29I023vxUcRZ24KV1CJ-Sw,ChIJE29I023vxUcRZ24KV1CJ-Sw,GOOGLE,"['point_of_interest', 'establishment']","Jan van Krimpenweg 7C, Haarlem",OPERATIONAL,"{'compound_code': '9MM5+PP Haarlem, Netherlands', 'global_code': '9F469MM5+PP'}",4.3,31.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.385251, 'lng': 4.659343000000001}, 'viewport': {'northeast': {'lat': 52.38656243029151, 'lng': 4.660647580291502}, 'southwest': {'lat': 52.38386446970851, 'lng': 4.657949619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Laminate Outlet Haarlem,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106980478971597903174"">De Vloerenzaak (LaminaatOutlet)</a>'], 'photo_reference': 'AXQCQNRFKEdHfCD2U5ceARedq-l9gEPie78VCbhqvafN2JqWRWJrixSHE16cY2kog5-naC2B9YyeNtiTLN4PTQaJmcci6jJOXx7QNXRbd3MjT2ADfsNGM0xOk0rpzoST9XPVHvkL21gzzhTYPNB38FNdzP2BjbsjRmaPcqWbfUlXQKDBT6MFib_b-XhyOMot9qn6pH6r2EBreqQ32L6GGPqKinqeI4roqE2Yi5HhQeQbIDlWdY_SdsIh-2e4EZVALWgbFXN7G8QvhgTZFkbF31u3AUcxPbOgA79Tvs1FXgUJb4UroWORINV-6kpPNTgfs722d-QbYbLsZY8', 'width': 4032}]",ChIJmWRNJ4jlxUcRlfAXdlxqKxU,ChIJmWRNJ4jlxUcRlfAXdlxqKxU,GOOGLE,"['home_goods_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']","Oudeweg 105, Haarlem",OPERATIONAL,"{'compound_code': '9MP5+4P Haarlem, Netherlands', 'global_code': '9F469MP5+4P'}",4.5,189.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.3873504, 'lng': 4.6641527}, 'viewport': {'northeast': {'lat': 52.3886172802915, 'lng': 4.665352530291504}, 'southwest': {'lat': 52.3859193197085, 'lng': 4.662654569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,H. van den Boogaard B.V.,"[{'height': 2204, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104254694419308503315"">Hans Hans</a>'], 'photo_reference': 'AXQCQNRJBvUcQqZhgnAgfMVYW3V-UZfJ8sSNJDpumDjj_u52BKXL8qxeaSeFw94ltuPq3y8gjiJurD69DVi04Y2jj_dTweArj-f9DdhzlJg9L0DSOp6NI-VKlF74JkhvRfkoYL6BVhbfNns3f0-QgbjDBT2DZzpGXUa6SR_kwtqmovNMemwHpuhpsZT9BzWTabh6iK8s5kPbks5A1yoSwgn-oVXxkXYJgNThY8CMyB_chuip_tRWKKdfotvszKtAtednlcPxyC3A-NZaVZXoOlw-fSRYaircE00x1KxB1S4iTBPUM_uf4CCKHxCw5OlmXMYhq7FaX1-zmgrRtJ9Ew0ADBZwr9MOp037Rn0ZzGZkKY8dnAfg5UgIlxPRUvjjy03Twd3_coGzvvOLvZSQlr5qsYZ4NNahBQx1G3rF1D-7r5euYGq4vLyTJy1qVFEy5gAvCyvAjtu5s8V2K0nQwkRIKHlOoJwldUshiw3EIX2VgHqyxipGHUqawJhTUp-_JBdjidUChwWnyA4DfWP8MPOA5jgUy1DNtlix29HQEm8K9fS38-Y9E1lgWI5UoBw8xkahkVQeFnY5tB6PiLkulTI591l8isq44svCYlJc_yo_6-Box8wKQXdXpxufB7L1iDiEToltPFWYN', 'width': 3920}]",ChIJQ0BDkX7vxUcR_YCg5UnDZA0,ChIJQ0BDkX7vxUcR_YCg5UnDZA0,GOOGLE,"['store', 'point_of_interest', 'establishment']","Waarderweg 1, Haarlem",OPERATIONAL,"{'compound_code': '9MP7+WM Haarlem, Netherlands', 'global_code': '9F469MP7+WM'}",4.5,20.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.387913, 'lng': 4.661107100000002}, 'viewport': {'northeast': {'lat': 52.38923313029151, 'lng': 4.662334130291502}, 'southwest': {'lat': 52.38653516970851, 'lng': 4.659636169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Carcenter Haarlem,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105494592648995639621"">remco blok</a>'], 'photo_reference': 'AXQCQNSlref4hbnxnexZMphTVfdR61gRYPOiHYzBtiAX19LcPQgBm9hyL1sc3CLFoDNUB6LllkZPnEJBOnNB5lFmCcpzlMwrOjYiSvH6SkkHtPahYP_GqpbZU4_gqTTOztBa7obUNOkhr4KsdtGoitMaa59IYWebFcgxq9k8zc6nN-Og5vtyt4B4PV24F2Dfn0iGHc1VIaCGt8gRvS-ze_w68uFhHuvzBmeNbl8iyzMP3ILJMRCP3D1l14KoUGTrfpf7K_TQjHLtAL8f_ArGFa-QUUSoA369ZFTzXgVX4yHziSGjANWE5qewGPb9DB6rdndwFP932lI7In9T1oxuGrX9zzJlhmcgsw-kXqIdbssQIsNfy_bald14wDDLjgYxy1SCHABO95Mf8L7BU2AXBtYZ2C1MBjIu34FxZBkZ16YiE7AaBo4cfyMr2TOm4DCQz06ENGOwIqE07YvTfE9bkd3g9WmewlHUkKwxl_gpKAL-x6j26RMcwwx-4PndnnjHzt0KOyeRN4GBHdsZcsIlg7mrR1vLO14TGjtqUXSqk7LNrxfxu8Vz3D3VP5RARh-1pbUllU-QP-vKGpK1ABVDvvpZyj-aK8KgsDSG9QNVgpwRCCCLDl9OnNzhKQu6yCrGptzLxdjlng', 'width': 3024}]",ChIJLdxh6oflxUcR9x0WOFcyZpg,ChIJLdxh6oflxUcR9x0WOFcyZpg,GOOGLE,"['car_dealer', 'store', 'point_of_interest', 'establishment']","Izaäk Enschedéweg 32, Haarlem",OPERATIONAL,"{'compound_code': '9MQ6+5C Haarlem, Netherlands', 'global_code': '9F469MQ6+5C'}",3.2,6.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.38775709999999, 'lng': 4.665873899999999}, 'viewport': {'northeast': {'lat': 52.38906143029149, 'lng': 4.667252480291501}, 'southwest': {'lat': 52.38636346970849, 'lng': 4.664554519708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Keramikos B.V.,"[{'height': 939, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105908248145947796843"">Keramikos B.V.</a>'], 'photo_reference': 'AXQCQNTOvs4IwR7e0fKpdRXIVMi3xLHQLkyOJQwGde5f6YQnuFT8aIxsfki_EaQd2zjDDw6NBqSia2SHsCuwsmlW9vOCyzR05vGAb6MVqWelmLC_VVyPQ2lMiJ4S4Rb8m8o56jYUpwSGXRfq09LItsLAA79hhtb74fF0Y6jamaslCQx_RFLdRJLDEKpHS7hZm6FEzcpF5eT9HOSfNQHnbMXyFqVuaXAOORtDB08-r06vFdmDPe3mbWP71Z15-Gdl_MtcIT3od5EFmE4og-GiVPVgQhLzeVM2TZBcaUggX5E8YTs4R71LJAP2l1RatSHC5AOMC-G2C7YC3_A', 'width': 1668}]",ChIJTSg5jYXlxUcRWlSOAGDhMZo,ChIJTSg5jYXlxUcRWlSOAGDhMZo,GOOGLE,"['store', 'point_of_interest', 'establishment']","Conradweg 19, Haarlem",OPERATIONAL,"{'compound_code': '9MQ8+48 Haarlem, Netherlands', 'global_code': '9F469MQ8+48'}",4.6,85.0,{'open_now': False},88196825e9fffff
"{'location': {'lat': 52.3870189, 'lng': 4.6627773}, 'viewport': {'northeast': {'lat': 52.3883061302915, 'lng': 4.663908880291502}, 'southwest': {'lat': 52.3856081697085, 'lng': 4.661210919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Perla Kantoorinrichting,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105621857227449599465"">Perla Kantoorinrichting</a>'], 'photo_reference': 'AXQCQNQD8_LIw7eG4gYgOoL7tzOai72PEdETCRrX0q1d6FZTV6n0QTi344Kjiqn_newSvKJAgS_o-E3jxcwytVHMkxjVNZJVk3iZkCcZkjAv1MVA7t5GaFQE73J3Q0xlt-p6InnS7sZDoVz2cyUxMfvnmcaWE7cakOgDWq5MXKibTypWJu7WxrhrdWmI1Bj_7yKQgVVltCVEAkoZXbk0XjW2_CVB6-MxeDyHfzEjTesi5_I8XohiAjOhEcY8qSzXWYDHZbR1a7Rs_CKx42wtKAWmMBt53WFBUYJcJYVbzQ2z_RucC9X_wDcmbAljVvWUK2x5MVOchQiosJo', 'width': 1080}]",ChIJG96ummLvxUcR9lR0wjDpG08,ChIJG96ummLvxUcR9lR0wjDpG08,GOOGLE,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","Jan Tademaweg 9, Haarlem",OPERATIONAL,"{'compound_code': '9MP7+R4 Haarlem, Netherlands', 'global_code': '9F469MP7+R4'}",4.6,19.0,{'open_now': False},88196825e9fffff
