geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNQCeD4Z-kjWLVGNYpGZPhO5oxe5CvS6Wi0LmFiGVX1JJRqGjiA38v2dN1Ek5E76JuPWpJUtbzhHHbiKardkP67IND8_FtaiyN4tNNidYIMxBOz1Yb5jHhSU_PIbIqd2kdkmWPxi_f56b6zinqHo3Ay3CwDTzLiy2b7UJ8833gzDvP03DcizkzmtDo8_6IrGWeh87RNMPCCfi7VYHbNmOAyoMxEFGd2FAkHsIeSKx2NnuxD1ilzNBj2ev6tqWgLv31HItygWaSEwvPr3C05KYNmIExFGUg9TyBQ_5xTWh7_RCkMHcHyY-DYDBGv1JBoZf8gIeIfWNoqb4c80YcZLHOWwFW9XQEUwn5zR2WmHBx41aBYDTezJy5a9fFR6x1ybUc7pQSliyJMuRIUT3gud4s3IbspmzOa-AaqCD4VscH4AdLHmYeWWh8Yn-YBd7lrfET2_WHkHI5IDCAq1b7WpqosOGYxTuch_8S3I_746Yyv503pyI0l78gSkIOMbOyzj28FxXIxOU3Jo61MQrllzfazLoo0Sm6zqj7EqBLtmPSNflNX-6su6C3YALuh4ZhzMzUX3TYsvDXtgbKaLdh-46kzF3YhBvw4RQmvr7tKUQhtfGOZ7ozB31PJ6IwkTyPnz', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,88196825edfffff
"{'location': {'lat': 52.3863512, 'lng': 4.651753099999999}, 'viewport': {'northeast': {'lat': 52.3876710802915, 'lng': 4.653121930291501}, 'southwest': {'lat': 52.3849731197085, 'lng': 4.650423969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lichtfabriek,"[{'height': 1332, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116875267810531449127"">Lichtfabriek</a>'], 'photo_reference': 'AXQCQNRrSiN-L11xDhruRwLCygxasaFzunObxh5KImeBifmXCLMcNh0Q_L06KWWYI8dmuIFcCVS9C85I2ayXVCAVLe5WrKHxI9Kq6TENUVcmfdu3FcBJCIIq6UWc-L2fIduwY-qA7uyTQCkJOych_EAP4AEAK6-WBPLtLaFEM44XMMUQCOLHY7BT3nfqx6PuQn0GWtH5whgkUrhb44_50wjETj9a6Sru6hvGtH-X_8KORnMEIaQtP0TMEzYSSn3bNUjNRuutyzlmJlYhFywwCvv9mxMvIw3l5KVjqntuBxgMrVYsVHODQj9t7CsPw8GNTYSYlnwckpNqqww', 'width': 2048}]",ChIJUdvWq2PvxUcRY8HzjDjqZxo,ChIJUdvWq2PvxUcRY8HzjDjqZxo,GOOGLE,"['point_of_interest', 'establishment']","Energieplein 73, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MP2+GP Haarlem, Netherlands', 'global_code': '9F469MP2+GP'}",4.1,355.0,88196825edfffff
"{'location': {'lat': 52.385958, 'lng': 4.6434183}, 'viewport': {'northeast': {'lat': 52.3873293802915, 'lng': 4.644551580291503}, 'southwest': {'lat': 52.38463141970851, 'lng': 4.641853619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sportcentrum Kenamju,"[{'height': 3791, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111307145733719674927"">Sportcentrum Kenamju</a>'], 'photo_reference': 'AXQCQNT5bekyDyy88g-u1tst2skw6ROEEzdS-lokDhmL88hnihuQei11x4uXTrnZwIWYEfgncw0bxT2zyICX71PfaIzlTBvvcw8FeNPAXwy7ktXY3waMWTm1TVptySx4y2zfqoNkNz1jagXKnVomR-n22Lg_t8brbxKp2Lys1Wr4Vg-N8r-MBI_P8Fvus0MHio4Qki2YIhML5Ikvt3dY_kVrpVQu2xlaJOfwVgOsDHV-bT6w0dJQK-O-eSnlux-BEDrVSRc-ht2apdW727KGkx-bQXzc3Qonz-p45DBO1ec52QbC3eAN5cBFot0nE9ECutFuNgk73BJ6aFQ', 'width': 5686}]",ChIJXxK_TmvvxUcRQGV6Dq-b7ew,ChIJXxK_TmvvxUcRQGV6Dq-b7ew,GOOGLE,"['gym', 'health', 'point_of_interest', 'establishment']","Phoenixstraat 13, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JPV+99 Haarlem, Netherlands', 'global_code': '9F469JPV+99'}",4.6,369.0,88196825edfffff
"{'location': {'lat': 52.3866591, 'lng': 4.6527918}, 'viewport': {'northeast': {'lat': 52.3879452802915, 'lng': 4.654058080291502}, 'southwest': {'lat': 52.3852473197085, 'lng': 4.651360119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Choc Studio Interieur,"[{'height': 642, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102493019094038437147"">Choc Studio Interieur</a>'], 'photo_reference': 'AXQCQNSAuM9EAwkHVkATzoCij7jsKZ3pbjvvJ52Rv3n5c8_Fv70S3_kyqnH1YrxmKe6wF5ge3za3NqbGfRJKGNTzI9wBNjQIWCb-NPAIOBPV3TxupsCjCFxb5zVKWnW8InuMpe0X_2HKvCLCOmYw_vd9ThGGNdg5Y0XgDSKNViN3-e5nOzsg4eVwPbOIA_qSC_zzFgxIZ5IuX9-rmFPjPq7K91EH6nBlvIw0cJ4qDNcIn2B9W9LNYPsrm0qJkETMgFwLE5oWs-iV0Ff5bI5vXd9KRTbTTUQjjAau1G_YSEs7WqllmwPn9mCrKlYk5seyjIzRNnzFn4f2G_4', 'width': 1140}]",ChIJ52OoBxXvxUcRD8KyRx-EgKk,ChIJ52OoBxXvxUcRD8KyRx-EgKk,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']","Energieplein 3, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MP3+M4 Haarlem, Netherlands', 'global_code': '9F469MP3+M4'}",4.6,9.0,88196825edfffff
"{'location': {'lat': 52.3870139, 'lng': 4.6528561}, 'viewport': {'northeast': {'lat': 52.38833728029149, 'lng': 4.654219430291502}, 'southwest': {'lat': 52.3856393197085, 'lng': 4.651521469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Uitzendbureau Haarlem YoungCapital,"[{'height': 1367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109118121197525200814"">Uitzendbureau Haarlem YoungCapital</a>'], 'photo_reference': 'AXQCQNRV7VOqD4wQdg6J5ZUYQEzXOZ8FwllZCnjpq9A3DCapfBEB9Pj3VYIcngjgl2Th53XH4AOaFjS0NYyLwshWSuQkgeN81QflY2KGM_ZECZ-P3KqsTrAHQF0u5G-Jpr2NCBjFZByit2Xu8WuZY4dYK0IJpYAIVutb_5j0nQVB_XuO3qF5lcn8v45sK2yc9JT3jNehhLTmbngF0FogIIpOZqM-TK-L2MrdZPiL14_JBxCR_umGWXztFIiSBX6hf-wuYiwBKmLEIzqhPDqUuEfaxfNX84Yg72kBaZsBC4W7tFgXBeos4r9QYFGQm-To1ZMVal4W-gU_azo', 'width': 2048}]",ChIJNQE59j_vxUcRf6qevhMAjiE,ChIJNQE59j_vxUcRf6qevhMAjiE,GOOGLE,"['local_government_office', 'point_of_interest', 'establishment']","Lichtfabriekplein 4, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MP3+R4 Haarlem, Netherlands', 'global_code': '9F469MP3+R4'}",4.1,73.0,88196825edfffff
"{'location': {'lat': 52.3871346, 'lng': 4.651187500000001}, 'viewport': {'northeast': {'lat': 52.38841083029151, 'lng': 4.652538780291502}, 'southwest': {'lat': 52.38571286970851, 'lng': 4.649840819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Flinndal,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114879037835718762535"">Flinndal</a>'], 'photo_reference': 'AXQCQNSng_sT9pTszwFavawSqlByx0kipXEISbrLrjEKEOrWHmO4ZoSoXkxxkhLhLLwDaDhUvikJ6SvIUA3xiAmX0PJ6gImm6SqZ0VaOYVBq5SUDxo0f6hx85XJacb_GvGKjzU66STTweEhQzncr0L6CkYCifetGOguN23YPZ7oMfDoAUHoW_vmafZWSpD1SI1HCyFIeAKRye_36UanSRpd1G90lWNxVMy2BuGtC365VVZgHK1n3LNmNUo2IdN4ETnC7HKA7Qd0RPK-Yngy1Gt2i-_lhC7Kes1vpRgsxL0OZtxV2yWTAvvydz-_sCotbvSt_TVjXAQrYvfM', 'width': 1200}]",ChIJH1-P0zjvxUcR0MZKA4klUrY,ChIJH1-P0zjvxUcR0MZKA4klUrY,GOOGLE,"['store', 'health', 'point_of_interest', 'establishment']","Kantoor, geen winkel, Oerkapkade 5, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MP2+VF Haarlem, Netherlands', 'global_code': '9F469MP2+VF'}",4.8,702.0,88196825edfffff
"{'location': {'lat': 52.3890889, 'lng': 4.650657}, 'viewport': {'northeast': {'lat': 52.3903974802915, 'lng': 4.651943780291503}, 'southwest': {'lat': 52.3876995197085, 'lng': 4.649245819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rebox BV,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115539060014011738688"">Henk Deen</a>'], 'photo_reference': 'AXQCQNTgdtpTgy6TTHErvFZRiQLgSwxjJsxOr8f15QLZG8kA_3hS9guyOJy6Zj2XRHUUKGz2Svxw0mcp2CzCkic3oR3VfoUhMdwWdPEgJcW48L4bVICJ42l51ZUyGRDTHcX2xOuH4bhOwWlwfBuEeklNNwuP2xNlkGsz5Lk-rjfxXHzkjIQIGE_Dh2dJ08LsyMQXUQE4_CC2A0B9RfyLW0RpCAIIzvjrM9T-8lYHrZIDR2Yelovk4m02TA2B5leYhbNoFy5rO4mTC-cEClNLay-wOCKXfS5KnE5Qem1VOa9uYc6RJTmXGjlLsfgdcmzjAupSaS_oPJBEsKBEC2DakIMeXLWCXpbjkqBN4KugAPsuziV3Rjo_hB6S-Ty1sbj1CdR4W0G1j0VxvqlqW1d-QzHDq1K0u1W_vXQRUyUEx8opIkAVPosN1umRM5dlNUVmyB5CFLD7yNUAYKm9z2akC6l0x1nUOr5IB4r2Px87kfZ0dns0MC9u6B8Qq70V75bap7WWl064AM62QlQfMIcaRCUhaVQ1Eu-XhfcKnX4nK_0BlyetgyhPmd_otd6e_DiBby4ZXjvNdiguQaDonCkKX4jzyNy_byGaJV3mWxVum_xE5nG6iVbVE146f9nl9inVSjqG', 'width': 3472}]",ChIJQbDWnXvvxUcRA0jIMAm6maE,ChIJQbDWnXvvxUcRA0jIMAm6maE,GOOGLE,"['point_of_interest', 'establishment']","Hendrik Figeeweg 1-X, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MQ2+J7 Haarlem, Netherlands', 'global_code': '9F469MQ2+J7'}",5.0,22.0,88196825edfffff
"{'location': {'lat': 52.38952930000001, 'lng': 4.6511285}, 'viewport': {'northeast': {'lat': 52.3908332802915, 'lng': 4.652209080291503}, 'southwest': {'lat': 52.3881353197085, 'lng': 4.649511119708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vanhier accountants en adviseurs,"[{'height': 2733, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106888002080544664761"">Vanhier accountants en adviseurs</a>'], 'photo_reference': 'AXQCQNRPbdSVv6bZZvJDIqpca6Gqmm4S9lfHJTSyJkETb4NnzihNqKl0-7HOpjst9_xxP-1an9w4vTAm_wyLt3YZSc9DxABsOkci-GE9gZ8-FoFz6_7j-g5RiT8Fkb3-n4V7ejH6eTNaxsJfJZoaf-alr8CiEfO9rdMDWiHYvX6eVuUmIY5ZOuXJJfjPFmIwBQLT13PSwHPcvFNYK3mpYbHc_QU7yY_WLO47heRByz0zpCnWt4KIf3M4h2MEnKsBLtmTLtMCOSeLQJxLn8Gmm5CYg-gRPFKn_D_iVeVzH5Bci6uaTuXp5R023NBD7alDqWxyq_4s53-jZ4k', 'width': 4100}]",ChIJHenU8O8IxkcRoNs7YYL5SdA,ChIJHenU8O8IxkcRoNs7YYL5SdA,GOOGLE,"['accounting', 'finance', 'point_of_interest', 'establishment']","Hendrik Figeeweg 1, 0002A, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9MQ2+RF Haarlem, Netherlands', 'global_code': '9F469MQ2+RF'}",,,88196825edfffff
"{'location': {'lat': 52.3863143, 'lng': 4.6446306}, 'viewport': {'northeast': {'lat': 52.3876627802915, 'lng': 4.645925730291503}, 'southwest': {'lat': 52.3849648197085, 'lng': 4.643227769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danny Autoschade,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114796172779500787124"">danny van der groef</a>'], 'photo_reference': 'AXQCQNRtneX8UwXJ_ta-KuKQBT6kQ9F5qkO3JoNfG0KXAmpvq5_K4hQpSCKEQ329mNg48i9uiov0NEFvzHMSgySr5-0o7Qmni1WhBFMuVkx9A4LOc4t3x9Wz3ScABraPIKcuLCumOmnaFNa5PDZ0-sXzzT2zCa6dI0v3oxvyj9F9kyUdk8TpnyfTvqhBiogogNs74dMPeTgQcWQG8BKo-wWtO-NSjqVmF9gEVod9K8qr-AuKArWO1PB4Dd7lnpSW9HNm5kOSDOkXqzT0NeosNdv0mjnQPaPM00u8xCANZT01o5rIsbRA4O7n9M0EIT2gwo_ToGlIdtsipzjQD2nC-eE7pEMynXKw763QZ6EZiwAheqGhkvO3J_z_8oMGYwOLa0UDSfV3Wxz20b8Tz0inJMuQauLo9jkABvNrN-_MWAlJQqWordgFTCTBVtb_S8T6lpfYPY9GN5HH6t14YkXLb5t_ColNB42_-KGGaaKOgQp62YraMTSkzzoQDVdc0XdmDzmxbqByTXwUTzpSuvaNWQ5Y9WN35cxUDOX3A1o6d9o8ceIDq-iGpfAkm7IC4oXiEFQlQ5-Obv6L9DBvYRO6x3BcW79Jo4LYgMoZ613fcCN4Bww3nN0JEbaZdTWNCNxVbh_xAkOKiA', 'width': 4032}]",ChIJgUJa6m_vxUcRRNcpfpoLp20,ChIJgUJa6m_vxUcRRNcpfpoLp20,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']","Gonnetstraat 11, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JPV+GV Haarlem, Netherlands', 'global_code': '9F469JPV+GV'}",5.0,30.0,88196825edfffff
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.38843138029149, 'lng': 4.647775830291502}, 'southwest': {'lat': 52.3857334197085, 'lng': 4.645077869708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Marloes Barnhoorn Fotografie,,ChIJzb57fgnvxUcRP2c13FuinzI,ChIJzb57fgnvxUcRP2c13FuinzI,GOOGLE,"['point_of_interest', 'establishment']",Haarlem,OPERATIONAL,,"{'compound_code': '9JPW+XF Haarlem, Netherlands', 'global_code': '9F469JPW+XF'}",,,88196825edfffff
