geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,price_level,rating,user_ratings_total,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNQivuZU6WSpBVTcolhtl0SRP3hBWoozrhHjgJb1-X3u_Q7tCBHUrHWK6nqm_cNbs2bexmFJx-9MFSECzl855rvgCs6NUovNo6dXATAKvRp2paposq6a1kVwIIPOoeZw09QvEIE07FGKOAOh8CqoqDnmrBk-1AELafWqrYg7eoRU6yZp401IqsxwkmFgZR4oTNpehkIEO9imAEGOtdYHJuWYhM1B_n2LL9dUi7YYqHG1SvcxWIktyBi3XJARjl9JXVQUF5qyuTZ85VP35dyNKDSacZzs8QD8mOnR3PxvacNlY6IQ-CUcx37V7zl-QYEY3QGxPobzWe5zmmPtAQreh_QWWylgjhTSU1eHNlR8owZoX_csp50-Gln07Preuk1LpN1DxyQPOYnm_nfk9gcOlzZ9UOUsQFsJJm90Wi45GiB2akW4ns_nrfT9dh-RE27uxzG0U6VAVpd5QYiKNXxmqE54jrVfhT9tXBGWkwujfncSyrUuawRXIRa9jEaNBWBIVa_v039FBbp4LQQwuDxB1wspTnBUc2AL8j-0NHTdFLCvBCm35TaRAEEcfaw44kihKNztnwFYNshQ9Qrt-Ep7ZP0H4c_r4SXKzBskY3XoeL5RJ47I5P-v7sriECYzFpVk', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682ec3fffff
"{'location': {'lat': 52.38032299999999, 'lng': 4.602715999999999}, 'viewport': {'northeast': {'lat': 52.3816722802915, 'lng': 4.603972530291502}, 'southwest': {'lat': 52.3789743197085, 'lng': 4.601274569708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,'t Wapen van Kennemerland,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103037035898152531935"">&#39;t Wapen van Kennemerland</a>'], 'photo_reference': 'AXQCQNRiz8H9Id_EY7_nzyiUm5j0SR2wDlGbtfMILncTkF3ytxN6o86wEYzUZR-Fvv7D97OzSpugaeKcY1gihHrytPVT4NJnBZhN0gd7joP8z2HjeajyqJfJoHc1Bi8EciZLa_LqHwsDUTbD5AmSR1DVf9Bjt3f_cOH4f69KZ2tKQ2QveF4Pp5sucpzF5fRkG0vJtl31ZT2bvR_Na7mEfTc1Jx38oviwya212f0kowOcuuZBi4kOg-q9w_4d5V01i2pd-bYXSR0WtHPV_H5QWWElWVt0EvWx77EkPzSvMcGCghCShVA9-gCqwscRhv4QX-LBpUh8MUwoLVw', 'width': 640}]",ChIJK1LyWuDuxUcR2WCmjGmMd2E,ChIJK1LyWuDuxUcR2WCmjGmMd2E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ramplaan 125, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJ3+43 Haarlem, Netherlands', 'global_code': '9F469JJ3+43'}",2.0,4.4,1963.0,8819682ec3fffff
"{'location': {'lat': 52.3836098, 'lng': 4.6034927}, 'viewport': {'northeast': {'lat': 52.38495333029149, 'lng': 4.604878430291503}, 'southwest': {'lat': 52.3822553697085, 'lng': 4.602180469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Movere Osteopathie Axel Staps D.O.,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110198701186689571934"">Movere Osteopathie Axel Staps D.O.</a>'], 'photo_reference': 'AXQCQNStIlVBhQXY2IJ6QTuO6iM01gPP4a5mQUlDONW5t6xREBuLHv7FzvzepRIMcQAcLx-HcZB69J_SO16kIkr19ckQ7GA1N7K5023wfF1Y-tJnlaSKdUgMvzidQQfQEAkkx73TCXCPNlYvQo5Y_CB5iIQZ29myqhZUFVtudkzXP0-DPoy6HU4MHPiYm6ReNRdWxx4ZDOU9JJFbHA-VXNZAQZLKPd_JH-rL3EIDTUCcPvcMHH7hWYAl6giF675jD7RObl4t_vZyqYdqErw7lphrG204vcEBovctndbh4x-Z5D3gwTcKMHt4s5r17pW-8uBddQcek0fK96o', 'width': 4032}]",ChIJhcRTKpjvxUcR69QDKHDLv2k,ChIJhcRTKpjvxUcR69QDKHDLv2k,GOOGLE,"['point_of_interest', 'health', 'establishment']","Ramplaan 36, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JM3+C9 Haarlem, Netherlands', 'global_code': '9F469JM3+C9'}",,5.0,12.0,8819682ec3fffff
"{'location': {'lat': 52.3838531, 'lng': 4.606399500000001}, 'viewport': {'northeast': {'lat': 52.3852185302915, 'lng': 4.607640430291503}, 'southwest': {'lat': 52.3825205697085, 'lng': 4.604942469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Reiki Centrum Haarlem,"[{'height': 3334, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113933196391496354483"">Reiki Centrum Haarlem</a>'], 'photo_reference': 'AXQCQNSV1eeabtEFQn6tu5Opk6N2NHHoDzHsmOPqLWqsLJSO9t8jN38MGNScciRgnY7W5Gv_fTZT_K5eEvrySH_uEOjbthwg4DgZOFJzc1ZHUJYxihBST4vzjw16UsyQvKVznDzzASs0m9Ss--Pa--TcsFqJiCjTBSoEG6KlxCVRKoj28FQpUCEUWsRQV2cmYpt-XiJ9Bz9ge6zF_J8naJ45ZJLEiwjFSI_PpFbSMK5m7iZHicjBEAto8FdBGvDybfy9v9IgjYiU8VMl9lfDSqf_MYpUFir46hKtylIPSV4Ad_a7EffLupniEte30CMS0Y5LY6HvipmK9Zw', 'width': 3334}]",ChIJz3WKzZzvxUcRtCFYU-NBMQA,ChIJz3WKzZzvxUcRtCFYU-NBMQA,GOOGLE,"['university', 'point_of_interest', 'health', 'establishment']","Hospeslaan 30, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JM4+GH Haarlem, Netherlands', 'global_code': '9F469JM4+GH'}",,4.3,7.0,8819682ec3fffff
"{'location': {'lat': 52.3804679, 'lng': 4.602260999999999}, 'viewport': {'northeast': {'lat': 52.3817888302915, 'lng': 4.603763730291503}, 'southwest': {'lat': 52.3790908697085, 'lng': 4.601065769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Hero kindercentra Ramplaan,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110820396158347335444"">san hug</a>'], 'photo_reference': 'AXQCQNRE3QAp4QclGgnlBsOmTc4NJOPrFyMEkYVPWbqWDG_NO8ogjTzb4FwlT5jr5bfD2AEhK90IKFNXBBH3c8t0wnOzNTr7qcYEWQnB57qnhExB6IzKoc1Y9bJl1ahyNJJvpfu7dU6rCUZoLLjybRRKZN_IPvd20viLk4UqVSdtzvklJYA5WLb4VmlDSGFZ3oYydrVbIXoRQ403iSL4W126YgcKNPi09ruOz8E5wUXkCW9_yc7Ojb_3ruMx7qzCl_nCYAkIA29dZ3E0z581xQVyRBXfgeB25OnIkYxsNQEHsDvEM7yS0jq0zOZ-r1AZzWmZSSmROP12PKRb8MeQHrA-Lgdim38-Ta4blkE_DRz2LWgjfEb7s7_V2allw5fYHbEATCrRtRYk_dSeVK5Y8BZLVEZ1ewxJCNx02Ped5-FXJD-pnbjKR_AIy75k02ridKGQqjTE95Y4IqjswE9JQyTueViyuGJisrqlD6RSgX9MSvxI_mwIt51Yy2ipZIEUpPIx_TC2Et4RaRrJT47DTsSQfoTN8de44CJE_AhabCOc1q1V_vVVE8pZekW_ly2e32eajPb621X7yhfUcM5ujWsi3LDXFCqBteXGnPiAAGNrx6Fgb62oAckMJ3m8YrkRPp6NahkgFA', 'width': 640}]",ChIJM7YcVeDuxUcRrnIQjfXNFs4,ChIJM7YcVeDuxUcRrnIQjfXNFs4,GOOGLE,"['point_of_interest', 'establishment']","Ramplaan 108 A, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJ2+5W Haarlem, Netherlands', 'global_code': '9F469JJ2+5W'}",,5.0,5.0,8819682ec3fffff
"{'location': {'lat': 52.383607, 'lng': 4.607182}, 'viewport': {'northeast': {'lat': 52.38496538029149, 'lng': 4.608459930291503}, 'southwest': {'lat': 52.3822674197085, 'lng': 4.605761969708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,rijbijruben,,ChIJQxU4o9T8xUcRFXZ61AjBmos,ChIJQxU4o9T8xUcRFXZ61AjBmos,GOOGLE,"['point_of_interest', 'establishment']","Lambrecht van Dalelaan 52, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JM4+CV Haarlem, Netherlands', 'global_code': '9F469JM4+CV'}",,5.0,2.0,8819682ec3fffff
"{'location': {'lat': 52.3821966, 'lng': 4.604636699999999}, 'viewport': {'northeast': {'lat': 52.3835687802915, 'lng': 4.605904380291502}, 'southwest': {'lat': 52.3808708197085, 'lng': 4.603206419708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,R. Philippo,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105744828956207471792"">Mattheüs Uilenspiegel</a>'], 'photo_reference': 'AXQCQNR1VcUNz89nMs3ADeJsaJoOaVJkWA_ail_gRIq8nouQOXCKv9kgcXZTrXs9Cb9ln37xctrgFzYcQXjZjgIU5Mu3MK9V23Y9ZyxPmAPuYXa2NSG_IxsKpG3AB6f_oVSCi-VPuNQHi7vEMvLgz4amyxnVgMIuANR4VijaNgsqEEpGwkOBkLB83xPE5AYVib4-vA5ydOGiRYEwoyxFKajnqRXyzOR5ld9rbcT5YUWkX4Wuz2F-mb1fChYcdcOIqTvzmuC7-Zn0vB6BahKCtfsKCs_sFPqZf4AARxcTZ7aOqE1JegYL_DTfgGbBLaHGQ4Smv_PErnfS9O3ANeBJBOL3EmRMRBKKGZ-YmbGu6lRzDNWXGOf5xcj-hcgQgd5miNCJD-_NRL1NSkUZVidldkJZALpfNOvWxq-25eSOInfWh8hnR1qe4reIDeHbeNfxAImMhBwgRQCcn8Q5xuolvVwJpuIP9KBwhe7WAQvzPHH2hYzzFn0kFLpxpU5MrRvUQlbYFXR6VmOV65lil76_fBScCQysagINjoqFkv6jB9R4LkgPwdgY4nma-cR4-TxBhowGEcvFfMBMIffekDCIaaKrxbA80-pqx-8MiEGcYlAEk2gZ7AOfno_FHcUpsExM96UMwVSWpd41', 'width': 1920}]",ChIJk6lfwuHuxUcRt-TcOaCzqgA,ChIJk6lfwuHuxUcRt-TcOaCzqgA,GOOGLE,"['point_of_interest', 'establishment']","Dickmansstraat 3, Haarlem",OPERATIONAL,,"{'compound_code': '9JJ3+VV Haarlem, Netherlands', 'global_code': '9F469JJ3+VV'}",,5.0,1.0,8819682ec3fffff
"{'location': {'lat': 52.3815351, 'lng': 4.6024599}, 'viewport': {'northeast': {'lat': 52.38291933029149, 'lng': 4.603837330291502}, 'southwest': {'lat': 52.3802213697085, 'lng': 4.601139369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Praktijk voor psychotherapie & psychoanalyse, K.E. Maessen","[{'height': 713, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101201399798655561746"">Karin Maessen</a>'], 'photo_reference': 'AXQCQNTaMpPu_CGBRadyH5pLZ7-swXKCbN4_VERw7D4ljik0cLMf-r2mjgCvjmauSPJ_jhMMdxtsB-_-EYllGC7TvFHMshbptVTy2qPEKcbbGl8n-SOBBw3hV3n4PlAfPkQyIGMi7yNNODmKGaC4XT_46uJhTqW8oKZ42SEDCZOWBwxp8Uvt2rGXFz1tZr8ruTs1kIUoMI6NtmBajcfUBEreirAv9A9zogUpjxZaYx_O4zuBbS0BNPrphiOSdQKcuQ2N6lejOjLpKaYN8LDigzrD3fwhYqprjV_AnLTmH6d72eqW7wnCFPS6frVEcvKOpar44JN7QOPmhNsU92XOvsolvpibYy4CNhpGWC2svILEtm8e8qpusRTAfD8EVEebJ5Xq1KTysJRFq_DkPXFAJBgdvCA9Elimza-ZtlvSsMHl7mov77UUwETP7x2Wk9MAB_yPF4SwOy1eXz2kx8P_7ewg9svvuwjCjOVUX5UDjoBjuEcSNrf1oPTyby7TnD5PLBXCNEdBp2egxd-iTkmbiroO-U4D0cM3X-jI6zHI_VMK5ebGInH7D6ygVSneUIP08k7powJ2ScnCu8pUvXF4Xx5vi_QQAZAydSyol5xypZoz3BiDLiTUaEQV7U3d86YswJsg_yj3FEuq', 'width': 1000}]",ChIJ402hEOHuxUcRdkBvU9YlE2M,ChIJ402hEOHuxUcRdkBvU9YlE2M,GOOGLE,"['point_of_interest', 'health', 'establishment']","Tuindorpslaan 1, Haarlem",OPERATIONAL,,"{'compound_code': '9JJ2+JX Haarlem, Netherlands', 'global_code': '9F469JJ2+JX'}",,,,8819682ec3fffff
"{'location': {'lat': 52.3846777, 'lng': 4.6046958}, 'viewport': {'northeast': {'lat': 52.3860550802915, 'lng': 4.605871980291502}, 'southwest': {'lat': 52.3833571197085, 'lng': 4.603174019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Willem Schouten,,ChIJnwNeFOLuxUcRov7EQ6gOwWw,ChIJnwNeFOLuxUcRov7EQ6gOwWw,GOOGLE,"['school', 'point_of_interest', 'establishment']","Ramplaan 9-B, Haarlem",OPERATIONAL,,"{'compound_code': '9JM3+VV Haarlem, Netherlands', 'global_code': '9F469JM3+VV'}",,,,8819682ec3fffff
"{'location': {'lat': 52.3815612, 'lng': 4.6022074}, 'viewport': {'northeast': {'lat': 52.3828919802915, 'lng': 4.603483980291502}, 'southwest': {'lat': 52.3801940197085, 'lng': 4.600786019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Catalpa Boomverzorging,,ChIJgZ58B-HuxUcRKc6f_SR_Ezk,ChIJgZ58B-HuxUcRKc6f_SR_Ezk,GOOGLE,"['point_of_interest', 'establishment']","Van Twiskplein 1, Haarlem",OPERATIONAL,,"{'compound_code': '9JJ2+JV Haarlem, Netherlands', 'global_code': '9F469JJ2+JV'}",,,,8819682ec3fffff
