geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNRp4w2YOqmeESC5BRCxxy3uEaELPAQDW1_5IAzFGzQIC5qrWLRNqkQdFF1eRbRrsJkgFkHyptmUhETN4Z8d3NVBTwXkgRIE85l9v1pLawBHUKhtqLnXuT-mVHycH4bIPYwFJVFltQS5fVVY8x961MmQBnVsyLzXYAR3cga-1bchbIREl1que13A6BTUl70BS7Gi4j3ud-CqHAuHAg00KTP0n5kYfAyKQqFesHlhHFMGl3Cs7GQhIciJMgsYunTc_azZR8RPm989wxyA5fO1c4IZ6fzWXP7PN8Z53AinQylJe8h4byOjjgXQdZYgPO-0iJRxI3OrlmFZcvUo9hpZBY3vr3P9za9FmJaf7rnPQl3jdBmMJDrk1QJO6-O3XbFO0g5B-5hDL5k8IyxUNiTD2fhBZVZ9zvrJSgMd_UO837llDbnxvkdTtZW5z7FvOc1Yd2Ko3tPSa1cJ7FD5s75YRiwZvvihgTZ8zq3Sxb4zPUU2HJWE1w8XZd7eDhhKOrjLxBgbLJ_8fecn-g4KCwyktuyaMcYSMbJOaWXEHL9H2O_1uJNioeU5G0ehBQ_EBarI56J-L4Rd2x30F_fHDHXgjedweereTwyVjifJKNELty-ekolu3tOLceupB90Dib8c', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682ed9fffff
"{'location': {'lat': 52.3823315, 'lng': 4.6325572}, 'viewport': {'northeast': {'lat': 52.3837350302915, 'lng': 4.633894780291502}, 'southwest': {'lat': 52.3810370697085, 'lng': 4.631196819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bed & Breakfast Hotel Malts,"[{'height': 1667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102848816462459733850"">B&amp;B Hotel Malts</a>'], 'photo_reference': 'AXQCQNQ6Dvrev46oWbZJMxFeCzk-hXlrA5uYn630CLsp56qie9UYI381kKEVQjD0wuz2gIvSL3R-ys17dioHpX4Hk9GB7k8JpvN1TaqzU31FxnhHwHSgrrO_wdsI9raTFwZlZ4i6xo88IKXONpnJo6kC6hg5BJLR0djrJIkaLu9HWuVBKCa5z9sboAfjZsRxa917QscP5svRUwTXyqAQ0rJsnM-oDiVZWbyNPkogWy66XuvOJ4KSjnn_4Yi6Muv-crQlzOpc5w3yXEk16gVG-zYfLFMNHKwD8Il9yLkSqFcoG10wWEcfFu8Uqp-7TMJdveEKarHDKbZExbo', 'width': 2500}]",ChIJbyYwVGvvxUcRAz2BI9rfAKg,ChIJbyYwVGvvxUcRAz2BI9rfAKg,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Zijlstraat 58, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJM+W2 Haarlem, Netherlands', 'global_code': '9F469JJM+W2'}",4.9,266.0,,8819682ed9fffff
"{'location': {'lat': 52.3822784, 'lng': 4.6299324}, 'viewport': {'northeast': {'lat': 52.3836005302915, 'lng': 4.631015680291503}, 'southwest': {'lat': 52.3809025697085, 'lng': 4.628317719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Raecks,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103337568360730841173"">RAECKS</a>'], 'photo_reference': 'AXQCQNScg4ckFQ3HxeyK_pIE85an1pG_G8DX3o6vO5T6Wnd506KtF8j2TCZg91GFC3XYiEnWIlKEI7v83WxyI1vyW8vdLnOllmfJaS3ZsCiu1j79a9Zd86oK80h3N7QcEzRrC8Cc17JnpuDZb1dFUnhZgIBApwYb9lgfGBxLsR6akteT7MKaLz67h8eOMCuqSuS41fXI82TC6sDfqFmTcbNCF6l_1ZLwwthfqQwkFEDmFHVSFfhoXHdtSqH2092TfbbGUQ2R2iVB3R1MUEhGoe3cC6uLnsLWf-NNGQClAj3cMcXGyO7hSsWL3X1afjxSG88aasICqF-TnKw', 'width': 2048}]",ChIJu_G6mxTvxUcR6utcvXPQR2Q,ChIJu_G6mxTvxUcR6utcvXPQR2Q,GOOGLE,"['cafe', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Raaks 1 - 3, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJH+WX Haarlem, Netherlands', 'global_code': '9F469JJH+WX'}",3.6,259.0,,8819682ed9fffff
"{'location': {'lat': 52.3811764, 'lng': 4.635329400000001}, 'viewport': {'northeast': {'lat': 52.3826760302915, 'lng': 4.637527199999999}, 'southwest': {'lat': 52.3799780697085, 'lng': 4.6345968}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Amadeus Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107996276561283322841"">Ron vd Berg</a>'], 'photo_reference': 'AXQCQNRtMh_Dcp_p7yH2gAjl4X8ldYC66f-j0ub8W0MEYSL2eKvuhRKc47jv2njGCXGvZ4l_fsWXqx7VFujs7O0KWNuVoqAWTcKZNBpmyvl6Fb04ofREAL1Olu_9rIkaQF0VHSBFVaiOtbYG48cvkdL3K57JXHQEhVVskeaGHvzJIfXKqyUMbLUphIOboBZWGdOo2EtkQ2h5GB0zP5RExaIL-Car97lg25Z0KpwLBB4pZH9Lh2Y2v1IlZTjzUOOEEolk8lAJHAuMc3EngaDA1Of_kGTMoP9TnIEus5-0bfM1OxLKJDfrUlZMmd7byyOzJHnPzqRSEQpT9MBM5FHwBxuNUYxhvmWK6ANEMGawYSOW4n093MuRyS9yO2Gt_d5BUGGvYg8pjPJspFiu7QERJi29XUGHOn5AYRGY8RudG8qCJR-8gO6Y8RPOJzLCMbjFEpOVW-Fybg1coLTRCtq4SOJr9DIMl3Db1v8bcxnDSp7sNsMyQ8wtrKLPKUz_sOoLYVqFQe4uqHxnRZw7IGdQpp8sUjuP2Iotg65bLsU7E5ij8OuWigdvUP454KlVZemHWu126zn_yI--DNfmWkskgXMdP-5828QbmeD6tYv_gxCl48I1YL5DeK12-jGmffs1Cp-sBhG4ctwB', 'width': 3456}]",ChIJg-btn2vvxUcRhDDya8EMU_M,ChIJg-btn2vvxUcRhDDya8EMU_M,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Grote Markt 10, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJP+F4 Haarlem, Netherlands', 'global_code': '9F469JJP+F4'}",4.0,221.0,,8819682ed9fffff
"{'location': {'lat': 52.3812145, 'lng': 4.6297315}, 'viewport': {'northeast': {'lat': 52.3825955302915, 'lng': 4.631271980291502}, 'southwest': {'lat': 52.3798975697085, 'lng': 4.628574019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jopen,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103719062565479933817"">Jopenkerk Haarlem</a>'], 'photo_reference': 'AXQCQNTPgiD-xPYxSJebaBiN0hKYwtsVc08YVMNaD8_9zmLHE85tQNU_dO4Nnl0DnN8C1HS8LLGKL1YstG18G0Hfw1UAPwT1dW7dJjLz47KiqqzsoGo_7JBmdijYktYoa6tBc9ujZuhag-c9HMvp0nyjk-z1K87dpEa1gu9-F3h1wvbHDc3pBF8Penbvj9vMvG-opKopr_84EAKFW_5GbEruSEMDfxpQPHEoSCzdhDYG2nHHlqbXZPa90IL0LMQGzpqDuDWF1_XtyI-1R0JSuU1McqBEsSYetoZmXhh8AZqNtR374GdYk54idMBwbi5nbL-ugYiMQoFxZL4', 'width': 4124}]",ChIJA4Z27RTvxUcRkBwGh3qr9l8,ChIJA4Z27RTvxUcRkBwGh3qr9l8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Gedempte Voldersgracht 2, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJH+FV Haarlem, Netherlands', 'global_code': '9F469JJH+FV'}",4.4,7025.0,2.0,8819682ed9fffff
"{'location': {'lat': 52.37929080000001, 'lng': 4.6333202}, 'viewport': {'northeast': {'lat': 52.3807036802915, 'lng': 4.634735830291502}, 'southwest': {'lat': 52.3780057197085, 'lng': 4.632037869708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Hema Haarlem Centre,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610170158827874093"">John V.</a>'], 'photo_reference': 'AXQCQNRpUU58MAUdqDVmglPuqEN6--LdW7UWMjGilSBkgYG_ks9Qt8Q7AHtrykKSMneyrggnqcngq9euZfL56a-cDW3YcQ9lYkyl-kknPU7NQK93RL_QUAyXzdpx7oCmLFSBKTF8sx6Yj6tMQ-KwckLU_TEdo4XzqgWQe7bwYZwtGEKAsrlMWv3XrK20vs2VPYkuWHtFlkvRba3Q3F3Cq0f9I1tJLcw0HWqkRoVsKAH9rbNmYp57T4i2DfpEbGFYhsyeHQyroKyq6n-i_5Sljs5UsEMkmvcvH1aDK5aeHBLn5n1DbAvXOsSVA7lxbXgeifsS12bir-xMvp46dhJOaEYNtSfB3Od9cSNQ5iuyElYoqdcBNy0c3UnsLvoz__bOq3DwgWLz9AFI1bkDd5-ShRJbWBNSNUgbigXsbbMbXAwybZsmTnJ3KSE6u21fJRVnrVlZyRaCpJu4G-N2JKKA4yeULILftlS4G7KcuW4BX_pzfW-uU9JHQdgRBv-kTd7qYhmPwroybLhQB_UY8JjXMTRGugUqTWeT-7cz1PD3b87_12kIIq2O650h4o-jxP5tmpKLIMGCgQDgPvAnWSmFKVQI3za-3ujXYyY_a_gOtNvwh_xeU3EKb40g43z1gWEuX4Nmzgmviw', 'width': 4032}]",ChIJS8xUhmzvxUcRB2i6qI4A1s0,ChIJS8xUhmzvxUcRB2i6qI4A1s0,GOOGLE,"['department_store', 'clothing_store', 'bakery', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']","Grote Houtstraat 70, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JHM+P8 Haarlem, Netherlands', 'global_code': '9F469JHM+P8'}",4.0,1011.0,,8819682ed9fffff
"{'location': {'lat': 52.381763, 'lng': 4.629402000000001}, 'viewport': {'northeast': {'lat': 52.3830755302915, 'lng': 4.630648180291502}, 'southwest': {'lat': 52.3803775697085, 'lng': 4.627950219708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Pathé Haarlem,"[{'height': 1181, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100088995798111212089"">Pathé Haarlem</a>'], 'photo_reference': 'AXQCQNSt0sgyJcHSTS73F7DudzfB_gurGNI3Uj1w5nxcqYZ_QAmtm3N8cSGETD47iVTnjs2sJz7Ff-iHYAqadoZConfCfwqgt4mxlCY-h-Ys3qP1vEZqEo42cEVvj8nG1Pg5l_CAxH1LpImIzB8cOXJi_CWPKA3nnkaEIChZxsFiY_tVGXFpXKLy614q2LnVPk-AW6dCGm4YJ5qEYhwAbmnw7oBK547CNwhTvt6zS_r-7hcdyOaxTKOcyfB37CtIOkinAMmSWfMdvZRPGn2n9yyFelic6phxztktP3zb26vjP12F93K1RMOsisW6S6JjNS7VGl59CF24rXY', 'width': 1772}]",ChIJ-x5khBTvxUcRHPqPFatcwx0,ChIJ-x5khBTvxUcRHPqPFatcwx0,GOOGLE,"['movie_theater', 'point_of_interest', 'establishment']","Zijlvest 41-43, Haarlem",OPERATIONAL,,"{'compound_code': '9JJH+PQ Haarlem, Netherlands', 'global_code': '9F469JJH+PQ'}",4.4,4548.0,,8819682ed9fffff
"{'location': {'lat': 52.37938949999999, 'lng': 4.6338511}, 'viewport': {'northeast': {'lat': 52.3807180302915, 'lng': 4.635069330291502}, 'southwest': {'lat': 52.3780200697085, 'lng': 4.632371369708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Hunkemöller,"[{'height': 2863, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610170158827874093"">John V.</a>'], 'photo_reference': 'AXQCQNQmQ121iGJAErFpW63nUc_CRU2qzetHtKOFUM9-WIvY-NPDMrrEUn2syU8KRnxdUOA5XxEPU2gWR5pu1ofif8il_bE1mVSPQwZtES9uldcQ5uC_Uem6DTxRIFdHDEl3h4uXJPZ2efEMqJMsNkDQbrH7yKKbiThhlA7TJiigCP1eRgJpPbX5y_7DyR9sLuhAjW81sKP2Vpv6VxG8zkVyCb8PEIbz1WUdkQCz8WhOZtLDJqrZ8nPe1Uu0rS-n6kPc4XzZggFUNsTgQcs7kRzqp-otxxg6QPGIZmqcUDDHWDRFvrq-jsyoDwv_5gcvMdRF7wRM6-RwRfJCgfZnJbyXwuj-AVYvD-BXvpCo7vYA6ZXxXdsk_jIdXDHefU5OkJYVn9BngnmDtNA5o_j_l50XTUhnXnn5OEPZ7NiWL-NdK2ykapXYsWMvGpBTuUXNgoqKqIH27adw3lKEV61npWfsN9bra1R2d4164Qsvd7jQq6NxY3rjr6J0O9HMO6ONa1wKZIma5VsW8zC3Vt5atcHxZ2Tl1f25Lr4ICTd1iGNrgU-Xz9TJwHujY4NJ5nzsDKHVGQdqnnE78QnRna6lpSfEHcprlXFv5aND99R7Z94oHBnpv2GVrIUextd_bujpX7mqwuw89A', 'width': 4572}]",ChIJPbmh5mrvxUcRPznMuNm15ok,ChIJPbmh5mrvxUcRPznMuNm15ok,GOOGLE,"['clothing_store', 'store', 'point_of_interest', 'establishment']","Grote Houtstraat 71, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JHM+QG Haarlem, Netherlands', 'global_code': '9F469JHM+QG'}",4.1,98.0,,8819682ed9fffff
"{'location': {'lat': 52.381213, 'lng': 4.635442499999999}, 'viewport': {'northeast': {'lat': 52.38311288029149, 'lng': 4.636677730291502}, 'southwest': {'lat': 52.38041491970849, 'lng': 4.633979769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bambu Haarlem,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114848983037991372183"">Bambu Kitchen &amp; Bar</a>'], 'photo_reference': 'AXQCQNTfPcPmT6cwxLhx9VdKZWANEqf6klQrqsv6KA2Mav4UEFJ6BIlSNhfJ3snqiuqKPew0CmvqAOTtrBi1oYBn4797X0t2EvtfK0wFHBRrqLxaB1HMwwkUBQUIip790uEZ-a8HBJ5RGMvbZ5ggQxjL2dwXLc1VUTIwfpnsiynlRV9Zl9ulFqJeV9g7VUNBkZ7APUqXdcjsSAQ5rGEQM-yj74H2PoJ--mbSMaMNyzvk7cYDL7deKfD0l17VKqKkTOYrBXmW785Xd9ChiSIE4Oofth66JGPFLMzbg_wFTAmidQ5z-YB3J3DkZnhgqlai3uR86i8LgCfyQ7U', 'width': 6000}]",ChIJVVWBn2vvxUcRjtyy-qEx_mQ,ChIJVVWBn2vvxUcRjtyy-qEx_mQ,GOOGLE,"['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']","Grote Markt 12, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JJP+F5 Haarlem, Netherlands', 'global_code': '9F469JJP+F5'}",4.3,680.0,2.0,8819682ed9fffff
"{'location': {'lat': 52.38018630000001, 'lng': 4.632961300000001}, 'viewport': {'northeast': {'lat': 52.38151403029151, 'lng': 4.634179380291503}, 'southwest': {'lat': 52.37881606970851, 'lng': 4.631481419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,B&B Het Hart van Haarlem,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112127721052235553381"">Leilei L.</a>'], 'photo_reference': 'AXQCQNTsZtF2Ss8ONo0rTQVtyLMy3zVUx3ETMWcXIsjoAKQ-IBUfqpHtzldDVmVbJWO5WeqWQ5ppzBaiUCt1mvLrB68DkrP5kNGFyxvjViXyqD-7EsqtgMDCEMF1qBrFjAhblrszpdKA9R9Tw8oj2DaGU_ikihakihkcZVb49ScL0WdBA7nAG_abrT-opzUiYQJ9ekNqnNhhBjiyozTAVfryVOyaoT7FAqQ4eVgTvtVO7fiuBtmsMtJQeUNFgCzDpCqhqhMFH2Ir0HXp-y3gkIevPs_4y9Wcv47rrgnTY6Fy20kD_uYmFlKh6KvWBxNSagkbEbWOGKXBmFP9SraWRPhNZEMHy2nX7BcKQ0fBBfsaalN3rkDr35UWD3yKlg1gHNrD8zIe26znNHBTkeAcuIvUeNGLCo-GOieMn6rdL6exEDIvt1-Y6SvJ5CK7lwMPePu1cNbO-nDcLYKb5boSZZmjCz_Iu57bMtIky1JF_rjwvdLsg_ngNixqIHX5sKmvfi_a6wT1b-SwAobW1fEAqD-suTO7vgE-yJF6P5UUSgWHWA8ivzn1RoFUlT2ptk4PvL4LONZUXcKIvfAVjL9fNgJ90lIEYQfc6bn3KdRw9519N9zJWCwNUTxwA6UKWPnLUrsYRUpYedI-', 'width': 3024}]",ChIJ2fe6JmvvxUcRcI9pfPM0rZQ,ChIJ2fe6JmvvxUcRcI9pfPM0rZQ,GOOGLE,"['lodging', 'point_of_interest', 'establishment']","Gedempte Oude Gracht 65d, Haarlem",OPERATIONAL,,"{'compound_code': '9JJM+35 Haarlem, Netherlands', 'global_code': '9F469JJM+35'}",4.8,65.0,,8819682ed9fffff
