geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,price_level,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTtL-kZlGdlBwm-u64FhgeLvR1OIopCmxFYc-iiJ7dPB2TsCKfjLCUrUzMutFSyy45i7dQZZAXOXqR1eNBunbboC5hUuyMrBPzIoCKk7lJ_i1IDGw82frWmUKLaH8DteTQgzsEOpUn18b2cNqApPKYaqXoY0HmkPqImM8JhB2PFfSB6rJlYRLozca3Z22Ktl4yO7-KS7gndFqbtmNoKwC3XR-jk04K0FwcnL_y60586SiSkKcERLwA9oXj5mP57BTNCaCL88ANIBt08N5_OND3JbrTEG8MugdV7yIlXX1Qtusw9xZW27tLoMA6djKbinT6SbqXnvBg_-qeC1u3ZMhu8pAu3TfSyyev185Arl_kITLCJUMz62UoKPDvCZv82idRewaqQJxvE3reTBJjTNdvmxZHMsoLQKap-yzRk-YlJMZuRSrN1XDuleG6y24boiyn8xdD0DzWoi0RXJxm8UKug6ZCJu8T0Xu8He2WPudsVYaw2MoKpkZq4SOehOGFm8zGYvJb4bEhjFrC5J9qih2s-VrXQp47M9I5bMy-EIFzS7XKBmNdgpfpIteCJH3StFKMksFz183_keSdNejb_Ci0WSFFgqkbt0UYJfbwGWjxy3SQVUCSoTwLAUmWnN8sL', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682edbfffff
"{'location': {'lat': 52.3744153, 'lng': 4.631590099999999}, 'viewport': {'northeast': {'lat': 52.37571468029149, 'lng': 4.633009280291502}, 'southwest': {'lat': 52.3730167197085, 'lng': 4.630311319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Carlton Square Hotel,"[{'height': 5792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105925688659629330495"">Carlton Square Hotel</a>'], 'photo_reference': 'AXQCQNQw2z93tNeBLrBBGoq5Zhwk6AOYLy2mCYg024yxvIxWJgoqAcWlKDGgReGetDrFdzRccajYrPDrWBYKE80-cIQd_LWJqdrbZSuQR_kWAwrzMl3y9rKwgk1zwBNHlpp6p7EsIfUCYdIG0zcuhbo6H2jtSdpVZrcFE3UCn27a1omwknE3_zxm8WryQvHCanJ_cuXi8WC5oHA-FLPytIOkSWDYDx_gNtmGGpBDIXH1YDNvMRxgLGkBzLPJFWMLeKHJ0dyJUky4hCs_luwjcRZN8bSy4p6oRlnafiT21iV6E7LsKl2tSCOZL5TrZv9OljjJxe_ioOP17to', 'width': 8688}]",ChIJZZcehkDvxUcReYBVtbOKS2Q,ChIJZZcehkDvxUcReYBVtbOKS2Q,GOOGLE,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Baan 7, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JFJ+QJ Haarlem, Netherlands', 'global_code': '9F469JFJ+QJ'}",4.4,1117.0,,8819682edbfffff
"{'location': {'lat': 52.37464869999999, 'lng': 4.6309961}, 'viewport': {'northeast': {'lat': 52.3759638802915, 'lng': 4.632099430291502}, 'southwest': {'lat': 52.3732659197085, 'lng': 4.629401469708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bank-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bank-intl_pinlet,ABN AMRO,"[{'height': 352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107760486063966059046"">ABN AMRO</a>'], 'photo_reference': 'AXQCQNTdf326_H4UcNrtudy0eSPR743tBH1_GSaeMt1tfxxlZ9S5ENZtOi-4pV1fDJKzMKnBKC36yqmxY2tlvRWHHzXJv3BZvyOQGEEkcgBksza607gRqiYsSakk7dEG_XQeC1jSQsiF2yk-mVYLxCXM3o0IdyAwSAV-V1MFNWc2j2RClwTyJUz86KMoxzBJhfn57ROiFXW1TgH6D0rKzwzQdtZK0-WpjaBy6U72yJkKGjMsbOYtt1q1GVMWLWEYw8itL75yDYRSQA8IGq8_KfyA63zqsrpISwjAAguKw50whjZn0QVvmcapIy2bhcvfnsqn4s68XzGgusM', 'width': 624}]",ChIJ-aOGfz_vxUcRIF7SCh8i1gU,ChIJ-aOGfz_vxUcRIF7SCh8i1gU,GOOGLE,"['bank', 'finance', 'point_of_interest', 'establishment']","Houtplein 47, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JFJ+V9 Haarlem, Netherlands', 'global_code': '9F469JFJ+V9'}",2.9,59.0,,8819682edbfffff
"{'location': {'lat': 52.3765894, 'lng': 4.633628100000001}, 'viewport': {'northeast': {'lat': 52.37793063029149, 'lng': 4.635048980291503}, 'southwest': {'lat': 52.3752326697085, 'lng': 4.632351019708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Frans Hals Museum,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100812885021590031398"">Onno Simons</a>'], 'photo_reference': 'AXQCQNRmlHFimvBpaH0nw1Guh3_ai8lNrhO_x6FytATblwcEzznyxN25XOmXELMu4Yduu4hmlUmZGYpy_UqLz3VZwSZvF4LgiwP_zbSmiB44MVufGlJXJ1SybVJQmK0hupM5jjlI_6BWvPsCfqKnpKBXE8vTjZfvROlEG9FvgUdShZdVN5tuuBCvAfwlhvDW2ZyBO03bR-fVG1FTFe8_Og_XadA4I0LJeZ0bT1SlUGpHL0QowmwOT0mX1DRU5zgMDnoscgMlEt2UEa8-odJW0LFeFXGR4YhEGmmC5IxlQi4gLC3r-0D8lG2RLOwb4bw_L8cWhyBnb3_oEaN0n0uio8Xf-2e-DZNRBuK0l1d4ciW3Rla7OHaP0BNPBwVIlaKsxqxl3eSOVGlfqcOf6XhDmNZksWW-5qX-qNkTAu8dsE06Pcm2hN6kd9FEdXV06TQA9-BcPRgzZKtXuKM1AnFft66rVFCLIAYpN3ZzBmyhxl6W9VIHVLJc28yZgWozQdomMuPrgunUMWUr2JX0cxF9mH9TgHN1EP6cK4VjdZ61dRLv-9_iBjFTapLtlbnDxWX7LFRfEfoXxZ1liDtOHae-ysyXTPLATGXWoMH9SCVD5juXZtdVVc58DWnk-UfDbd-0N2YatN4x7Q', 'width': 3968}]",ChIJO9v2L0DvxUcRdU0VRVnyzUg,ChIJO9v2L0DvxUcRdU0VRVnyzUg,GOOGLE,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']","Groot Heiligland 62, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JGM+JF Haarlem, Netherlands', 'global_code': '9F469JGM+JF'}",4.5,2890.0,,8819682edbfffff
"{'location': {'lat': 52.3724284, 'lng': 4.6382315}, 'viewport': {'northeast': {'lat': 52.3737407302915, 'lng': 4.639573030291501}, 'southwest': {'lat': 52.3710427697085, 'lng': 4.636875069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Dasia Cycling,"[{'height': 5504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112236861577494393489"">Dasia Wielersport</a>'], 'photo_reference': 'AXQCQNQSFMQ-9jKhB-h77qKA-bKKSbcVtI98I99WlZl5aPf4KMAvzsbsZSYHuCPQZylVWvlrEf1Jwn0Uy-MfXlsPuF2_1dFSSZVuy6KY3o6bORIHQcx4XuiL2gAWFgqvMET4CAck4WAiSN8nL0AukRxFeWt3nbthkMAvbGf2NzKXsoRuWVpwOhR_HpLyEXctoozeKIN1TOx4r5TOIW-DaTwE1HevjFEcWLIq35Lyw0tnge_K2hAIiOmnaMGy0aCJcypCJza62OLNbeKX86eAPNrFyrNs1-IFjegavJP55UMZLQzKqtK-gtJ_aGLn_B7aA1W7HiPopz5ld_c', 'width': 8256}]",ChIJKzXdzULvxUcR0pnwddn5sjI,ChIJKzXdzULvxUcR0pnwddn5sjI,GOOGLE,"['bicycle_store', 'store', 'point_of_interest', 'establishment']","Rustenburgerlaan 73, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JCQ+X7 Haarlem, Netherlands', 'global_code': '9F469JCQ+X7'}",4.5,87.0,,8819682edbfffff
"{'location': {'lat': 52.375138, 'lng': 4.630417}, 'viewport': {'northeast': {'lat': 52.3765051302915, 'lng': 4.631855580291501}, 'southwest': {'lat': 52.37380716970851, 'lng': 4.629157619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Willie Wortel's Sinsemilla Cannabis Shop,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108308519458889870279"">Peter Lunk (MrLunk)</a>'], 'photo_reference': 'AXQCQNRbcC_GC1IcaHpwNeQzzNKwojLgLdCldDl60eWzduNBwNtohT0R6IfTUXMUfObVFWeSfpdPkYExoN3of8Hme6OkJdqkZ0SfrccYlMRwsm4XxSdrQK_dvguCczjawJkdFAxKAo1TpfrQ4Q6gpIDM9sFS_tTbYh_dBJ3_IsWyJYVGmBs9vtM2eQ-SvJxFkVW9YzpyRuJfD6Ak6wNchjhsQB_zGZC6mJh0Kv2ihdDbE6PGvNC_GTaBmYqCh2el8dGEcQaL0a1L9xc17phXkqjuGlywboqeWSBfL6bbKN6ctRmxz4IMXpSabGsS4GX5RVEH_sCWBOzZddcB5UtWLzJeEO4L1BO7vB2CnhR9EaYXpvXi4JaPelhMni3wLL9vQfHG-GknBn4je_EmvOTKfZwH8suPNJ6p0qR55yUdVvD5SWfuu7aAmloc4yBf38muvtI6ofm7b-2YNFaocBBzdzv0K40ps4U4HTAWVPPA7z0kplFO-0kxOzK0gjpMvxuhnHIWGR84XX84yL7HPw12RGlDYs7C1Tyzu9GfoBfMylFl9_BReDDfpwSE5uxPrMjnoKzAlf_3beb5MNnGo-bSjLA2vpViK0XU863s-lpnP8dy9Po6mSbvH6QrnOEWDHwZX3vfcKAObw', 'width': 2048}]",ChIJFcV_hj_vxUcRCrpjUJsRzPg,ChIJFcV_hj_vxUcRCrpjUJsRzPg,GOOGLE,"['store', 'point_of_interest', 'establishment']","Houtplein 16-A, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JGJ+35 Haarlem, Netherlands', 'global_code': '9F469JGJ+35'}",4.3,239.0,,8819682edbfffff
"{'location': {'lat': 52.3722496, 'lng': 4.634197200000001}, 'viewport': {'northeast': {'lat': 52.37356048029149, 'lng': 4.635520980291503}, 'southwest': {'lat': 52.3708625197085, 'lng': 4.632823019708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant Fris - Haarlem,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111416277511293414130"">Restaurant Fris - Haarlem</a>'], 'photo_reference': 'AXQCQNRmCEyh_cZc_n71XhS5Xa-L9TcXmoLsUTcDZLrs2YrId2jYaCIzpWBKG72LX30PFyhZTlgqBMz9cvNliNdBOm8nFEcySLu3Lezw4jX32mJXZ4knHbZfJDC4MEUQwIggkqQ_lt_a_jB3wcYwHIiu7yRblQ2oIzqPRd0Igl9WwhzVci4symKbD2iqt-4KDXeeGpyIXuHYwVBzGKiE05vIGfIHQ6SuTIWZlHv9wh1QPQv53jLaW3yU1IdhnDUTJ8umMKH2SoCZ7e8QQMK1JREWhm3dsaZeemDdZ6MOj3gkJhhp4QO39Gyeyp-GK7pbtt2UDnkMfJrRTqQ', 'width': 6000}]",ChIJKdBrKUHvxUcRCjRxM9XTCc0,ChIJKdBrKUHvxUcRCjRxM9XTCc0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Twijnderslaan 7, Haarlem",OPERATIONAL,{'open_now': True},"{'compound_code': '9JCM+VM Haarlem, Netherlands', 'global_code': '9F469JCM+VM'}",4.6,423.0,3.0,8819682edbfffff
"{'location': {'lat': 52.3770731, 'lng': 4.634051200000001}, 'viewport': {'northeast': {'lat': 52.3784305302915, 'lng': 4.635336880291502}, 'southwest': {'lat': 52.3757325697085, 'lng': 4.632638919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,ABC Architectuurcentrum Haarlem,"[{'height': 2126, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102392281101432813106"">ABC Architectuurcentrum Haarlem</a>'], 'photo_reference': 'AXQCQNTkvIgkFUs4zrVrHJLFtUPkxA4l56KuLmy5CjCKOoEpfX_BtXHd21M5SwNrYRjZ7hiQbPJDoHbr4U2-JvKl4OVuyBw_6BN2Ypgi-AjBcVsHiZEpCGitj_OPxQYhNtin55e7F60mVfu_rSUXd6Z-jNoLwExz9beZTLVGCdnLmPeqh_ChG724iAcdHWwkhCFro1TOYLNGeNIOGJ-GJRsckpR2sQJkvUN8qiP2I4PQ6SdSb8gkul6T5Dm1BkGV4RDBIfVZyN3Lh0rL7_kEiYJbil-mxrhITHILa5uU94qqsR-tYAGmB_2R7KjGwDTPzGVYXZxBJuZE11A', 'width': 3177}]",ChIJo8h6KUDvxUcRLUhbUpk3wEQ,ChIJo8h6KUDvxUcRLUhbUpk3wEQ,GOOGLE,"['museum', 'point_of_interest', 'establishment']","Groot Heiligland 47, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JGM+RJ Haarlem, Netherlands', 'global_code': '9F469JGM+RJ'}",4.1,87.0,,8819682edbfffff
"{'location': {'lat': 52.3775, 'lng': 4.6313889}, 'viewport': {'northeast': {'lat': 52.37899333029149, 'lng': 4.632224080291501}, 'southwest': {'lat': 52.37629536970849, 'lng': 4.629526119708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hofje Zonder Zorgen,"[{'height': 2825, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115208351239723773127"">Hofje zonder zorgen</a>'], 'photo_reference': 'AXQCQNRAESUpOYENqzUDjHF4RcKGjPIoR_Ys5dPlQO3sTPfOiwARqUp-ud9pB8mvLUHCZ3b4vTU3DPzLRtmb8iohWKDHFnvONiU2V7VwMsTMLvgiTgRxop_VruJQiRlzkkXgHnKKTufMxfavpCc9tG_lZDlsQ_gLzeWhdkqONHkAJmtOQtjATqX8L1Nf9cfBan6Fi-chAgR4HrC0CHuPZw6aiEWkzoL5qyhd8EgfNCg5U-NpZbDaUamdM9jfEHawTurU-s_6eyyNdkvmWIpMdw35vnkSdxLZS3YmhnZNnceOXmRS5vSJubSaL0bIfjDHe17Szw2LfBRbq-4', 'width': 4000}]",ChIJx4rbqmrvxUcRusS_zHDmZ6M,ChIJx4rbqmrvxUcRusS_zHDmZ6M,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Grote Houtstraat 142A, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JGJ+XH Haarlem, Netherlands', 'global_code': '9F469JGJ+XH'}",4.2,765.0,2.0,8819682edbfffff
"{'location': {'lat': 52.3740885, 'lng': 4.633563000000001}, 'viewport': {'northeast': {'lat': 52.3753974302915, 'lng': 4.634883630291503}, 'southwest': {'lat': 52.3726994697085, 'lng': 4.632185669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,E.J. van Wisselingh & Co,,ChIJ48uD-0DvxUcRA8cRVsrK4h0,ChIJ48uD-0DvxUcRA8cRVsrK4h0,GOOGLE,"['point_of_interest', 'establishment']","Baan 41, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JFM+JC Haarlem, Netherlands', 'global_code': '9F469JFM+JC'}",4.8,5.0,,8819682edbfffff
