geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,business_status,opening_hours,plus_code,rating,user_ratings_total,permanently_closed,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTj4tNSBZDq-aEfO5KOmhjJhR8FM3bDnPcZoP58yZUz-eTlXdS1NlUWvuQkSm9npbt6UHTOmLpcpntZiIB52FnEyZiJJGyf-yctWBX-pNQUjWrIpvaUjH272H_CPNG57QEhfVXfsdzvkwpSnjrWXG00nqe_x1Mvh69zUHxLa7UKnr2hxQ8s3D1Nap8E4uRRjc3ZDIcV7hS1sgYlBvg8N2GvKT4lj3EVUlgOwRo7bZq6DB260dbWOn04_aPvcH48paHIobJGlpRE4UD0c0SYR5l6zARciHfS5rBkIvG5sw6ujwMDJ9EjrAt2NHRZvDYOwaS-auu7w1Ptmz3ZXe0WPuTPKsV1gp83yND9XIBKbrowCg-qD9eXLtfTEfxkiEihRtC2TsP1tNu4Sei-0qrsDjZAH5Dz7ZZBDyx9Lma3Sc3dBL_8aEL-t6_9IbpdFYt4ges8qmyoOUzdCzhrVFAIZ5MfG759O5czUPbMu6otNN2jnFIqPasHzClFg5N1_PP5NCr2tq0ljruilaoNMkMbl1y_Cjd3nfkb-iDkgAmv4DMrMgdaUHftFMDnhLQ85KVWpf9edbq-NjIS8BLItcYMw5OljNLflSZN5OXeJhtRFbRiGRjm_VQwup0abkzTx-WI', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,,,,,,,8819682eddfffff
"{'location': {'lat': 52.3841362, 'lng': 4.6153105}, 'viewport': {'northeast': {'lat': 52.3854838802915, 'lng': 4.616590280291502}, 'southwest': {'lat': 52.3827859197085, 'lng': 4.613892319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Amelia Dans saal,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110820396158347335444"">san hug</a>'], 'photo_reference': 'AXQCQNTM9A9_HNAuofSr6F4dKZszWeyTQkkmM6X0qBkVGN26mffdqi4wBQ-XrMuP0dT02mgEq5FjfCRC0DGhr5qrcKdLmb5ET2BNDV4lZZjAKEpxZ8we_aKK9CYBcbPTY39A13oahzJq2kC8X4MoFe3PD_8rcdkJFX1uv3HaCnp3n7IMRD0feFRZ4twABsUMi2_x5Xr_z-AOoqlrrPWWNUTRQAQQH28NI1SG3UCclbJrIiVnW1o--sL_Ol4Zhlh3v4SCpgNCWOVawVvZj2C1rtyXmwoyoiftkLjfrHmqWz4JsvfDIUjJm8FZYm_bftvQC2bwO3Pk64R8caS7HJUx4nc0Nuykt8kDdovkJaguax-dH3w72qnprX2ijsqw0j3PO_ykBL4BOHswrqOdb-sRLRR5lOGU8MzIMX6uwBcZt6VL-IPTmd0DAtc9QWMeH8L3ZYx66ap8qv6N3byYR0jvLMmVGyUeEgbeeb78-5VtHCZBIy5NoXmmu939qnUwfhapW6kqobNtPI7M2vc0nrbImOj1Ef2DBBymJtJR-0feA4vD1hl0qyYDXZ-3SNarjk71ppK7Maexf_bFz3g4R2EGkEoxoY9wyil8jVUuVe8mT2yIUqDPyZPR4FXu6qwijZeqOQTPols7rNvp', 'width': 640}]",ChIJ2878zhvvxUcRbu0jlMo6W0M,ChIJ2878zhvvxUcRbu0jlMo6W0M,GOOGLE,"['point_of_interest', 'establishment']","Houtmanpad 31, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JM8+M4 Haarlem, Netherlands', 'global_code': '9F469JM8+M4'}",,,,8819682eddfffff
"{'location': {'lat': 52.379588, 'lng': 4.6157688}, 'viewport': {'northeast': {'lat': 52.38101393029149, 'lng': 4.617177030291502}, 'southwest': {'lat': 52.3783159697085, 'lng': 4.614479069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,De Bloemenweide,"[{'height': 1972, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120029600420397990"">Hermes van Amstel</a>'], 'photo_reference': 'AXQCQNTkparzh2cgu5FNHSxmrcKQauPqmZniziDtSapJHXAtKtKgwO-wixr5OkpoKEbqlqOOInBFz_GoQfRPFSb7IooNghCQKdf3U6X7rgTjYcTN-BIqQgJgWVgtJBoM4T35EMRtqUUe-wgS9Kvem1BKId_JjFS6uyb9q4h2nrlUy6UVeYz2H6fsjOGMJlVTFZlEAH50KhyMauXtcBn1fUqVJzjFkdCy7y0WWgXOgBWvCtNuWC5TorSHHdaAczJEvXWI-74typUalupkiy6tMsdRGaA0WKQ7ANJHDyrxtD8GNKMpL7lrxK-HMlYYrtPmNGlFplCSfE_J4_b9sXYjMBTHqAFLcgC8UXxoMLdaas5tUOEfopIO5cx_zZ3lZbK84dAAYZVQtKlvfF7gRs4DcGexFZjcjn9W2b-u-9d-sLPuH-nuM8sG9jhU6LR3dtmeX_7_AUk1Ys922DZ9L31G_jWBq0V_oh_eyNXWEOE8PAAEA6O_CIxHrDNUuTGZqm7BmYJGAHkhCDDt-2g1RihAM_TnDJHE1uIJlRk24Mq78K3xH6fORpv1zo6l7ZS7HZs28otEswS1Ex0NMqtdXliId2NX8MQqpDB1aReRwd48XbjLAsgdyeImeh3a-j-nj-nBmo7cWK2LcQ', 'width': 2629}]",ChIJHQ-CXBjvxUcRrh_5TiVkl9Q,ChIJHQ-CXBjvxUcRrh_5TiVkl9Q,GOOGLE,"['florist', 'store', 'point_of_interest', 'establishment']","De Ruijterweg 32, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JH8+R8 Haarlem, Netherlands', 'global_code': '9F469JH8+R8'}",4.9,30.0,,8819682eddfffff
"{'location': {'lat': 52.3816667, 'lng': 4.610833299999999}, 'viewport': {'northeast': {'lat': 52.3830118802915, 'lng': 4.612179730291502}, 'southwest': {'lat': 52.3803139197085, 'lng': 4.609481769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,DekaTuin Haarlem,"[{'height': 1212, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109208506233271503384"">Danny Gooyer</a>'], 'photo_reference': 'AXQCQNR4pXxXOM3J6rlUR3zgbMSpVYXqdj74WSsazjlHTdHH5rx9vw65teOGKBHgD1j4tggZZQbHiFLKXkrd_lkoN0vpsM608r3YP1MeztokTXfuh5I9Wf04vlVcHVFT45w_QRW3bLEJircyQAL16btqr4E5LhIkkqqWRSA2Q4OV4gv3ymAaLuv0DUW78GEvUhTm1NhpNuus3AWpXiMGGwwTb_F75vkMC8wlfFbzj3mwOrYNq8uD26pcqzYFDLtaiLzy85DmGK0JkHLGntVy95-Ha3VzkhcHa1GceZ2WFDTNF8HRFTCGcvlU0kl-PD9gl6_s5qG5yaIQSGr4NxrLkp9LSHVB3HJ6SvKkm8CNWmhdLE-9vJ8W5KPDEFu76s1NH6fwYAGGI9fFBou8lVP6Fs7kTFDXdVUhF3OX-_hA57NIYOrRO8lPhh9V51cU-w-9XU5lGjN__plRGlKLd2p4lf8pcUkhJsRPbw-WidCRayKays6akKr6q3B5MTXpNUbeZRDyg-hgwCMLEfEZe48_tXgyVpmo6-y2wh8O-bawdkAO2GNrT5pOlFga5u7UnbBiLxVBucEsNOZc1KMHR-O__4BZS2P-DGk-RJZWqIWMYBmPYHVYWgjZE6OHKDe4pJ107D-yVO6Nk_Vv', 'width': 1614}]",ChIJp6O_wx7vxUcRy6Ecv6tsoA4,ChIJp6O_wx7vxUcRy6Ecv6tsoA4,GOOGLE,"['store', 'point_of_interest', 'establishment']","Vlaamseweg 1, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JJ6+M8 Haarlem, Netherlands', 'global_code': '9F469JJ6+M8'}",3.9,737.0,,8819682eddfffff
"{'location': {'lat': 52.3828609, 'lng': 4.6168456}, 'viewport': {'northeast': {'lat': 52.3842309802915, 'lng': 4.618091330291501}, 'southwest': {'lat': 52.3815330197085, 'lng': 4.615393369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Wateco,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108335847881976207602"">Wateco</a>'], 'photo_reference': 'AXQCQNQBNwyZd5qpOda3z6N-h7es_s0AdS0oN0EWpjV7rjfYiALRfEzy91rrWD8i18IGN-Ti3XFGfFOKc5fw_4_xqlYuPyV8qIJyme-B5u14ulbnWp9UV4SmN7iOV2IulL5csyoKA8uecf9pCvRRlsjtmV3AVSi6SG-1mfHkq8BQC76uWVWiKiuqyLppljXwdnmiKAhxaMbqPCbEgVvuh8iLO2xe9GPHq0z54ngldzJxt1iRYRxsRm8DYkchCoFcs75udJWEW3_SnvsTWxKzJdktX6REw_Lkl1bdr9JoO6_s8QyQ9v8-ToTH0d8Dr5PwoOvZiUJNSwRe-zA', 'width': 3024}]",ChIJnQ-1jhnvxUcRy1nADrElVtY,ChIJnQ-1jhnvxUcRy1nADrElVtY,GOOGLE,"['point_of_interest', 'establishment']","Abel Tasmankade 27, Haarlem",OPERATIONAL,,"{'compound_code': '9JM8+4P Haarlem, Netherlands', 'global_code': '9F469JM8+4P'}",1.0,1.0,,8819682eddfffff
"{'location': {'lat': 52.3805627, 'lng': 4.6166753}, 'viewport': {'northeast': {'lat': 52.3818386302915, 'lng': 4.617983030291501}, 'southwest': {'lat': 52.3791406697085, 'lng': 4.615285069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Houtvaart swimming pool,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104943443615507229850"">Richard Moester</a>'], 'photo_reference': 'AXQCQNS8zNnnS03vtM1212U0btFSOot1VuDIsoycOrXrrHTHfDqfp_CshkRoTyUnA90dwlPFgxFgq2-pSDTRcZn19M-NAVQElKw_IaVSyTINVanlDGnsgjKffOYcs5-yhC6_lmCX4MEqqF1xTY0euqpE1y3Lsl_AJgjtc4mTxD5jfvxNQDolvrBSTHLdsP6OKPEndLsF1vy6BsyM6wrdwpPF1R1qhWPL-2dHeVjV5zQjR6FuyBsCSQ4OElanNpDiEKKm06Kw8djmpgMjaYuU9BPh7XMWawOxjjMhzz6DJ_i9NFhJSzYuXU1wrT9885tWMPjPt2dyU-DwLRRvOJK5YMUoJb2v-axhH5Lexx9vYSwvI7PrTIWbPFUDzpUlkagZ5nHNL_8VYn9hkMcl5vH73ZfcOBJdSR8-4BZp7ktNrTdAJTY00gc-Rb1ojEr0Few91E2C3_7_RYDeEVwhCPhonjBNb5RO4cJgWv8YB3SHeWMpWoeKI9nuK2jNVDkUYKm0T7Qg2-HnbQOy9EwiUu8ePmdfO2ngjqTIADGUYdm80E7GgXTsao11fYe7eh-KePUqT4EH64uIT3zFHfI5crQjQze-AZzTi7AaiqkHgj4XjnvV1lRYfc1hHYIPTjxh6hWJHw', 'width': 4624}]",ChIJuQuxtBnvxUcRs_MpK_TxOTQ,ChIJuQuxtBnvxUcRs_MpK_TxOTQ,GOOGLE,"['point_of_interest', 'establishment']","Piet Heinstraat 12, Haarlem",CLOSED_TEMPORARILY,,"{'compound_code': '9JJ8+6M Haarlem, Netherlands', 'global_code': '9F469JJ8+6M'}",4.4,313.0,True,8819682eddfffff
"{'location': {'lat': 52.3823555, 'lng': 4.616516499999999}, 'viewport': {'northeast': {'lat': 52.38372083029149, 'lng': 4.617785480291501}, 'southwest': {'lat': 52.3810228697085, 'lng': 4.615087519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Allsports Web,,ChIJOZiOkBnvxUcR5r8g0-UT5rM,ChIJOZiOkBnvxUcR5r8g0-UT5rM,GOOGLE,"['point_of_interest', 'establishment']","Abel Tasmankade 43, Haarlem",OPERATIONAL,,"{'compound_code': '9JJ8+WJ Haarlem, Netherlands', 'global_code': '9F469JJ8+WJ'}",3.0,1.0,,8819682eddfffff
"{'location': {'lat': 52.37894469999999, 'lng': 4.6174212}, 'viewport': {'northeast': {'lat': 52.3802777802915, 'lng': 4.618814730291501}, 'southwest': {'lat': 52.3775798197085, 'lng': 4.616116769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kleurRIJK fotografeert,"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100784534499541468625"">kleurRIJK fotografeert</a>'], 'photo_reference': 'AXQCQNTnFi51bI8L4pzk2Z-5LNp5Z3ldOIgl7IcbS01engqdKbOouhlKA1EJ08dgRq7GqMx-W-F-A7IlOZ-CUX_eJSYDv-L3s1RTBynhxtOadYudzyJAJrj1eGB-1ly3XaZuQDH0qE5JXHu5WHIFPRgG1kXVO9eD076QRekC7zgQc6ABcgNmXry1ZeGNE55vKQLzifQI_z53-qLnYz3-gkvjQyIxADEpRtoSRgLh8KHuk_0FeKlvyeuM0x5hdE5ajfCadPPn7ZIIns114TqdK-VvotqT0GGh4gSN2017FQszYDv2jCID9nK1WxN46bk57eARf4IznbUbv-o', 'width': 1500}]",ChIJl8szd8ytyEcRxtiu7TQ4tqA,ChIJl8szd8ytyEcRxtiu7TQ4tqA,GOOGLE,"['point_of_interest', 'establishment']","Calvijnlaan 81, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JH8+HX Haarlem, Netherlands', 'global_code': '9F469JH8+HX'}",5.0,5.0,,8819682eddfffff
"{'location': {'lat': 52.379451, 'lng': 4.616302600000001}, 'viewport': {'northeast': {'lat': 52.3808775802915, 'lng': 4.617692180291503}, 'southwest': {'lat': 52.3781796197085, 'lng': 4.614994219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bouw Offerte Winkel,"[{'height': 446, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113235443467633015223"">Bouw Offerte Winkel</a>'], 'photo_reference': 'AXQCQNS6oz6wFbE5FPLhmas5zLZZ6FZ_z6ZC8Z7PuvRkOHf-PLPQwBuILRzDtFZsjPEZg2DEi9Zw06sE8goy4aN4uDCOHX-GALJtnZDxIsA2wfzY_PMGpmrSz9TOgQldJ2nJjE83vLFC33iK9ZBSYx0FKVBvJsF-G18RYtRA5cvQyMlKlcVS-rUWNEPzknjdTznTJWc82hW3r09fbbe-CQEwXNt0gJ6UNXwPQc8Yjsi5ED23fltUX3gRkqGVZ7J_mzbLw5g8VQufvf--XXHJf8KEAtcK8LGstLGDUmfXI48lorbQmA2S95igYepPj862jKeinoYVqVCuRjw', 'width': 512}]",ChIJuXnEQxjvxUcRHY6l5Uw98-o,ChIJuXnEQxjvxUcRHY6l5Uw98-o,GOOGLE,"['point_of_interest', 'establishment']","De Ruijterweg 24, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JH8+QG Haarlem, Netherlands', 'global_code': '9F469JH8+QG'}",,,,8819682eddfffff
"{'location': {'lat': 52.3832484, 'lng': 4.6156197}, 'viewport': {'northeast': {'lat': 52.3846031302915, 'lng': 4.616901580291503}, 'southwest': {'lat': 52.3819051697085, 'lng': 4.614203619708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ik Company,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117295013666891114761"">Ik Company</a>'], 'photo_reference': 'AXQCQNSlHXLA-ID-ELa7BIsyO6E6O2nfRiwARq8UFyj8Duvn_SCkIudSYw0kH8unTb8MiFrLN6Fi-dc0SGfu3aDEEDXdJBY2e9bc8Cy9usMey_WPHP2hhSM1CD2BlZsHOwQ-6d70vLbVw31rpcWoTMzx-MqHMLFiLmfHJb5tVLc8lZjsRWDKuZNZw0dpTmGCcBoQRLkW6THIyNXkTSaG3towEBCUiJvYEDQcCriUeBxsFjp_rFyWK63n5_d8mey5yoUnaoGsPcg4QG5xGLS9JIPGtpn3i_25liie4Kv_2UAC2yHk1PBJTsdAiihttdricXDhslvzt2XbH9A', 'width': 3024}]",ChIJZ8YBgBnvxUcR4mTd66ekshU,ChIJZ8YBgBnvxUcR4mTd66ekshU,GOOGLE,"['point_of_interest', 'health', 'establishment']","Abel Tasmankade 2D, Haarlem",OPERATIONAL,{'open_now': False},"{'compound_code': '9JM8+76 Haarlem, Netherlands', 'global_code': '9F469JM8+76'}",5.0,2.0,,8819682eddfffff
